date,Ireland,United Kingdom,Portugal,Spain,France,Italy,Belgium,Luxembourg
2020-03-26,1819.0,20970.0,3544.0,57786.0,29252.0,80589.0,6235.0,1453.0
2020-03-27,2121.0,24219.0,4268.0,65719.0,33047.0,86498.0,7284.0,1605.0
2020-03-28,2415.0,27062.0,5170.0,73235.0,37692.0,92472.0,9134.0,1831.0
2020-03-29,2615.0,29954.0,5962.0,80110.0,40295.0,97689.0,10836.0,1950.0
2020-03-30,2910.0,34281.0,6408.0,87956.0,44649.0,101739.0,11899.0,1988.0
2020-03-31,3235.0,38815.0,7443.0,95923.0,52278.0,105792.0,12775.0,2178.0
2020-04-01,3447.0,43789.0,8251.0,104118.0,57122.0,110574.0,13964.0,2319.0
2020-04-02,3849.0,48718.0,9034.0,112065.0,59228.0,115242.0,15348.0,2487.0
2020-04-03,4273.0,53699.0,9886.0,119199.0,64452.0,119827.0,16770.0,2612.0
2020-04-04,4604.0,57772.0,10524.0,126168.0,47378.0,124632.0,18431.0,2729.0
2020-04-05,4994.0,61422.0,11278.0,131646.0,48233.0,128948.0,19691.0,2804.0
2020-04-06,5364.0,66738.0,11730.0,136675.0,50887.0,132547.0,20814.0,2843.0
2020-04-07,5709.0,72224.0,12442.0,141942.0,47396.0,135586.0,22194.0,2970.0
2020-04-08,6074.0,77387.0,13141.0,148220.0,51251.0,139422.0,23403.0,3034.0
2020-04-09,6574.0,82293.0,13956.0,153222.0,55035.0,143626.0,24983.0,3115.0
2020-04-10,8089.0,86660.0,15472.0,158273.0,56600.0,147577.0,26667.0,3223.0
2020-04-11,8928.0,90273.0,15987.0,163027.0,58045.0,152271.0,28018.0,3270.0
2020-04-12,9655.0,93812.0,16585.0,166831.0,108791.0,156363.0,29647.0,3281.0
2020-04-13,10647.0,98017.0,16934.0,170099.0,111932.0,159516.0,30589.0,3292.0
2020-04-14,11479.0,102365.0,17448.0,172541.0,129380.0,162488.0,31119.0,3307.0
2020-04-15,12547.0,107465.0,18091.0,177644.0,132588.0,165155.0,33573.0,3373.0
2020-04-16,13271.0,112808.0,18841.0,184948.0,145166.0,168941.0,34809.0,3444.0
2020-04-17,13980.0,117798.0,19022.0,190839.0,147057.0,172434.0,36138.0,3480.0
2020-04-18,14758.0,122534.0,19685.0,191726.0,150863.0,175925.0,37183.0,3537.0
2020-04-19,15251.0,126394.0,20206.0,198674.0,151955.0,178972.0,38496.0,3550.0
2020-04-20,15652.0,131260.0,20863.0,200210.0,154402.0,181228.0,39983.0,3558.0
2020-04-21,16040.0,136035.0,21379.0,204178.0,157068.0,183957.0,40956.0,3618.0
2020-04-22,16671.0,141540.0,21982.0,208389.0,158868.0,187327.0,41889.0,3654.0
2020-04-23,17607.0,146708.0,22353.0,213024.0,157158.0,189973.0,42797.0,3665.0
2020-04-24,18184.0,151689.0,22797.0,202990.0,159969.0,192994.0,44293.0,3695.0
2020-04-25,18561.0,155453.0,23392.0,205905.0,161647.0,195351.0,45325.0,3711.0
2020-04-26,19262.0,158926.0,23864.0,207634.0,162280.0,197675.0,46134.0,3723.0
2020-04-27,19648.0,163630.0,24027.0,209465.0,165966.0,199414.0,46687.0,3729.0
2020-04-28,19877.0,168357.0,24322.0,210773.0,169098.0,201505.0,47334.0,3741.0
