date,Netherlands,Germany,Austria,Poland,Switzerland,Slovenia,Czechia,Slovakia
2020-03-26,7468.0,43938.0,6909.0,1221.0,11811.0,562.0,1925.0,226.0
2020-03-27,8647.0,50871.0,7657.0,1389.0,12928.0,632.0,2279.0,269.0
2020-03-28,9819.0,57695.0,8271.0,1638.0,14076.0,684.0,2631.0,292.0
2020-03-29,10930.0,62095.0,8788.0,1862.0,14829.0,730.0,2817.0,314.0
2020-03-30,11817.0,66885.0,9618.0,2055.0,15922.0,756.0,3001.0,336.0
2020-03-31,12667.0,71808.0,10180.0,2311.0,16605.0,802.0,3308.0,363.0
2020-04-01,13696.0,77872.0,10711.0,2554.0,17768.0,841.0,3508.0,400.0
2020-04-02,14788.0,84794.0,11129.0,2946.0,18827.0,897.0,3858.0,426.0
2020-04-03,15821.0,91159.0,11524.0,3383.0,19606.0,934.0,4091.0,450.0
2020-04-04,16727.0,96092.0,11781.0,3627.0,20505.0,977.0,4472.0,471.0
2020-04-05,17953.0,100123.0,12051.0,4102.0,21100.0,997.0,4587.0,485.0
2020-04-06,18926.0,103374.0,12297.0,4413.0,21657.0,1021.0,4822.0,534.0
2020-04-07,19709.0,107663.0,12639.0,4848.0,22253.0,1059.0,5017.0,581.0
2020-04-08,20682.0,113296.0,12942.0,5205.0,23280.0,1091.0,5312.0,682.0
2020-04-09,21903.0,118181.0,13244.0,5575.0,24051.0,1124.0,5569.0,701.0
2020-04-10,23249.0,122171.0,13555.0,5955.0,24551.0,1160.0,5732.0,715.0
2020-04-11,24571.0,124908.0,13806.0,6356.0,25107.0,1188.0,5831.0,728.0
2020-04-12,25746.0,127854.0,13945.0,6674.0,25415.0,1205.0,5991.0,742.0
2020-04-13,26710.0,130072.0,14041.0,6934.0,25688.0,1212.0,6059.0,769.0
2020-04-14,27580.0,131359.0,14226.0,7202.0,25936.0,1220.0,6111.0,835.0
2020-04-15,28316.0,134753.0,14336.0,7582.0,26336.0,1248.0,6216.0,863.0
2020-04-16,29383.0,137698.0,14476.0,7918.0,26732.0,1268.0,6433.0,977.0
2020-04-17,30619.0,141397.0,14595.0,8379.0,27078.0,1304.0,6549.0,1049.0
2020-04-18,31766.0,143342.0,14671.0,8742.0,27404.0,1317.0,6606.0,1089.0
2020-04-19,32838.0,145184.0,14749.0,9287.0,27740.0,1330.0,6746.0,1161.0
2020-04-20,33588.0,147065.0,14795.0,9593.0,27944.0,1335.0,6900.0,1173.0
2020-04-21,34317.0,148291.0,14873.0,9856.0,28063.0,1344.0,7033.0,1199.0
2020-04-22,35032.0,150648.0,14925.0,10169.0,28268.0,1353.0,7132.0,1244.0
2020-04-23,35921.0,153129.0,15002.0,10511.0,28496.0,1366.0,7187.0,1325.0
2020-04-24,36729.0,154999.0,15071.0,10892.0,28677.0,1373.0,7273.0,1360.0
2020-04-25,37384.0,156513.0,15148.0,11273.0,28894.0,1388.0,7352.0,1373.0
2020-04-26,38040.0,157770.0,15225.0,11617.0,29061.0,1396.0,7404.0,1379.0
2020-04-27,38440.0,158758.0,15274.0,11902.0,29164.0,1402.0,7445.0,1381.0
2020-04-28,38612.0,159912.0,15357.0,12218.0,29264.0,1408.0,7504.0,1384.0
2020-04-29,38998.0,161539.0,15402.0,12640.0,29407.0,1418.0,7579.0,1391.0
2020-04-30,39512.0,163009.0,15452.0,12877.0,29586.0,1429.0,7682.0,1396.0
2020-05-01,39989.0,164077.0,15531.0,13105.0,29705.0,1434.0,7737.0,1403.0
2020-05-02,40434.0,164967.0,15558.0,13375.0,29817.0,1439.0,7755.0,1407.0
2020-05-03,40769.0,165664.0,15597.0,13693.0,29905.0,1439.0,7781.0,1408.0
2020-05-04,40968.0,166152.0,15621.0,14006.0,29981.0,1439.0,7819.0,1413.0
2020-05-05,41286.0,167007.0,15650.0,14431.0,30009.0,1445.0,7896.0,1421.0
2020-05-06,41518.0,168162.0,15684.0,14740.0,30060.0,1448.0,7974.0,1429.0
2020-05-07,41973.0,169430.0,15752.0,15047.0,30126.0,1449.0,8031.0,1445.0
2020-05-08,42292.0,170588.0,15774.0,15366.0,30207.0,1450.0,8077.0,1455.0
2020-05-09,42581.0,171324.0,15833.0,15651.0,30251.0,1454.0,8095.0,1455.0
2020-05-10,42826.0,171879.0,15871.0,15996.0,30305.0,1457.0,8123.0,1457.0
2020-05-11,42987.0,172576.0,15882.0,16326.0,30344.0,1460.0,8176.0,1457.0
2020-05-12,43183.0,173171.0,15961.0,16921.0,30380.0,1461.0,8221.0,1465.0
2020-05-13,43410.0,174098.0,15997.0,17204.0,30413.0,1463.0,8269.0,1469.0
2020-05-14,43680.0,174478.0,16058.0,17615.0,30463.0,1464.0,8351.0,1477.0
2020-05-15,43880.0,175233.0,16109.0,18016.0,30514.0,1465.0,8406.0,1480.0
2020-05-16,44070.0,175752.0,16201.0,18257.0,30572.0,1465.0,8455.0,1493.0
2020-05-17,44195.0,176369.0,16242.0,18529.0,30587.0,1466.0,8475.0,1494.0
2020-05-18,44341.0,176551.0,16269.0,18885.0,30597.0,1466.0,8586.0,1495.0
2020-05-19,44449.0,177778.0,16321.0,19268.0,30618.0,1467.0,8647.0,1495.0
2020-05-20,44647.0,178473.0,16353.0,19739.0,30658.0,1468.0,8721.0,1496.0
2020-05-21,44900.0,179021.0,16404.0,20143.0,30694.0,1468.0,8754.0,1502.0
2020-05-22,45088.0,179710.0,16436.0,20619.0,30707.0,1468.0,8813.0,1503.0
2020-05-23,45265.0,179986.0,16486.0,20931.0,30725.0,1468.0,8890.0,1504.0
2020-05-24,45437.0,180328.0,16503.0,21326.0,30736.0,1468.0,8955.0,1509.0
2020-05-25,45647.0,180600.0,16539.0,21631.0,30746.0,1469.0,9002.0,1511.0
2020-05-26,45780.0,181200.0,16557.0,22074.0,30761.0,1469.0,9050.0,1513.0
2020-05-27,45970.0,181524.0,16591.0,22473.0,30776.0,1471.0,9086.0,1515.0
2020-05-28,46152.0,182196.0,16628.0,22825.0,30796.0,1473.0,9140.0,1520.0
2020-05-29,46328.0,182922.0,16655.0,23155.0,30828.0,1473.0,9196.0,1520.0
2020-05-30,46460.0,183189.0,16685.0,23571.0,30845.0,1473.0,9230.0,1521.0
2020-05-31,46645.0,183410.0,16731.0,23786.0,30862.0,1473.0,9268.0,1521.0
2020-06-01,46749.0,183594.0,16733.0,24165.0,30871.0,1473.0,9302.0,1522.0
2020-06-02,46852.0,183879.0,16759.0,24395.0,30874.0,1475.0,9364.0,1522.0
2020-06-03,46939.0,184121.0,16771.0,24687.0,30893.0,1477.0,9438.0,1525.0
2020-06-04,47148.0,184472.0,16805.0,25048.0,30913.0,1477.0,9494.0,1526.0
2020-06-05,47358.0,184924.0,16843.0,25410.0,30936.0,1479.0,9529.0,1526.0
2020-06-06,47541.0,185450.0,16898.0,25986.0,30956.0,1484.0,9567.0,1528.0
2020-06-07,47780.0,185750.0,16902.0,26561.0,30965.0,1485.0,9628.0,1528.0
2020-06-08,47945.0,186109.0,16968.0,27160.0,30972.0,1485.0,9697.0,1530.0
2020-06-09,48109.0,186506.0,16979.0,27560.0,30988.0,1486.0,9751.0,1531.0
2020-06-10,48294.0,186522.0,17005.0,27842.0,31011.0,1488.0,9824.0,1533.0
2020-06-11,48458.0,186691.0,17034.0,28201.0,31044.0,1488.0,9855.0,1541.0
2020-06-12,48668.0,187226.0,17064.0,28577.0,31063.0,1490.0,9938.0,1542.0
2020-06-13,48847.0,187267.0,17078.0,29017.0,31094.0,1492.0,9991.0,1545.0
2020-06-14,48990.0,187518.0,17109.0,29392.0,31117.0,1495.0,10024.0,1548.0
2020-06-15,49155.0,187682.0,17135.0,29788.0,31131.0,1496.0,10064.0,1552.0
2020-06-16,49295.0,188252.0,17189.0,30195.0,31154.0,1499.0,10111.0,1552.0
2020-06-17,49412.0,188604.0,17203.0,30701.0,31187.0,1503.0,10162.0,1561.0
2020-06-18,49527.0,189817.0,17223.0,31015.0,31200.0,1511.0,10280.0,1562.0
2020-06-19,49634.0,190299.0,17271.0,31316.0,31235.0,1513.0,10406.0,1576.0
2020-06-20,49710.0,190670.0,17323.0,31620.0,31243.0,1519.0,10448.0,1586.0
2020-06-21,49801.0,191272.0,17341.0,31931.0,31292.0,1520.0,10498.0,1587.0
2020-06-22,49866.0,191768.0,17380.0,32227.0,31310.0,1521.0,10523.0,1588.0
2020-06-23,49930.0,192480.0,17408.0,32527.0,31332.0,1534.0,10650.0,1589.0
2020-06-24,50012.0,192871.0,17449.0,32821.0,31376.0,1541.0,10777.0,1607.0
2020-06-25,50122.0,193371.0,17477.0,33119.0,31428.0,1547.0,10870.0,1630.0
2020-06-26,50213.0,194036.0,17522.0,33395.0,31486.0,1558.0,11038.0,1643.0
2020-06-27,50282.0,194458.0,17580.0,33714.0,31555.0,1572.0,11298.0,1657.0
2020-06-28,50355.0,194693.0,17654.0,33907.0,31617.0,1581.0,11603.0,1664.0
2020-06-29,50433.0,195042.0,17723.0,34154.0,31652.0,1585.0,11805.0,1665.0
2020-06-30,50483.0,195418.0,17766.0,34393.0,31714.0,1600.0,11954.0,1667.0
2020-07-01,50545.0,195893.0,17873.0,34775.0,31851.0,1613.0,12046.0,1687.0
2020-07-02,50623.0,196370.0,17941.0,35146.0,31967.0,1634.0,12178.0,1700.0
2020-07-03,50698.0,196780.0,18050.0,35405.0,32101.0,1650.0,12319.0,1720.0
2020-07-04,50761.0,197198.0,18165.0,35719.0,32198.0,1679.0,12440.0,1749.0
