date,Hungary,Estonia,Lithuania,Latvia,Sweden,Norway,Denmark,Finland
2020-03-26,261.0,538.0,263.0,244.0,2998.0,3369.0,2023.0,958.0
2020-03-27,300.0,575.0,292.0,280.0,3363.0,3755.0,2200.0,1041.0
2020-03-28,343.0,645.0,339.0,305.0,3663.0,4015.0,2366.0,1167.0
2020-03-29,408.0,679.0,378.0,347.0,3943.0,4284.0,2564.0,1240.0
2020-03-30,447.0,715.0,424.0,376.0,4359.0,4445.0,2755.0,1352.0
2020-03-31,492.0,745.0,468.0,398.0,4834.0,4641.0,3039.0,1418.0
2020-04-01,525.0,779.0,512.0,446.0,5320.0,4863.0,3290.0,1446.0
2020-04-02,585.0,858.0,579.0,458.0,5874.0,5147.0,3573.0,1518.0
2020-04-03,623.0,961.0,631.0,493.0,6475.0,5370.0,3946.0,1615.0
2020-04-04,678.0,1039.0,683.0,509.0,6832.0,5550.0,4269.0,1882.0
2020-04-05,733.0,1097.0,716.0,533.0,7172.0,5687.0,4561.0,1927.0
2020-04-06,744.0,1108.0,750.0,542.0,7561.0,5865.0,4875.0,2176.0
2020-04-07,817.0,1149.0,783.0,548.0,8299.0,6086.0,5266.0,2308.0
2020-04-08,895.0,1185.0,821.0,577.0,8954.0,6086.0,5597.0,2487.0
2020-04-09,980.0,1207.0,858.0,589.0,9599.0,6211.0,5830.0,2605.0
2020-04-10,1190.0,1258.0,896.0,612.0,10053.0,6314.0,6014.0,2769.0
2020-04-11,1310.0,1304.0,926.0,630.0,10448.0,6409.0,6191.0,2905.0
2020-04-12,1410.0,1309.0,952.0,651.0,10912.0,6525.0,6369.0,2974.0
2020-04-13,1458.0,1332.0,970.0,655.0,11349.0,6603.0,6513.0,3064.0
2020-04-14,1512.0,1373.0,977.0,657.0,11828.0,6623.0,6706.0,3161.0
2020-04-15,1579.0,1400.0,995.0,666.0,12432.0,6740.0,6876.0,3237.0
2020-04-16,1652.0,1434.0,1022.0,675.0,13055.0,6896.0,7074.0,3369.0
2020-04-17,1763.0,1459.0,1050.0,682.0,13743.0,6937.0,7268.0,3489.0
2020-04-18,1834.0,1512.0,1091.0,712.0,14275.0,7036.0,7437.0,3681.0
2020-04-19,1916.0,1528.0,1153.0,727.0,14663.0,7078.0,7580.0,3783.0
2020-04-20,1984.0,1535.0,1173.0,739.0,15124.0,7156.0,7711.0,3868.0
2020-04-21,2098.0,1552.0,1226.0,748.0,15831.0,7191.0,7891.0,4014.0
2020-04-22,2168.0,1559.0,1250.0,761.0,16553.0,7338.0,8108.0,4129.0
2020-04-23,2284.0,1592.0,1272.0,778.0,17311.0,7401.0,8271.0,4284.0
2020-04-24,2443.0,1605.0,1291.0,784.0,18090.0,7463.0,8408.0,4395.0
2020-04-25,2443.0,1635.0,1301.0,804.0,18563.0,7499.0,8643.0,4475.0
2020-04-26,2500.0,1643.0,1316.0,812.0,18863.0,7527.0,8773.0,4576.0
2020-04-27,2583.0,1647.0,1328.0,818.0,19426.0,7599.0,8896.0,4695.0
2020-04-28,2649.0,1660.0,1337.0,836.0,20168.0,7660.0,9049.0,4740.0
2020-04-29,2727.0,1666.0,1364.0,849.0,20966.0,7710.0,9206.0,4906.0
2020-04-30,2775.0,1689.0,1375.0,858.0,21601.0,7738.0,9356.0,4995.0
2020-05-01,2863.0,1694.0,1389.0,870.0,22133.0,7783.0,9509.0,5051.0
2020-05-02,2942.0,1699.0,1394.0,871.0,22432.0,7809.0,9605.0,5176.0
2020-05-03,2998.0,1700.0,1399.0,879.0,22693.0,7847.0,9721.0,5254.0
2020-05-04,3035.0,1703.0,1407.0,896.0,23169.0,7904.0,9868.0,5327.0
2020-05-05,3065.0,1711.0,1410.0,896.0,23826.0,7955.0,10019.0,5412.0
2020-05-06,3111.0,1713.0,1416.0,900.0,24572.0,7996.0,10136.0,5573.0
2020-05-07,3150.0,1720.0,1421.0,909.0,25359.0,8034.0,10281.0,5673.0
2020-05-08,3178.0,1725.0,1430.0,928.0,26059.0,8070.0,10416.0,5738.0
2020-05-09,3213.0,1733.0,1459.0,930.0,26568.0,8099.0,10517.0,5880.0
2020-05-10,3263.0,1739.0,1471.0,939.0,26846.0,8105.0,10627.0,5962.0
2020-05-11,3284.0,1741.0,1479.0,946.0,27301.0,8132.0,10711.0,5984.0
2020-05-12,3313.0,1746.0,1488.0,950.0,28055.0,8157.0,10789.0,6003.0
2020-05-13,3341.0,1751.0,1502.0,951.0,28755.0,8175.0,10865.0,6054.0
2020-05-14,3380.0,1758.0,1511.0,962.0,29415.0,8196.0,10911.0,6145.0
2020-05-15,3417.0,1766.0,1521.0,970.0,30103.0,8219.0,10989.0,6228.0
2020-05-16,3473.0,1770.0,1536.0,997.0,30461.0,8237.0,11056.0,6286.0
2020-05-17,3509.0,1774.0,1545.0,1008.0,30720.0,8249.0,11125.0,6347.0
2020-05-18,3535.0,1784.0,1551.0,1009.0,31151.0,8257.0,11166.0,6380.0
2020-05-19,3556.0,1791.0,1559.0,1012.0,31818.0,8267.0,11242.0,6399.0
2020-05-20,3598.0,1794.0,1580.0,1016.0,32626.0,8281.0,11315.0,6443.0
