date,AUS,JPN,KOR,NZL,TWN
3/2/20,29,254,4212,1,40
3/3/20,33,254,4812,,41
3/4/20,41,268,5328,2,42
3/5/20,52,317,5766,3,42
3/6/20,59,349,6284,4,44
3/7/20,63,408,6767,5,45
3/8/20,74,455,7134,,45
3/9/20,80,488,7382,,45
3/10/20,100,514,7513,,45
3/11/20,112,568,7755,,48
3/12/20,126,619,7869,,48
3/13/20,156,675,7979,,49
3/14/20,197,737,8086,6,53
3/15/20,249,780,8162,8,59
3/16/20,298,814,8236,,59
3/17/20,375,824,8320,,67
3/18/20,454,829,8413,20,77
3/19/20,565,873,8565,28,108
3/20/20,709,950,8652,39,108
3/21/20,874,1007,8799,53,135
3/22/20,1098,1046,8897,66,153
3/23/20,1709,1089,8961,102,165
3/24/20,1823,1128,9037,142,195
3/25/20,2423,1193,9137,189,216
3/26/20,2799,1268,9241,262,235
3/27/20,3166,1364,9332,338,252
3/28/20,3378,1499,9478,416,267
3/29/20,3809,1693,9583,476,283
3/30/20,4093,1866,9661,552,306
3/31/20,4557,1953,9786,647,306
4/1/20,4707,1953,9786,647,322
4/2/20,4976,2178,9976,723,339
4/3/20,5224,2617,10062,772,339
4/4/20,5548,2935,10156,824,355
4/5/20,5687,3271,10237,872,363
4/6/20,5744,3654,10284,911,363
4/7/20,5844,3906,10331,943,373
4/8/20,5956,4257,10384,969,376
4/9/20,6052,4768,10423,992,379
4/10/20,6152,5347,10450,1015,380
4/11/20,6238,6005,10450,1035,380
4/12/20,6289,6748,10512,1049,385
4/13/20,6322,7255,10537,1064,388
4/14/20,6366,7645,10564,1072,393
4/15/20,6416,8100,10591,1078,395
4/16/20,6458,8582,10613,1084,395
4/17/20,6497,9167,10635,1086,395
4/18/20,6533,9795,10653,1094,395
4/19/20,6586,10361,10661,1098,398
4/20/20,6612,10751,10674,1105,420
4/21/20,6625,11118,10683,1107,422
4/22/20,6647,11496,10694,1112,425
4/23/20,6654,11772,10702,1112,426
4/24/20,6667,12240,10708,1114,427
4/25/20,6687,12892,10718,1117,428
4/26/20,6703,13182,10728,1121,429
4/27/20,6713,13385,10738,1122,429
4/28/20,6725,13576,10752,1124,429
4/29/20,6738,13852,10761,1126,429
4/30/20,6746,14088,10765,1129,429
5/1/20,6762,14281,10774,1132,429
5/2/20,6767,14544,10780,1134,429
5/3/20,6783,14839,10793,1136,432
5/4/20,6801,15057,10801,1137,436
5/5/20,6825,15231,10804,1137,438
5/6/20,6849,15354,10806,1138,438
5/7/20,6875,15463,10810,1139,439
5/8/20,6896,15547,10822,1141,440
5/9/20,6914,15628,10840,1142,440
5/10/20,6929,15747,10874,1144,440
5/11/20,6941,15798,10909,1147,440
5/12/20,6948,15874,10936,1147,440
5/13/20,6964,16024,10962,1147,440
5/14/20,6975,16079,10991,1147,440
5/15/20,6989,16193,11018,1148,440
5/16/20,7019,16237,11037,1148,440
5/17/20,7036,16285,11050,1149,440
5/18/20,7045,16305,11065,1149,440
5/19/20,7060,16365,11078,1153,440
5/20/20,7068,16385,11110,1153,440
5/21/20,7079,16424,11122,1153,441
5/22/20,7081,16513,11142,1154,441
5/23/20,7095,16536,11165,1154,441
5/24/20,7106,16550,11190,1154,441
5/25/20,7109,16581,11206,1154,441
5/26/20,7118,16623,11225,1154,441
5/27/20,7133,16651,11265,1154,441
5/28/20,7139,16651,11344,1154,441
5/29/20,7150,16719,11402,1154,441
5/30/20,7173,16804,11441,1154,442
5/31/20,7185,16851,11468,1154,442
6/1/20,7195,16884,11503,1154,442
6/2/20,7204,16930,11541,1154,443
6/3/20,7221,16986,11590,1154,443
6/4/20,7229,17018,11629,1154,443
6/5/20,7240,17064,11668,1154,443
6/6/20,7251,17103,11719,1154,443
6/7/20,7255,17141,11776,1154,443
6/8/20,7260,17174,11814,1154,443
6/9/20,7265,17210,11852,1154,443
6/10/20,7267,17251,11902,1154,443
6/11/20,7276,17292,11947,1154,443
6/12/20,7285,17332,12003,1154,443
6/13/20,7290,17382,12051,1154,443
6/14/20,7302,17429,12084,1154,443
6/15/20,7320,17502,12121,1154,443
6/16/20,7335,17587,12155,1156,445
6/17/20,7347,17628,12198,1156,445
6/18/20,7370,17668,12257,1157,445
6/19/20,7391,17740,12306,1157,446
6/20/20,7409,17799,12373,1159,446
6/21/20,7436,17799,12421,1161,446
6/22/20,7461,17916,12438,1163,446
6/23/20,7474,17968,12484,1165,446
6/24/20,7492,18027,12535,1166,446
6/25/20,7521,18110,12563,1169,446
6/26/20,7558,18197,12602,1170,447
6/27/20,7595,18297,12653,1172,447
6/28/20,7641,18390,12715,1176,447
6/29/20,7686,18476,12757,1178,447
6/30/20,7767,18593,12800,1178,447
7/1/20,7834,18723,12850,1178,447
7/2/20,7920,18874,12904,1180,448
7/3/20,8001,19068,12967,1180,449
7/4/20,8255,19282,13030,1180,449
7/5/20,8362,19522,13091,1183,449
7/6/20,8449,19775,13091,1183,449
7/7/20,8586,19981,13181,1186,449
7/8/20,8755,20174,13244,1187,449
7/9/20,8886,20371,13293,1190,449
7/10/20,9059,20719,13338,1192,451
7/11/20,9359,21129,13373,1193,451
7/12/20,9553,21502,13417,1194,451
7/13/20,9797,21868,13479,1194,451
7/14/20,9980,22220,13512,1195,451
7/15/20,10251,22508,13551,1197,451
7/16/20,10495,22890,13612,1198,452
7/17/20,10810,23473,13672,1199,454
7/18/20,11235,24132,13711,1200,454
7/19/20,11441,24642,13745,1203,455
7/20/20,11802,25096,13771,1204,455
7/21/20,12069,25736,13816,1205,455
7/22/20,12428,26303,13879,1205,455
7/23/20,12896,27029,13938,1205,455
7/24/20,13306,27956,13979,1206,458
7/25/20,13595,28786,14092,1206,458
7/26/20,13950,29382,14150,1206,458
7/27/20,14403,29989,14175,1206,462
7/28/20,14935,29989,14203,1207,467
7/29/20,15304,31333,14251,1209,467
7/30/20,15582,32459,14269,1210,467
7/31/20,16303,33774,14305,1210,467
8/1/20,16905,34372,14336,1212,474
8/2/20,17282,36081,14336,1215,474
8/3/20,17923,38072,14389,1217,475
8/4/20,18318,39858,14423,1217,476
8/5/20,18729,41129,14456,1219,476
8/6/20,19444,42263,14499,1219,477
8/7/20,19862,43815,14519,1219,477
8/8/20,20272,45439,14562,1219,479
8/9/20,20698,46783,14598,1219,480
8/10/20,21084,47990,14626,1219,480
8/11/20,21397,48238,14660,1220,480
8/12/20,21713,49512,14714,1220,481
8/13/20,22127,50444,14770,1238,481
8/14/20,22358,51513,14873,1251,481
8/15/20,22743,53577,15039,1258,482
8/16/20,23035,54714,15318,1271,484
8/17/20,23288,54952,15515,1280,485
8/18/20,23599,55958,15761,1293,485
8/19/20,23773,57550,16058,1299,486
8/20/20,23993,58501,16346,1304,486
8/21/20,24236,59721,16670,1315,486
8/22/20,24407,60733,17002,1321,487
8/23/20,24602,61747,17399,1324,487
8/24/20,24812,61754,17665,1332,487
8/25/20,24916,63121,17945,1339,487
8/26/20,25053,63822,18265,1344,487
8/27/20,25205,64668,18706,1351,487
8/28/20,25322,65573,19077,1363,487
8/29/20,25448,66423,19400,1376,488
8/30/20,25547,67264,19699,1378,488
8/31/20,25670,67865,19947,1387,488
9/1/20,25746,68392,20182,1401,488
9/2/20,25819,69001,20449,1406,489
9/3/20,25923,69599,20644,1408,489
9/4/20,26049,70268,20842,1413,490
9/5/20,26136,70876,20842,1413,490
9/6/20,26207,71419,21177,1421,493
9/7/20,26279,71856,21296,1425,493
9/8/20,26322,72234,21432,1431,494
9/9/20,26374,72726,21588,1437,495
9/10/20,26465,73221,21743,1441,496
9/11/20,26513,73901,21919,1442,496
9/12/20,26565,74544,22055,1444,498
9/13/20,26607,75218,22176,1446,498
9/14/20,26651,75657,22285,1447,498
9/15/20,26692,75958,22391,1450,499
9/16/20,26738,76448,22504,1451,500
9/17/20,26779,77009,22657,1458,503
9/18/20,26813,77494,22783,1458,503
9/19/20,26861,78073,22893,1460,506
9/20/20,26885,78657,22975,1464,507
9/21/20,26898,78657,23045,1464,509
9/22/20,26912,79438,23106,1464,509
9/23/20,26942,79768,23216,1468,509
9/24/20,26973,80041,23341,1471,509
9/25/20,26983,80497,23455,1473,509
9/26/20,27000,81055,23516,1475,510
9/27/20,27016,81690,23611,1477,510
9/28/20,27040,82131,23661,1477,510
9/29/20,27044,82494,23699,1479,513
9/30/20,27063,83010,23812,1480,514
