date,AUS,JPN,KOR,NZL,TWN
3/2/20,1,6,22,0,1
3/3/20,1,6,28,,1
3/4/20,1,6,32,0,1
3/5/20,2,6,35,0,1
3/6/20,2,6,42,0,1
3/7/20,2,6,44,0,1
3/8/20,3,6,50,,1
3/9/20,3,7,51,,1
3/10/20,3,9,54,,1
3/11/20,3,12,60,,1
3/12/20,3,15,66,,1
3/13/20,3,19,67,,1
3/14/20,3,21,72,0,1
3/15/20,3,22,75,0,1
3/16/20,5,24,75,,1
3/17/20,5,28,81,,1
3/18/20,5,28,86,0,1
3/19/20,6,29,91,0,1
3/20/20,6,33,100,0,1
3/21/20,7,35,103,0,2
3/22/20,7,36,104,0,2
3/23/20,7,41,113,0,2
3/24/20,7,42,120,0,2
3/25/20,8,43,126,0,2
3/26/20,11,45,131,0,2
3/27/20,13,46,139,0,2
3/28/20,13,49,144,0,2
3/29/20,14,52,152,1,2
3/30/20,16,54,158,1,5
3/31/20,19,56,163,1,5
4/1/20,20,56,163,1,5
4/2/20,21,57,169,1,5
4/3/20,23,63,174,1,5
4/4/20,30,69,177,1,5
4/5/20,34,70,183,1,5
4/6/20,36,73,186,1,5
4/7/20,42,80,192,1,5
4/8/20,45,81,200,1,5
4/9/20,50,85,204,1,5
4/10/20,52,88,208,2,5
4/11/20,54,94,208,4,5
4/12/20,57,98,214,4,6
4/13/20,61,102,217,5,6
4/14/20,61,109,222,9,6
4/15/20,61,119,225,9,6
4/16/20,63,136,229,9,6
4/17/20,63,148,230,11,6
4/18/20,67,154,232,11,6
4/19/20,69,161,234,12,6
4/20/20,70,171,236,12,6
4/21/20,71,186,237,13,6
4/22/20,74,186,238,14,6
4/23/20,74,287,240,16,6
4/24/20,75,317,240,17,6
4/25/20,79,334,240,18,6
4/26/20,81,348,242,18,6
4/27/20,83,351,243,19,6
4/28/20,84,376,244,19,6
4/29/20,88,389,246,19,6
4/30/20,90,415,247,19,6
5/1/20,92,432,248,19,6
5/2/20,93,458,250,20,6
5/3/20,93,492,250,20,6
5/4/20,95,510,252,20,6
5/5/20,95,521,254,20,6
5/6/20,96,543,255,21,6
5/7/20,97,551,256,21,6
5/8/20,97,557,256,21,6
5/9/20,97,601,256,21,6
5/10/20,97,613,256,21,6
5/11/20,97,621,256,21,6
5/12/20,97,643,258,21,7
5/13/20,97,668,259,21,7
5/14/20,98,687,260,21,7
5/15/20,98,710,260,21,7
5/16/20,98,725,262,21,7
5/17/20,98,744,262,21,7
5/18/20,98,749,263,21,7
5/19/20,99,763,263,21,7
5/20/20,99,771,263,21,7
5/21/20,100,777,264,21,7
5/22/20,100,796,264,21,7
5/23/20,101,808,266,21,7
5/24/20,102,820,266,21,7
5/25/20,102,830,267,21,7
5/26/20,102,846,269,21,7
5/27/20,102,858,269,21,7
5/28/20,102,858,269,22,7
5/29/20,102,874,269,22,7
5/30/20,102,886,269,22,7
5/31/20,102,891,270,22,7
6/1/20,102,892,271,22,7
6/2/20,102,894,272,22,7
6/3/20,102,900,273,22,7
6/4/20,102,903,273,22,7
6/5/20,102,907,273,22,7
6/6/20,102,914,273,22,7
6/7/20,102,916,273,22,7
6/8/20,102,916,273,22,7
6/9/20,102,916,274,22,7
6/10/20,102,919,276,22,7
6/11/20,102,920,276,22,7
6/12/20,102,922,277,22,7
6/13/20,102,924,277,22,7
6/14/20,102,925,277,22,7
6/15/20,102,925,277,22,7
6/16/20,102,927,278,22,7
6/17/20,102,931,279,22,7
6/18/20,102,935,280,22,7
6/19/20,102,935,280,22,7
6/20/20,102,952,280,22,7
6/21/20,102,952,280,22,7
6/22/20,102,953,280,22,7
6/23/20,102,955,281,22,7
6/24/20,102,963,281,22,7
6/25/20,103,968,282,22,7
6/26/20,104,969,282,22,7
6/27/20,104,971,282,22,7
6/28/20,104,971,282,22,7
6/29/20,104,972,282,22,7
6/30/20,104,972,282,22,7
7/1/20,104,974,282,22,7
7/2/20,104,975,282,22,7
7/3/20,104,976,282,22,7
7/4/20,104,977,283,22,7
7/5/20,104,977,283,22,7
7/6/20,104,977,283,22,7
7/7/20,106,978,285,22,7
7/8/20,106,980,285,22,7
7/9/20,106,981,287,22,7
7/10/20,106,982,288,22,7
7/11/20,106,982,288,22,7
7/12/20,107,982,289,22,7
7/13/20,108,982,289,22,7
7/14/20,108,982,289,22,7
7/15/20,108,984,289,22,7
7/16/20,111,985,291,22,7
7/17/20,113,985,293,22,7
7/18/20,116,985,294,22,7
7/19/20,118,985,295,22,7
7/20/20,122,985,296,22,7
7/21/20,123,988,296,22,7
7/22/20,126,989,297,22,7
7/23/20,128,990,297,22,7
7/24/20,133,992,298,22,7
7/25/20,139,993,298,22,7
7/26/20,145,996,298,22,7
7/27/20,155,996,299,22,7
7/28/20,161,996,300,22,7
7/29/20,167,1000,300,22,7
7/30/20,176,1003,300,22,7
7/31/20,189,1005,301,22,7
8/1/20,196,1006,301,22,7
8/2/20,200,1010,301,22,7
8/3/20,208,1011,301,22,7
8/4/20,221,1016,301,22,7
8/5/20,232,1022,302,22,7
8/6/20,247,1026,302,22,7
8/7/20,255,1033,303,22,7
8/8/20,266,1039,304,22,7
8/9/20,278,1040,305,22,7
8/10/20,295,1047,305,22,7
8/11/20,313,1051,305,22,7
8/12/20,331,1058,305,22,7
8/13/20,352,1062,305,22,7
8/14/20,361,1072,305,22,7
8/15/20,375,1085,305,22,7
8/16/20,379,1088,305,22,7
8/17/20,396,1098,305,22,7
8/18/20,421,1114,306,22,7
8/19/20,438,1128,306,22,7
8/20/20,450,1144,307,22,7
8/21/20,463,1155,309,22,7
8/22/20,472,1169,309,22,7
8/23/20,485,1176,309,22,7
8/24/20,502,1180,309,22,7
8/25/20,517,1196,310,22,7
8/26/20,525,1209,312,22,7
8/27/20,549,1226,313,22,7
8/28/20,572,1238,316,22,7
8/29/20,583,1255,321,22,7
8/30/20,600,1264,323,22,7
8/31/20,611,1279,324,22,7
9/1/20,652,1296,324,22,7
9/2/20,657,1307,326,22,7
9/3/20,663,1319,329,22,7
9/4/20,678,1330,331,22,7
9/5/20,737,1349,331,22,7
9/6/20,748,1357,334,24,7
9/7/20,753,1363,336,24,7
9/8/20,762,1377,341,24,7
9/9/20,770,1393,344,24,7
9/10/20,781,1406,346,24,7
9/11/20,788,1412,350,24,7
9/12/20,797,1423,355,24,7
9/13/20,803,1439,358,24,7
9/14/20,810,1442,363,24,7
9/15/20,816,1451,367,24,7
9/16/20,816,1461,367,25,7
