date,Africa,North America
2020-03-02,6.0,129.0
2020-03-03,3.0,147.0
2020-03-04,5.0,174.0
2020-03-05,15.0,214.0
2020-03-06,27.0,302.0
2020-03-07,17.0,416.0
2020-03-08,2.0,515.0
2020-03-09,74.0,650.0
2020-03-10,66.0,877.0
2020-03-11,67.0,1180.0
2020-03-12,108.0,1528.0
2020-03-13,150.0,1960.0
2020-03-14,191.0,2599.0
2020-03-15,239.0,3495.0
2020-03-16,323.0,4436.0
2020-03-17,402.0,5552.0
2020-03-18,494.0,7599.0
2020-03-19,633.0,10880.0
2020-03-20,744.0,16102.0
2020-03-21,975.0,21838.0
2020-03-22,1176.0,29545.0
2020-03-23,1389.0,38379.0
2020-03-24,1738.0,50118.0
2020-03-25,2203.0,59626.0
2020-03-26,2690.0,75480.0
2020-03-27,3278.0,93413.0
2020-03-28,3804.0,113349.0
2020-03-29,4124.0,134628.0
2020-03-30,4629.0,154403.0
2020-03-31,5137.0,177650.0
2020-04-01,5626.0,204603.0
2020-04-02,6248.0,233633.0
2020-04-03,6883.0,264824.0
2020-04-04,7508.0,299362.0
2020-04-05,8440.0,335608.0
2020-04-06,9175.0,363351.0
2020-04-07,9802.0,395970.0
2020-04-08,10524.0,428739.0
2020-04-09,11446.0,464625.0
2020-04-10,12280.0,501189.0
2020-04-11,12952.0,539258.0
2020-04-12,13666.0,569831.0
2020-04-13,14522.0,599537.0
2020-04-14,15291.0,627164.0
2020-04-15,16281.0,656693.0
2020-04-16,17243.0,689771.0
2020-04-17,18329.0,724698.0
2020-04-18,19897.0,759128.0
2020-04-19,21057.0,794740.0
2020-04-20,22303.0,822253.0
2020-04-21,23267.0,854452.0
2020-04-22,24617.0,895089.0
2020-04-23,25686.0,916324.0
2020-04-24,27221.0,946714.0
2020-04-25,29075.0,972064.0
2020-04-26,30316.0,1023708.0
2020-04-27,31748.0,1053769.0
2020-04-28,33162.0,1080116.0
2020-04-29,34932.0,1108210.0
2020-04-30,36735.0,1139473.0
2020-05-01,38850.0,1173554.0
2020-05-02,40757.0,1211474.0
2020-05-03,42776.0,1244879.0
2020-05-04,44435.0,1274609.0
2020-05-05,47122.0,1301737.0
2020-05-06,49208.0,1329561.0
2020-05-07,51677.0,1358363.0
2020-05-08,54106.0,1391339.0
2020-05-09,57836.0,1423097.0
2020-05-10,60637.0,1452491.0
2020-05-11,63391.0,1476308.0
2020-05-12,66510.0,1499210.0
2020-05-13,69504.0,1526061.0
2020-05-14,72533.0,1551974.0
2020-05-15,75679.0,1584109.0
2020-05-16,78432.0,1615337.0
2020-05-17,81435.0,1643921.0
2020-05-18,84816.0,1666616.0
2020-05-19,88085.0,1694527.0
2020-05-20,91365.0,1720296.0
2020-05-21,94985.0,1749279.0
2020-05-22,99855.0,1780856.0
2020-05-23,103712.0,1811682.0
2020-05-24,108151.0,1837898.0
2020-05-25,111909.0,1862635.0
2020-05-26,115764.0,1889070.0
2020-05-27,119681.0,1914843.0
2020-05-28,124532.0,1940396.0
2020-05-29,129281.0,1968805.0
2020-05-30,135149.0,2001087.0
2020-05-31,141622.0,2029716.0
2020-06-01,146996.0,2053970.0
2020-06-02,152485.0,2082479.0
2020-06-03,157450.0,2110103.0
2020-06-04,162175.0,2136878.0
2020-06-05,169823.0,2165445.0
2020-06-06,177209.0,2197995.0
2020-06-07,183627.0,2226238.0
2020-06-08,189598.0,2253254.0
2020-06-09,196570.0,2280671.0
2020-06-10,203142.0,2307395.0
2020-06-11,209623.0,2336617.0
2020-06-12,216870.0,2367710.0
2020-06-13,225490.0,2401902.0
2020-06-14,233823.0,2433762.0
2020-06-15,243125.0,2458478.0
2020-06-16,251277.0,2487477.0
2020-06-17,258737.0,2520237.0
2020-06-18,267242.0,2555143.0
2020-06-19,275621.0,2592198.0
2020-06-20,285648.0,2631448.0
2020-06-21,296553.0,2673252.0
2020-06-22,306067.0,2704701.0
2020-06-23,315261.0,2746155.0
2020-06-24,324392.0,2790916.0
2020-06-25,335116.0,2834734.0
2020-06-26,347779.0,2885930.0
2020-06-27,359078.0,2940991.0
2020-06-28,371448.0,2991303.0
2020-06-29,382730.0,3036867.0
2020-06-30,393444.0,3089867.0
2020-07-01,405076.0,3145196.0
2020-07-02,418314.0,3208889.0
2020-07-03,432700.0,3274051.0
2020-07-04,447512.0,3340542.0
2020-07-05,463421.0,3394286.0
2020-07-06,478071.0,3451654.0
2020-07-07,492770.0,3514386.0
2020-07-08,509003.0,3583828.0
2020-07-09,523546.0,3654591.0
2020-07-10,542312.0,3729826.0
2020-07-11,559866.0,3808943.0
2020-07-12,578560.0,3880796.0
2020-07-13,595561.0,3946448.0
2020-07-14,611806.0,4018284.0
2020-07-15,626726.0,4100230.0
2020-07-16,644900.0,4182887.0
2020-07-17,664673.0,4273475.0
2020-07-18,683966.0,4358706.0
2020-07-19,703115.0,4435672.0
2020-07-20,721879.0,4507320.0
2020-07-21,737376.0,4578331.0
2020-07-22,750373.0,4664599.0
2020-07-23,769947.0,4747059.0
2020-07-24,789845.0,4824724.0
2020-07-25,810495.0,4917622.0
2020-07-26,828874.0,4994378.0
2020-07-27,847678.0,5060245.0
2020-07-28,860849.0,5129915.0
2020-07-29,873991.0,5203886.0
2020-07-30,892116.0,5293690.0
2020-07-31,909735.0,5375420.0
2020-08-01,926921.0,5455616.0
2020-08-02,945835.0,5524433.0
2020-08-03,957830.0,5579288.0
2020-08-04,969196.0,5636513.0
2020-08-05,978744.0,5707343.0
2020-08-06,994405.0,5773272.0
2020-08-07,1009083.0,5845236.0
2020-08-08,1022401.0,5916776.0
2020-08-09,1036267.0,5982075.0
2020-08-10,1048821.0,6036791.0
2020-08-11,1057649.0,6098532.0
2020-08-12,1065544.0,6157794.0
2020-08-13,1075073.0,6225917.0
2020-08-14,1085653.0,6289522.0
2020-08-15,1098342.0,6366803.0
2020-08-16,1109981.0,6424122.0
2020-08-17,1119579.0,6473154.0
2020-08-18,1128596.0,6519473.0
2020-08-19,1136444.0,6574951.0
2020-08-20,1147864.0,6634289.0
2020-08-21,1158613.0,6688834.0
2020-08-22,1168735.0,6750958.0
2020-08-23,1178743.0,6804004.0
2020-08-24,1188187.0,6845615.0
2020-08-25,1195952.0,6895809.0
2020-08-26,1203829.0,6945047.0
2020-08-27,1212699.0,7000116.0
2020-08-28,1221212.0,7058447.0
2020-08-29,1229174.0,7120576.0
2020-08-30,1237805.0,7173326.0
2020-08-31,1246185.0,7214118.0
2020-09-01,1253066.0,7260394.0
2020-09-02,1260585.0,7316875.0
2020-09-03,1268832.0,7367889.0
2020-09-04,1276548.0,7415913.0
2020-09-05,1284907.0,7477226.0
2020-09-06,1292113.0,7530573.0
2020-09-07,1300143.0,7565776.0
2020-09-08,1307360.0,7600860.0
2020-09-09,1314613.0,7640407.0
2020-09-10,1323129.0,7683557.0
2020-09-11,1331098.0,7732174.0
2020-09-12,1339806.0,7790627.0
2020-09-13,1347353.0,7840641.0
2020-09-14,1354027.0,7879727.0
2020-09-15,1360366.0,7926683.0
2020-09-16,1366884.0,7986776.0
2020-09-17,1374374.0,8019680.0
2020-09-18,1383125.0,8074869.0
2020-09-19,1391241.0,8137354.0
2020-09-20,1400609.0,8187536.0
2020-09-21,1408440.0,8233427.0
2020-09-22,1414596.0,8299316.0
2020-09-23,1421375.0,8348912.0
2020-09-24,1429911.0,8397806.0
2020-09-25,1438186.0,8454018.0
2020-09-26,1446132.0,8521367.0
2020-09-27,1453454.0,8575131.0
2020-09-28,1461036.0,8617802.0
2020-09-29,1466884.0,8663849.0
2020-09-30,1474321.0,8719121.0
2020-10-01,1482711.0,8772854.0
2020-10-02,1489809.0,8828853.0
2020-10-03,1498661.0,8894148.0
2020-10-04,1507625.0,8953973.0
2020-10-05,1516906.0,8995829.0
2020-10-06,1521484.0,9049495.0
2020-10-07,1528213.0,9104603.0
2020-10-08,1538717.0,9164314.0
2020-10-09,1548475.0,9233583.0
