date,CHN,IDN,IND,JPN,KOR,MYS,SGP,TWN
1/26/20,56,,,,,,,
1/27/20,82,,,,,,,
1/28/20,131,,,,,,,
1/29/20,133,,,,,,,
1/30/20,171,,,,,,,
1/31/20,213,,,,,,,
2/1/20,259,,,,,,,
2/2/20,361,,,,,,,
2/3/20,425,,,,,,,
2/4/20,491,,,,,,,
2/5/20,563,,,,,,,
2/6/20,633,,,,,,,
2/7/20,718,,,,,,,
2/8/20,805,,,,,,,
2/9/20,905,,,,,,,
2/10/20,1012,,,,,,,
2/11/20,1112,,,,,,,
2/12/20,1117,,,,,,,
2/13/20,1369,,,1,,,,
2/14/20,1521,,,1,,,,
2/15/20,1663,,,1,,,,
2/16/20,1766,,,1,,,,1
2/17/20,1864,,,1,,,,1
2/18/20,2003,,,2,,,,1
2/19/20,2116,,,2,,,,1
2/20/20,2238,,,2,1,,,1
2/21/20,2238,,,2,2,,,1
2/22/20,2443,,,2,2,,,1
2/23/20,2445,,,2,6,,,1
2/24/20,2595,,,2,8,,,1
2/25/20,2665,,,3,10,,,1
2/26/20,2717,,,3,12,,,1
2/27/20,2746,,,4,13,,,1
2/28/20,2790,,,5,13,,,1
2/29/20,2837,,,6,16,,,1
3/1/20,2872,,,6,17,,,1
3/2/20,2914,,,6,28,,,1
3/3/20,2947,,,6,28,,,1
3/4/20,2983,,,7,35,,,1
3/5/20,3015,,,7,35,,,1
3/6/20,3044,,,7,42,,,1
3/7/20,3072,,,7,44,,,1
3/8/20,3100,,,8,50,,,1
3/9/20,3123,,,10,53,,,1
3/10/20,3139,,,13,54,,,1
3/11/20,3161,1,1,15,60,,,1
3/12/20,3172,1,1,19,66,,,1
3/13/20,3180,4,2,21,66,,,1
3/14/20,3193,5,2,22,72,,,1
3/15/20,3203,5,2,24,75,,,1
3/16/20,3217,5,2,30,75,,,1
3/17/20,3230,5,3,30,81,2,,1
3/18/20,3241,19,3,32,84,2,,1
3/19/20,3249,25,4,33,91,2,,1
3/20/20,3253,32,5,34,94,3,,2
3/21/20,3259,38,4,36,102,4,2,2
3/22/20,3274,48,7,40,111,10,2,2
3/23/20,3274,49,10,41,111,14,2,2
3/24/20,3281,55,10,42,120,16,2,2
3/25/20,3285,58,12,45,126,20,2,2
3/26/20,3291,78,20,47,131,23,2,2
3/27/20,3296,87,20,53,139,26,2,2
3/28/20,3299,102,24,56,144,27,2,2
3/29/20,3304,114,27,63,152,35,3,2
3/30/20,3308,122,32,65,158,37,3,5
3/31/20,3309,136,35,67,162,43,3,5
4/1/20,3316,157,58,72,165,45,3,5
4/2/20,3322,170,72,75,169,50,4,5
4/3/20,3326,181,72,81,174,53,5,5
4/4/20,3330,191,86,87,177,57,6,5
4/5/20,3333,198,99,93,183,61,6,5
4/6/20,3335,209,136,96,186,62,6,5
4/7/20,3335,221,150,98,192,63,6,5
4/8/20,3337,240,178,105,200,65,6,5
4/9/20,3339,280,226,113,204,67,6,5
4/10/20,3340,306,246,125,208,70,7,6
4/11/20,3343,327,288,138,211,73,8,6
4/12/20,3343,373,331,147,214,76,8,6
4/13/20,3345,399,358,156,217,77,9,6
4/14/20,3345,459,393,170,222,82,10,6
4/15/20,3346,469,405,186,225,83,10,6
4/16/20,3346,496,448,204,229,84,10,6
4/17/20,4636,520,486,217,230,86,11,6
4/18/20,4636,535,521,236,232,88,11,6
4/19/20,4636,582,559,255,234,89,11,6
4/20/20,4636,590,592,275,236,89,11,6
4/21/20,4636,616,645,303,237,92,11,6
4/22/20,4636,635,681,323,238,93,12,6
4/23/20,4636,647,721,351,240,95,12,6
4/24/20,4636,689,780,360,240,96,12,6
4/25/20,4636,720,825,379,242,98,12,6
4/26/20,4637,743,881,395,243,98,12,6
4/27/20,4637,765,939,417,244,99,14,6
4/28/20,4637,773,1008,436,246,100,14,6
4/29/20,4637,784,1079,454,247,100,14,6
4/30/20,4637,792,1154,481,248,102,15,6
5/1/20,4637,800,1223,510,250,103,16,6
5/2/20,4637,831,1323,536,250,103,17,6
5/3/20,4637,845,1391,560,252,105,18,6
5/4/20,4637,864,1566,582,254,105,18,6
5/5/20,4637,872,1693,593,255,106,18,6
5/6/20,4637,895,1785,605,256,107,20,6
5/7/20,4637,930,1889,617,256,107,20,6
5/8/20,4637,943,1985,634,256,107,20,6
5/9/20,4637,959,2101,654,256,108,20,6
5/10/20,4637,973,2212,666,256,108,20,6
5/11/20,4637,991,2294,685,258,109,21,7
5/12/20,4637,1007,2415,707,259,109,21,7
5/13/20,4637,1028,2551,726,260,111,21,7
5/14/20,4637,1043,2649,742,260,112,21,7
5/15/20,4637,1076,2753,760,262,112,21,7
5/16/20,4638,1089,2871,778,262,113,22,7
5/17/20,4638,1148,3025,787,263,113,22,7
5/18/20,4638,1191,3156,796,263,113,22,7
5/19/20,4638,1221,3302,805,263,114,22,7
5/20/20,4638,1242,3434,818,264,114,22,7
5/21/20,4638,1278,3584,826,264,114,23,7
5/22/20,4638,1326,3726,836,266,115,23,7
5/23/20,4638,1351,3868,845,266,115,23,7
5/24/20,4638,1372,4024,852,267,115,23,7
5/25/20,4638,1391,4172,857,269,115,23,7
5/26/20,4638,1418,4344,863,269,115,23,7
5/27/20,4638,1473,4534,870,269,115,23,7
5/28/20,4638,1496,4711,881,269,115,23,7
5/29/20,4638,1520,4980,887,269,115,23,7
5/30/20,4638,1573,5185,894,270,115,23,7
5/31/20,4638,1613,5408,898,271,115,23,7
6/1/20,4638,1641,5608,899,272,115,24,7
6/2/20,4638,1663,5829,902,273,115,24,7
6/3/20,4638,1698,6088,905,273,115,24,7
6/4/20,4638,1721,6363,911,273,115,24,7
6/5/20,4638,1770,6649,916,273,116,24,7
6/6/20,4638,1801,6946,915,273,117,25,7
6/7/20,4638,1851,7207,917,273,117,25,7
6/8/20,4638,1883,7473,920,274,117,25,7
6/9/20,4638,1923,7750,920,276,117,25,7
6/10/20,4638,1959,8102,922,276,118,25,7
6/11/20,4638,2000,8498,922,277,118,25,7
6/12/20,4638,2048,8884,924,277,119,25,7
6/13/20,4638,2091,9195,927,277,120,26,7
6/14/20,4638,2134,9520,927,277,121,26,7
6/15/20,4638,2198,9900,929,278,121,26,7
6/16/20,4638,2231,11903,934,279,121,26,7
6/17/20,4638,2276,12237,935,280,121,26,7
6/18/20,4638,2339,12573,935,280,121,26,7
6/19/20,4638,2373,12948,951,280,121,26,7
6/20/20,4639,2429,13254,955,280,121,26,7
6/21/20,4639,2465,13699,955,280,121,26,7
6/22/20,4639,2500,14011,955,281,121,26,7
6/23/20,4640,2535,14476,965,281,121,26,7
6/24/20,4640,2573,14894,967,282,121,26,7
6/25/20,4641,2620,15301,971,282,121,26,7
6/26/20,4641,2683,15685,971,282,121,26,7
6/27/20,4641,2720,16095,971,282,121,26,7
