date,CHN,IDN,IND,JPN,KOR,MYS,SGP,TWN
2020-01-26,56.0,,,,,,,
2020-01-27,82.0,,,,,,,
2020-01-28,131.0,,,,,,,
2020-01-29,133.0,,,,,,,
2020-01-30,171.0,,,,,,,
2020-01-31,213.0,,,,,,,
2020-02-01,259.0,,,,,,,
2020-02-02,361.0,,,,,,,
2020-02-03,425.0,,,,,,,
2020-02-04,491.0,,,,,,,
2020-02-05,563.0,,,,,,,
2020-02-06,633.0,,,,,,,
2020-02-07,718.0,,,,,,,
2020-02-08,805.0,,,,,,,
2020-02-09,905.0,,,,,,,
2020-02-10,1012.0,,,,,,,
2020-02-11,1112.0,,,,,,,
2020-02-12,1117.0,,,,,,,
2020-02-13,1369.0,,,1.0,,,,
2020-02-14,1521.0,,,1.0,,,,
2020-02-15,1663.0,,,1.0,,,,
2020-02-16,1766.0,,,1.0,,,,1.0
2020-02-17,1864.0,,,1.0,,,,1.0
2020-02-18,2003.0,,,2.0,,,,1.0
2020-02-19,2116.0,,,2.0,,,,1.0
2020-02-20,2238.0,,,2.0,1.0,,,1.0
2020-02-21,2238.0,,,2.0,2.0,,,1.0
2020-02-22,2443.0,,,2.0,2.0,,,1.0
2020-02-23,2445.0,,,2.0,6.0,,,1.0
2020-02-24,2595.0,,,2.0,8.0,,,1.0
2020-02-25,2665.0,,,3.0,10.0,,,1.0
2020-02-26,2717.0,,,3.0,12.0,,,1.0
2020-02-27,2746.0,,,4.0,13.0,,,1.0
2020-02-28,2790.0,,,5.0,13.0,,,1.0
2020-02-29,2837.0,,,6.0,16.0,,,1.0
2020-03-01,2872.0,,,6.0,17.0,,,1.0
2020-03-02,2914.0,,,6.0,28.0,,,1.0
2020-03-03,2947.0,,,6.0,28.0,,,1.0
2020-03-04,2983.0,,,7.0,35.0,,,1.0
2020-03-05,3015.0,,,7.0,35.0,,,1.0
2020-03-06,3044.0,,,7.0,42.0,,,1.0
2020-03-07,3072.0,,,7.0,44.0,,,1.0
2020-03-08,3100.0,,,8.0,50.0,,,1.0
2020-03-09,3123.0,,,10.0,53.0,,,1.0
2020-03-10,3139.0,,,13.0,54.0,,,1.0
2020-03-11,3161.0,1.0,1.0,15.0,60.0,,,1.0
2020-03-12,3172.0,1.0,1.0,19.0,66.0,,,1.0
2020-03-13,3180.0,4.0,2.0,21.0,66.0,,,1.0
2020-03-14,3193.0,5.0,2.0,22.0,72.0,,,1.0
2020-03-15,3203.0,5.0,2.0,24.0,75.0,,,1.0
2020-03-16,3217.0,5.0,2.0,30.0,75.0,,,1.0
2020-03-17,3230.0,5.0,3.0,30.0,81.0,2.0,,1.0
2020-03-18,3241.0,19.0,3.0,32.0,84.0,2.0,,1.0
2020-03-19,3249.0,25.0,4.0,33.0,91.0,2.0,,1.0
2020-03-20,3253.0,32.0,5.0,34.0,94.0,3.0,,2.0
2020-03-21,3259.0,38.0,4.0,36.0,102.0,4.0,2.0,2.0
2020-03-22,3274.0,48.0,7.0,40.0,111.0,10.0,2.0,2.0
2020-03-23,3274.0,49.0,10.0,41.0,111.0,14.0,2.0,2.0
2020-03-24,3281.0,55.0,10.0,42.0,120.0,16.0,2.0,2.0
2020-03-25,3285.0,58.0,12.0,45.0,126.0,20.0,2.0,2.0
2020-03-26,3291.0,78.0,20.0,47.0,131.0,23.0,2.0,2.0
2020-03-27,3296.0,87.0,20.0,53.0,139.0,26.0,2.0,2.0
2020-03-28,3299.0,102.0,24.0,56.0,144.0,27.0,2.0,2.0
2020-03-29,3304.0,114.0,27.0,63.0,152.0,35.0,3.0,2.0
2020-03-30,3308.0,122.0,32.0,65.0,158.0,37.0,3.0,5.0
2020-03-31,3309.0,136.0,35.0,67.0,162.0,43.0,3.0,5.0
2020-04-01,3316.0,157.0,58.0,72.0,165.0,45.0,3.0,5.0
2020-04-02,3322.0,170.0,72.0,75.0,169.0,50.0,4.0,5.0
2020-04-03,3326.0,181.0,72.0,81.0,174.0,53.0,5.0,5.0
2020-04-04,3330.0,191.0,86.0,87.0,177.0,57.0,6.0,5.0
2020-04-05,3333.0,198.0,99.0,93.0,183.0,61.0,6.0,5.0
2020-04-06,3335.0,209.0,136.0,96.0,186.0,62.0,6.0,5.0
2020-04-07,3335.0,221.0,150.0,98.0,192.0,63.0,6.0,5.0
2020-04-08,3337.0,240.0,178.0,105.0,200.0,65.0,6.0,5.0
2020-04-09,3339.0,280.0,226.0,113.0,204.0,67.0,6.0,5.0
2020-04-10,3340.0,306.0,246.0,125.0,208.0,70.0,7.0,6.0
