date,Wisconsin,Michigan,Pennsylvania,Ohio,Iowa,North Carolina,Georgia,Florida,Texas,Arizona
3/26/20,754,2877,1690,867,179,639,1641,2478,1542,508
3/27/20,930,3655,2217,1144,236,784,2198,3198,1971,665
3/28/20,1042,4634,2815,1406,298,972,2447,4038,2381,773
3/29/20,1120,5486,3441,1665,336,1166,2683,4943,2722,930
3/30/20,1269,6508,4156,1933,424,1303,3032,5695,3065,1169
3/31/20,1351,7629,4997,2199,498,1527,4116,6742,3588,1298
4/1/20,1552,9292,5805,2548,549,1591,4747,7769,4402,1413
4/2/20,1730,10791,7021,2903,614,1858,5444,9000,4952,1600
4/3/20,1916,12669,8420,3312,699,2093,5967,10260,5773,1769
4/4/20,2112,14225,10110,3739,786,2402,6383,11537,6566,2019
4/5/20,2267,15633,11590,4043,868,2585,6742,12342,7117,2269
4/6/20,2440,17129,13075,4450,946,2870,7558,13621,8150,2466
4/7/20,2578,18851,14582,4783,1048,3220,9156,14739,8968,2577
4/8/20,2756,20220,16414,5149,1145,3423,10204,15690,9897,2726
4/9/20,2885,21375,18379,5513,1270,3651,10885,16819,11372,3018
4/10/20,3068,22646,20128,5879,1388,3906,11859,17960,12291,3112
4/11/20,3213,23855,21774,6251,1510,4310,12261,18978,13208,3393
4/12/20,3341,24496,22955,6605,1587,4520,12103,19855,13776,3539
4/13/20,3428,25490,24295,6975,1710,4788,13125,21011,14487,3702
4/14/20,3555,26845,25591,7280,1899,4992,13913,21620,15303,3806
4/15/20,3721,27894,26804,7791,1995,5123,14583,22526,16106,3962
4/16/20,3875,29120,28314,8414,2141,5463,15644,23332,16928,4234
4/17/20,4045,29954,30121,9107,2332,5859,16658,24745,18131,4507
4/18/20,4199,30718,31742,10222,2513,6140,17014,25484,18927,4719
4/19/20,4346,31349,32992,11602,2915,6493,17619,26306,19441,4929
4/20/20,4564,31929,34005,12919,3175,6764,18447,27050,20035,5064
4/21/20,4691,32936,35384,13725,3641,6951,19189,27861,20949,5251
4/22/20,4915,33973,36763,14117,3764,7220,20099,28301,21769,5459
4/23/20,5125,35253,38334,14694,3939,7608,20905,29640,22706,5769
4/24/20,5431,36628,40298,15169,4459,8052,21575,30525,23650,6045
4/25/20,5762,37302,41626,15587,5109,8548,22225,30831,24494,6280
4/26/20,5986,38003,42709,15963,5490,8830,22459,31520,25209,6526
4/27/20,6164,38457,43728,16325,5868,9035,23229,32130,25963,6716
4/28/20,6389,39469,45323,16769,6376,9568,23607,32838,26868,6948
4/29/20,6621,40443,46191,17303,6843,9947,24300,33185,27839,7202
4/30/20,6973,41348,48224,18027,7145,10507,25431,33683,29072,7648
5/1/20,7439,42348,49764,18743,7883,10922,26436,34720,30342,7962
5/2/20,7785,43191,51071,19335,8641,11514,27268,35455,31433,8364
5/3/20,8089,43803,52079,19914,9169,11668,27618,36070,32299,8640
5/4/20,8362,43996,52992,20474,9703,11871,28350,36889,33134,8919
5/5/20,8696,44391,53967,20969,10111,12283,28876,37431,34286,9305
5/6/20,9052,45079,54989,21576,10404,12783,29724,37994,35441,9707
5/7/20,9369,45643,56149,22131,11059,13431,30524,38820,36682,9945
5/8/20,9750,46319,57501,23018,11457,13879,31089,39191,37943,10526
5/9/20,10099,46735,58661,23697,11671,14387,31481,39993,38849,10960
5/10/20,10379,47116,60037,24086,11959,14783,32267,40588,40037,11119
5/11/20,10581,47526,60557,24785,12373,15069,32448,40974,40988,11380
5/12/20,10781,47946,61407,25257,12912,15402,33311,41915,42348,11736
5/13/20,11071,48307,62194,25727,13289,15850,33866,42394,43822,12176
5/14/20,11449,49489,63158,26363,13675,16593,34422,43202,45169,12674
5/15/20,12037,49982,64178,26956,14049,17190,35242,44130,46987,13169
5/16/20,12551,50416,65228,27476,14328,18009,35655,44803,47866,13631
5/17/20,12754,51054,65745,27925,14651,18537,35954,45580,48828,13937
5/18/20,12912,51853,66676,28455,14955,19121,36634,46434,49788,14170
5/19/20,13200,52337,67404,28953,15296,19762,37214,46936,51080,14566
5/20/20,13779,52988,68151,29437,15868,20221,38162,47463,52369,14897
5/21/20,14172,53468,69252,30168,16170,20934,38969,48667,53441,15315
5/22/20,14768,53865,70305,30795,16510,21661,39734,49443,54369,15608
5/23/20,15196,54304,71102,31408,16898,22731,40408,50119,55451,16040
5/24/20,15573,54616,71656,31911,17434,23231,40989,50859,56050,16339
5/25/20,15857,54816,72356,32477,17628,23997,41414,51738,56490,16561
5/26/20,16141,55040,72873,33006,17999,24188,42066,52247,57573,16783
5/27/20,16786,55544,73646,33439,18446,24787,42713,52626,59105,17262
5/28/20,17476,55944,74312,33915,18672,25616,43363,53277,60820,17763
5/29/20,18050,56589,75073,34566,19019,26735,43888,54489,62073,18465
5/30/20,18515,56848,75789,35034,19336,27761,44336,55416,63396,19255
5/31/20,18684,57355,76218,35513,19621,28686,45051,56155,64974,19936
6/1/20,18825,58435,76734,35984,19789,29368,45757,56822,66081,20123
6/2/20,19223,58680,77315,36350,20017,30052,46063,57439,67966,21250
6/3/20,19896,58990,77871,36792,20376,31013,46711,58756,69546,22245
6/4/20,20359,59215,78428,37282,20943,32276,47528,60175,71330,22818
6/5/20,20723,63744,78908,37758,21332,33417,48280,61480,73323,24369
6/6/20,20997,64196,79507,38111,21527,34809,48943,62750,75077,25517
6/7/20,21246,64615,80001,38476,21794,35663,49371,63930,75948,26924
6/8/20,21463,64911,80432,38837,22111,36581,49995,64896,77326,27761
6/9/20,21738,65190,80964,39162,22271,37393,50769,65992,79271,28396
6/10/20,24091,65377,81410,39575,22733,38305,51465,67363,81771,29981
6/11/20,24411,65627,81944,40004,23103,39735,52332,69061,83772,31525
6/12/20,24733,65881,82578,40424,23455,41467,53201,70963,86031,33167
6/13/20,25026,66024,82988,40848,23792,42911,54178,73544,88120,34773
6/14/20,25307,66246,83301,41148,23959,44199,54874,75560,89542,35953
6/15/20,25530,66302,83687,41576,24110,45257,55505,77318,91726,37005
6/16/20,25829,66466,84077,42010,24263,46105,56302,80101,95973,39298
6/17/20,26167,66694,84387,42422,24616,47142,57217,82711,99466,41159
6/18/20,26611,66980,84780,43122,24959,48426,58040,85918,102677,43731
6/19/20,26913,67300,85288,43731,25424,50014,59117,89740,107322,46914
6/20/20,27314,67721,85678,44262,25552,51640,60669,93789,111594,50198
6/21/20,27598,67873,86024,44808,26020,52854,61493,97283,114886,52666
6/22/20,27849,68144,86666,45537,26217,53840,62705,100209,119646,54767
6/23/20,28187,68373,87283,46127,26470,54826,64577,103495,124726,58397
6/24/20,28652,68711,87775,46759,26897,56263,66290,109006,131310,60207
6/25/20,29204,69159,88230,47651,27384,57540,67796,114010,136783,63297
6/26/20,29718,69473,88950,48638,27828,59257,69542,122952,142582,66676
6/27/20,30235,69802,89400,49455,28203,60709,71066,132537,148639,70152
6/28/20,30716,70042,89785,50309,28520,62178,72800,141067,152866,73961
6/29/20,31103,70356,90553,51046,28874,63692,74816,146333,158756,74602
6/30/20,31723,70850,91226,51789,29152,65064,77280,152426,166703,79399
7/1/20,32307,71279,91864,52865,29618,66815,79589,158989,174826,84152
7/2/20,32876,71853,92703,54166,30259,68512,82475,169098,182260,87495
7/3/20,33565,72306,93418,55257,30631,70451,85079,178586,190049,91894
7/4/20,34243,72702,93922,56183,31167,71735,87592,190044,195707,94616
7/5/20,34750,73027,94403,57151,31612,73096,89489,200103,200137,98126
7/6/20,35318,73403,95187,57956,31764,74933,91015,206439,209350,101542
7/7/20,35834,74011,95986,58904,32153,76188,93707,213786,219164,105159
7/8/20,36526,74660,96817,60181,32716,77661,96538,223775,229116,108710
7/9/20,37358,75247,97634,61331,33316,79564,98693,232710,240025,112783
7/10/20,38414,75871,98574,62856,34232,81737,103597,244143,249948,116947
7/11/20,39095,76499,99252,64214,34695,83996,106574,254503,258280,119991
7/12/20,39901,76936,99794,65592,35410,85831,108389,269803,264811,122479
7/13/20,40603,77354,100378,66853,35631,87653,111937,282427,273732,123917
7/14/20,41516,78045,101360,67995,35942,89767,114579,291621,284638,128126
7/15/20,42409,79081,102361,69311,36536,91573,118147,301802,296478,131411
7/16/20,43361,79977,103169,70601,37414,93657,120848,315767,311516,134730
7/17/20,44243,80752,104172,72280,37903,95633,124267,327233,321254,138575
7/18/20,45118,81384,104780,73822,38314,98067,128341,337561,330059,141333
7/19/20,45953,81935,105384,74932,38813,99841,130794,350039,338036,143644
7/20/20,46754,82486,106498,76168,39343,101176,132788,360386,345672,145320
7/21/20,47893,83184,107460,77215,39721,103047,135865,369826,355594,148730
7/22/20,48777,83891,108267,78742,40208,105138,139120,379611,366561,150659
7/23/20,49751,84585,109153,80186,40796,107050,143857,389860,376104,153029
7/24/20,50895,85238,110342,81746,41434,109206,147732,402304,383662,156392
7/25/20,51735,85665,111121,83184,41886,111282,151262,414503,391609,160055
7/26/20,52685,86750,111773,84073,42357,112802,153476,423847,395738,162041
7/27/20,53323,87329,112995,85177,42696,114612,155907,432739,402295,163918
7/28/20,54114,88025,114129,86497,42928,116300,160038,441969,412849,165994
7/29/20,55119,89026,114984,87893,43623,118027,163547,451415,421891,168361
7/30/20,56111,89926,115853,89626,44285,120391,167545,461371,432134,170905
7/31/20,57020,90752,116787,91159,44753,122370,171342,470378,443090,174108
8/1/20,58064,91450,117468,92087,45293,124015,174834,480020,448224,177019
8/2/20,58990,91857,118038,93031,45723,125281,177556,487124,454759,178473
8/3/20,59471,92503,118937,93963,45905,126748,179510,491876,463541,179506
8/4/20,60263,93293,119765,95106,46231,128236,182462,497322,473105,180537
8/5/20,61247,94045,120492,96305,46836,129454,186395,502731,482467,182230
8/6/20,62139,94819,121294,97471,47559,131478,189300,510381,490102,183744
