date,Wisconsin,Michigan,Pennsylvania,Ohio,Iowa,North Carolina,Georgia,Florida,Texas,Arizona
3/26/20,10,63,16,15,1,2,56,29,21,8
3/27/20,16,93,23,22,3,3,64,46,25,15
3/28/20,17,112,35,25,3,4,79,56,30,15
3/29/20,17,132,40,30,4,6,83,60,35,18
3/30/20,20,197,48,40,6,6,103,72,46,20
3/31/20,25,264,72,55,7,10,126,85,57,24
4/1/20,33,336,78,65,9,11,154,100,65,29
4/2/20,37,417,91,81,11,17,176,144,80,35
4/3/20,50,478,102,91,11,23,198,169,98,41
4/4/20,60,541,140,102,11,30,208,194,124,53
4/5/20,73,617,159,119,22,37,219,220,136,64
4/6/20,83,727,170,142,25,42,294,253,159,67
4/7/20,94,845,241,167,26,50,348,295,177,77
4/8/20,107,959,313,193,27,61,370,322,195,80
4/9/20,116,1076,344,213,27,74,412,370,228,89
4/10/20,131,1280,435,231,31,78,425,418,249,97
4/11/20,141,1395,515,247,34,86,432,445,265,112
4/12/20,145,1488,525,253,41,86,438,460,288,117
4/13/20,155,1603,563,274,44,91,479,498,320,122
4/14/20,172,1767,746,324,44,116,517,570,365,131
4/15/20,184,1920,833,361,53,128,569,613,395,142
4/16/20,197,2092,940,389,60,140,611,667,428,152
4/17/20,205,2227,1027,418,64,159,661,725,461,174
4/18/20,212,2307,1150,451,74,175,670,747,487,181
4/19/20,222,2389,1285,471,75,183,682,773,503,188
4/20/20,231,2466,1366,509,79,187,767,822,523,191
4/21/20,243,2698,1620,557,83,217,810,866,552,213
4/22/20,247,2813,1720,610,90,242,837,926,571,236
4/23/20,257,2977,1723,656,96,253,871,986,601,257
4/24/20,262,3084,1786,690,107,270,889,1045,625,268
4/25/20,266,3273,1842,711,112,304,897,1054,662,275
4/26/20,274,3314,1871,728,118,309,907,1073,676,277
4/27/20,281,3406,1946,753,127,331,981,1087,699,277
4/28/20,300,3566,2092,799,136,353,1022,1170,738,297
4/29/20,308,3670,2392,937,148,366,1086,1216,776,308
4/30/20,316,3788,2580,975,162,385,1121,1267,828,320
5/1/20,327,3866,2671,1002,170,405,1153,1313,853,330
5/2/20,334,4020,2794,1021,175,428,1161,1363,875,353
5/3/20,339,4049,2843,1038,184,436,1168,1378,890,362
5/4/20,340,4135,2880,1056,188,454,1228,1398,914,362
5/5/20,353,4179,3206,1135,207,477,1277,1470,955,395
5/6/20,362,4250,3360,1225,219,497,1309,1538,985,426
5/7/20,374,4343,3599,1271,231,521,1332,1599,1016,450
5/8/20,384,4393,3724,1306,243,537,1378,1668,1059,517
5/9/20,398,4526,3793,1331,252,554,1380,1714,1086,532
5/10/20,400,4551,3819,1341,265,561,1383,1720,1110,536
5/11/20,409,4584,3846,1357,271,571,1420,1734,1137,542
5/12/20,418,4674,3924,1436,289,597,1470,1778,1169,562
5/13/20,421,4714,4104,1483,306,615,1494,1826,1205,594
5/14/20,434,4787,4298,1534,318,632,1521,1874,1256,624
5/15/20,445,4825,4432,1581,336,660,1563,1916,1300,651
5/16/20,453,4880,4490,1610,346,671,1573,1963,1330,679
5/17/20,453,4891,4504,1625,351,679,1584,1972,1356,680
5/18/20,459,4915,4560,1657,355,684,1624,1996,1362,686
5/19/20,467,5017,4675,1720,367,711,1650,2051,1405,704
5/20/20,481,5060,4794,1781,400,721,1672,2095,1443,747
5/21/20,487,5129,4887,1836,414,734,1749,2143,1480,763
5/22/20,496,5158,5032,1872,441,754,1779,2189,1498,775
5/23/20,507,5223,5121,1956,446,763,1794,2232,1522,799
5/24/20,510,5228,5145,1969,456,771,1799,2236,1533,800
5/25/20,514,5240,5159,1987,460,780,1820,2251,1536,806
5/26/20,517,5266,5175,2002,480,789,1867,2258,1552,807
5/27/20,539,5334,5290,2044,496,827,1904,2318,1598,831
5/28/20,550,5372,5397,2098,510,859,1942,2363,1618,857
5/29/20,569,5406,5467,2131,525,888,1953,2412,1645,885
5/30/20,588,5463,5537,2149,531,903,1973,2446,1676,903
5/31/20,594,5491,5555,2155,537,911,2019,2450,1683,906
6/1/20,597,5525,5574,2206,558,923,2057,2459,1695,918
6/2/20,610,5562,5670,2258,564,950,2070,2529,1732,943
6/3/20,618,5579,5742,2299,574,971,2092,2565,1766,983
6/4/20,627,5604,5862,2339,590,993,2116,2606,1793,1000
6/5/20,634,5854,5952,2355,597,1001,2143,2659,1821,1016
6/6/20,646,5894,5986,2370,602,1020,2147,2687,1840,1046
6/7/20,648,5898,5997,2377,606,1024,2148,2699,1846,1048
6/8/20,650,5916,6007,2404,623,1041,2176,2711,1856,1052
6/9/20,662,5946,6070,2421,629,1069,2250,2764,1886,1074
6/10/20,679,5958,6143,2457,638,1096,2292,2800,1916,1100
6/11/20,691,5985,6187,2490,641,1114,2337,2847,1942,1130
6/12/20,698,5994,6229,2508,650,1128,2384,2876,1965,1157
6/13/20,700,6017,6264,2554,651,1135,2411,2924,1989,1190
