date,Alameda,Contra Costa,Marin,San Francisco,San Mateo,Santa Clara,sums
2020-03-26,199.0,131.0,65.0,226.0,195.0,542.0,1358.0
2020-03-27,241.0,151.0,69.0,282.0,239.0,574.0,1556.0
2020-03-28,277.0,168.0,74.0,308.0,274.0,591.0,1692.0
2020-03-29,291.0,175.0,93.0,343.0,277.0,646.0,1825.0
2020-03-30,304.0,187.0,99.0,374.0,309.0,848.0,2121.0
2020-03-31,334.0,222.0,102.0,400.0,309.0,890.0,2257.0
2020-04-01,380.0,250.0,108.0,437.0,388.0,956.0,2519.0
2020-04-02,417.0,276.0,118.0,450.0,453.0,1019.0,2733.0
2020-04-03,464.0,307.0,131.0,500.0,486.0,1094.0,2982.0
2020-04-04,464.0,353.0,137.0,529.0,538.0,1148.0,3169.0
2020-04-05,587.0,386.0,141.0,571.0,555.0,1207.0,3447.0
2020-04-06,609.0,417.0,143.0,586.0,579.0,1224.0,3558.0
2020-04-07,655.0,442.0,148.0,622.0,589.0,1285.0,3741.0
2020-04-08,695.0,462.0,149.0,679.0,617.0,1380.0,3982.0
2020-04-09,734.0,484.0,154.0,727.0,633.0,1442.0,4174.0
2020-04-10,766.0,511.0,154.0,800.0,638.0,1484.0,4353.0
2020-04-11,827.0,530.0,153.0,860.0,652.0,1566.0,4588.0
2020-04-12,864.0,539.0,164.0,875.0,652.0,1621.0,4715.0
2020-04-13,907.0,552.0,170.0,960.0,701.0,1666.0,4956.0
2020-04-14,908.0,600.0,171.0,990.0,747.0,1666.0,5082.0
2020-04-15,983.0,615.0,184.0,1016.0,767.0,1793.0,5358.0
2020-04-16,1069.0,631.0,187.0,1022.0,767.0,1833.0,5509.0
2020-04-17,1084.0,648.0,187.0,1061.0,797.0,1870.0,5647.0
2020-04-18,1135.0,685.0,189.0,1140.0,838.0,1870.0,5857.0
2020-04-19,1185.0,693.0,195.0,1160.0,838.0,1870.0,5941.0
2020-04-20,1212.0,707.0,199.0,1219.0,920.0,1922.0,6179.0
2020-04-21,1260.0,749.0,200.0,1234.0,935.0,1946.0,6324.0
2020-04-22,1260.0,763.0,203.0,1236.0,958.0,1962.0,6382.0
2020-04-23,1350.0,772.0,209.0,1305.0,966.0,1987.0,6589.0
2020-04-24,1422.0,786.0,212.0,1343.0,989.0,2018.0,6770.0
2020-04-25,1458.0,805.0,223.0,1357.0,1019.0,2040.0,6902.0
2020-04-26,1489.0,817.0,224.0,1411.0,1019.0,2084.0,7044.0
2020-04-27,1519.0,830.0,225.0,1427.0,1080.0,2105.0,7186.0
2020-04-28,1554.0,843.0,227.0,1471.0,1099.0,2122.0,7316.0
2020-04-29,1589.0,866.0,235.0,1490.0,1136.0,2134.0,7450.0
2020-04-30,1624.0,891.0,237.0,1502.0,1177.0,2163.0,7594.0
2020-05-01,1657.0,907.0,240.0,1526.0,1197.0,2179.0,7706.0
2020-05-02,1726.0,934.0,242.0,1552.0,1233.0,2204.0,7891.0
2020-05-03,1770.0,945.0,243.0,1632.0,1272.0,2231.0,8093.0
2020-05-04,1797.0,947.0,243.0,1692.0,1281.0,2244.0,8204.0
2020-05-05,1830.0,969.0,244.0,1760.0,1315.0,2255.0,8373.0
2020-05-06,1884.0,985.0,244.0,1779.0,1341.0,2268.0,8501.0
2020-05-07,1938.0,999.0,244.0,1806.0,1377.0,2281.0,8645.0
2020-05-08,1982.0,1014.0,252.0,1856.0,1398.0,2290.0,8792.0
2020-05-09,2044.0,1036.0,257.0,1894.0,1425.0,2307.0,8963.0
2020-05-10,2085.0,1048.0,261.0,1946.0,1453.0,2339.0,9132.0
2020-05-11,2122.0,1048.0,267.0,1957.0,1464.0,2341.0,9199.0
2020-05-12,2154.0,1066.0,271.0,1980.0,1499.0,2364.0,9334.0
2020-05-13,2199.0,1080.0,274.0,1997.0,1533.0,2364.0,9447.0
2020-05-14,2202.0,1089.0,278.0,2007.0,1550.0,2391.0,9517.0
2020-05-15,2321.0,1100.0,283.0,2032.0,1588.0,2403.0,9727.0
2020-05-16,2372.0,1121.0,299.0,2065.0,1612.0,2418.0,9887.0
2020-05-17,2413.0,1146.0,317.0,2097.0,1652.0,2453.0,10078.0
2020-05-18,2478.0,1155.0,329.0,2135.0,1680.0,2453.0,10230.0
2020-05-19,2543.0,1192.0,336.0,2186.0,1701.0,2483.0,10441.0
2020-05-20,2581.0,1209.0,343.0,2189.0,1704.0,2492.0,10518.0
2020-05-21,2630.0,1234.0,352.0,2202.0,1739.0,2508.0,10665.0
2020-05-22,2729.0,1259.0,369.0,2323.0,1791.0,2546.0,11017.0
2020-05-23,2788.0,1296.0,388.0,2353.0,1847.0,2571.0,11243.0
2020-05-24,2868.0,1321.0,403.0,2370.0,1862.0,2617.0,11441.0
2020-05-25,2895.0,1336.0,417.0,2389.0,1925.0,2652.0,11614.0
2020-05-26,3007.0,1353.0,420.0,2402.0,1938.0,2675.0,11795.0
2020-05-27,3070.0,1375.0,430.0,2411.0,1967.0,2688.0,11941.0
2020-05-28,3118.0,1384.0,439.0,2440.0,2045.0,2701.0,12127.0
2020-05-29,3216.0,1404.0,450.0,2476.0,2070.0,2707.0,12323.0
2020-05-30,3310.0,1426.0,466.0,2535.0,2104.0,2731.0,12572.0
2020-05-31,3411.0,1450.0,483.0,2561.0,2129.0,2776.0,12810.0
2020-06-01,3491.0,1468.0,501.0,2573.0,2169.0,2805.0,13007.0
2020-06-02,3536.0,1506.0,506.0,2590.0,2190.0,2819.0,13147.0
2020-06-03,3569.0,1513.0,525.0,2616.0,2212.0,2832.0,13267.0
2020-06-04,3662.0,1547.0,530.0,2647.0,2244.0,2850.0,13480.0
2020-06-05,3746.0,1577.0,551.0,2701.0,2299.0,2892.0,13766.0
2020-06-06,3826.0,1633.0,571.0,2715.0,2331.0,2920.0,13996.0
2020-06-07,3895.0,1668.0,589.0,2750.0,2342.0,2942.0,14186.0
2020-06-08,3966.0,1706.0,625.0,2782.0,2399.0,2973.0,14451.0
2020-06-09,4006.0,1774.0,635.0,2796.0,2437.0,3017.0,14665.0
2020-06-10,4054.0,1798.0,651.0,2812.0,2475.0,3032.0,14822.0
2020-06-11,4140.0,1829.0,664.0,2843.0,2494.0,3063.0,15033.0
2020-06-12,4237.0,1877.0,692.0,2880.0,2533.0,3117.0,15336.0
2020-06-13,4237.0,1921.0,713.0,2909.0,2553.0,3157.0,15490.0
2020-06-14,4341.0,1959.0,730.0,2931.0,2553.0,3197.0,15711.0
2020-06-15,4394.0,1983.0,751.0,2955.0,2571.0,3230.0,15884.0
2020-06-16,4502.0,2026.0,805.0,2974.0,2591.0,3254.0,16152.0
2020-06-17,4554.0,2071.0,842.0,2985.0,2618.0,3288.0,16358.0
2020-06-18,4659.0,2111.0,861.0,3023.0,2649.0,3363.0,16666.0
2020-06-19,4723.0,2148.0,917.0,3060.0,2674.0,3398.0,16920.0
2020-06-20,4826.0,2240.0,1030.0,3061.0,2713.0,3458.0,17328.0
2020-06-21,4826.0,2294.0,1110.0,3061.0,2755.0,3547.0,17593.0
2020-06-22,5028.0,2369.0,1250.0,3188.0,2781.0,3606.0,18222.0
2020-06-23,5161.0,2454.0,1349.0,3222.0,2813.0,3727.0,18726.0
2020-06-24,5296.0,2523.0,1470.0,3252.0,2907.0,3832.0,19280.0
2020-06-25,5403.0,2576.0,1573.0,3300.0,2964.0,3888.0,19704.0
2020-06-26,5514.0,2676.0,1636.0,3403.0,2996.0,3984.0,20209.0
