date,Alameda,Contra Costa,Marin,San Francisco,San Mateo,Santa Clara,sums
2020-03-26,4.0,1.0,0.0,2.0,5.0,20.0,32.0
2020-03-27,4.0,2.0,1.0,3.0,6.0,21.0,37.0
2020-03-28,6.0,3.0,1.0,4.0,6.0,26.0,46.0
2020-03-29,6.0,3.0,1.0,5.0,6.0,26.0,47.0
2020-03-30,7.0,3.0,1.0,6.0,6.0,29.0,52.0
2020-03-31,7.0,3.0,4.0,6.0,10.0,31.0,61.0
2020-04-01,8.0,3.0,4.0,7.0,10.0,33.0,65.0
2020-04-02,9.0,3.0,6.0,7.0,10.0,37.0,72.0
2020-04-03,12.0,5.0,6.0,7.0,13.0,39.0,82.0
2020-04-04,12.0,5.0,7.0,8.0,13.0,40.0,85.0
2020-04-05,12.0,6.0,7.0,8.0,13.0,40.0,86.0
2020-04-06,13.0,7.0,9.0,9.0,13.0,40.0,91.0
2020-04-07,15.0,7.0,10.0,9.0,21.0,44.0,106.0
2020-04-08,16.0,7.0,10.0,10.0,21.0,47.0,111.0
2020-04-09,17.0,8.0,10.0,10.0,21.0,48.0,114.0
2020-04-10,20.0,9.0,10.0,13.0,21.0,50.0,123.0
2020-04-11,21.0,11.0,10.0,13.0,21.0,52.0,128.0
2020-04-12,23.0,11.0,10.0,14.0,21.0,54.0,133.0
2020-04-13,23.0,11.0,10.0,15.0,21.0,61.0,141.0
2020-04-14,23.0,12.0,10.0,15.0,21.0,61.0,142.0
2020-04-15,36.0,14.0,10.0,17.0,28.0,66.0,171.0
2020-04-16,40.0,16.0,10.0,17.0,28.0,70.0,181.0
2020-04-17,40.0,19.0,10.0,20.0,28.0,74.0,191.0
2020-04-18,41.0,19.0,10.0,20.0,28.0,74.0,192.0
2020-04-19,42.0,20.0,10.0,20.0,28.0,74.0,194.0
2020-04-20,42.0,22.0,10.0,20.0,28.0,84.0,206.0
2020-04-21,43.0,22.0,10.0,20.0,28.0,89.0,212.0
2020-04-22,43.0,22.0,11.0,21.0,39.0,95.0,231.0
2020-04-23,48.0,23.0,11.0,21.0,39.0,96.0,238.0
2020-04-24,48.0,23.0,12.0,22.0,41.0,99.0,245.0
2020-04-25,52.0,25.0,12.0,22.0,41.0,100.0,252.0
2020-04-26,52.0,25.0,12.0,22.0,41.0,101.0,253.0
2020-04-27,56.0,25.0,12.0,23.0,46.0,104.0,266.0
2020-04-28,59.0,25.0,12.0,23.0,48.0,107.0,274.0
2020-04-29,59.0,25.0,13.0,23.0,48.0,108.0,276.0
