date,Hennepin,Los Angeles,New York City,Cook,Fulton,Harris
3/26/20,128,1216,23182,1904,231,203
3/27/20,141,1465,25509,2239,347,229
3/28/20,152,1804,30919,2613,378,445
3/29/20,171,2136,33983,3445,425,526
3/30/20,190,2474,38375,3727,503,563
3/31/20,204,3011,43518,4496,599,680
4/1/20,218,3518,47914,5152,638,847
4/2/20,235,4045,52400,5575,747,895
4/3/20,242,4566,57941,6473,910,1036
4/4/20,252,5277,64274,7439,959,1284
4/5/20,267,5940,68726,8043,970,1395
4/6/20,280,6360,73553,8728,1053,1809
4/7/20,310,6910,78498,9509,1185,2146
4/8/20,344,7530,83673,10520,1261,2341
4/9/20,375,7955,89127,11415,1336,3047
4/10/20,415,8430,94702,12472,1417,3261
4/11/20,464,8873,100840,13417,1446,3561
4/12/20,557,9192,105939,14585,1495,3629
4/13/20,557,9420,109706,15474,1635,3747
4/14/20,588,10047,113632,16323,1812,3907
4/15/20,651,10496,121653,17306,1902,4097
4/16/20,706,10854,126623,18087,1945,4306
4/17/20,806,11391,131003,19391,2037,4460
4/18/20,875,12021,135052,20395,2065,4653
4/19/20,924,12341,138370,21272,2131,4823
4/20/20,975,13816,140881,22101,2198,4977
4/21/20,1013,15140,143547,23181,2206,5143
4/22/20,1073,16435,146787,24546,2255,5211
4/23/20,1132,17508,150327,25811,2436,5330
4/24/20,1200,18545,155081,27616,2500,5482
4/25/20,1287,19107,159851,29058,2543,5628
4/26/20,1332,19528,163106,30574,2545,5729
4/27/20,1416,20417,165463,31953,2680,5827
4/28/20,1524,20976,167487,33449,2753,5986
4/29/20,1633,22485,170124,34880,2785,6161
4/30/20,1738,23182,172784,36513,2821,6356
5/1/20,1829,24215,174931,38668,2880,6551
5/2/20,1980,24894,177490,40227,2928,6708
5/3/20,2151,25662,179728,42324,2981,6838
5/4/20,2298,26217,181034,43715,3057,6967
5/5/20,2519,27815,182318,45223,3165,7128
5/6/20,2764,28644,183770,46689,3250,7244
5/7/20,2962,29427,185653,48341,3260,7377
5/8/20,3153,30296,187157,50236,3317,7594
5/9/20,3379,31197,188663,51674,3385,7803
5/10/20,3558,31677,189656,52655,3509,7878
5/11/20,3744,32258,190546,53381,3516,8176
5/12/20,4033,33180,191320,55470,3595,8416
5/13/20,4033,34428,192394,56406,3614,8621
5/14/20,4331,35329,193663,58457,3625,8817
5/15/20,4674,36259,195472,59905,3703,9050
5/16/20,4930,37303,196481,61212,3749,9126
5/17/20,5158,37974,197486,62218,3759,9465
5/18/20,5409,38451,198114,63690,3751,9635
5/19/20,5650,39573,198710,64691,3795,9859
5/20/20,5838,40857,199392,66213,3793,10095
5/21/20,6029,42037,200507,67551,3872,10283
5/22/20,6350,43052,201298,68949,3931,10526
5/23/20,6649,44055,202062,70417,3977,10770
5/24/20,6918,44988,202931,72010,4054,10921
5/25/20,7168,46018,203569,73097,4080,10921
5/26/20,7421,47822,204111,73819,4230,11281
5/27/20,7540,48700,204781,74521,4309,11542
5/28/20,7695,49774,205854,75306,4367,11770
5/29/20,7932,51562,206800,76266,4490,12009
5/30/20,8181,53651,207539,77119,4507,12220
5/31/20,8393,54996,208085,77925,4524,12276
6/1/20,8514,55968,208550,78495,4621,12664
6/2/20,8591,57118,209195,79673,4638,13027
6/3/20,8738,58234,209688,80204,4688,13268
6/4/20,8867,59650,210227,80713,4724,13603
6/5/20,9099,61045,210728,81344,4790,13940
6/6/20,9255,62338,211274,81924,4822,14423
6/7/20,9372,63844,211728,82427,4823,14586
6/8/20,9480,64644,212122,82819,4887,14918
6/9/20,9567,65822,212469,83271,4925,15238
6/10/20,9674,67064,212884,83585,4989,15552
6/11/20,9815,68875,213271,83978,5031,15864
6/12/20,9934,70476,213707,84249,5069,16188
6/13/20,10069,72023,214242,84581,5100,16568
6/14/20,10191,73018,214627,84906,5106,16778
6/15/20,10281,73791,215011,85184,5157,17282
6/16/20,10323,75084,215342,85538,5148,17707
6/17/20,10415,77189,215686,85858,5292,18157
6/18/20,10512,78227,216013,86179,5325,18552
6/19/20,10607,79609,216421,86551,5400,19739
6/20/20,10705,81636,216803,86885,5444,20874
6/21/20,10830,83397,217189,87177,5496,21053
6/22/20,10920,85942,217487,87424,5705,23047
6/23/20,10988,88262,217803,87784,5885,24421
6/24/20,11057,89490,218089,88138,6052,25786
6/25/20,11178,91467,218429,88650,6163,27017
6/26/20,11308,93232,218799,89068,6350,28255
6/27/20,11415,95371,219157,89407,6506,29163
6/28/20,11556,97894,219481,89755,6610,29276
6/29/20,11656,100772,219670,90122,6648,30729
6/30/20,11796,103529,219844,90536,6965,31422
7/1/20,11892,105507,220143,90911,7277,32859
7/2/20,12048,107667,220567,91381,7527,34108
7/3/20,12150,110310,221028,91774,7913,35316
7/4/20,12150,113497,221395,92240,8433,35913
7/5/20,12329,114993,221637,92532,8652,36597
7/6/20,12456,116570,221882,92781,8883,37776
7/7/20,12597,120539,222156,93053,9066,39311
7/8/20,12703,123004,222444,93496,9358,40012
7/9/20,12867,124738,222723,94005,9586,40919
7/10/20,13054,127358,223078,94605,10021,42000
7/11/20,13328,130242,223382,95138,10354,43939
7/12/20,13568,133549,223725,95557,10595,45368
7/13/20,13697,136129,223977,95884,11080,47369
7/14/20,13790,140307,224293,96186,11354,49027
7/15/20,13948,143009,224662,96662,11746,50370
7/16/20,14125,147468,225045,97214,12184,51969
7/17/20,14348,150319,225414,97790,12584,53555
7/18/20,14495,153041,225799,98292,12872,54806
7/19/20,14734,155887,226104,98670,13117,55769
7/20/20,14835,159045,226388,99052,13379,57095
7/21/20,15125,161673,226779,99464,13779,58480
7/22/20,15273,164870,227130,100124,14169,59924
7/23/20,15537,166848,227517,100795,14673,61416
7/24/20,15810,168757,227882,101420,15221,62619
7/25/20,16067,172325,228220,101955,15649,64113
7/26/20,16316,173995,228445,102583,15843,65349
7/27/20,16506,176028,228740,103008,16073,66195
7/28/20,16661,178642,228939,103441,16482,67660
7/29/20,16881,183383,229237,104001,16867,69126
7/30/20,17092,185872,229551,104691,17286,70850
7/31/20,17316,188481,229834,105493,17646,72964
8/1/20,17547,190693,230147,106131,17858,74884
8/2/20,17789,192167,230410,106713,18079,76642
8/3/20,18009,193788,230648,107247,18224,78105
8/4/20,18197,195614,230964,107744,18566,79543
8/5/20,18393,197912,231268,108425,18996,80914
8/6/20,18641,201106,231600,109150,19230,81919
8/7/20,18774,204167,231942,110002,19647,83183
8/8/20,19057,206761,232271,110865,20049,84600
8/9/20,19271,208528,232517,111447,20276,85757
