date,Baltimore city,District of Columbia,Tulsa,Dallas,Clark,Maricopa
3/26/20,72,231,41,303,350,299
3/27/20,103,267,49,367,443,399
3/28/20,112,304,57,439,528,454
3/29/20,129,342,61,443,528,546
3/30/20,152,401,65,549,753,690
3/31/20,187,495,83,631,869,791
4/1/20,187,586,115,731,961,871
4/2/20,265,653,151,831,1125,961
4/3/20,313,757,175,921,1279,1049
4/4/20,343,902,221,1015,1418,1171
4/5/20,394,998,240,1112,1519,1326
4/6/20,435,1097,249,1155,1608,1433
4/7/20,459,1211,273,1261,1734,1495
4/8/20,571,1440,293,1324,1878,1559
4/9/20,638,1523,308,1432,2009,1689
4/10/20,689,1660,314,1537,2144,1741
4/11/20,756,1778,323,1648,2258,1891
4/12/20,812,1875,332,1723,2324,1960
4/13/20,873,1955,337,1788,2444,2020
4/14/20,962,2058,358,1877,2509,2056
4/15/20,1062,2197,362,1986,2559,2146
4/16/20,1164,2350,376,2066,2625,2264
4/17/20,1277,2476,390,2190,2738,2404
4/18/20,1381,2666,409,2324,2882,2491
4/19/20,1397,2793,411,2428,2940,2589
4/20/20,1516,2927,422,2512,2998,2636
4/21/20,1547,3098,432,2602,3099,2738
4/22/20,1608,3206,437,2683,3218,2846
4/23/20,1678,3361,454,2763,3314,2970
4/24/20,1734,3528,467,2834,3443,3116
4/25/20,1797,3699,479,2909,3570,3234
4/26/20,1872,3841,491,3014,3665,3359
4/27/20,1939,3892,490,3105,3717,3457
4/28/20,1984,3994,506,3240,3793,3578
4/29/20,2021,4106,522,3352,3891,3723
4/30/20,2076,4323,567,3531,3979,3972
5/1/20,2171,4658,584,3718,4118,4156
5/2/20,2246,4797,607,3899,4225,4421
5/3/20,2328,5016,628,4133,4274,4585
5/4/20,2420,5170,639,4370,4411,4751
5/5/20,2618,5322,645,4623,4411,4929
5/6/20,2761,5461,653,4869,4473,5138
5/7/20,2865,5654,676,5120,4573,5196
5/8/20,2950,5899,684,5369,4616,5525
5/9/20,3217,6102,695,5619,4704,5779
5/10/20,3326,6272,700,5870,4750,5827
5/11/20,3362,6389,708,6123,4762,5988
5/12/20,3413,6485,717,6359,4869,6219
5/13/20,3485,6584,734,6602,5045,6341
5/14/20,3514,6736,743,6837,5144,6599
5/15/20,3615,6871,752,7036,5235,6821
5/16/20,3727,7042,776,7250,5298,7096
5/17/20,3806,7123,781,7455,5366,7240
5/18/20,3838,7270,787,7679,5463,7340
5/19/20,4010,7434,802,7904,5536,7482
5/20/20,4159,7551,814,8090,5650,7644
5/21/20,4347,7788,852,8273,5734,7835
5/22/20,4499,7893,890,8477,5815,7950
5/23/20,4682,7966,903,8649,6048,8177
5/24/20,4791,8110,915,8827,6140,8277
