date,Hennepin,Los Angeles,New York City,Cook,Fulton,Harris,Jefferson
2020-03-26,128.0,1216.0,23182.0,1904,231,203,57
2020-03-27,141.0,1465.0,25509.0,2239,347,229,76
2020-03-28,152.0,1804.0,30919.0,2613,378,445,99
2020-03-29,171.0,2136.0,33983.0,3445,425,526,108
2020-03-30,190.0,2474.0,38375.0,3727,503,563,125
2020-03-31,204.0,3011.0,43518.0,4496,599,680,190
2020-04-01,218.0,3518.0,47914.0,5152,638,847,221
2020-04-02,235.0,4045.0,52400.0,5575,747,895,249
2020-04-03,242.0,4566.0,57941.0,6473,910,1036,249
2020-04-04,252.0,5277.0,64274.0,7439,959,1284,294
2020-04-05,267.0,5940.0,68726.0,8043,970,1395,304
2020-04-06,280.0,6360.0,73553.0,8728,1053,1809,313
2020-04-07,310.0,6910.0,78498.0,9509,1185,2146,402
2020-04-08,344.0,7530.0,83673.0,10520,1261,2341,402
2020-04-09,375.0,7955.0,89127.0,11415,1336,3047,436
2020-04-10,415.0,8430.0,94702.0,12472,1417,3261,495
2020-04-11,464.0,8873.0,100840.0,13417,1446,3561,495
2020-04-12,557.0,9192.0,105939.0,14585,1495,3629,503
2020-04-13,557.0,9420.0,109706.0,15474,1635,3747,531
2020-04-14,588.0,10047.0,113632.0,16323,1812,3907,573
2020-04-15,651.0,10496.0,121653.0,17306,1902,4097,582
2020-04-16,706.0,10854.0,126623.0,18087,1945,4306,600
2020-04-17,806.0,11391.0,131003.0,19391,2037,4460,600
2020-04-18,875.0,12021.0,135052.0,20395,2065,4653,689
2020-04-19,924.0,12341.0,138370.0,21272,2131,4823,814
2020-04-20,975.0,13816.0,140881.0,22101,2198,4977,867
2020-04-21,1013.0,15140.0,143547.0,23181,2206,5143,925
2020-04-22,1073.0,16435.0,146787.0,24546,2255,5211,954
2020-04-23,1132.0,17508.0,150327.0,25811,2436,5330,1008
2020-04-24,1200.0,18545.0,155081.0,27616,2500,5482,1121
2020-04-25,1287.0,19107.0,159851.0,29058,2543,5628,1121
2020-04-26,1332.0,19528.0,163106.0,30574,2545,5729,1121
2020-04-27,1416.0,20417.0,165463.0,31953,2680,5827,1140
2020-04-28,1524.0,20976.0,167487.0,33449,2753,5986,1224
2020-04-29,1633.0,22485.0,170124.0,34880,2785,6161,1281
2020-04-30,1738.0,23182.0,172784.0,36513,2821,6356,1307
2020-05-01,1829.0,24215.0,174931.0,38668,2880,6551,1352
2020-05-02,1980.0,24894.0,177490.0,40227,2928,6708,1365
2020-05-03,2151.0,25662.0,179728.0,42324,2981,6838,1403
2020-05-04,2298.0,26217.0,181034.0,43715,3057,6967,1419
2020-05-05,2519.0,27815.0,182318.0,45223,3165,7128,1497
2020-05-06,2764.0,28644.0,183770.0,46689,3250,7244,1535
2020-05-07,2962.0,29427.0,185653.0,48341,3260,7377,1578
2020-05-08,3153.0,30296.0,187157.0,50236,3317,7594,1610
2020-05-09,3379.0,31197.0,188663.0,51674,3385,7803,1642
2020-05-10,3558.0,31677.0,189656.0,52655,3509,7878,1642
2020-05-11,3744.0,32258.0,190546.0,53381,3516,8176,1691
2020-05-12,4033.0,33180.0,191320.0,55470,3595,8416,1808
2020-05-13,4033.0,34428.0,192394.0,56406,3614,8621,1788
2020-05-14,4331.0,35329.0,193663.0,58457,3625,8817,1822
2020-05-15,4674.0,36259.0,195472.0,59905,3703,9050,1864
2020-05-16,4930.0,37303.0,196481.0,61212,3749,9126,1922
2020-05-17,5158.0,37974.0,197486.0,62218,3759,9465,1922
2020-05-18,5409.0,38451.0,198114.0,63690,3751,9635,2009
2020-05-19,5650.0,39573.0,198710.0,64691,3795,9859,2067
2020-05-20,5838.0,40857.0,199392.0,66213,3793,10095,2105
2020-05-21,6029.0,42037.0,200507.0,67551,3872,10283,2144
2020-05-22,6350.0,43052.0,201298.0,68949,3931,10526,2233
2020-05-23,6649.0,44055.0,202062.0,70417,3977,10770,2249
2020-05-24,6918.0,44988.0,202931.0,72010,4054,10921,2249
2020-05-25,7168.0,46018.0,203569.0,73097,4080,10921,2307
2020-05-26,7421.0,47822.0,204111.0,73819,4230,11281,2376
2020-05-27,7540.0,48700.0,204781.0,74521,4309,11542,2427
2020-05-28,7695.0,49774.0,205854.0,75306,4367,11770,2485
2020-05-29,7932.0,51562.0,206800.0,76266,4490,12009,2485
2020-05-30,8181.0,53651.0,207539.0,77119,4507,12220,2555
2020-05-31,8393.0,54996.0,208085.0,77925,4524,12276,2555
2020-06-01,8514.0,55968.0,208550.0,78495,4621,12664,2555
2020-06-02,8591.0,57118.0,209195.0,79673,4638,13027,2566
2020-06-03,8738.0,58234.0,209688.0,80204,4688,13268,2612
2020-06-04,8867.0,59650.0,210227.0,80713,4724,13603,2760
2020-06-05,9099.0,61045.0,210728.0,81344,4790,13940,2843
2020-06-06,9255.0,62338.0,211274.0,81924,4822,14423,3043
2020-06-07,9372.0,63844.0,211728.0,82427,4823,14586,3043
2020-06-08,9480.0,64644.0,212122.0,82819,4887,14918,3104
2020-06-09,9567.0,65822.0,212469.0,83271,4925,15238,3186
2020-06-10,9674.0,67064.0,212884.0,83585,4989,15552,3226
2020-06-11,9815.0,68875.0,213271.0,83978,5031,15864,3229
2020-06-12,9934.0,70476.0,213707.0,84249,5069,16188,3278
2020-06-13,10069.0,72023.0,214242.0,84581,5100,16568,3323
2020-06-14,10191.0,73018.0,214627.0,84906,5106,16778,3323
2020-06-15,10281.0,73791.0,215011.0,85184,5157,17282,3363
2020-06-16,10323.0,75084.0,215342.0,85538,5148,17707,3363
2020-06-17,10415.0,77189.0,215686.0,85858,5292,18157,3451
2020-06-18,10512.0,78227.0,216013.0,86179,5325,18552,3481
2020-06-19,10607.0,79609.0,216421.0,86551,5400,19739,3528
2020-06-20,10705.0,81636.0,216803.0,86885,5444,20874,3561
2020-06-21,10830.0,83397.0,217189.0,87177,5496,21053,3582
2020-06-22,10920.0,85942.0,217487.0,87424,5705,23047,3609
2020-06-23,10988.0,88262.0,217803.0,87784,5885,24421,3651
2020-06-24,11057.0,89490.0,218089.0,88138,6052,25786,3682
2020-06-25,11178.0,91467.0,218429.0,88650,6163,27017,3714
2020-06-26,11308.0,93232.0,218799.0,89068,6350,28255,3765
2020-06-27,11415.0,95371.0,219157.0,89407,6506,29163,3820
2020-06-28,11556.0,97894.0,219481.0,89755,6610,29276,3829
2020-06-29,11656.0,100772.0,219670.0,90122,6648,30729,3852
2020-06-30,11796.0,103529.0,219844.0,90536,6965,31422,3901
2020-07-01,11892.0,105507.0,220143.0,90911,7277,32859,3942
2020-07-02,12048.0,107667.0,220567.0,91381,7527,34108,3991
2020-07-03,12150.0,110310.0,221028.0,91774,7913,35316,4034
2020-07-04,12150.0,113497.0,221395.0,92240,8433,35913,4034
2020-07-05,12329.0,114993.0,221637.0,92532,8652,36597,4034
2020-07-06,12456.0,116570.0,221882.0,92781,8883,37776,4173
2020-07-07,12597.0,120539.0,222156.0,93053,9066,39311,4233
2020-07-08,12703.0,123004.0,222444.0,93496,9358,40012,4323
2020-07-09,12867.0,124738.0,222723.0,94005,9586,40919,4395
2020-07-10,13054.0,127358.0,223078.0,94605,10021,42000,4458
2020-07-11,13328.0,130242.0,223382.0,95138,10354,43939,4522
2020-07-12,13568.0,133549.0,223725.0,95557,10595,45368,4561
2020-07-13,13697.0,136129.0,223977.0,95884,11080,47369,4588
2020-07-14,13790.0,140307.0,224293.0,96186,11354,49027,4661
2020-07-15,13948.0,143009.0,224662.0,96662,11746,50370,4709
2020-07-16,14125.0,147468.0,225045.0,97214,12184,51969,4778
2020-07-17,14348.0,150319.0,225414.0,97790,12584,53555,4861
2020-07-18,14495.0,153041.0,225799.0,98292,12872,54806,4962
2020-07-19,14734.0,155887.0,226104.0,98670,13117,55769,5170
2020-07-20,14835.0,159045.0,226388.0,99052,13379,57095,5263
2020-07-21,15125.0,161673.0,226779.0,99464,13779,58480,5441
2020-07-22,15273.0,164870.0,227130.0,100124,14169,59924,5519
2020-07-23,15537.0,166848.0,227517.0,100795,14673,61416,5635
2020-07-24,15810.0,168757.0,227882.0,101420,15221,62619,5836
2020-07-25,16067.0,172325.0,228220.0,101955,15649,64113,6080
2020-07-26,16316.0,173995.0,228445.0,102583,15843,65349,6135
