date,0,Philadelphia,Miami-Dade,Wayne,Denver,Multnomah
3/26/20,9,1,0,26,3,2
3/27/20,10,2,2,37,3,2
3/28/20,11,5,3,46,5,2
3/29/20,12,5,3,56,5,2
3/30/20,16,7,4,83,6,2
3/31/20,26,14,7,120,7,2
4/1/20,36,14,11,146,8,3
4/2/20,50,14,20,194,11,3
4/3/20,62,14,25,223,14,3
4/4/20,67,24,31,252,14,6
4/5/20,71,28,31,293,16,7
4/6/20,81,28,41,346,15,7
4/7/20,111,58,47,402,31,7
4/8/20,130,86,50,446,33,10
4/9/20,149,86,66,504,38,13
4/10/20,182,110,84,609,42,17
4/11/20,218,130,93,652,46,18
4/12/20,237,128,97,704,46,19
4/13/20,269,127,109,760,51,19
4/14/20,308,206,143,820,56,20
4/15/20,368,222,155,885,61,22
4/16/20,424,264,183,982,63,26
4/17/20,484,298,195,1045,66,28
4/18/20,548,342,198,1071,74,28
4/19/20,610,365,207,1121,75,28
4/20/20,665,370,223,1150,83,28
4/21/20,713,394,233,1281,91,29
4/22/20,812,419,240,1322,96,29
4/23/20,891,443,270,1399,98,33
4/24/20,957,449,287,1445,128,35
4/25/20,1020,466,295,1562,132,35
4/26/20,1094,472,301,1582,132,37
4/27/20,1148,484,302,1624,135,37
4/28/20,1200,516,324,1684,145,40
4/29/20,1306,516,338,1729,150,42
4/30/20,1369,607,352,1784,154,43
5/1/20,1435,638,358,1804,163,44
5/2/20,1492,705,367,1886,164,46
5/3/20,1560,727,369,1895,166,46
5/4/20,1593,726,378,1926,166,46
5/5/20,1637,743,407,1947,188,49
5/6/20,1712,803,432,1975,195,50
5/7/20,1766,816,454,2014,199,52
5/8/20,1815,875,468,2030,202,52
5/9/20,1872,891,482,2084,205,53
5/10/20,1925,894,487,2099,206,53
5/11/20,1966,893,490,2107,212,53
5/12/20,1976,908,505,2142,214,53
5/13/20,2031,986,518,2158,233,53
5/14/20,2086,1008,535,2185,237,55
5/15/20,2115,1021,548,2194,248,55
5/16/20,2148,1031,559,2214,261,55
5/17/20,2181,1031,561,2215,265,55
5/18/20,2205,1080,566,2228,272,55
5/19/20,2233,1109,578,2277,285,55
5/20/20,2269,1152,578,2286,294,57
5/21/20,2291,1178,602,2315,296,57
5/22/20,2314,1221,614,2325,299,58
5/23/20,2339,1233,629,2363,299,58
5/24/20,2356,1233,631,2361,299,58
5/25/20,2366,1235,633,2366,298,58
5/26/20,2379,1243,633,2370,301,58
5/27/20,2399,1262,655,2408,313,58
5/28/20,2416,1282,669,2412,324,59
5/29/20,2444,1300,685,2427,326,59
5/30/20,2464,1308,700,2454,327,59
5/31/20,2486,1316,700,2463,327,59
6/1/20,2546,1320,702,2465,329,59
6/2/20,2565,1346,722,2477,332,61
6/3/20,2584,1359,731,2481,334,62
6/4/20,2602,1394,746,2494,336,62
6/5/20,2617,1411,760,2615,338,63
