date,Hennepin,Los Angeles,New York City,Cook,Fulton,Harris
3/26/20,0,21,435,18,4,2
3/27/20,1,27,560,20,12,2
3/28/20,2,33,825,28,13,3
3/29/20,5,37,991,40,12,4
3/30/20,6,44,1202,44,16,7
3/31/20,6,54,1475,61,18,6
4/1/20,6,65,1848,95,20,6
4/2/20,6,78,2152,107,23,10
4/3/20,9,89,2648,141,26,12
4/4/20,9,117,3221,167,26,17
4/5/20,11,132,3646,186,28,20
4/6/20,14,147,4857,209,32,22
4/7/20,16,169,5631,249,39,23
4/8/20,18,198,6441,312,42,31
4/9/20,25,223,7249,351,48,34
4/10/20,27,241,7981,398,50,40
4/11/20,30,265,8734,453,50,41
4/12/20,34,296,9448,485,50,44
4/13/20,34,320,10096,543,52,46
4/14/20,40,360,10857,577,60,52
4/15/20,46,402,11566,630,63,58
4/16/20,52,455,12109,722,66,63
4/17/20,61,495,12283,760,74,67
4/18/20,69,576,12411,860,74,71
4/19/20,75,600,13632,877,75,75
4/20/20,80,617,14074,915,80,78
4/21/20,95,663,14513,1002,83,79
4/22/20,113,729,14959,1072,85,80
4/23/20,123,797,15361,1142,88,82
4/24/20,138,850,15754,1220,91,84
4/25/20,155,895,16146,1267,91,89
4/26/20,177,913,16486,1313,94,93
4/27/20,188,942,16821,1347,103,98
4/28/20,193,1000,17206,1457,108,103
4/29/20,209,1056,17597,1516,116,109
4/30/20,225,1111,17809,1607,118,114
5/1/20,243,1172,17931,1673,122,122
5/2/20,259,1209,18021,1743,122,129
5/3/20,277,1229,18451,1786,124,133
5/4/20,284,1256,18580,1802,129,140
5/5/20,303,1313,18719,1922,130,144
5/6/20,325,1367,18993,2004,135,150
5/7/20,342,1418,19141,2110,137,154
5/8/20,362,1468,19210,2197,144,160
5/9/20,374,1512,19324,2264,144,168
5/10/20,389,1530,19436,2317,144,172
5/11/20,398,1569,19563,2361,145,179
5/12/20,412,1613,19736,2449,149,183
5/13/20,412,1659,19815,2589,152,188
5/14/20,441,1659,19904,2675,159,193
5/15/20,449,1755,19972,2762,164,193
5/16/20,454,1793,20071,2814,165,204
5/17/20,462,1821,20214,2839,165,204
5/18/20,467,1839,20298,2889,171,205
5/19/20,476,1913,20376,2980,174,207
5/20/20,485,1970,20422,3074,174,210
5/21/20,502,2016,20491,3114,190,216
5/22/20,518,2049,20569,3187,196,217
5/23/20,524,2090,20621,3246,197,219
5/24/20,534,2104,20697,3304,196,220
5/25/20,539,2116,20740,3324,199,220
5/26/20,549,2143,20795,3354,209,221
5/27/20,565,2195,20844,3455,214,223
5/28/20,581,2241,20895,3519,224,224
5/29/20,593,2290,20960,3570,229,228
5/30/20,606,2338,20991,3603,230,231
5/31/20,613,2362,21050,3642,235,232
6/1/20,616,2384,21090,3658,241,235
6/2/20,627,2443,21132,3726,242,236
6/3/20,633,2489,21170,3780,244,241
6/4/20,641,2531,21234,3846,250,247
6/5/20,657,2565,21262,3880,250,253
6/6/20,667,2620,21294,3913,252,259
6/7/20,676,2645,21323,3944,252,261
6/8/20,681,2655,21356,3959,256,262
6/9/20,686,2707,21396,4010,272,262
6/10/20,693,2768,21436,4053,273,267
6/11/20,700,2813,21468,4111,273,267
6/12/20,708,2832,21519,4162,280,271
6/13/20,712,2890,21551,4173,284,275
6/14/20,716,2907,21578,4189,285,275
6/15/20,720,2926,21600,4206,290,284
6/16/20,724,2959,21619,4253,295,289
6/17/20,727,2991,21645,4304,299,298
6/18/20,732,3027,21673,4333,301,305
6/19/20,740,3063,21710,4363,304,311
6/20/20,744,3110,21719,4390,304,322
6/21/20,747,3120,21753,4404,304,325
6/22/20,747,3137,21796,4423,304,332
6/23/20,751,3171,21817,4439,302,335
6/24/20,752,3205,21838,4478,302,346
6/25/20,758,3246,21856,4500,309,353
6/26/20,761,3267,21893,4526,311,361
6/27/20,764,3285,21913,4536,311,369
6/28/20,767,3305,21940,4542,311,371
6/29/20,773,3326,21941,4554,312,376
6/30/20,776,3369,22566,4565,312,378
7/1/20,776,3402,22574,4581,314,384
7/2/20,782,3454,22593,4609,314,387
7/3/20,785,3454,22610,4618,314,395
7/4/20,785,3454,22630,4622,314,400
7/5/20,786,3487,22661,4627,314,400
7/6/20,787,3534,22672,4630,316,401
7/7/20,787,3579,22690,4651,316,407
7/8/20,789,3642,22696,4664,319,411
7/9/20,789,3689,22719,4676,319,423
7/10/20,790,3738,22739,4693,321,439
7/11/20,790,3793,22750,4711,324,455
7/12/20,791,3809,22755,4725,324,458
7/13/20,791,3822,22795,4729,326,466
7/14/20,791,3894,22808,4741,327,473
7/15/20,793,3936,22825,4745,331,491
7/16/20,794,3988,22842,4750,333,509
7/17/20,798,4047,22848,4765,335,527
7/18/20,801,4084,22859,4774,339,533
7/19/20,802,4095,22872,4776,339,536
7/20/20,802,4104,22882,4777,340,545
7/21/20,802,4154,22895,4788,348,561
7/22/20,803,4213,22899,4801,350,576
7/23/20,804,4262,22934,4810,356,597
7/24/20,805,4300,22936,4822,365,615
7/25/20,806,4351,22947,4829,372,637
7/26/20,807,4360,22956,4830,372,645
7/27/20,807,4375,22970,4845,371,1100
7/28/20,808,4426,22977,4857,373,1127
7/29/20,810,4516,22982,4864,381,1182
7/30/20,810,4552,22996,4872,383,1206
7/31/20,813,4621,23002,4886,389,1258
8/1/20,815,4669,23007,4888,398,1288
8/2/20,819,4692,23012,4894,398,1288
8/3/20,819,4701,23021,4897,398,1318
8/4/20,820,4758,23027,4902,406,1367
8/5/20,825,4825,23034,4909,407,1409
8/6/20,828,4869,23563,4912,410,1459
8/7/20,828,4918,23567,4920,420,1514
8/8/20,831,4967,23575,4924,430,1562
8/9/20,835,4977,23580,4928,430,1575
8/10/20,835,4996,23586,4928,433,1583
8/11/20,839,5057,23592,4933,445,1616
8/12/20,840,5109,23602,4934,455,1679
8/13/20,842,5171,23610,4943,462,1713
8/14/20,845,5214,23615,4951,463,1771
8/15/20,846,5245,23621,4953,472,1812
8/16/20,848,5254,23628,4962,474,1829
8/17/20,851,5273,23634,4964,476,1838
8/18/20,851,5335,23642,4974,477,1875
8/19/20,855,5392,23643,4984,479,1920
8/20/20,860,5446,23639,4988,481,1953
8/21/20,862,5491,23641,4997,486,1978
8/22/20,865,5537,23646,5008,489,2011
8/23/20,866,5545,23658,5013,490,2028
8/24/20,867,5558,23662,5015,490,2030
8/25/20,868,5605,23666,5022,497,2072
8/26/20,873,5663,23669,5031,497,2106
8/27/20,877,5701,23674,5039,498,2140
8/28/20,878,5732,23680,5045,503,2153
8/29/20,879,5759,23683,5046,513,2177
8/30/20,879,5769,23689,5054,515,2188
8/31/20,879,5784,23695,5058,518,2192
9/1/20,881,5829,23703,5069,525,2208
9/2/20,883,5878,23708,5073,527,2247
9/3/20,885,5932,23710,5080,531,2281
9/4/20,888,5977,23716,5086,535,2300
9/5/20,889,6000,23721,5092,541,2327
9/6/20,891,6005,23721,5094,545,2335
9/7/20,891,6030,23736,5097,545,2335
9/8/20,892,6036,23744,5098,548,2342
9/9/20,895,6090,23741,5100,551,2363
9/10/20,896,6128,23741,5103,550,2363
9/11/20,901,6171,23739,5113,551,2395
9/12/20,903,6197,23743,5128,554,2414
9/13/20,906,6208,23743,5133,555,2420
9/14/20,907,6231,23750,5134,555,2423
9/15/20,908,6273,23758,5137,556,2440
