date,Baltimore city,District of Columbia,Tulsa,Dallas,St. Louis,Maricopa
3/26/20,0,3,1,7,1,4
3/27/20,0,3,1,7,2,5
3/28/20,2,4,3,9,2,5
3/29/20,2,5,3,9,2,5
3/30/20,2,9,3,11,2,5
3/31/20,2,9,3,13,3,8
4/1/20,2,11,3,15,3,8
4/2/20,2,12,5,17,6,12
4/3/20,4,15,8,17,7,17
4/4/20,6,21,8,18,11,28
4/5/20,7,22,8,18,13,31
4/6/20,8,24,8,18,14,31
4/7/20,9,24,14,19,24,35
4/8/20,10,27,16,20,26,37
4/9/20,13,32,16,22,28,39
4/10/20,17,38,16,25,33,41
4/11/20,22,47,16,27,42,47
4/12/20,24,50,18,31,42,48
4/13/20,26,52,18,32,50,52
4/14/20,29,67,19,42,53,54
4/15/20,27,72,21,43,63,60
4/16/20,35,81,21,50,66,64
4/17/20,42,86,22,55,72,69
4/18/20,43,91,22,60,80,70
4/19/20,51,96,22,60,81,75
4/20/20,54,105,22,60,82,75
4/21/20,59,112,25,64,91,84
4/22/20,64,127,25,65,97,97
4/23/20,66,139,26,72,105,115
4/24/20,71,153,27,77,121,120
4/25/20,78,165,27,81,127,121
4/26/20,79,178,27,82,127,122
4/27/20,88,185,28,84,137,122
4/28/20,90,190,32,94,159,137
4/29/20,101,205,33,99,159,140
4/30/20,112,224,33,104,162,145
5/1/20,115,231,33,106,168,147
5/2/20,126,240,34,110,177,159
5/3/20,129,251,34,111,177,168
5/4/20,129,258,34,114,177,168
5/5/20,133,264,36,121,189,175
5/6/20,140,277,36,123,204,186
5/7/20,149,285,36,125,220,204
5/8/20,155,304,36,135,246,238
5/9/20,163,311,36,143,255,245
5/10/20,169,323,36,143,262,247
5/11/20,171,328,36,145,266,250
5/12/20,178,336,37,148,278,259
5/13/20,186,350,37,153,293,281
5/14/20,192,358,37,159,305,292
5/15/20,192,368,37,164,318,302
5/16/20,200,375,37,170,329,319
5/17/20,203,383,37,176,335,319
5/18/20,208,392,37,177,336,324
5/19/20,210,400,37,191,347,339
5/20/20,215,407,39,196,352,357
5/21/20,218,412,40,203,376,361
5/22/20,220,418,41,207,380,368
5/23/20,229,427,44,210,384,383
5/24/20,231,432,44,211,385,384
5/25/20,234,440,44,211,387,385
5/26/20,236,440,47,213,387,384
5/27/20,236,445,49,221,389,397
5/28/20,240,453,49,222,395,403
5/29/20,248,460,51,223,415,419
5/30/20,254,462,54,228,442,430
5/31/20,258,466,54,229,443,432
6/1/20,261,468,54,229,443,433
6/2/20,263,470,57,245,444,448
6/3/20,266,473,57,249,446,466
6/4/20,269,475,59,250,449,471
6/5/20,272,479,59,260,455,479
6/6/20,276,483,59,262,460,489
6/7/20,281,489,60,264,460,490
6/8/20,282,491,60,264,466,491
6/9/20,287,495,61,271,480,504
6/10/20,289,499,61,274,485,519
6/11/20,292,502,62,277,496,532
6/12/20,294,506,62,280,499,536
6/13/20,297,511,62,283,500,549
6/14/20,301,515,62,284,500,551
6/15/20,301,515,62,285,500,557
6/16/20,304,520,64,293,503,568
6/17/20,307,523,64,302,518,579
6/18/20,309,527,65,307,544,598
6/19/20,310,530,65,311,547,615
6/20/20,313,531,66,313,550,633
6/21/20,313,533,66,314,550,632
6/22/20,316,535,66,317,551,634
6/23/20,319,537,66,324,555,663
6/24/20,325,541,66,328,558,690
6/25/20,327,543,66,334,558,694
6/26/20,330,546,66,344,567,718
6/27/20,333,548,67,351,568,741
6/28/20,335,550,67,352,568,746
6/29/20,335,551,67,353,568,746
6/30/20,337,551,67,373,575,771
7/1/20,338,553,69,380,581,817
7/2/20,340,554,70,387,582,843
7/3/20,342,555,72,393,583,865
7/4/20,344,557,72,395,584,880
7/5/20,344,559,72,395,584,883
7/6/20,349,561,72,401,584,881
7/7/20,352,561,71,410,593,933
7/8/20,355,564,72,426,593,959
7/9/20,358,568,72,436,593,1012
7/10/20,363,568,75,445,595,1049
7/11/20,364,568,75,449,597,1093
7/12/20,365,568,75,451,597,1133
7/13/20,366,568,76,457,603,1140
7/14/20,367,568,78,477,604,1198
7/15/20,370,571,79,485,605,1277
7/16/20,373,574,81,501,605,1311
7/17/20,374,577,83,514,607,1374
7/18/20,378,578,84,523,610,1444
7/19/20,382,578,84,525,610,1473
