date,Middlesex,Suffolk
2020-03-25,446.0,342.0
2020-03-26,538.0,448.0
2020-03-27,685.0,631.0
2020-03-28,842.0,843.0
2020-03-29,981.0,940.0
2020-03-30,1141.0,1115.0
2020-03-31,1340.0,1373.0
2020-04-01,1582.0,1624.0
2020-04-02,1870.0,1896.0
2020-04-03,2202.0,2183.0
2020-04-04,2468.0,2429.0
2020-04-05,2632.0,2658.0
2020-04-06,2950.0,2929.0
2020-04-07,3187.0,3245.0
2020-04-08,3545.0,3600.0
2020-04-09,4045.0,4041.0
2020-04-10,4447.0,4534.0
2020-04-11,4872.0,4926.0
2020-04-12,5660.0,5359.0
2020-04-13,5983.0,5579.0
2020-04-14,6254.0,5872.0
2020-04-15,6681.0,6279.0
2020-04-16,7206.0,6820.0
2020-04-17,7744.0,7272.0
2020-04-18,8297.0,7696.0
2020-04-19,8737.0,8074.0
2020-04-20,9253.0,8314.0
2020-04-21,9621.0,8669.0
2020-04-22,10094.0,9060.0
2020-04-23,10724.0,9739.0
2020-04-24,11681.0,10724.0
2020-04-25,12253.0,11218.0
2020-04-26,12648.0,11543.0
2020-04-27,12953.0,11883.0
2020-04-28,13417.0,12140.0
2020-04-29,13799.0,12539.0
2020-04-30,14208.0,12890.0
2020-05-01,14607.0,13295.0
2020-05-02,15048.0,13606.0
2020-05-03,15370.0,13777.0
2020-05-04,15757.0,13941.0
2020-05-05,15980.0,14173.0
2020-05-06,16327.0,14476.0
2020-05-07,16676.0,14732.0
2020-05-08,17014.0,14944.0
2020-05-09,17307.0,15119.0
2020-05-10,17589.0,15279.0
2020-05-11,17774.0,15356.0
2020-05-12,17953.0,15454.0
2020-05-13,18201.0,15587.0
2020-05-14,18381.0,15881.0
2020-05-15,18683.0,15996.0
2020-05-16,18883.0,16346.0
2020-05-17,19129.0,16479.0
2020-05-18,19345.0,16671.0
2020-05-19,19504.0,16825.0
2020-05-20,19708.0,16962.0
2020-05-21,19930.0,17089.0
2020-05-22,20085.0,17180.0
2020-05-23,20232.0,17291.0
2020-05-24,20437.0,17417.0
2020-05-25,20539.0,17480.0
2020-05-26,20601.0,17533.0
2020-05-27,20706.0,17596.0
2020-05-28,20857.0,17698.0
2020-05-29,20972.0,17786.0
2020-05-30,21124.0,17873.0
2020-05-31,21287.0,17936.0
2020-06-01,22224.0,18581.0
2020-06-02,22296.0,18636.0
2020-06-03,22403.0,18733.0
2020-06-04,22485.0,18790.0
2020-06-05,22583.0,18858.0
2020-06-06,22686.0,18955.0
2020-06-07,22754.0,19001.0
2020-06-08,22812.0,19028.0
2020-06-09,22845.0,19067.0
2020-06-10,22889.0,19099.0
