date,Fresno,Humboldt,Monterey,Sacramento,San Diego,Santa Barbara,Santa Cruz
2020-03-26,27.0,12.0,24.0,112.0,341.0,32.0,32.0
2020-03-27,31.0,14.0,27.0,164.0,417.0,47.0,34.0
2020-03-28,43.0,18.0,27.0,164.0,488.0,64.0,39.0
2020-03-29,43.0,18.0,32.0,164.0,519.0,68.0,44.0
2020-03-30,53.0,21.0,36.0,224.0,603.0,88.0,45.0
2020-03-31,68.0,27.0,42.0,224.0,734.0,99.0,49.0
2020-04-01,82.0,27.0,42.0,314.0,849.0,111.0,54.0
2020-04-02,94.0,37.0,48.0,340.0,966.0,139.0,57.0
2020-04-03,100.0,40.0,53.0,389.0,1112.0,152.0,59.0
2020-04-04,103.0,44.0,62.0,411.0,1209.0,168.0,62.0
2020-04-05,108.0,44.0,62.0,441.0,1326.0,174.0,69.0
2020-04-06,124.0,49.0,63.0,461.0,1404.0,192.0,71.0
2020-04-07,146.0,50.0,64.0,524.0,1454.0,218.0,76.0
2020-04-08,156.0,50.0,69.0,579.0,1530.0,228.0,76.0
2020-04-09,173.0,50.0,71.0,612.0,1628.0,243.0,80.0
2020-04-10,191.0,50.0,79.0,652.0,1696.0,260.0,80.0
2020-04-11,201.0,50.0,82.0,699.0,1761.0,264.0,82.0
2020-04-12,201.0,50.0,87.0,707.0,1804.0,267.0,88.0
2020-04-13,222.0,50.0,87.0,739.0,1847.0,284.0,91.0
2020-04-14,222.0,51.0,100.0,816.0,1930.0,313.0,91.0
2020-04-15,265.0,52.0,108.0,853.0,2012.0,334.0,96.0
2020-04-16,295.0,52.0,119.0,879.0,2087.0,354.0,96.0
2020-04-17,311.0,52.0,119.0,896.0,2158.0,373.0,98.0
2020-04-18,315.0,52.0,136.0,914.0,2213.0,385.0,101.0
2020-04-19,315.0,52.0,141.0,925.0,2268.0,394.0,104.0
2020-04-20,351.0,52.0,148.0,940.0,2325.0,416.0,106.0
2020-04-21,371.0,52.0,150.0,954.0,2434.0,429.0,108.0
2020-04-22,384.0,52.0,154.0,971.0,2491.0,440.0,111.0
2020-04-23,419.0,52.0,164.0,987.0,2643.0,451.0,114.0
2020-04-24,443.0,53.0,169.0,1019.0,2826.0,460.0,115.0
2020-04-25,458.0,53.0,176.0,1025.0,2943.0,466.0,115.0
2020-04-26,458.0,53.0,183.0,1037.0,3043.0,471.0,120.0
2020-04-27,498.0,53.0,185.0,1045.0,3141.0,471.0,124.0
2020-04-28,521.0,53.0,191.0,1053.0,3378.0,477.0,125.0
2020-04-29,538.0,54.0,206.0,1068.0,3432.0,485.0,127.0
2020-04-30,564.0,54.0,213.0,1077.0,3627.0,496.0,131.0
2020-05-01,615.0,54.0,222.0,1090.0,3774.0,506.0,132.0
2020-05-02,633.0,54.0,222.0,1106.0,3905.0,508.0,134.0
2020-05-03,633.0,54.0,225.0,1116.0,3990.0,514.0,137.0
2020-05-04,672.0,54.0,235.0,1126.0,4083.0,526.0,137.0
2020-05-05,724.0,54.0,237.0,1132.0,4223.0,544.0,138.0
2020-05-06,777.0,55.0,240.0,1132.0,4382.0,613.0,138.0
2020-05-07,813.0,55.0,246.0,1132.0,4492.0,722.0,139.0
2020-05-08,841.0,55.0,249.0,1159.0,4725.0,1032.0,140.0
2020-05-09,885.0,57.0,265.0,1164.0,4839.0,1250.0,141.0
2020-05-10,885.0,57.0,273.0,1166.0,4989.0,1308.0,141.0
2020-05-11,945.0,61.0,282.0,1172.0,5128.0,1362.0,141.0
2020-05-12,984.0,64.0,286.0,1180.0,5224.0,1372.0,146.0
2020-05-13,1014.0,67.0,298.0,1182.0,5341.0,1377.0,146.0
2020-05-14,1074.0,68.0,309.0,1193.0,5454.0,1382.0,149.0
2020-05-15,1156.0,72.0,317.0,1210.0,5586.0,1396.0,149.0
2020-05-16,1192.0,77.0,321.0,1221.0,5725.0,1412.0,149.0
2020-05-17,1192.0,77.0,329.0,1236.0,5899.0,1468.0,154.0
2020-05-18,1263.0,81.0,342.0,1244.0,6009.0,1489.0,163.0
2020-05-19,1287.0,86.0,345.0,1249.0,6089.0,1509.0,165.0
2020-05-20,1338.0,88.0,350.0,1254.0,6203.0,1521.0,168.0
2020-05-21,1372.0,88.0,356.0,1265.0,6378.0,1533.0,174.0
2020-05-22,1417.0,91.0,371.0,1271.0,6497.0,1544.0,186.0
2020-05-23,1448.0,93.0,395.0,1288.0,6622.0,1554.0,192.0
2020-05-24,1482.0,93.0,403.0,1292.0,6764.0,1566.0,192.0
2020-05-25,1482.0,94.0,413.0,1301.0,6860.0,1573.0,200.0
2020-05-26,1535.0,94.0,429.0,1309.0,6945.0,1597.0,200.0
2020-05-27,1631.0,98.0,441.0,1318.0,7046.0,1616.0,205.0
2020-05-28,1658.0,98.0,469.0,1348.0,7163.0,1629.0,205.0
2020-05-29,1714.0,99.0,477.0,1372.0,7303.0,1642.0,205.0
2020-05-30,1743.0,101.0,509.0,1399.0,7448.0,1656.0,212.0
2020-05-31,1744.0,101.0,530.0,1414.0,7544.0,1660.0,212.0
2020-06-01,1882.0,102.0,545.0,1428.0,7617.0,1662.0,217.0
2020-06-02,1914.0,103.0,571.0,1438.0,7737.0,1686.0,217.0
2020-06-03,1944.0,104.0,586.0,1462.0,7861.0,1708.0,219.0
2020-06-04,2014.0,104.0,621.0,1489.0,8003.0,1729.0,219.0
2020-06-05,2080.0,109.0,640.0,1518.0,8243.0,1779.0,221.0
2020-06-06,2122.0,111.0,667.0,1536.0,8408.0,1795.0,226.0
2020-06-07,2122.0,112.0,732.0,1568.0,8539.0,1815.0,231.0
2020-06-08,2216.0,112.0,751.0,1587.0,8682.0,1818.0,234.0
2020-06-09,2286.0,112.0,763.0,1623.0,8792.0,1838.0,234.0
2020-06-10,2318.0,113.0,791.0,1641.0,8900.0,1855.0,239.0
2020-06-11,2395.0,112.0,814.0,1669.0,9061.0,1899.0,249.0
2020-06-12,2478.0,113.0,865.0,1703.0,9193.0,1959.0,254.0
