date,Fresno,Humboldt,Monterey,Sacramento,San Diego,Santa Barbara,Santa Cruz
2020-03-26,0.0,0.0,1.0,5.0,3.0,0.0,0.0
2020-03-27,0.0,0.0,1.0,6.0,5.0,0.0,0.0
2020-03-28,0.0,0.0,1.0,6.0,7.0,0.0,0.0
2020-03-29,0.0,0.0,1.0,6.0,7.0,0.0,1.0
2020-03-30,0.0,0.0,1.0,7.0,7.0,0.0,1.0
2020-03-31,0.0,0.0,2.0,7.0,9.0,0.0,1.0
2020-04-01,0.0,0.0,2.0,9.0,15.0,0.0,1.0
2020-04-02,0.0,0.0,2.0,9.0,16.0,1.0,1.0
2020-04-03,1.0,0.0,2.0,10.0,17.0,1.0,1.0
2020-04-04,1.0,0.0,2.0,12.0,18.0,1.0,1.0
2020-04-05,1.0,0.0,2.0,16.0,19.0,2.0,1.0
2020-04-06,2.0,0.0,2.0,18.0,19.0,2.0,1.0
2020-04-07,3.0,0.0,2.0,21.0,31.0,2.0,1.0
2020-04-08,3.0,0.0,2.0,22.0,36.0,2.0,1.0
2020-04-09,3.0,0.0,3.0,22.0,40.0,2.0,1.0
2020-04-10,5.0,0.0,3.0,24.0,44.0,2.0,1.0
2020-04-11,5.0,0.0,3.0,26.0,45.0,2.0,1.0
2020-04-12,5.0,0.0,3.0,26.0,45.0,2.0,1.0
2020-04-13,5.0,0.0,3.0,27.0,47.0,2.0,1.0
2020-04-14,5.0,0.0,3.0,28.0,53.0,2.0,1.0
2020-04-15,7.0,0.0,3.0,32.0,60.0,2.0,2.0
2020-04-16,7.0,0.0,3.0,32.0,63.0,3.0,2.0
2020-04-17,7.0,0.0,3.0,32.0,70.0,3.0,2.0
2020-04-18,7.0,0.0,3.0,33.0,71.0,4.0,2.0
2020-04-19,7.0,0.0,4.0,34.0,71.0,4.0,2.0
2020-04-20,7.0,0.0,4.0,34.0,72.0,4.0,2.0
2020-04-21,7.0,0.0,4.0,35.0,87.0,5.0,2.0
2020-04-22,7.0,0.0,4.0,36.0,96.0,5.0,2.0
2020-04-23,7.0,0.0,4.0,41.0,112.0,5.0,2.0
2020-04-24,7.0,0.0,4.0,41.0,102.0,6.0,2.0
2020-04-25,7.0,0.0,4.0,41.0,111.0,6.0,2.0
2020-04-26,7.0,0.0,4.0,41.0,111.0,7.0,2.0
2020-04-27,7.0,0.0,4.0,41.0,123.0,7.0,2.0
2020-04-28,7.0,0.0,5.0,41.0,128.0,7.0,2.0
2020-04-29,7.0,0.0,5.0,42.0,133.0,8.0,2.0
2020-04-30,7.0,0.0,5.0,43.0,140.0,8.0,2.0
2020-05-01,8.0,0.0,5.0,43.0,143.0,8.0,2.0
2020-05-02,8.0,0.0,6.0,43.0,150.0,8.0,2.0
2020-05-03,8.0,0.0,6.0,43.0,150.0,8.0,2.0
2020-05-04,9.0,0.0,6.0,47.0,150.0,8.0,2.0
2020-05-05,9.0,0.0,6.0,47.0,162.0,9.0,2.0
2020-05-06,9.0,0.0,6.0,47.0,173.0,10.0,2.0
2020-05-07,9.0,0.0,6.0,49.0,186.0,11.0,2.0
2020-05-08,9.0,0.0,6.0,50.0,189.0,11.0,2.0
2020-05-09,9.0,0.0,6.0,51.0,194.0,11.0,2.0
2020-05-10,9.0,0.0,6.0,52.0,194.0,11.0,2.0
2020-05-11,9.0,0.0,6.0,52.0,194.0,11.0,2.0
2020-05-12,10.0,0.0,6.0,52.0,204.0,11.0,2.0
2020-05-13,13.0,0.0,6.0,52.0,217.0,11.0,2.0
2020-05-14,13.0,0.0,6.0,54.0,223.0,11.0,3.0
2020-05-15,16.0,0.0,8.0,54.0,231.0,11.0,2.0
2020-05-16,16.0,0.0,8.0,55.0,235.0,11.0,3.0
2020-05-17,16.0,0.0,8.0,55.0,235.0,11.0,3.0
2020-05-18,17.0,0.0,8.0,56.0,242.0,11.0,3.0
