date,,California,Colorado,Connecticut,Delaware,Hawaii,Maine,Maryland,Massachusetts,Nevada,New Hampshire,New Jersey,New Mexico,New York,Oregon,Rhode Island,Vermont,Virginia,Washington
1/25/20,2,1,,,,,,,,,,,,,,,,,1
1/26/20,3,2,,,,,,,,,,,,,,,,,1
1/27/20,3,2,,,,,,,,,,,,,,,,,1
1/28/20,3,2,,,,,,,,,,,,,,,,,1
1/29/20,3,2,,,,,,,,,,,,,,,,,1
1/30/20,3,2,,,,,,,,,,,,,,,,,1
1/31/20,4,3,,,,,,,,,,,,,,,,,1
2/1/20,5,3,,,,,,,1,,,,,,,,,,1
2/2/20,8,6,,,,,,,1,,,,,,,,,,1
2/3/20,8,6,,,,,,,1,,,,,,,,,,1
2/4/20,8,6,,,,,,,1,,,,,,,,,,1
2/5/20,8,6,,,,,,,1,,,,,,,,,,1
2/6/20,8,6,,,,,,,1,,,,,,,,,,1
2/7/20,8,6,,,,,,,1,,,,,,,,,,1
2/8/20,8,6,,,,,,,1,,,,,,,,,,1
2/9/20,8,6,,,,,,,1,,,,,,,,,,1
2/10/20,9,7,,,,,,,1,,,,,,,,,,1
2/11/20,9,7,,,,,,,1,,,,,,,,,,1
2/12/20,9,7,,,,,,,1,,,,,,,,,,1
2/13/20,9,7,,,,,,,1,,,,,,,,,,1
2/14/20,9,7,,,,,,,1,,,,,,,,,,1
2/15/20,9,7,,,,,,,1,,,,,,,,,,1
2/16/20,9,7,,,,,,,1,,,,,,,,,,1
2/17/20,9,7,,,,,,,1,,,,,,,,,,1
2/18/20,9,7,,,,,,,1,,,,,,,,,,1
2/19/20,9,7,,,,,,,1,,,,,,,,,,1
2/20/20,10,8,,,,,,,1,,,,,,,,,,1
2/21/20,11,9,,,,,,,1,,,,,,,,,,1
2/22/20,11,9,,,,,,,1,,,,,,,,,,1
2/23/20,11,9,,,,,,,1,,,,,,,,,,1
2/24/20,17,11,,,,,,,1,,,,,,,,,,5
2/25/20,17,11,,,,,,,1,,,,,,,,,,5
2/26/20,32,26,,,,,,,1,,,,,,,,,,5
2/27/20,32,26,,,,,,,1,,,,,,,,,,5
2/28/20,36,27,,,,,,,1,,,,,,1,,,,7
2/29/20,40,28,,,,,,,1,,,,,,1,,,,10
3/1/20,56,33,,,,,,,1,,,,,1,2,2,,,17
3/2/20,69,38,,,,,,,2,,1,,,1,2,2,,,23
3/3/20,87,45,,,,,,,2,,2,,,2,2,2,,,32
3/4/20,122,55,,,,,,,2,,2,1,,11,2,2,,,47
3/5/20,182,67,2,,,,,3,3,2,2,2,,22,2,2,,,75
3/6/20,244,81,8,,,1,,3,8,2,2,4,,44,2,3,,,86
3/7/20,345,100,8,,,1,,3,13,2,4,4,,89,6,3,1,1,110
3/8/20,436,112,8,1,,2,,5,28,4,4,6,,106,13,3,1,2,141
3/9/20,597,172,12,2,,2,,6,41,4,4,11,,142,13,3,1,5,179
3/10/20,805,179,17,2,,2,,9,92,4,5,15,,173,14,5,1,8,279
3/11/20,981,202,34,3,1,2,,13,95,7,5,23,4,217,20,5,2,10,338
3/12/20,1286,252,49,6,4,2,1,13,108,11,6,29,6,326,30,5,2,17,419
3/13/20,1658,320,78,11,4,2,2,18,123,19,7,50,10,421,30,20,2,30,511
3/14/20,2118,381,103,20,4,4,3,27,138,21,7,75,13,610,36,20,5,42,609
3/15/20,2535,478,136,26,7,7,12,32,164,26,13,98,17,732,39,20,8,45,675
3/16/20,3194,588,161,41,8,10,17,39,197,45,17,176,21,950,46,21,12,51,794
