date,BRA
2020-03-26,2433.0
2020-03-27,2915.0
2020-03-28,3417.0
2020-03-29,3904.0
2020-03-30,4256.0
2020-03-31,4579.0
2020-04-01,5717.0
2020-04-02,6836.0
2020-04-03,7910.0
2020-04-04,9056.0
2020-04-05,10278.0
2020-04-06,11130.0
2020-04-07,12056.0
2020-04-08,13717.0
2020-04-09,15927.0
2020-04-10,17857.0
2020-04-11,19638.0
2020-04-12,20727.0
2020-04-13,22169.0
2020-04-14,23430.0
2020-04-15,25262.0
2020-04-16,28320.0
2020-04-17,30425.0
2020-04-18,33682.0
2020-04-19,36599.0
2020-04-20,38654.0
2020-04-21,40581.0
2020-04-22,43079.0
2020-04-23,45757.0
2020-04-24,49492.0
2020-04-25,52995.0
2020-04-26,58509.0
2020-04-27,61888.0
2020-04-28,66501.0
2020-04-29,71886.0
2020-04-30,78162.0
2020-05-01,85380.0
2020-05-02,91589.0
2020-05-03,96559.0
2020-05-04,101147.0
2020-05-05,107780.0
2020-05-06,114715.0
2020-05-07,125218.0
2020-05-08,135106.0
2020-05-09,145328.0
2020-05-10,155939.0
2020-05-11,162699.0
2020-05-12,168331.0
2020-05-13,177589.0
2020-05-14,188974.0
2020-05-15,202918.0
2020-05-16,218223.0
2020-05-17,233142.0
2020-05-18,241080.0
2020-05-19,254220.0
2020-05-20,271628.0
2020-05-21,291579.0
2020-05-22,310087.0
2020-05-23,330890.0
2020-05-24,347398.0
2020-05-25,363211.0
2020-05-26,374898.0
2020-05-27,391222.0
2020-05-28,411821.0
2020-05-29,438238.0
2020-05-30,465166.0
2020-05-31,498440.0
2020-06-01,514849.0
2020-06-02,526447.0
2020-06-03,555383.0
2020-06-04,584016.0
2020-06-05,614932.0
2020-06-06,645762.0
2020-06-07,672837.0
2020-06-08,691758.0
2020-06-09,707412.0
2020-06-10,739503.0
2020-06-11,772416.0
2020-06-12,802828.0
2020-06-13,828810.0
2020-06-14,850514.0
2020-06-15,867624.0
2020-06-16,888271.0
2020-06-17,923189.0
2020-06-18,955377.0
2020-06-19,978142.0
2020-06-20,1032913.0
2020-06-21,1067579.0
2020-06-22,1085038.0
2020-06-23,1106470.0
2020-06-24,1145906.0
2020-06-25,1188631.0
2020-06-26,1228114.0
2020-06-27,1274974.0
2020-06-28,1313667.0
2020-06-29,1344143.0
2020-06-30,1368195.0
2020-07-01,1402041.0
2020-07-02,1448753.0
