date,Alabama,Arizona,Arkansas,California,Florida,Georgia,Idaho,Iowa,Louisiana,Mississippi,Nevada,North Carolina,South Carolina,Tennessee,Texas,Utah
2020-03-02,,1.0,,38.0,2.0,2.0,,,,,,,,,11.0,1.0
2020-03-03,,2.0,,45.0,3.0,2.0,,,,,,1.0,,,11.0,1.0
2020-03-04,,2.0,,55.0,3.0,2.0,,,,,,1.0,,,12.0,1.0
2020-03-05,,2.0,,67.0,4.0,2.0,,,,,2.0,1.0,,1.0,16.0,1.0
2020-03-06,,3.0,,81.0,7.0,3.0,,,,,2.0,2.0,2.0,1.0,19.0,3.0
2020-03-07,,5.0,,100.0,12.0,7.0,,,,,2.0,2.0,2.0,1.0,19.0,3.0
2020-03-08,,5.0,,112.0,13.0,11.0,,3.0,,,4.0,2.0,6.0,3.0,23.0,3.0
2020-03-09,,6.0,,172.0,14.0,17.0,,8.0,1.0,,4.0,7.0,7.0,4.0,24.0,3.0
2020-03-10,,6.0,,179.0,23.0,22.0,,13.0,6.0,,4.0,7.0,9.0,7.0,31.0,4.0
2020-03-11,,9.0,1.0,202.0,26.0,31.0,,14.0,13.0,1.0,7.0,8.0,10.0,8.0,33.0,5.0
2020-03-12,,9.0,6.0,252.0,46.0,31.0,,16.0,14.0,1.0,11.0,16.0,12.0,18.0,41.0,7.0
2020-03-13,6.0,9.0,7.0,320.0,70.0,41.0,1.0,17.0,36.0,6.0,19.0,18.0,13.0,26.0,58.0,7.0
2020-03-14,12.0,12.0,9.0,381.0,70.0,65.0,5.0,18.0,77.0,6.0,21.0,25.0,19.0,32.0,69.0,21.0
2020-03-15,23.0,13.0,16.0,478.0,109.0,97.0,5.0,22.0,103.0,10.0,26.0,32.0,28.0,39.0,80.0,29.0
2020-03-16,29.0,18.0,22.0,588.0,141.0,118.0,5.0,22.0,137.0,12.0,45.0,34.0,33.0,52.0,87.0,40.0
2020-03-17,39.0,20.0,22.0,732.0,210.0,142.0,9.0,29.0,196.0,21.0,55.0,42.0,47.0,73.0,106.0,51.0
2020-03-18,51.0,28.0,33.0,893.0,326.0,193.0,11.0,38.0,280.0,34.0,82.0,66.0,60.0,98.0,166.0,65.0
2020-03-19,78.0,47.0,62.0,1067.0,434.0,282.0,23.0,44.0,392.0,50.0,99.0,104.0,81.0,155.0,248.0,80.0
2020-03-20,106.0,70.0,100.0,1283.0,564.0,482.0,31.0,45.0,537.0,80.0,165.0,144.0,126.0,237.0,386.0,112.0
2020-03-21,131.0,104.0,118.0,1544.0,764.0,552.0,42.0,68.0,763.0,140.0,165.0,184.0,172.0,312.0,547.0,138.0
2020-03-22,157.0,153.0,165.0,1851.0,1000.0,620.0,47.0,90.0,837.0,207.0,190.0,269.0,194.0,424.0,639.0,182.0
2020-03-23,196.0,234.0,201.0,2240.0,1222.0,800.0,50.0,105.0,1172.0,249.0,265.0,302.0,299.0,522.0,728.0,257.0
2020-03-24,242.0,326.0,231.0,2644.0,1467.0,1095.0,73.0,124.0,1388.0,320.0,315.0,397.0,342.0,678.0,857.0,299.0
2020-03-25,386.0,402.0,307.0,3183.0,1971.0,1385.0,123.0,147.0,1795.0,376.0,405.0,562.0,425.0,806.0,1132.0,346.0
2020-03-26,538.0,508.0,350.0,4060.0,2478.0,1641.0,189.0,179.0,2305.0,486.0,535.0,639.0,456.0,981.0,1542.0,402.0
2020-03-27,639.0,665.0,385.0,4915.0,3198.0,2198.0,232.0,236.0,2746.0,579.0,621.0,784.0,542.0,1180.0,1971.0,480.0
2020-03-28,720.0,773.0,409.0,5566.0,4038.0,2447.0,262.0,298.0,3315.0,669.0,738.0,972.0,661.0,1363.0,2381.0,608.0
2020-03-29,830.0,930.0,449.0,6321.0,4943.0,2683.0,310.0,336.0,3539.0,759.0,920.0,1166.0,775.0,1569.0,2722.0,719.0
2020-03-30,947.0,1169.0,508.0,7421.0,5695.0,3032.0,415.0,424.0,4024.0,848.0,1044.0,1303.0,925.0,1721.0,3065.0,806.0
