date,,California,Colorado,Connecticut,Delaware,Hawaii,Illinois,Kansas,Kentucky,Louisiana,Maine,Michigan,Minnesota,Montana,Nevada,New Jersey,New Mexico,New York,North Carolina,Oregon,Pennsylvania,Rhode Island,Virginia,Washington,Wisconsin
1/25/20,3,1,,,,,1,,,,,,,,,,,,,,,,,1,
1/26/20,4,2,,,,,1,,,,,,,,,,,,,,,,,1,
1/27/20,4,2,,,,,1,,,,,,,,,,,,,,,,,1,
1/28/20,4,2,,,,,1,,,,,,,,,,,,,,,,,1,
1/29/20,4,2,,,,,1,,,,,,,,,,,,,,,,,1,
1/30/20,5,2,,,,,2,,,,,,,,,,,,,,,,,1,
1/31/20,6,3,,,,,2,,,,,,,,,,,,,,,,,1,
2/1/20,6,3,,,,,2,,,,,,,,,,,,,,,,,1,
2/2/20,9,6,,,,,2,,,,,,,,,,,,,,,,,1,
2/3/20,9,6,,,,,2,,,,,,,,,,,,,,,,,1,
2/4/20,9,6,,,,,2,,,,,,,,,,,,,,,,,1,
2/5/20,10,6,,,,,2,,,,,,,,,,,,,,,,,1,1
2/6/20,10,6,,,,,2,,,,,,,,,,,,,,,,,1,1
2/7/20,10,6,,,,,2,,,,,,,,,,,,,,,,,1,1
2/8/20,10,6,,,,,2,,,,,,,,,,,,,,,,,1,1
2/9/20,10,6,,,,,2,,,,,,,,,,,,,,,,,1,1
2/10/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/11/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/12/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/13/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/14/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/15/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/16/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/17/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/18/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/19/20,11,7,,,,,2,,,,,,,,,,,,,,,,,1,1
2/20/20,12,8,,,,,2,,,,,,,,,,,,,,,,,1,1
2/21/20,13,9,,,,,2,,,,,,,,,,,,,,,,,1,1
2/22/20,13,9,,,,,2,,,,,,,,,,,,,,,,,1,1
2/23/20,13,9,,,,,2,,,,,,,,,,,,,,,,,1,1
2/24/20,19,11,,,,,2,,,,,,,,,,,,,,,,,5,1
2/25/20,19,11,,,,,2,,,,,,,,,,,,,,,,,5,1
2/26/20,34,26,,,,,2,,,,,,,,,,,,,,,,,5,1
2/27/20,34,26,,,,,2,,,,,,,,,,,,,,,,,5,1
2/28/20,38,27,,,,,2,,,,,,,,,,,,,1,,,,7,1
2/29/20,43,28,,,,,3,,,,,,,,,,,,,1,,,,10,1
3/1/20,59,33,,,,,3,,,,,,,,,,,1,,2,,2,,17,1
3/2/20,71,38,,,,,4,,,,,,,,,,,1,,2,,2,,23,1
3/3/20,89,45,,,,,4,,,,,,,,,,,2,1,2,,2,,32,1
3/4/20,124,55,,,,,4,,,,,,,,,1,,11,1,2,,2,,47,1
