date,BEL,ESP,FRA,GBR,IRL,ITA,LUX,PRT
2020-03-26,220.0,4365.0,1697.0,886.0,19.0,8215.0,9.0,60.0
2020-03-27,289.0,5138.0,1996.0,1174.0,22.0,9134.0,15.0,76.0
2020-03-28,353.0,5982.0,2314.0,1466.0,36.0,10023.0,18.0,100.0
2020-03-29,431.0,6803.0,2608.0,1679.0,46.0,10779.0,21.0,119.0
2020-03-30,513.0,7716.0,3026.0,2053.0,54.0,11591.0,22.0,140.0
2020-03-31,705.0,8464.0,3526.0,2457.0,71.0,12428.0,23.0,160.0
2020-04-01,828.0,9387.0,4778.0,3130.0,85.0,13155.0,29.0,187.0
2020-04-02,1011.0,10348.0,5387.0,3787.0,98.0,13915.0,30.0,209.0
2020-04-03,1143.0,11198.0,6509.0,4524.0,120.0,14681.0,31.0,246.0
2020-04-04,1283.0,11947.0,7562.0,5281.0,137.0,15362.0,31.0,266.0
2020-04-05,1447.0,12641.0,8081.0,5882.0,158.0,15887.0,36.0,295.0
2020-04-06,1632.0,13341.0,8914.0,6452.0,174.0,16523.0,41.0,311.0
2020-04-07,2035.0,14045.0,10330.0,7557.0,210.0,17127.0,44.0,345.0
2020-04-08,2240.0,14792.0,10874.0,8589.0,235.0,17669.0,46.0,380.0
2020-04-09,2523.0,15447.0,12214.0,9706.0,263.0,18279.0,52.0,409.0
2020-04-10,3019.0,16081.0,13199.0,10829.0,287.0,18849.0,54.0,435.0
2020-04-11,3346.0,16606.0,13835.0,11673.0,320.0,19468.0,62.0,470.0
2020-04-12,3600.0,17209.0,14396.0,12330.0,334.0,19899.0,66.0,504.0
2020-04-13,3903.0,17756.0,14969.0,13055.0,365.0,20465.0,69.0,535.0
2020-04-14,4157.0,18056.0,15712.0,14135.0,406.0,21067.0,67.0,567.0
2020-04-15,4440.0,18708.0,17150.0,15019.0,444.0,21645.0,69.0,599.0
2020-04-16,4857.0,19315.0,17903.0,16059.0,486.0,22170.0,69.0,629.0
2020-04-17,5163.0,20002.0,18664.0,16973.0,530.0,22745.0,72.0,657.0
2020-04-18,5453.0,20043.0,19305.0,18081.0,571.0,23227.0,72.0,687.0
2020-04-19,5683.0,20453.0,19694.0,18514.0,610.0,23660.0,73.0,714.0
2020-04-20,5828.0,20852.0,20241.0,19090.0,687.0,24114.0,75.0,735.0
2020-04-21,5998.0,21282.0,20769.0,20314.0,730.0,24648.0,78.0,762.0
2020-04-22,6262.0,21717.0,21313.0,21171.0,769.0,25085.0,80.0,785.0
2020-04-23,6490.0,22157.0,21829.0,21855.0,794.0,25549.0,83.0,820.0
2020-04-24,6679.0,22524.0,22219.0,22873.0,1014.0,25969.0,85.0,854.0
2020-04-25,6917.0,22902.0,22588.0,23689.0,1063.0,26384.0,85.0,880.0
2020-04-26,7094.0,23190.0,22830.0,24053.0,1087.0,26644.0,88.0,903.0
2020-04-27,7207.0,23521.0,23267.0,24376.0,1102.0,26977.0,88.0,928.0
2020-04-28,7331.0,23822.0,23634.0,25347.0,1159.0,27359.0,89.0,948.0
2020-04-29,7501.0,24275.0,24060.0,26118.0,1190.0,27682.0,89.0,973.0
2020-04-30,7594.0,24543.0,24349.0,26754.0,1232.0,27967.0,90.0,989.0
2020-05-01,7703.0,24543.0,24566.0,27454.0,1265.0,28236.0,92.0,1007.0
2020-05-02,7765.0,25100.0,24763.0,28039.0,1286.0,28710.0,92.0,1023.0
2020-05-03,7844.0,25264.0,24898.0,28292.0,1303.0,28884.0,96.0,1043.0
2020-05-04,7924.0,25428.0,25204.0,28565.0,1319.0,29079.0,96.0,1063.0
2020-05-05,8016.0,25613.0,25537.0,29290.0,1339.0,29315.0,96.0,1074.0
2020-05-06,8339.0,25857.0,25812.0,29937.0,1375.0,29684.0,98.0,1089.0
2020-05-07,8415.0,26070.0,25991.0,30395.0,1403.0,29958.0,100.0,1105.0
2020-05-08,8521.0,26299.0,26233.0,30975.0,1429.0,30201.0,100.0,1114.0
2020-05-09,8581.0,26478.0,26313.0,31250.0,1446.0,30395.0,101.0,1126.0
2020-05-10,8656.0,26621.0,26383.0,31467.0,1458.0,30560.0,101.0,1135.0
2020-05-11,8707.0,26744.0,26646.0,31655.0,1467.0,30739.0,101.0,1144.0
2020-05-12,8761.0,26920.0,26994.0,32270.0,1488.0,30911.0,102.0,1163.0
2020-05-13,8843.0,27104.0,27079.0,32718.0,1497.0,31106.0,103.0,1175.0
2020-05-14,8903.0,27321.0,27430.0,33071.0,1506.0,31368.0,103.0,1184.0
2020-05-15,8959.0,27459.0,27532.0,33422.0,1518.0,31610.0,104.0,1190.0
2020-05-16,9005.0,27563.0,27630.0,33833.0,1533.0,31763.0,104.0,1203.0
2020-05-17,9052.0,27563.0,28113.0,33900.0,1543.0,31908.0,107.0,1218.0
2020-05-18,9080.0,27709.0,28242.0,34046.0,1547.0,32007.0,107.0,1231.0
2020-05-19,9108.0,27778.0,28025.0,34547.0,1561.0,32169.0,109.0,1247.0
2020-05-20,9150.0,27888.0,28136.0,34876.0,1571.0,32330.0,109.0,1263.0
2020-05-21,9186.0,27940.0,28218.0,35149.0,1583.0,32486.0,109.0,1277.0
2020-05-22,9212.0,28628.0,28366.0,35440.0,1592.0,32616.0,109.0,1289.0
2020-05-23,9237.0,28678.0,28452.0,35660.0,1604.0,32735.0,109.0,1302.0
2020-05-24,9280.0,28752.0,28372.0,36039.0,1608.0,32785.0,110.0,1316.0
2020-05-25,9312.0,26834.0,28461.0,36143.0,1606.0,32877.0,110.0,1330.0
2020-05-26,9334.0,27117.0,28598.0,36274.0,1615.0,32955.0,110.0,1342.0
2020-05-27,9364.0,27117.0,28599.0,36696.0,1631.0,33072.0,110.0,1356.0
2020-05-28,9388.0,27119.0,28666.0,37039.0,1639.0,33142.0,110.0,1369.0
2020-05-29,9430.0,27121.0,28717.0,37313.0,1645.0,33229.0,110.0,1383.0
2020-05-30,9453.0,27125.0,28774.0,37467.0,1651.0,33340.0,110.0,1396.0
2020-05-31,9467.0,27127.0,28805.0,37527.0,1652.0,33415.0,110.0,1410.0
2020-06-01,9486.0,27127.0,28837.0,37613.0,1650.0,33475.0,110.0,1424.0
2020-06-02,9505.0,27127.0,28943.0,37863.0,1658.0,33530.0,110.0,1436.0
2020-06-03,9522.0,27128.0,29024.0,38117.0,1659.0,33601.0,110.0,1447.0
2020-06-04,9548.0,27133.0,29069.0,38247.0,1664.0,33689.0,110.0,1455.0
2020-06-05,9566.0,27134.0,29114.0,38505.0,1670.0,33774.0,110.0,1465.0
2020-06-06,9580.0,27135.0,29145.0,38648.0,1678.0,33846.0,110.0,1474.0
2020-06-07,9595.0,27136.0,29158.0,38702.0,1679.0,33899.0,110.0,1479.0
2020-06-08,9606.0,27136.0,29213.0,38749.0,1683.0,33964.0,110.0,1485.0
2020-06-09,9619.0,27136.0,29301.0,38946.0,1691.0,34043.0,110.0,1492.0
2020-06-10,9629.0,27136.0,29322.0,39110.0,1695.0,34114.0,110.0,1497.0
2020-06-11,9636.0,27136.0,29349.0,39186.0,1703.0,34167.0,110.0,1504.0
2020-06-12,9646.0,27136.0,29377.0,39317.0,1705.0,34223.0,110.0,1505.0
2020-06-13,9650.0,27136.0,29401.0,39424.0,1705.0,34301.0,110.0,1512.0
2020-06-14,9655.0,27136.0,29411.0,39451.0,1706.0,34345.0,110.0,1517.0
2020-06-15,9661.0,27136.0,29439.0,39480.0,1706.0,34371.0,110.0,1520.0
2020-06-16,9663.0,27136.0,29553.0,39600.0,1709.0,34405.0,110.0,1522.0
2020-06-17,9675.0,27136.0,29578.0,39710.0,1710.0,34448.0,110.0,1523.0
2020-06-18,9683.0,27136.0,29606.0,39777.0,1714.0,34514.0,110.0,1524.0
2020-06-19,9695.0,28315.0,29620.0,39861.0,1714.0,34561.0,110.0,1527.0
2020-06-20,9696.0,28322.0,29638.0,39932.0,1715.0,34610.0,110.0,1528.0
2020-06-21,9696.0,28323.0,29644.0,39963.0,1715.0,34634.0,110.0,1530.0
2020-06-22,9696.0,28324.0,29668.0,39976.0,1717.0,34657.0,110.0,1534.0
2020-06-23,9713.0,28325.0,29722.0,40070.0,1720.0,34675.0,110.0,1540.0
2020-06-24,9722.0,28327.0,29735.0,40157.0,1726.0,34644.0,110.0,1543.0
2020-06-25,9726.0,28330.0,29754.0,40256.0,1727.0,34678.0,110.0,1549.0
2020-06-26,9731.0,28338.0,29780.0,40333.0,1730.0,34708.0,110.0,1555.0
2020-06-27,9732.0,28341.0,29781.0,40373.0,1734.0,34716.0,110.0,1561.0
2020-06-28,9732.0,28343.0,29781.0,40404.0,1735.0,34738.0,110.0,1564.0
2020-06-29,9732.0,28346.0,29816.0,40425.0,1735.0,34744.0,110.0,1568.0
2020-06-30,9747.0,28355.0,29846.0,40479.0,1736.0,34767.0,110.0,1576.0
2020-07-01,9754.0,28364.0,29865.0,40576.0,1738.0,34788.0,110.0,1579.0
2020-07-02,9761.0,28368.0,29878.0,40617.0,1738.0,34818.0,110.0,1587.0
2020-07-03,9765.0,28385.0,29896.0,40666.0,1740.0,34833.0,110.0,1598.0
2020-07-04,9771.0,28385.0,29896.0,40698.0,1741.0,34854.0,110.0,1605.0
2020-07-05,9771.0,28385.0,29895.0,40717.0,1741.0,34861.0,110.0,1614.0
2020-07-06,9774.0,28388.0,29925.0,40728.0,1741.0,34869.0,110.0,1620.0
2020-07-07,9774.0,28392.0,29936.0,40782.0,1742.0,34899.0,110.0,1629.0
2020-07-08,9776.0,28396.0,29967.0,40839.0,1738.0,34914.0,110.0,1631.0
2020-07-09,9778.0,28401.0,29983.0,40870.0,1743.0,34926.0,110.0,1644.0
2020-07-10,9781.0,28403.0,30009.0,40904.0,1744.0,34938.0,110.0,1646.0
2020-07-11,9782.0,28403.0,30012.0,40921.0,1746.0,34945.0,110.0,1654.0
2020-07-12,9782.0,28403.0,30012.0,40930.0,1746.0,34954.0,111.0,1660.0
2020-07-13,9782.0,28406.0,30035.0,40940.0,1746.0,34967.0,111.0,1662.0
2020-07-14,9787.0,28409.0,30037.0,40984.0,1746.0,34984.0,111.0,1668.0
2020-07-15,9788.0,28413.0,30125.0,41010.0,1748.0,34997.0,111.0,1676.0
2020-07-16,9795.0,28416.0,30142.0,41034.0,1749.0,35017.0,111.0,1679.0
