date,AUT,CHE,CZE,DEU,NLD,POL,SVK,SVN
2020-03-26,6909.0,11811.0,1925.0,43938.0,7468.0,1221.0,226.0,562.0
2020-03-27,7657.0,12928.0,2279.0,50871.0,8647.0,1389.0,269.0,632.0
2020-03-28,8271.0,14076.0,2631.0,57695.0,9819.0,1638.0,292.0,684.0
2020-03-29,8788.0,14829.0,2817.0,62095.0,10930.0,1862.0,314.0,730.0
2020-03-30,9618.0,15922.0,3001.0,66885.0,11817.0,2055.0,336.0,756.0
2020-03-31,10180.0,16605.0,3308.0,71808.0,12667.0,2311.0,363.0,802.0
2020-04-01,10711.0,17768.0,3508.0,77872.0,13696.0,2554.0,400.0,841.0
2020-04-02,11129.0,18827.0,3858.0,84794.0,14788.0,2946.0,426.0,897.0
2020-04-03,11524.0,19606.0,4091.0,91159.0,15821.0,3383.0,450.0,934.0
2020-04-04,11781.0,20505.0,4472.0,96092.0,16727.0,3627.0,471.0,977.0
2020-04-05,12051.0,21100.0,4587.0,100123.0,17953.0,4102.0,485.0,997.0
2020-04-06,12297.0,21657.0,4822.0,103374.0,18926.0,4413.0,534.0,1021.0
2020-04-07,12639.0,22253.0,5017.0,107663.0,19709.0,4848.0,581.0,1059.0
2020-04-08,12942.0,23280.0,5312.0,113296.0,20682.0,5205.0,682.0,1091.0
2020-04-09,13244.0,24051.0,5569.0,118181.0,21903.0,5575.0,701.0,1124.0
2020-04-10,13555.0,24551.0,5732.0,122171.0,23249.0,5955.0,715.0,1160.0
2020-04-11,13806.0,25107.0,5831.0,124908.0,24571.0,6356.0,728.0,1188.0
2020-04-12,13945.0,25415.0,5991.0,127854.0,25746.0,6674.0,742.0,1205.0
2020-04-13,14041.0,25688.0,6059.0,130072.0,26710.0,6934.0,769.0,1212.0
2020-04-14,14226.0,25936.0,6111.0,131359.0,27580.0,7202.0,835.0,1220.0
2020-04-15,14336.0,26336.0,6216.0,134753.0,28316.0,7582.0,863.0,1248.0
2020-04-16,14476.0,26732.0,6433.0,137698.0,29383.0,7918.0,977.0,1268.0
2020-04-17,14595.0,27078.0,6549.0,141397.0,30619.0,8379.0,1049.0,1304.0
2020-04-18,14671.0,27404.0,6606.0,143342.0,31766.0,8742.0,1089.0,1317.0
2020-04-19,14749.0,27740.0,6746.0,145184.0,32838.0,9287.0,1161.0,1330.0
2020-04-20,14795.0,27944.0,6900.0,147065.0,33588.0,9593.0,1173.0,1335.0
2020-04-21,14873.0,28063.0,7033.0,148291.0,34317.0,9856.0,1199.0,1344.0
2020-04-22,14925.0,28268.0,7132.0,150648.0,35032.0,10169.0,1244.0,1353.0
2020-04-23,15002.0,28496.0,7187.0,153129.0,35921.0,10511.0,1325.0,1366.0
2020-04-24,15071.0,28677.0,7273.0,154999.0,36729.0,10892.0,1360.0,1373.0
2020-04-25,15148.0,28894.0,7352.0,156513.0,37384.0,11273.0,1373.0,1388.0
2020-04-26,15225.0,29061.0,7404.0,157770.0,38040.0,11617.0,1379.0,1396.0
2020-04-27,15274.0,29164.0,7445.0,158758.0,38440.0,11902.0,1381.0,1402.0
2020-04-28,15357.0,29264.0,7504.0,159912.0,38612.0,12218.0,1384.0,1408.0
2020-04-29,15402.0,29407.0,7579.0,161539.0,38998.0,12640.0,1391.0,1418.0
2020-04-30,15452.0,29586.0,7682.0,163009.0,39512.0,12877.0,1396.0,1429.0
2020-05-01,15531.0,29705.0,7737.0,164077.0,39989.0,13105.0,1403.0,1434.0
2020-05-02,15558.0,29817.0,7755.0,164967.0,40434.0,13375.0,1407.0,1439.0
2020-05-03,15597.0,29905.0,7781.0,165664.0,40769.0,13693.0,1408.0,1439.0
2020-05-04,15621.0,29981.0,7819.0,166152.0,40968.0,14006.0,1413.0,1439.0
2020-05-05,15650.0,30009.0,7896.0,167007.0,41286.0,14431.0,1421.0,1445.0
2020-05-06,15684.0,30060.0,7974.0,168162.0,41518.0,14740.0,1429.0,1448.0
2020-05-07,15752.0,30126.0,8031.0,169430.0,41973.0,15047.0,1445.0,1449.0
2020-05-08,15774.0,30207.0,8077.0,170588.0,42292.0,15366.0,1455.0,1450.0
2020-05-09,15833.0,30251.0,8095.0,171324.0,42581.0,15651.0,1455.0,1454.0
