date,AUT,CHE,CZE,DEU,NLD,POL,SVK,SVN
2020-03-26,49.0,191.0,9.0,267.0,435.0,16.0,,6.0
2020-03-27,58.0,231.0,9.0,342.0,547.0,16.0,,9.0
2020-03-28,68.0,264.0,11.0,433.0,640.0,18.0,,9.0
2020-03-29,86.0,300.0,16.0,533.0,772.0,22.0,,11.0
2020-03-30,108.0,359.0,23.0,645.0,865.0,31.0,,11.0
2020-03-31,128.0,433.0,31.0,775.0,1040.0,33.0,,15.0
2020-04-01,146.0,488.0,39.0,920.0,1175.0,43.0,1.0,15.0
2020-04-02,158.0,536.0,44.0,1107.0,1341.0,57.0,1.0,17.0
2020-04-03,168.0,591.0,53.0,1275.0,1490.0,71.0,1.0,20.0
2020-04-04,186.0,666.0,59.0,1444.0,1656.0,79.0,1.0,22.0
2020-04-05,204.0,715.0,67.0,1584.0,1771.0,94.0,1.0,28.0
2020-04-06,220.0,765.0,78.0,1810.0,1874.0,107.0,2.0,30.0
2020-04-07,243.0,821.0,88.0,2016.0,2108.0,129.0,2.0,36.0
2020-04-08,273.0,895.0,99.0,2349.0,2255.0,159.0,2.0,40.0
2020-04-09,295.0,948.0,112.0,2607.0,2403.0,174.0,2.0,43.0
2020-04-10,319.0,1002.0,119.0,2767.0,2520.0,181.0,2.0,45.0
2020-04-11,337.0,1036.0,129.0,2736.0,2653.0,208.0,2.0,50.0
2020-04-12,350.0,1106.0,138.0,3022.0,2747.0,232.0,2.0,53.0
2020-04-13,368.0,1138.0,143.0,3194.0,2833.0,245.0,2.0,55.0
2020-04-14,384.0,1174.0,161.0,3294.0,2955.0,263.0,2.0,56.0
2020-04-15,393.0,1239.0,166.0,3804.0,3145.0,286.0,6.0,61.0
2020-04-16,410.0,1281.0,169.0,4052.0,3327.0,314.0,8.0,61.0
2020-04-17,431.0,1327.0,173.0,4352.0,3471.0,332.0,9.0,66.0
2020-04-18,443.0,1368.0,181.0,4459.0,3613.0,347.0,11.0,70.0
2020-04-19,452.0,1393.0,186.0,4586.0,3697.0,360.0,12.0,74.0
2020-04-20,470.0,1429.0,194.0,4862.0,3764.0,380.0,13.0,77.0
2020-04-21,491.0,1478.0,201.0,5033.0,3929.0,401.0,14.0,77.0
2020-04-22,510.0,1509.0,208.0,5279.0,4068.0,426.0,14.0,79.0
2020-04-23,522.0,1549.0,210.0,5575.0,4192.0,454.0,15.0,79.0
2020-04-24,530.0,1589.0,214.0,5760.0,4304.0,494.0,17.0,80.0
2020-04-25,536.0,1599.0,218.0,5877.0,4424.0,524.0,17.0,81.0
2020-04-26,542.0,1610.0,220.0,5976.0,4491.0,535.0,18.0,82.0
2020-04-27,549.0,1665.0,223.0,6126.0,4534.0,562.0,18.0,83.0
2020-04-28,569.0,1699.0,227.0,6314.0,4582.0,596.0,20.0,86.0
2020-04-29,580.0,1716.0,227.0,6467.0,4727.0,624.0,22.0,89.0
