date,DNK,EST,FIN,HUN,LTU,LVA,NOR,SWE
2020-03-26,2023.0,538.0,958.0,261.0,263.0,244.0,3369.0,2998.0
2020-03-27,2200.0,575.0,1041.0,300.0,292.0,280.0,3755.0,3363.0
2020-03-28,2366.0,645.0,1167.0,343.0,339.0,305.0,4015.0,3663.0
2020-03-29,2564.0,679.0,1240.0,408.0,378.0,347.0,4284.0,3943.0
2020-03-30,2755.0,715.0,1352.0,447.0,424.0,376.0,4445.0,4359.0
2020-03-31,3039.0,745.0,1418.0,492.0,468.0,398.0,4641.0,4834.0
2020-04-01,3290.0,779.0,1446.0,525.0,512.0,446.0,4863.0,5320.0
2020-04-02,3573.0,858.0,1518.0,585.0,579.0,458.0,5147.0,5874.0
2020-04-03,3946.0,961.0,1615.0,623.0,631.0,493.0,5370.0,6475.0
2020-04-04,4269.0,1039.0,1882.0,678.0,683.0,509.0,5550.0,6832.0
2020-04-05,4561.0,1097.0,1927.0,733.0,716.0,533.0,5687.0,7172.0
2020-04-06,4875.0,1108.0,2176.0,744.0,750.0,542.0,5865.0,7561.0
2020-04-07,5266.0,1149.0,2308.0,817.0,783.0,548.0,6086.0,8299.0
2020-04-08,5597.0,1185.0,2487.0,895.0,821.0,577.0,6086.0,8954.0
2020-04-09,5830.0,1207.0,2605.0,980.0,858.0,589.0,6211.0,9599.0
2020-04-10,6014.0,1258.0,2769.0,1190.0,896.0,612.0,6314.0,10053.0
2020-04-11,6191.0,1304.0,2905.0,1310.0,926.0,630.0,6409.0,10448.0
2020-04-12,6369.0,1309.0,2974.0,1410.0,952.0,651.0,6525.0,10912.0
2020-04-13,6513.0,1332.0,3064.0,1458.0,970.0,655.0,6603.0,11349.0
2020-04-14,6706.0,1373.0,3161.0,1512.0,977.0,657.0,6623.0,11828.0
2020-04-15,6876.0,1400.0,3237.0,1579.0,995.0,666.0,6740.0,12432.0
2020-04-16,7074.0,1434.0,3369.0,1652.0,1022.0,675.0,6896.0,13055.0
2020-04-17,7268.0,1459.0,3489.0,1763.0,1050.0,682.0,6937.0,13743.0
2020-04-18,7437.0,1512.0,3681.0,1834.0,1091.0,712.0,7036.0,14275.0
2020-04-19,7580.0,1528.0,3783.0,1916.0,1153.0,727.0,7078.0,14663.0
2020-04-20,7711.0,1535.0,3868.0,1984.0,1173.0,739.0,7156.0,15124.0
2020-04-21,7891.0,1552.0,4014.0,2098.0,1226.0,748.0,7191.0,15831.0
2020-04-22,8108.0,1559.0,4129.0,2168.0,1250.0,761.0,7338.0,16553.0
2020-04-23,8271.0,1592.0,4284.0,2284.0,1272.0,778.0,7401.0,17311.0
2020-04-24,8408.0,1605.0,4395.0,2443.0,1291.0,784.0,7463.0,18090.0
2020-04-25,8643.0,1635.0,4475.0,2443.0,1301.0,804.0,7499.0,18563.0
2020-04-26,8773.0,1643.0,4576.0,2500.0,1316.0,812.0,7527.0,18863.0
2020-04-27,8896.0,1647.0,4695.0,2583.0,1328.0,818.0,7599.0,19426.0
2020-04-28,9049.0,1660.0,4740.0,2649.0,1337.0,836.0,7660.0,20168.0
2020-04-29,9206.0,1666.0,4906.0,2727.0,1364.0,849.0,7710.0,20966.0
2020-04-30,9356.0,1689.0,4995.0,2775.0,1375.0,858.0,7738.0,21601.0
2020-05-01,9509.0,1694.0,5051.0,2863.0,1389.0,870.0,7783.0,22133.0
2020-05-02,9605.0,1699.0,5176.0,2942.0,1394.0,871.0,7809.0,22432.0
2020-05-03,9721.0,1700.0,5254.0,2998.0,1399.0,879.0,7847.0,22693.0
