date,DNK,EST,FIN,HUN,LTU,LVA,NOR,SWE
2020-03-26,41.0,1.0,5.0,10.0,3.0,,14.0,166.0
2020-03-27,52.0,1.0,7.0,10.0,4.0,,19.0,201.0
2020-03-28,65.0,1.0,9.0,11.0,4.0,,23.0,239.0
2020-03-29,72.0,3.0,11.0,13.0,4.0,,25.0,284.0
2020-03-30,77.0,3.0,13.0,15.0,4.0,,32.0,332.0
2020-03-31,90.0,4.0,17.0,16.0,4.0,,39.0,385.0
2020-04-01,104.0,5.0,17.0,20.0,6.0,,44.0,455.0
2020-04-02,123.0,11.0,19.0,21.0,6.0,,50.0,535.0
2020-04-03,139.0,12.0,20.0,26.0,6.0,1.0,59.0,605.0
2020-04-04,161.0,13.0,25.0,32.0,7.0,1.0,62.0,373.0
2020-04-05,179.0,15.0,28.0,34.0,8.0,1.0,71.0,401.0
2020-04-06,187.0,19.0,27.0,38.0,10.0,1.0,76.0,477.0
2020-04-07,203.0,21.0,34.0,47.0,11.0,2.0,89.0,591.0
2020-04-08,218.0,24.0,40.0,58.0,11.0,2.0,101.0,687.0
2020-04-09,237.0,24.0,42.0,66.0,11.0,3.0,108.0,793.0
2020-04-10,247.0,24.0,48.0,77.0,12.0,3.0,113.0,870.0
2020-04-11,260.0,24.0,49.0,85.0,13.0,3.0,119.0,887.0
2020-04-12,273.0,25.0,56.0,99.0,14.0,5.0,128.0,899.0
2020-04-13,285.0,28.0,59.0,109.0,15.0,5.0,134.0,919.0
2020-04-14,299.0,31.0,64.0,122.0,16.0,5.0,139.0,1033.0
2020-04-15,309.0,35.0,72.0,134.0,20.0,5.0,150.0,1203.0
2020-04-16,321.0,36.0,75.0,142.0,20.0,5.0,152.0,1333.0
2020-04-17,336.0,38.0,82.0,156.0,21.0,5.0,161.0,1400.0
2020-04-18,346.0,38.0,90.0,172.0,22.0,5.0,164.0,1511.0
2020-04-19,355.0,40.0,94.0,189.0,23.0,5.0,165.0,1540.0
2020-04-20,364.0,40.0,98.0,199.0,26.0,5.0,181.0,1580.0
2020-04-21,370.0,43.0,141.0,213.0,26.0,9.0,182.0,1765.0
2020-04-22,384.0,44.0,149.0,225.0,27.0,11.0,187.0,1937.0
2020-04-23,394.0,45.0,172.0,239.0,27.0,11.0,194.0,2021.0
2020-04-24,403.0,46.0,177.0,262.0,28.0,12.0,199.0,2152.0
2020-04-25,418.0,46.0,186.0,262.0,29.0,12.0,201.0,2192.0
2020-04-26,422.0,49.0,190.0,272.0,31.0,12.0,201.0,2194.0
2020-04-27,427.0,50.0,193.0,280.0,32.0,13.0,205.0,2274.0
2020-04-28,434.0,50.0,199.0,291.0,32.0,13.0,206.0,2355.0
2020-04-29,443.0,50.0,206.0,300.0,32.0,15.0,207.0,2462.0
2020-04-30,452.0,52.0,211.0,312.0,32.0,15.0,210.0,2586.0
2020-05-01,460.0,52.0,218.0,323.0,32.0,16.0,210.0,2653.0
2020-05-02,475.0,53.0,220.0,335.0,33.0,16.0,211.0,2669.0
2020-05-03,484.0,55.0,230.0,340.0,33.0,16.0,211.0,2679.0
