date,BGR,BIH,CYP,GRC,HRV,MLT,ROU,SRB,USA
2020-03-26,3.0,3.0,3.0,26.0,3.0,,23.0,1.0,1783.0
2020-03-27,3.0,4.0,5.0,28.0,3.0,,26.0,1.0,2305.0
2020-03-28,7.0,5.0,5.0,32.0,5.0,,37.0,10.0,2947.0
2020-03-29,8.0,6.0,5.0,38.0,6.0,,43.0,13.0,3571.0
2020-03-30,8.0,10.0,7.0,43.0,6.0,,65.0,16.0,4284.0
2020-03-31,8.0,13.0,8.0,49.0,6.0,,82.0,16.0,5369.0
2020-04-01,10.0,13.0,9.0,50.0,6.0,,92.0,28.0,6652.0
2020-04-02,10.0,16.0,10.0,53.0,7.0,,115.0,31.0,8164.0
2020-04-03,14.0,17.0,11.0,63.0,8.0,,133.0,39.0,9595.0
2020-04-04,17.0,21.0,11.0,68.0,12.0,,146.0,44.0,11158.0
2020-04-05,20.0,23.0,9.0,73.0,15.0,,151.0,51.0,12773.0
2020-04-06,22.0,29.0,9.0,79.0,16.0,,176.0,58.0,14544.0
2020-04-07,23.0,33.0,9.0,81.0,18.0,,197.0,61.0,17119.0
2020-04-08,24.0,34.0,9.0,83.0,19.0,1.0,220.0,65.0,19279.0
2020-04-09,24.0,35.0,10.0,87.0,20.0,2.0,248.0,66.0,21482.0
2020-04-10,25.0,36.0,10.0,92.0,21.0,2.0,270.0,71.0,23676.0
2020-04-11,28.0,37.0,10.0,93.0,21.0,3.0,291.0,74.0,25803.0
2020-04-12,29.0,39.0,11.0,98.0,23.0,3.0,316.0,80.0,27677.0
2020-04-13,32.0,39.0,12.0,99.0,25.0,3.0,331.0,85.0,29686.0
2020-04-14,35.0,40.0,12.0,101.0,31.0,3.0,351.0,94.0,32120.0
2020-04-15,36.0,41.0,12.0,102.0,33.0,3.0,372.0,99.0,34732.0
2020-04-16,38.0,43.0,12.0,105.0,35.0,3.0,392.0,103.0,36875.0
2020-04-17,41.0,46.0,12.0,108.0,36.0,3.0,411.0,110.0,38985.0
2020-04-18,41.0,47.0,12.0,110.0,39.0,3.0,421.0,117.0,40958.0
2020-04-19,42.0,48.0,12.0,113.0,47.0,3.0,451.0,122.0,42929.0
2020-04-20,43.0,49.0,12.0,116.0,47.0,3.0,478.0,125.0,45158.0
2020-04-21,45.0,51.0,12.0,121.0,48.0,3.0,498.0,130.0,47672.0
2020-04-22,49.0,53.0,13.0,121.0,48.0,3.0,524.0,134.0,50132.0
2020-04-23,52.0,54.0,13.0,125.0,50.0,3.0,545.0,139.0,52588.0
2020-04-24,54.0,55.0,14.0,130.0,51.0,3.0,567.0,144.0,54776.0
2020-04-25,55.0,57.0,14.0,130.0,54.0,4.0,601.0,151.0,56487.0
2020-04-26,56.0,59.0,14.0,134.0,55.0,4.0,619.0,156.0,57886.0
2020-04-27,58.0,60.0,15.0,136.0,59.0,4.0,641.0,162.0,59394.0
2020-04-28,58.0,63.0,15.0,138.0,63.0,4.0,663.0,168.0,61618.0
2020-04-29,64.0,65.0,15.0,139.0,67.0,4.0,693.0,173.0,64036.0
2020-04-30,66.0,69.0,15.0,140.0,69.0,4.0,717.0,179.0,66231.0
2020-05-01,68.0,70.0,15.0,140.0,75.0,4.0,744.0,179.0,68140.0
2020-05-02,72.0,72.0,15.0,143.0,77.0,4.0,771.0,189.0,69871.0
2020-05-03,73.0,77.0,15.0,144.0,79.0,4.0,790.0,193.0,71061.0
2020-05-04,78.0,78.0,15.0,146.0,80.0,4.0,818.0,197.0,72440.0
2020-05-05,80.0,79.0,15.0,146.0,83.0,5.0,841.0,200.0,74682.0
2020-05-06,84.0,86.0,15.0,147.0,85.0,5.0,864.0,203.0,76996.0
2020-05-07,84.0,90.0,15.0,148.0,86.0,5.0,888.0,206.0,78925.0
2020-05-08,86.0,98.0,15.0,150.0,86.0,5.0,923.0,209.0,80688.0
2020-05-09,90.0,102.0,15.0,151.0,87.0,5.0,939.0,215.0,82156.0
2020-05-10,91.0,107.0,16.0,151.0,90.0,5.0,961.0,215.0,83134.0
2020-05-11,93.0,113.0,16.0,151.0,91.0,5.0,982.0,218.0,84176.0
2020-05-12,95.0,117.0,16.0,152.0,91.0,5.0,1002.0,220.0,85775.0
2020-05-13,96.0,120.0,17.0,155.0,94.0,6.0,1036.0,222.0,87502.0
2020-05-14,99.0,122.0,17.0,156.0,94.0,6.0,1053.0,224.0,89298.0
