date,0,New York City,Philadelphia,Baltimore city,District of Columbia,Fulton,Hillsborough,Miami-Dade
2020-03-26,1663.0,23182,402,72,231,231,151,653
2020-03-27,2246.0,25509,530,103,267,347,174,869
2020-03-28,2919.0,30919,709,112,304,378,206,1121
2020-03-29,3364.0,33983,865,129,342,425,225,1471
2020-03-30,3917.0,38375,1072,152,401,503,272,1700
2020-03-31,4694.0,43518,1315,187,495,599,305,2123
2020-04-01,5481.0,47914,1478,187,586,638,362,2415
2020-04-02,6364.0,52400,1852,265,653,747,404,2885
2020-04-03,7413.0,57941,2284,313,757,910,463,3363
2020-04-04,8394.0,64274,2610,343,902,959,497,3889
2020-04-05,9030.0,68726,3135,394,998,970,536,4145
2020-04-06,9981.0,73553,3611,435,1097,1053,575,4670
2020-04-07,11059.0,78498,4012,459,1211,1185,608,5125
2020-04-08,12353.0,83673,4456,571,1440,1261,631,5460
2020-04-09,13936.0,89127,5029,638,1523,1336,657,5897
2020-04-10,15544.0,94702,5521,689,1660,1417,676,6299
2020-04-11,16898.0,100840,6022,756,1778,1446,698,6757
2020-04-12,18862.0,105939,6352,812,1875,1495,759,7057
2020-04-13,19954.0,109706,6810,873,1955,1635,813,7458
2020-04-14,20896.0,113632,7130,962,2058,1812,819,7711
2020-04-15,22284.0,121653,7441,1062,2197,1902,870,8066
2020-04-16,24079.0,126623,8045,1164,2350,1945,878,8325
2020-04-17,25676.0,131003,8563,1277,2476,2037,924,8823
2020-04-18,27254.0,135052,9014,1381,2666,2065,943,9044
2020-04-19,28585.0,138370,9214,1397,2793,2131,960,9353
2020-04-20,29799.0,140881,9553,1516,2927,2198,973,9656
2020-04-21,30916.0,143547,10028,1547,3098,2206,979,10055
2020-04-22,32402.0,146787,10643,1608,3206,2255,982,10152
2020-04-23,34752.0,150327,11226,1678,3361,2436,1008,10587
2020-04-24,38385.0,155081,11877,1734,3528,2500,1022,10925
2020-04-25,40235.0,159851,12329,1797,3699,2543,1041,11004
2020-04-26,41463.0,163106,12566,1872,3841,2545,1048,11350
2020-04-27,42549.0,165463,12868,1939,3892,2680,1062,11569
2020-04-28,43840.0,167487,13445,1984,3994,2753,1080,11830
2020-04-29,45289.0,170124,13445,2021,4106,2785,1105,11926
2020-04-30,46750.0,172784,14468,2076,4323,2821,1124,12063
2020-05-01,48254.0,174931,15137,2171,4658,2880,1163,12388
2020-05-02,49612.0,177490,15527,2246,4797,2928,1240,12631
2020-05-03,50476.0,179728,15854,2328,5016,2981,1281,12774
2020-05-04,51455.0,181034,16040,2420,5170,3057,1300,13091
2020-05-05,52334.0,182318,16410,2618,5322,3165,1324,13223
2020-05-06,53656.0,183770,16697,2761,5461,3250,1331,13370
2020-05-07,54828.0,185653,17047,2865,5654,3260,1364,13584
2020-05-08,55948.0,187157,17517,2950,5899,3317,1371,13663
2020-05-09,56835.0,188663,17881,3217,6102,3385,1400,13840
2020-05-10,57555.0,189656,18211,3326,6272,3509,1432,14006
2020-05-11,58023.0,190546,18313,3362,6389,3516,1448,14166
2020-05-12,58532.0,191320,18537,3413,6485,3595,1473,14384
2020-05-13,59212.0,192394,18779,3485,6584,3614,1494,14467
2020-05-14,60244.0,193663,19093,3514,6736,3625,1530,14741
2020-05-15,61016.0,195472,19349,3615,6871,3703,1568,15010
2020-05-16,61942.0,196481,19606,3727,7042,3749,1585,15365
2020-05-17,62608.0,197486,19606,3806,7123,3759,1614,15657
2020-05-18,63266.0,198114,19950,3838,7270,3751,1653,15863
2020-05-19,63840.0,198710,20129,4010,7434,3795,1670,15941
2020-05-20,64477.0,199392,20359,4159,7551,3793,1703,16033
2020-05-21,65139.0,200507,20700,4347,7788,3872,1767,16366
2020-05-22,65634.0,201298,21009,4499,7893,3931,1790,16521
2020-05-23,66096.0,202062,21234,4682,7966,3977,1823,16693
2020-05-24,66682.0,202931,21234,4791,8110,4054,1883,16844
2020-05-25,67032.0,203569,21641,4897,8225,4080,1939,17040
2020-05-26,67299.0,204111,21738,5006,8334,4230,1969,17167
2020-05-27,67616.0,204781,21975,5062,8406,4309,1995,17224
2020-05-28,68097.0,205854,22150,5211,8492,4367,2019,17395
2020-05-29,68477.0,206800,22405,5434,8538,4490,2069,17640
2020-05-30,68931.0,207539,22629,5572,8717,4507,2129,17825
2020-05-31,69386.0,208085,22629,5672,8801,4524,2201,17999
2020-06-01,72312.0,208550,22881,5612,8857,4621,2251,18138
2020-06-02,72555.0,209195,23034,5696,8886,4638,2285,18223
2020-06-03,72849.0,209688,23160,5809,9016,4688,2384,18455
2020-06-04,73151.0,210227,23281,5914,9120,4724,2479,18778
2020-06-05,73464.0,210728,23407,6046,9199,4790,2554,19055
2020-06-06,73847.0,211274,23529,6149,9269,4822,2643,19298
2020-06-07,74048.0,211728,23529,6237,9332,4823,2748,19546
2020-06-08,74163.0,212122,23691,6304,9389,4887,2861,19755
2020-06-09,74340.0,212469,23822,6363,9474,4925,2923,19979
2020-06-10,74545.0,212884,23951,6436,9537,4989,3027,20276
2020-06-11,74905.0,213271,24107,6517,9589,5031,3174,20547
2020-06-12,75146.0,213707,24228,6567,9654,5069,3295,20871
2020-06-13,75366.0,214242,24338,6641,9709,5100,3504,21632
2020-06-14,75507.0,214627,24338,6698,9767,5106,3613,21916
2020-06-15,75572.0,215011,24475,6755,9799,5157,3826,22196
2020-06-16,75709.0,215342,24591,6790,9818,5148,4029,22740
2020-06-17,75913.0,215686,24655,6874,9847,5292,4273,23272
2020-06-18,76113.0,216013,24723,6914,9903,5325,4610,23853
2020-06-19,76263.0,216421,24841,6947,9952,5400,4982,24375
2020-06-20,76448.0,216803,24841,7002,9984,5444,5319,25079
2020-06-21,76531.0,217189,24841,7062,10020,5496,5580,25789
2020-06-22,76629.0,217487,25116,7104,10058,5705,5973,26238
2020-06-23,76779.0,217803,25335,7157,10094,5885,6176,26821
2020-06-24,76911.0,218089,25443,7219,10128,6052,6892,27778
2020-06-25,77064.0,218429,25443,7267,10159,6163,7329,28663
2020-06-26,77214.0,218799,25693,7308,10185,6350,8018,30195
2020-06-27,77437.0,219157,25693,7372,10216,6506,9130,31561
2020-06-28,77585.0,219481,25693,7425,10248,6610,9918,33713
2020-06-29,77647.0,219670,25991,7507,10292,6648,10323,35221
2020-06-30,77719.0,219844,26133,7556,10327,6965,10752,36819
2020-07-01,77853.0,220143,26257,7615,10365,7277,11465,37960
2020-07-02,78014.0,220567,26400,7711,10390,7527,12376,40264
2020-07-03,78193.0,221028,26536,7799,10435,7913,13044,42310
2020-07-04,78316.0,221395,26565,7867,10447,8433,13700,44728
2020-07-05,78405.0,221637,26565,7907,10482,8652,14336,47010
2020-07-06,78522.0,221882,26810,7970,10515,8883,14677,48991
2020-07-07,78672.0,222156,26901,8011,10569,9066,15362,51057
2020-07-08,78866.0,222444,26969,8082,10642,9358,16099,53973
2020-07-09,79060.0,222723,27228,8167,10679,9586,16666,55960
2020-07-10,79208.0,223078,27341,8262,10743,10021,17662,58340
2020-07-11,79402.0,223382,27367,8380,10801,10354,18360,60867
2020-07-12,79526.0,223725,27367,8502,10847,10595,19150,64443
2020-07-13,79670.0,223977,27575,8579,10906,11080,19828,67712
2020-07-14,79876.0,224293,27723,8702,10946,11354,20508,69802
2020-07-15,80019.0,224662,27867,8849,11026,11746,21018,72316
2020-07-16,80161.0,225045,28024,9012,11076,12184,21557,75424
2020-07-17,80346.0,225414,28159,9155,11115,12584,22502,77866
2020-07-18,80600.0,225799,28196,9298,11194,12872,23103,81025
2020-07-19,80808.0,226104,28196,9442,11261,13117,23706,84237
2020-07-20,80967.0,226388,28592,9519,11339,13379,24135,87034
2020-07-21,81127.0,226779,28742,9658,11427,13779,24550,89556
2020-07-22,81315.0,227130,28874,9752,11529,14169,24891,92344
2020-07-23,81500.0,227517,29102,9856,11571,14673,25432,95067
2020-07-24,81717.0,227882,29303,10015,11649,15221,26037,98429
2020-07-25,81893.0,228220,29303,10224,11717,15649,26626,101853
