date,Arizona,Arizona,Georgia,Georgia,Michigan,Michigan,Pennsylvania,Pennsylvania,Wisconsin,Wisconsin
3/26/20,508,8,1641,56,2877,63,1690,16,754,10
3/27/20,665,15,2198,64,3655,93,2217,23,930,16
3/28/20,773,15,2447,79,4634,112,2815,35,1042,17
3/29/20,930,18,2683,83,5486,132,3441,40,1120,17
3/30/20,1169,20,3032,103,6508,197,4156,48,1269,20
3/31/20,1298,24,4116,126,7629,264,4997,72,1351,25
4/1/20,1413,29,4747,154,9292,336,5805,78,1552,33
4/2/20,1600,35,5444,176,10791,417,7021,91,1730,37
4/3/20,1769,41,5967,198,12669,478,8420,102,1916,50
4/4/20,2019,53,6383,208,14225,541,10110,140,2112,60
4/5/20,2269,64,6742,219,15633,617,11590,159,2267,73
4/6/20,2466,67,7558,294,17129,727,13075,170,2440,83
4/7/20,2577,77,9156,348,18851,845,14582,241,2578,94
4/8/20,2726,80,10204,370,20220,959,16414,313,2756,107
4/9/20,3018,89,10885,412,21375,1076,18379,344,2885,116
4/10/20,3112,97,11859,425,22646,1280,20128,435,3068,131
4/11/20,3393,112,12261,432,23855,1395,21774,515,3213,141
4/12/20,3539,117,12103,438,24496,1488,22955,525,3341,145
4/13/20,3702,122,13125,479,25490,1603,24295,563,3428,155
4/14/20,3806,131,13913,517,26845,1767,25591,746,3555,172
4/15/20,3962,142,14583,569,27894,1920,26804,833,3721,184
4/16/20,4234,152,15644,611,29120,2092,28314,940,3875,197
4/17/20,4507,174,16658,661,29954,2227,30121,1027,4045,205
4/18/20,4719,181,17014,670,30718,2307,31742,1150,4199,212
4/19/20,4929,188,17619,682,31349,2389,32992,1285,4346,222
4/20/20,5064,191,18447,767,31929,2466,34005,1366,4564,231
4/21/20,5251,213,19189,810,32936,2698,35384,1620,4691,243
4/22/20,5459,236,20099,837,33973,2813,36763,1720,4915,247
4/23/20,5769,257,20905,871,35253,2977,38334,1723,5125,257
4/24/20,6045,268,21575,889,36628,3084,40298,1786,5431,262
4/25/20,6280,275,22225,897,37302,3273,41626,1842,5762,266
4/26/20,6526,277,22459,907,38003,3314,42709,1871,5986,274
4/27/20,6716,277,23229,981,38457,3406,43728,1946,6164,281
4/28/20,6948,297,23607,1022,39469,3566,45323,2092,6389,300
4/29/20,7202,308,24300,1086,40443,3670,46191,2392,6621,308
4/30/20,7648,320,25431,1121,41348,3788,48224,2580,6973,316
5/1/20,7962,330,26436,1153,42348,3866,49764,2671,7439,327
5/2/20,8364,353,27268,1161,43191,4020,51071,2794,7785,334
5/3/20,8640,362,27618,1168,43803,4049,52079,2843,8089,339
5/4/20,8919,362,28350,1228,43996,4135,52992,2880,8362,340
5/5/20,9305,395,28876,1277,44391,4179,53967,3206,8696,353
5/6/20,9707,426,29724,1309,45079,4250,54989,3360,9052,362
5/7/20,9945,450,30524,1332,45643,4343,56149,3599,9369,374
5/8/20,10526,517,31089,1378,46319,4393,57501,3724,9750,384
5/9/20,10960,532,31481,1380,46735,4526,58661,3793,10099,398
5/10/20,11119,536,32267,1383,47116,4551,60037,3819,10379,400
5/11/20,11380,542,32448,1420,47526,4584,60557,3846,10581,409
5/12/20,11736,562,33311,1470,47946,4674,61407,3924,10781,418
5/13/20,12176,594,33866,1494,48307,4714,62194,4104,11071,421
5/14/20,12674,624,34422,1521,49489,4787,63158,4298,11449,434
5/15/20,13169,651,35242,1563,49982,4825,64178,4432,12037,445
5/16/20,13631,679,35655,1573,50416,4880,65228,4490,12551,453
5/17/20,13937,680,35954,1584,51054,4891,65745,4504,12754,453
5/18/20,14170,686,36634,1624,51853,4915,66676,4560,12912,459
5/19/20,14566,704,37214,1650,52337,5017,67404,4675,13200,467
5/20/20,14897,747,38162,1672,52988,5060,68151,4794,13779,481
5/21/20,15315,763,38969,1749,53468,5129,69252,4887,14172,487
5/22/20,15608,775,39734,1779,53865,5158,70305,5032,14768,496
5/23/20,16040,799,40408,1794,54304,5223,71102,5121,15196,507
5/24/20,16339,800,40989,1799,54616,5228,71656,5145,15573,510
