date,Arizona,Georgia,Michigan,Pennsylvania,Wisconsin
2020-03-26,8.0,56.0,63.0,16.0,10.0
2020-03-27,15.0,64.0,93.0,23.0,16.0
2020-03-28,15.0,79.0,112.0,35.0,17.0
2020-03-29,18.0,83.0,132.0,40.0,17.0
2020-03-30,20.0,103.0,197.0,48.0,20.0
2020-03-31,24.0,126.0,264.0,72.0,25.0
2020-04-01,29.0,154.0,336.0,78.0,33.0
2020-04-02,35.0,176.0,417.0,91.0,37.0
2020-04-03,41.0,198.0,478.0,102.0,50.0
2020-04-04,53.0,208.0,541.0,140.0,60.0
2020-04-05,64.0,219.0,617.0,159.0,73.0
2020-04-06,67.0,294.0,727.0,170.0,83.0
2020-04-07,77.0,348.0,845.0,241.0,94.0
2020-04-08,80.0,370.0,959.0,313.0,107.0
2020-04-09,89.0,412.0,1076.0,344.0,116.0
2020-04-10,97.0,425.0,1280.0,435.0,131.0
2020-04-11,112.0,432.0,1395.0,515.0,141.0
2020-04-12,117.0,438.0,1488.0,525.0,145.0
2020-04-13,122.0,479.0,1603.0,563.0,155.0
2020-04-14,131.0,517.0,1767.0,746.0,172.0
2020-04-15,142.0,569.0,1920.0,833.0,184.0
2020-04-16,152.0,611.0,2092.0,940.0,197.0
2020-04-17,174.0,661.0,2227.0,1027.0,205.0
2020-04-18,181.0,670.0,2307.0,1150.0,212.0
2020-04-19,188.0,682.0,2389.0,1285.0,222.0
2020-04-20,191.0,767.0,2466.0,1366.0,231.0
2020-04-21,213.0,810.0,2698.0,1620.0,243.0
2020-04-22,236.0,837.0,2813.0,1720.0,247.0
2020-04-23,257.0,871.0,2977.0,1723.0,257.0
2020-04-24,268.0,889.0,3084.0,1786.0,262.0
2020-04-25,275.0,897.0,3273.0,1842.0,266.0
2020-04-26,277.0,907.0,3314.0,1871.0,274.0
2020-04-27,277.0,981.0,3406.0,1946.0,281.0
2020-04-28,297.0,1022.0,3566.0,2092.0,300.0
2020-04-29,308.0,1086.0,3670.0,2392.0,308.0
2020-04-30,320.0,1121.0,3788.0,2580.0,316.0
2020-05-01,330.0,1153.0,3866.0,2671.0,327.0
2020-05-02,353.0,1161.0,4020.0,2794.0,334.0
2020-05-03,362.0,1168.0,4049.0,2843.0,339.0
2020-05-04,362.0,1228.0,4135.0,2880.0,340.0
2020-05-05,395.0,1277.0,4179.0,3206.0,353.0
2020-05-06,426.0,1309.0,4250.0,3360.0,362.0
2020-05-07,450.0,1332.0,4343.0,3599.0,374.0
2020-05-08,517.0,1378.0,4393.0,3724.0,384.0
2020-05-09,532.0,1380.0,4526.0,3793.0,398.0
2020-05-10,536.0,1383.0,4551.0,3819.0,400.0
2020-05-11,542.0,1420.0,4584.0,3846.0,409.0
2020-05-12,562.0,1470.0,4674.0,3924.0,418.0
2020-05-13,594.0,1494.0,4714.0,4104.0,421.0
2020-05-14,624.0,1521.0,4787.0,4298.0,434.0
2020-05-15,651.0,1563.0,4825.0,4432.0,445.0
2020-05-16,679.0,1573.0,4880.0,4490.0,453.0
2020-05-17,680.0,1584.0,4891.0,4504.0,453.0
2020-05-18,686.0,1624.0,4915.0,4560.0,459.0
2020-05-19,704.0,1650.0,5017.0,4675.0,467.0
2020-05-20,747.0,1672.0,5060.0,4794.0,481.0
2020-05-21,763.0,1749.0,5129.0,4887.0,487.0
2020-05-22,775.0,1779.0,5158.0,5032.0,496.0
2020-05-23,799.0,1794.0,5223.0,5121.0,507.0
2020-05-24,800.0,1799.0,5228.0,5145.0,510.0
2020-05-25,806.0,1820.0,5240.0,5159.0,514.0
2020-05-26,807.0,1867.0,5266.0,5175.0,517.0
2020-05-27,831.0,1904.0,5334.0,5290.0,539.0
2020-05-28,857.0,1942.0,5372.0,5397.0,550.0
2020-05-29,885.0,1953.0,5406.0,5467.0,569.0
2020-05-30,903.0,1973.0,5463.0,5537.0,588.0
2020-05-31,906.0,2019.0,5491.0,5555.0,594.0
2020-06-01,918.0,2057.0,5525.0,5574.0,597.0
2020-06-02,943.0,2070.0,5562.0,5670.0,610.0
2020-06-03,983.0,2092.0,5579.0,5742.0,618.0
2020-06-04,1000.0,2116.0,5604.0,5862.0,627.0
2020-06-05,1016.0,2143.0,5854.0,5952.0,634.0
2020-06-06,1046.0,2147.0,5894.0,5986.0,646.0
2020-06-07,1048.0,2148.0,5898.0,5997.0,648.0
2020-06-08,1052.0,2176.0,5916.0,6007.0,650.0
