date,ESP,GBR,IRL,PRT
2020-03-02,,,,
2020-03-03,1.0,,,
2020-03-04,2.0,,,
2020-03-05,3.0,,,
2020-03-06,5.0,1.0,,
2020-03-07,10.0,2.0,,
2020-03-08,17.0,2.0,,
2020-03-09,28.0,3.0,,
2020-03-10,35.0,7.0,,
2020-03-11,54.0,7.0,1.0,
2020-03-12,55.0,9.0,1.0,
2020-03-13,133.0,10.0,1.0,
2020-03-14,195.0,29.0,2.0,
2020-03-15,289.0,43.0,2.0,
2020-03-16,342.0,66.0,2.0,
2020-03-17,533.0,83.0,2.0,1.0
2020-03-18,623.0,118.0,2.0,2.0
2020-03-19,830.0,164.0,3.0,3.0
2020-03-20,1043.0,196.0,3.0,6.0
2020-03-21,1375.0,254.0,3.0,12.0
2020-03-22,1772.0,289.0,4.0,14.0
2020-03-23,2311.0,365.0,6.0,23.0
2020-03-24,2808.0,513.0,7.0,33.0
2020-03-25,3647.0,704.0,9.0,43.0
2020-03-26,4365.0,886.0,19.0,60.0
2020-03-27,5138.0,1174.0,22.0,76.0
2020-03-28,5982.0,1466.0,36.0,100.0
2020-03-29,6803.0,1679.0,46.0,119.0
2020-03-30,7716.0,2053.0,54.0,140.0
2020-03-31,8464.0,2457.0,71.0,160.0
2020-04-01,9387.0,3130.0,85.0,187.0
2020-04-02,10348.0,3787.0,98.0,209.0
2020-04-03,11198.0,4524.0,120.0,246.0
2020-04-04,11947.0,5281.0,137.0,266.0
2020-04-05,12641.0,5882.0,158.0,295.0
2020-04-06,13341.0,6452.0,174.0,311.0
2020-04-07,14045.0,7557.0,210.0,345.0
2020-04-08,14792.0,8589.0,235.0,380.0
2020-04-09,15447.0,9706.0,263.0,409.0
2020-04-10,16081.0,10829.0,287.0,435.0
2020-04-11,16606.0,11673.0,320.0,470.0
2020-04-12,17209.0,12330.0,334.0,504.0
2020-04-13,17756.0,13055.0,365.0,535.0
2020-04-14,18056.0,14135.0,406.0,567.0
2020-04-15,18708.0,15019.0,444.0,599.0
2020-04-16,19315.0,16059.0,486.0,629.0
2020-04-17,20002.0,16973.0,530.0,657.0
2020-04-18,20043.0,18081.0,571.0,687.0
2020-04-19,20453.0,18514.0,610.0,714.0
2020-04-20,20852.0,19090.0,687.0,735.0
2020-04-21,21282.0,20314.0,730.0,762.0
2020-04-22,21717.0,21171.0,769.0,785.0
2020-04-23,22157.0,21855.0,794.0,820.0
2020-04-24,22524.0,22873.0,1014.0,854.0
2020-04-25,22902.0,23689.0,1063.0,880.0
2020-04-26,23190.0,24053.0,1087.0,903.0
2020-04-27,23521.0,24376.0,1102.0,928.0
2020-04-28,23822.0,25347.0,1159.0,948.0
2020-04-29,24275.0,26118.0,1190.0,973.0
2020-04-30,24543.0,26754.0,1232.0,989.0
2020-05-01,24543.0,27454.0,1265.0,1007.0
2020-05-02,25100.0,28039.0,1286.0,1023.0
2020-05-03,25264.0,28292.0,1303.0,1043.0
2020-05-04,25428.0,28565.0,1319.0,1063.0
2020-05-05,25613.0,29290.0,1339.0,1074.0
2020-05-06,25857.0,29937.0,1375.0,1089.0
2020-05-07,26070.0,30395.0,1403.0,1105.0
2020-05-08,26299.0,30975.0,1429.0,1114.0
2020-05-09,26478.0,31250.0,1446.0,1126.0
2020-05-10,26621.0,31467.0,1458.0,1135.0
2020-05-11,26744.0,31655.0,1467.0,1144.0
2020-05-12,26920.0,32270.0,1488.0,1163.0
2020-05-13,27104.0,32718.0,1497.0,1175.0
2020-05-14,27321.0,33071.0,1506.0,1184.0
2020-05-15,27459.0,33422.0,1518.0,1190.0
2020-05-16,27563.0,33833.0,1533.0,1203.0
2020-05-17,27563.0,33900.0,1543.0,1218.0
2020-05-18,27709.0,34046.0,1547.0,1231.0
2020-05-19,27778.0,34547.0,1561.0,1247.0
2020-05-20,27888.0,34876.0,1571.0,1263.0
2020-05-21,27940.0,35149.0,1583.0,1277.0
2020-05-22,28628.0,35440.0,1592.0,1289.0
2020-05-23,28678.0,35660.0,1604.0,1302.0
2020-05-24,28752.0,36039.0,1608.0,1316.0
2020-05-25,26834.0,36143.0,1606.0,1330.0
2020-05-26,27117.0,36274.0,1615.0,1342.0
2020-05-27,27117.0,36696.0,1631.0,1356.0
2020-05-28,27119.0,37039.0,1639.0,1369.0
2020-05-29,27121.0,37313.0,1645.0,1383.0
2020-05-30,27125.0,37467.0,1651.0,1396.0
2020-05-31,27127.0,37527.0,1652.0,1410.0
2020-06-01,27127.0,37613.0,1650.0,1424.0
2020-06-02,27127.0,37863.0,1658.0,1436.0
2020-06-03,27128.0,38117.0,1659.0,1447.0
2020-06-04,27133.0,38247.0,1664.0,1455.0
2020-06-05,27134.0,38505.0,1670.0,1465.0
2020-06-06,27135.0,38648.0,1678.0,1474.0
2020-06-07,27136.0,38702.0,1679.0,1479.0
2020-06-08,27136.0,38749.0,1683.0,1485.0
2020-06-09,27136.0,38946.0,1691.0,1492.0
2020-06-10,27136.0,39110.0,1695.0,1497.0
2020-06-11,27136.0,39186.0,1703.0,1504.0
2020-06-12,27136.0,39317.0,1705.0,1505.0
2020-06-13,27136.0,39424.0,1705.0,1512.0
2020-06-14,27136.0,39451.0,1706.0,1517.0
2020-06-15,27136.0,39480.0,1706.0,1520.0
2020-06-16,27136.0,39600.0,1709.0,1522.0
2020-06-17,27136.0,39710.0,1710.0,1523.0
2020-06-18,27136.0,39777.0,1714.0,1524.0
2020-06-19,28315.0,39861.0,1714.0,1527.0
2020-06-20,28322.0,39932.0,1715.0,1528.0
2020-06-21,28323.0,39963.0,1715.0,1530.0
2020-06-22,28324.0,39976.0,1717.0,1534.0
2020-06-23,28325.0,40070.0,1720.0,1540.0
2020-06-24,28327.0,40157.0,1726.0,1543.0
2020-06-25,28330.0,40256.0,1727.0,1549.0
2020-06-26,28338.0,40333.0,1730.0,1555.0
2020-06-27,28341.0,40373.0,1734.0,1561.0
2020-06-28,28343.0,40404.0,1735.0,1564.0
2020-06-29,28346.0,40425.0,1735.0,1568.0
2020-06-30,28355.0,40479.0,1736.0,1576.0
2020-07-01,28364.0,40576.0,1738.0,1579.0
2020-07-02,28368.0,40617.0,1738.0,1587.0
2020-07-03,28385.0,40666.0,1740.0,1598.0
2020-07-04,28385.0,40698.0,1741.0,1605.0
2020-07-05,28385.0,40717.0,1741.0,1614.0
2020-07-06,28388.0,40728.0,1741.0,1620.0
2020-07-07,28392.0,40782.0,1742.0,1629.0
2020-07-08,28396.0,40839.0,1738.0,1631.0
2020-07-09,28401.0,40870.0,1743.0,1644.0
2020-07-10,28403.0,40904.0,1744.0,1646.0
2020-07-11,28403.0,40921.0,1746.0,1654.0
2020-07-12,28403.0,40930.0,1746.0,1660.0
2020-07-13,28406.0,40940.0,1746.0,1662.0
2020-07-14,28409.0,40984.0,1746.0,1668.0
2020-07-15,28413.0,41010.0,1748.0,1676.0
2020-07-16,28416.0,41034.0,1749.0,1679.0
2020-07-17,28420.0,41060.0,1752.0,1682.0
2020-07-18,28420.0,41069.0,1753.0,1684.0
2020-07-19,28420.0,41080.0,1753.0,1689.0
2020-07-20,28422.0,41090.0,1753.0,1691.0
2020-07-21,28424.0,41115.0,1753.0,1697.0
2020-07-22,28426.0,41132.0,1754.0,1702.0
2020-07-23,28429.0,41141.0,1763.0,1705.0
2020-07-24,28432.0,41173.0,1763.0,1712.0
2020-07-25,28432.0,41188.0,1764.0,1716.0
2020-07-26,28432.0,41196.0,1764.0,1717.0
2020-07-27,28434.0,41199.0,1764.0,1719.0
