date,Hawaii,Honolulu,Kauai,Maui
2020-03-26,5.0,77.0,5.0,14.0
2020-03-27,7.0,87.0,5.0,16.0
2020-03-28,10.0,108.0,11.0,16.0
2020-03-29,12.0,119.0,12.0,20.0
2020-03-30,15.0,139.0,12.0,25.0
2020-03-31,15.0,157.0,12.0,25.0
2020-04-01,18.0,182.0,12.0,26.0
2020-04-02,18.0,206.0,12.0,27.0
2020-04-03,20.0,237.0,13.0,36.0
2020-04-04,22.0,266.0,15.0,38.0
2020-04-05,22.0,281.0,16.0,43.0
2020-04-06,23.0,292.0,17.0,44.0
2020-04-07,23.0,312.0,18.0,48.0
2020-04-08,26.0,328.0,18.0,54.0
2020-04-09,28.0,334.0,18.0,57.0
2020-04-10,31.0,343.0,19.0,66.0
2020-04-11,34.0,348.0,19.0,80.0
2020-04-12,39.0,350.0,21.0,84.0
2020-04-13,40.0,352.0,21.0,86.0
2020-04-14,41.0,358.0,21.0,88.0
2020-04-15,41.0,369.0,21.0,92.0
2020-04-16,41.0,373.0,21.0,95.0
2020-04-17,44.0,380.0,21.0,102.0
2020-04-18,61.0,382.0,21.0,104.0
2020-04-19,62.0,385.0,21.0,106.0
2020-04-20,64.0,385.0,21.0,108.0
2020-04-21,64.0,385.0,21.0,110.0
2020-04-22,67.0,388.0,21.0,110.0
2020-04-23,68.0,389.0,21.0,112.0
2020-04-24,69.0,392.0,21.0,113.0
2020-04-25,69.0,395.0,21.0,112.0
2020-04-26,70.0,396.0,21.0,112.0
2020-04-27,70.0,396.0,21.0,113.0
2020-04-28,70.0,396.0,21.0,115.0
2020-04-29,70.0,399.0,21.0,115.0
2020-04-30,73.0,399.0,21.0,116.0
2020-05-01,73.0,400.0,21.0,116.0
2020-05-02,73.0,400.0,21.0,117.0
2020-05-03,74.0,400.0,21.0,116.0
2020-05-04,75.0,400.0,21.0,116.0
2020-05-05,74.0,404.0,21.0,116.0
2020-05-06,74.0,405.0,21.0,116.0
2020-05-07,74.0,408.0,21.0,116.0
2020-05-08,74.0,408.0,21.0,116.0
2020-05-09,75.0,407.0,21.0,117.0
2020-05-10,75.0,408.0,21.0,117.0
2020-05-11,75.0,410.0,21.0,117.0
2020-05-12,75.0,411.0,21.0,117.0
2020-05-13,75.0,414.0,21.0,117.0
2020-05-14,75.0,414.0,21.0,117.0
2020-05-15,76.0,414.0,21.0,117.0
2020-05-16,76.0,415.0,21.0,117.0
2020-05-17,77.0,415.0,21.0,117.0
2020-05-18,77.0,415.0,21.0,117.0
2020-05-19,78.0,415.0,21.0,117.0
2020-05-20,79.0,416.0,21.0,117.0
2020-05-21,82.0,416.0,21.0,118.0
2020-05-22,81.0,414.0,20.0,117.0
2020-05-23,81.0,414.0,20.0,118.0
2020-05-24,81.0,414.0,20.0,118.0
2020-05-25,81.0,414.0,20.0,118.0
2020-05-26,81.0,414.0,20.0,118.0
2020-05-27,82.0,414.0,20.0,118.0
2020-05-28,82.0,417.0,20.0,118.0
2020-05-29,82.0,419.0,20.0,118.0
2020-05-30,81.0,421.0,20.0,119.0
2020-05-31,81.0,421.0,20.0,120.0
2020-06-01,81.0,421.0,20.0,120.0
2020-06-02,81.0,422.0,20.0,120.0
2020-06-03,81.0,423.0,20.0,119.0
2020-06-04,81.0,424.0,20.0,119.0
2020-06-05,81.0,431.0,21.0,120.0
2020-06-06,81.0,439.0,21.0,120.0
2020-06-07,81.0,441.0,21.0,120.0
2020-06-08,81.0,442.0,21.0,120.0
2020-06-09,81.0,448.0,21.0,120.0
2020-06-10,81.0,451.0,21.0,120.0
2020-06-11,81.0,458.0,21.0,120.0
2020-06-12,81.0,472.0,21.0,120.0
2020-06-13,81.0,489.0,21.0,120.0
2020-06-14,82.0,493.0,21.0,120.0
2020-06-15,82.0,501.0,21.0,120.0
2020-06-16,82.0,505.0,21.0,120.0
2020-06-17,83.0,508.0,21.0,120.0
2020-06-18,83.0,526.0,21.0,120.0
2020-06-19,83.0,551.0,22.0,121.0
2020-06-20,83.0,557.0,29.0,122.0
2020-06-21,85.0,566.0,29.0,122.0
2020-06-22,85.0,568.0,29.0,122.0
2020-06-23,85.0,571.0,29.0,122.0
2020-06-24,86.0,584.0,29.0,122.0
2020-06-25,86.0,595.0,33.0,122.0
2020-06-26,86.0,608.0,34.0,122.0
2020-06-27,86.0,613.0,35.0,122.0
2020-06-28,87.0,636.0,37.0,123.0
2020-06-29,87.0,638.0,37.0,122.0
2020-06-30,87.0,652.0,38.0,123.0
2020-07-01,87.0,659.0,38.0,125.0
2020-07-02,90.0,676.0,38.0,125.0
