date,Maricopa,Pima,Broward,Duval,Leon,Miami-Dade,Bexar,Dallas,Harris,Travis
3/26/20,299,75,505,82,12,653,84,303,203,137
3/27/20,399,102,631,99,15,869,113,367,229,160
3/28/20,454,120,820,120,17,1121,125,439,445,160
3/29/20,546,153,1012,142,16,1471,140,443,526,179
3/30/20,690,187,1137,163,21,1700,157,549,563,206
3/31/20,791,202,1219,207,26,2123,207,631,680,206
4/1/20,871,217,1348,239,32,2415,229,731,847,244
4/2/20,961,237,1481,286,34,2885,254,831,895,305
4/3/20,1049,280,1598,323,38,3363,342,921,1036,351
4/4/20,1171,326,1765,387,41,3889,395,1015,1284,430
4/5/20,1326,372,1886,413,41,4145,421,1112,1395,460
4/6/20,1433,415,2075,478,58,4670,467,1155,1809,502
4/7/20,1495,415,2230,521,67,5125,514,1261,2146,502
4/8/20,1559,464,2365,557,71,5460,514,1324,2341,596
4/9/20,1689,512,2480,595,77,5897,626,1432,3047,597
4/10/20,1741,543,2679,618,90,6299,676,1537,3261,642
4/11/20,1891,591,2844,639,112,6757,723,1648,3561,690
4/12/20,1960,622,2945,668,119,7057,734,1723,3629,774
4/13/20,2020,668,3177,691,149,7458,783,1788,3747,856
4/14/20,2056,685,3261,718,149,7711,805,1877,3907,900
4/15/20,2146,700,3363,746,155,8066,901,1986,4097,900
4/16/20,2264,760,3466,776,164,8325,901,2066,4306,977
4/17/20,2404,819,3688,817,173,8823,970,2190,4460,1074
4/18/20,2491,856,3838,835,168,9044,1003,2324,4653,1092
4/19/20,2589,913,3971,854,175,9353,1015,2428,4823,1108
4/20/20,2636,941,4078,896,183,9656,1040,2512,4977,1174
4/21/20,2738,963,4168,909,185,10055,1080,2602,5143,1233
4/22/20,2846,973,4228,925,185,10152,1126,2683,5211,1263
4/23/20,2970,1026,4431,956,190,10587,1178,2763,5330,1312
4/24/20,3116,1060,4591,955,206,10925,1206,2834,5482,1379
4/25/20,3234,1090,4659,965,207,11004,1243,2909,5628,1396
4/26/20,3359,1136,4729,984,209,11350,1254,3014,5729,1412
4/27/20,3457,1164,4794,990,211,11569,1287,3105,5827,1464
4/28/20,3578,1188,4847,1001,212,11830,1307,3240,5986,1539
4/29/20,3723,1215,4898,1007,213,11926,1326,3352,6161,1591
4/30/20,3972,1241,4953,1012,218,12063,1374,3531,6356,1654
5/1/20,4156,1267,5144,1025,225,12388,1489,3718,6551,1683
5/2/20,4421,1300,5257,1038,232,12631,1585,3899,6708,1714
5/3/20,4585,1326,5312,1045,233,12774,1625,4133,6838,1756
5/4/20,4751,1346,5383,1072,242,13091,1664,4370,6967,1816
5/5/20,4929,1379,5492,1084,242,13223,1689,4623,7128,1876
5/6/20,5138,1425,5553,1077,242,13370,1761,4869,7244,1946
5/7/20,5196,1465,5677,1083,248,13584,1805,5120,7377,2002
5/8/20,5525,1520,5688,1088,248,13663,1835,5369,7594,2071
5/9/20,5779,1554,5780,1134,251,13840,1887,5619,7803,2095
5/10/20,5827,1585,5858,1164,253,14006,1901,5870,7878,2127
5/11/20,5988,1602,5882,1171,253,14166,1920,6123,8176,2171
5/12/20,6219,1623,5973,1186,265,14384,1942,6359,8416,2235
5/13/20,6341,1661,5998,1199,270,14467,1976,6602,8621,2288
5/14/20,6599,1696,6057,1215,274,14741,2041,6837,8817,2345
5/15/20,6821,1750,6133,1252,275,15010,2120,7036,9050,2381
5/16/20,7096,1781,6201,1259,275,15365,2120,7250,9126,2425
5/17/20,7240,1814,6243,1284,279,15657,2120,7455,9465,2459
5/18/20,7340,1825,6322,1300,289,15863,2192,7679,9635,2537
5/19/20,7482,1888,6369,1318,303,15941,2278,7904,9859,2595
5/20/20,7644,1903,6407,1336,305,16033,2322,8090,10095,2644
5/21/20,7835,1944,6514,1355,319,16366,2371,8273,10283,2712
5/22/20,7950,1974,6580,1376,328,16521,2392,8477,10526,2761
5/23/20,8177,2002,6649,1406,329,16693,2418,8649,10770,2788
5/24/20,8277,2027,6697,1439,331,16844,2454,8827,10921,2847
5/25/20,8379,2046,6760,1467,371,17040,2461,8998,10921,2933
5/26/20,8448,2075,6799,1484,374,17167,2492,9188,11281,2984
