date,Maricopa,Pima,Broward,Duval,Leon,Miami-Dade,Bexar,Dallas,Harris,Travis
3/26/20,4,0,3,3,0,0,3,7,2,0
3/27/20,5,4,10,3,0,2,5,7,2,1
3/28/20,5,5,11,3,0,3,5,9,3,1
3/29/20,5,6,11,3,0,3,5,9,4,1
3/30/20,5,6,12,4,0,4,5,11,7,2
3/31/20,8,6,12,4,0,7,9,13,6,2
4/1/20,8,10,13,4,0,11,9,15,6,2
4/2/20,12,11,17,9,0,20,9,17,10,3
4/3/20,17,11,22,9,0,25,10,17,12,3
4/4/20,28,12,32,9,0,31,11,18,17,6
4/5/20,31,12,40,9,0,31,11,18,20,6
4/6/20,31,13,47,9,0,41,12,18,22,6
4/7/20,35,13,54,10,0,47,18,19,23,6
4/8/20,37,16,60,10,0,50,18,20,31,7
4/9/20,39,20,67,11,0,66,22,22,34,7
4/10/20,41,20,72,11,0,84,24,25,40,7
4/11/20,47,29,76,13,0,93,24,27,41,9
4/12/20,48,29,76,13,0,97,27,31,44,9
4/13/20,52,29,77,13,0,109,27,32,46,11
4/14/20,54,32,81,14,0,143,33,42,52,14
4/15/20,60,34,94,14,0,155,37,43,58,14
4/16/20,64,37,101,14,0,183,37,50,63,17
4/17/20,69,51,107,15,1,195,37,55,67,21
4/18/20,70,56,115,15,1,198,38,60,71,23
4/19/20,75,56,115,15,1,207,39,60,75,25
4/20/20,75,58,122,16,1,223,39,60,78,26
4/21/20,84,65,126,17,1,233,39,64,79,27
4/22/20,97,68,141,17,1,240,39,65,80,28
4/23/20,115,70,157,17,2,270,43,72,82,31
4/24/20,120,74,162,18,2,287,43,77,84,32
4/25/20,121,76,162,18,2,295,43,81,89,36
4/26/20,122,76,170,18,2,301,43,82,93,39
4/27/20,122,76,174,19,3,302,44,84,98,42
4/28/20,137,78,179,20,3,324,44,94,103,42
4/29/20,140,80,182,20,3,338,46,99,109,44
4/30/20,145,80,185,20,3,352,48,104,114,47
5/1/20,147,81,199,22,3,358,48,106,122,51
5/2/20,159,89,204,23,3,367,48,110,129,51
5/3/20,168,89,207,24,4,369,48,111,133,52
5/4/20,168,89,208,26,5,378,48,114,140,53
5/5/20,175,105,215,26,5,407,52,121,144,58
5/6/20,186,116,219,26,6,432,53,123,150,58
5/7/20,204,118,230,28,6,454,54,125,154,59
5/8/20,238,131,248,29,6,468,56,135,160,60
5/9/20,245,133,257,29,6,482,56,143,168,60
5/10/20,247,134,257,29,6,487,56,143,172,60
5/11/20,250,134,258,29,6,490,57,145,179,65
5/12/20,259,136,258,29,6,505,57,148,183,71
5/13/20,281,144,267,32,6,518,58,153,188,72
5/14/20,292,152,267,32,6,535,59,159,193,74
5/15/20,302,155,272,32,6,548,62,164,193,77
5/16/20,319,157,278,34,6,559,62,170,204,77
5/17/20,319,157,279,35,6,561,62,176,204,77
5/18/20,324,157,281,35,6,566,62,177,205,79
5/19/20,339,158,282,36,6,578,62,191,207,81
5/20/20,357,167,285,36,6,578,63,196,210,82
5/21/20,361,174,286,37,6,602,64,203,216,83
5/22/20,368,174,286,41,6,614,66,207,217,83
5/23/20,383,174,292,41,6,629,66,210,219,83
5/24/20,384,173,292,41,6,631,69,211,220,84
5/25/20,385,173,298,43,6,633,69,211,220,85
5/26/20,384,173,300,44,6,633,69,213,221,88
