date,ITA
12/31/19,0
1/1/20,0
1/2/20,0
1/3/20,0
1/4/20,0
1/5/20,0
1/6/20,0
1/7/20,0
1/8/20,0
1/9/20,0
1/10/20,0
1/11/20,0
1/12/20,0
1/13/20,0
1/14/20,0
1/15/20,0
1/16/20,0
1/17/20,0
1/18/20,0
1/19/20,0
1/20/20,0
1/21/20,0
1/22/20,0
1/23/20,0
1/24/20,0
1/25/20,0
1/26/20,0
1/27/20,0
1/28/20,0
1/29/20,0
1/30/20,0
1/31/20,3
2/1/20,3
2/2/20,3
2/3/20,3
2/4/20,3
2/5/20,3
2/6/20,3
2/7/20,3
2/8/20,3
2/9/20,3
2/10/20,3
2/11/20,3
2/12/20,3
2/13/20,3
2/14/20,3
2/15/20,3
2/16/20,3
2/17/20,3
2/18/20,3
2/19/20,3
2/20/20,3
2/21/20,3
2/22/20,17
2/23/20,79
2/24/20,132
2/25/20,229
2/26/20,322
2/27/20,400
2/28/20,650
2/29/20,888
3/1/20,1128
3/2/20,1689
3/3/20,2036
3/4/20,2502
3/5/20,3089
3/6/20,3858
3/7/20,4636
3/8/20,5883
3/9/20,7375
3/10/20,9172
3/11/20,10149
3/12/20,12462
3/13/20,15113
3/14/20,17660
3/15/20,21157
3/16/20,23980
3/17/20,27980
3/18/20,31506
3/19/20,35713
3/20/20,41035
3/21/20,47021
3/22/20,53578
3/23/20,59138
3/24/20,63927
3/25/20,69176
3/26/20,74386
3/27/20,80539
3/28/20,86498
3/29/20,92472
3/30/20,97689
3/31/20,101739
4/1/20,105792
4/2/20,110574
4/3/20,115242
4/4/20,119827
4/5/20,124632
4/6/20,128948
4/7/20,132547
4/8/20,135586
4/9/20,139422
4/10/20,143626
4/11/20,147577
4/12/20,152271
4/13/20,156363
4/14/20,159516
4/15/20,162488
4/16/20,165155
4/17/20,168941
4/18/20,172434
4/19/20,175925
4/20/20,178972
4/21/20,181228
4/22/20,183957
4/23/20,187327
4/24/20,189973
4/25/20,192994
4/26/20,195351
4/27/20,197675
4/28/20,199414
4/29/20,201505
4/30/20,203591
5/1/20,205463
5/2/20,207428
5/3/20,209328
5/4/20,210717
5/5/20,211938
5/6/20,213013
5/7/20,214457
5/8/20,215858
5/9/20,217185
5/10/20,218268
5/11/20,219070
5/12/20,219814
5/13/20,221216
5/14/20,222104
5/15/20,223096
5/16/20,223885
5/17/20,224760
5/18/20,225435
5/19/20,225886
5/20/20,226699
5/21/20,227364
5/22/20,228006
5/23/20,228658
5/24/20,229327
5/25/20,229858
5/26/20,230158
5/27/20,230555
5/28/20,231139
5/29/20,231732
5/30/20,232248
5/31/20,232664
6/1/20,233019
6/2/20,233197
6/3/20,233515
6/4/20,233836
6/5/20,234013
6/6/20,234531
6/7/20,234801
6/8/20,234998
6/9/20,235278
6/10/20,235561
6/11/20,235763
6/12/20,236142
6/13/20,236305
6/14/20,236651
6/15/20,236989
6/16/20,237290
6/17/20,237500
6/18/20,237828
6/19/20,238159
6/20/20,238011
6/21/20,238275
6/22/20,238499
6/23/20,238720
6/24/20,238833
6/25/20,239410
6/26/20,239706
6/27/20,239961
6/28/20,240136
6/29/20,240310
6/30/20,240436
7/1/20,240578
7/2/20,240760
7/3/20,240961
7/4/20,241184
7/5/20,241419
7/6/20,241611
7/7/20,241819
7/8/20,241956
7/9/20,242149
7/10/20,242363
7/11/20,242639
7/12/20,242827
7/13/20,243061
