date,EGY,EGY,ISR,ISR,JOR,JOR,LBN,LBN
2/14/20,1,,,,,,,
2/15/20,1,,,,,,,
2/16/20,1,,,,,,,
2/17/20,1,,,,,,,
2/18/20,1,,,,,,,
2/19/20,1,,,,,,,
2/20/20,1,,,,,,,
2/21/20,1,,1,,,,1,
2/22/20,1,,1,,,,1,
2/23/20,1,,1,,,,1,
2/24/20,1,,1,,,,1,
2/25/20,1,,1,,,,1,
2/26/20,1,,2,,,,2,
2/27/20,1,,3,,,,2,
2/28/20,1,,6,,,,2,
2/29/20,1,,6,,,,4,
3/1/20,2,,7,,,,10,
3/2/20,2,,12,,,,13,
3/3/20,2,,15,,1,,13,
3/4/20,2,,15,,1,,13,
3/5/20,3,,21,,1,,16,
3/6/20,15,,37,,1,,22,
3/7/20,15,,47,,1,,22,
3/8/20,49,1,56,,1,,32,
3/9/20,55,1,60,,1,,32,
3/10/20,59,1,88,,1,,41,1
3/11/20,60,1,60,,1,,61,3
3/12/20,67,1,81,,1,,61,3
3/13/20,80,2,112,,1,,77,3
3/14/20,109,2,138,,1,,93,3
3/15/20,110,2,177,,8,,110,3
3/16/20,150,2,251,,17,,110,3
3/17/20,196,4,295,,34,,120,3
3/18/20,196,6,371,,52,,133,3
3/19/20,256,6,386,,69,,157,4
3/20/20,285,8,628,1,85,,163,4
3/21/20,294,10,843,1,85,,187,4
3/22/20,327,14,1080,1,112,,248,4
3/23/20,366,19,1249,1,127,,267,4
3/24/20,402,20,1351,4,154,,318,4
3/25/20,456,21,2468,5,172,,333,6
3/26/20,495,24,2988,10,212,,368,6
3/27/20,536,30,3421,12,235,1,391,8
3/28/20,576,36,3901,13,246,1,412,8
3/29/20,609,40,4433,16,259,3,438,10
3/30/20,656,41,4979,17,268,5,446,11
3/31/20,710,46,5717,21,274,5,470,12
4/1/20,779,52,6413,29,278,5,479,14
4/2/20,865,58,7132,38,299,5,494,16
4/3/20,985,66,7729,43,310,5,508,17
4/4/20,1070,71,8157,49,323,5,520,17
4/5/20,1173,78,8740,56,345,5,527,18
4/6/20,1322,85,9191,64,349,6,541,19
4/7/20,1450,94,9568,72,353,6,548,19
4/8/20,1560,103,9906,80,358,6,576,19
4/9/20,1699,118,10249,89,372,7,582,19
4/10/20,1794,135,10607,97,372,7,609,20
4/11/20,1939,146,10952,103,381,7,619,20
4/12/20,2065,159,11504,109,389,7,630,20
4/13/20,2190,164,11942,118,391,7,632,20
4/14/20,2350,178,12341,126,397,7,641,21
4/15/20,2505,183,12652,139,401,7,658,21
4/16/20,2673,196,12948,146,402,7,663,21
4/17/20,2844,205,13246,155,407,7,668,21
4/18/20,3032,224,13537,166,413,7,672,21
4/19/20,3144,239,13813,174,417,7,673,21
4/20/20,3333,250,14112,180,425,7,677,21
4/21/20,3490,264,14394,189,428,7,677,21
4/22/20,3659,276,14619,192,435,7,682,22
4/23/20,3891,287,14895,196,437,7,688,22
4/24/20,4092,294,15143,199,441,7,696,22
4/25/20,4319,307,15302,202,444,7,704,24
4/26/20,4534,317,15385,204,447,7,707,24
4/27/20,4782,337,15513,208,449,7,710,24
4/28/20,5042,359,15672,213,449,8,717,24
4/29/20,5268,380,15754,219,451,8,721,24
4/30/20,5537,392,15896,225,453,8,725,24
5/1/20,5895,406,16012,229,459,8,729,24
5/2/20,6193,415,16069,232,460,9,733,25
5/3/20,6465,429,16096,235,461,9,737,25
5/4/20,6813,436,16149,238,465,9,740,25
5/5/20,7201,452,16181,240,471,9,741,25
5/6/20,7588,469,16246,241,473,9,750,25
5/7/20,7981,482,16307,242,494,9,784,25
5/8/20,8476,503,16340,248,508,9,796,26
5/9/20,8964,514,16359,251,522,9,809,26
5/10/20,9400,525,16388,255,540,9,845,26
5/11/20,9746,533,16427,260,562,9,859,26
5/12/20,10093,544,16450,263,576,9,870,26
5/13/20,10431,556,16489,266,582,9,878,26
5/14/20,10829,571,16511,268,586,9,886,26
5/15/20,11228,592,16523,268,596,9,891,26
5/16/20,11719,612,16528,271,607,9,902,26
5/17/20,12229,630,16543,275,613,9,911,26
5/18/20,12764,645,16570,278,629,9,931,26
5/19/20,13484,659,16592,280,649,9,954,26
5/20/20,14229,680,16607,281,672,9,961,26
5/21/20,15003,696,16624,281,684,9,1024,26
5/22/20,15786,707,16643,281,700,9,1086,26
5/23/20,16513,735,16648,281,704,9,1097,26
5/24/20,17265,764,16661,282,708,9,1114,26
5/25/20,17967,783,16683,284,711,9,1119,26
5/26/20,18756,797,16733,284,718,9,1140,26
5/27/20,19666,816,16773,286,720,9,1161,26
5/28/20,20793,845,16850,287,728,9,1168,26
5/29/20,22082,879,16963,287,730,9,1172,26
5/30/20,23449,913,16992,287,734,9,1191,26
5/31/20,24985,959,17079,287,739,9,1220,27
6/1/20,26384,1005,17179,290,746,9,1233,27
6/2/20,27536,1052,17300,292,755,9,1242,27
6/3/20,28615,1088,17397,293,757,9,1256,27
6/4/20,29767,1126,17539,293,765,9,1306,28
6/5/20,31115,1166,17666,294,784,9,1312,28
6/6/20,32612,1198,17744,298,795,9,1320,29
6/7/20,34079,1237,17884,300,808,9,1331,30
6/8/20,35444,1271,18063,300,831,9,1350,30
6/9/20,36829,1306,18236,301,845,9,1368,30
6/10/20,38284,1342,18476,302,863,9,1388,30
6/11/20,39726,1377,18667,302,890,9,1402,31
6/12/20,41303,1422,18851,302,915,9,1422,31
6/13/20,42980,1484,19000,303,953,9,1442,32
6/14/20,44598,1575,19136,305,961,9,1446,32
6/15/20,46289,1672,19334,305,979,9,1464,32
6/16/20,47856,1766,19634,306,981,9,1473,32
6/17/20,49219,1850,19905,306,987,9,1489,32
6/18/20,50437,1938,20207,306,1001,9,1495,32
6/19/20,52211,2017,20517,307,1008,9,1510,32
6/20/20,53758,2106,20676,308,1015,9,1536,32
6/21/20,55233,2193,20849,308,1033,9,1587,32
6/22/20,56809,2278,21194,309,1042,9,1603,32
6/23/20,58141,2365,21645,311,1047,9,1622,32
6/24/20,59561,2450,22132,314,1071,9,1644,33
6/25/20,61130,2533,22648,318,1086,9,1662,33
6/26/20,62755,2620,23112,321,1104,9,1697,33
6/27/20,63923,2708,23510,324,1111,9,1719,33
6/28/20,65188,2789,23895,326,1121,9,1740,34
6/29/20,66754,2872,24652,326,1128,9,1745,34
6/30/20,68311,2953,25438,327,1132,9,1778,34
7/1/20,69814,3034,26410,330,1133,9,1788,34
