date,EGY,ISR,JOR,LBN
2020-02-14,,,,
2020-02-15,,,,
2020-02-16,,,,
2020-02-17,,,,
2020-02-18,,,,
2020-02-19,,,,
2020-02-20,,,,
2020-02-21,,,,
2020-02-22,,,,
2020-02-23,,,,
2020-02-24,,,,
2020-02-25,,,,
2020-02-26,,,,
2020-02-27,,,,
2020-02-28,,,,
2020-02-29,,,,
2020-03-01,,,,
2020-03-02,,,,
2020-03-03,,,,
2020-03-04,,,,
2020-03-05,,,,
2020-03-06,,,,
2020-03-07,,,,
2020-03-08,1.0,,,
2020-03-09,1.0,,,
2020-03-10,1.0,,,1.0
2020-03-11,1.0,,,3.0
2020-03-12,1.0,,,3.0
2020-03-13,2.0,,,3.0
2020-03-14,2.0,,,3.0
2020-03-15,2.0,,,3.0
2020-03-16,2.0,,,3.0
2020-03-17,4.0,,,3.0
2020-03-18,6.0,,,3.0
2020-03-19,6.0,,,4.0
2020-03-20,8.0,1.0,,4.0
2020-03-21,10.0,1.0,,4.0
2020-03-22,14.0,1.0,,4.0
2020-03-23,19.0,1.0,,4.0
2020-03-24,20.0,4.0,,4.0
2020-03-25,21.0,5.0,,6.0
2020-03-26,24.0,10.0,,6.0
2020-03-27,30.0,12.0,1.0,8.0
2020-03-28,36.0,13.0,1.0,8.0
2020-03-29,40.0,16.0,3.0,10.0
2020-03-30,41.0,17.0,5.0,11.0
2020-03-31,46.0,21.0,5.0,12.0
2020-04-01,52.0,29.0,5.0,14.0
2020-04-02,58.0,38.0,5.0,16.0
2020-04-03,66.0,43.0,5.0,17.0
2020-04-04,71.0,49.0,5.0,17.0
2020-04-05,78.0,56.0,5.0,18.0
2020-04-06,85.0,64.0,6.0,19.0
2020-04-07,94.0,72.0,6.0,19.0
2020-04-08,103.0,80.0,6.0,19.0
2020-04-09,118.0,89.0,7.0,19.0
2020-04-10,135.0,97.0,7.0,20.0
2020-04-11,146.0,103.0,7.0,20.0
2020-04-12,159.0,109.0,7.0,20.0
2020-04-13,164.0,118.0,7.0,20.0
2020-04-14,178.0,126.0,7.0,21.0
2020-04-15,183.0,139.0,7.0,21.0
2020-04-16,196.0,146.0,7.0,21.0
2020-04-17,205.0,155.0,7.0,21.0
2020-04-18,224.0,166.0,7.0,21.0
2020-04-19,239.0,174.0,7.0,21.0
2020-04-20,250.0,180.0,7.0,21.0
2020-04-21,264.0,189.0,7.0,21.0
2020-04-22,276.0,192.0,7.0,22.0
2020-04-23,287.0,196.0,7.0,22.0
2020-04-24,294.0,199.0,7.0,22.0
2020-04-25,307.0,202.0,7.0,24.0
2020-04-26,317.0,204.0,7.0,24.0
2020-04-27,337.0,208.0,7.0,24.0
