date,Erie,Allegheny,Cuyahoga,Hamilton,Wayne,Davidson,Shelby,Orleans
2020-03-26,134,133,259,53,1389,293,198,997
2020-03-27,219,158,330,63,1810,312,223,1170
2020-03-28,354,219,370,71,2316,376,275,1298
2020-03-29,380,265,449,85,2704,394,362,1350
2020-03-30,443,290,493,101,3195,443,396,1480
2020-03-31,438,325,527,124,3735,541,396,1834
2020-04-01,553,356,589,154,4470,673,496,2270
2020-04-02,734,419,663,178,5069,785,638,3148
2020-04-03,802,476,780,220,6096,808,640,3476
2020-04-04,945,552,781,288,6762,856,706,3966
2020-04-05,1059,605,826,319,7518,924,754,4066
2020-04-06,1163,642,871,394,8270,1034,766,4565
2020-04-07,1163,689,911,411,9045,1075,845,4942
2020-04-08,1205,720,960,437,9626,1140,912,5070
2020-04-09,1362,759,1014,473,10093,1140,1006,5242
2020-04-10,1409,788,1052,504,10539,1224,1083,5416
2020-04-11,1472,836,1113,529,10951,1256,1147,5535
2020-04-12,1571,857,1152,535,11164,1348,1216,5600
2020-04-13,1624,876,1197,558,11648,1385,1331,5651
2020-04-14,1668,893,1239,576,12209,1457,1359,5718
2020-04-15,1751,904,1281,594,12560,1492,1432,5769
2020-04-16,1850,925,1331,615,13018,1560,1508,5847
2020-04-17,1929,947,1383,658,13249,1597,1682,5906
2020-04-18,1997,1009,1453,701,13487,1680,1730,5953
2020-04-19,2070,1035,1466,718,13708,1751,1778,6000
2020-04-20,2109,1042,1577,735,13928,1751,1839,6148
2020-04-21,2147,1059,1653,768,14271,1936,1873,6169
2020-04-22,2233,1088,1713,785,14578,1962,1924,6209
2020-04-23,2450,1149,1768,868,15011,2144,1953,6263
2020-04-24,2603,1177,1817,932,15425,2176,2001,6286
2020-04-25,2773,1198,1867,975,15566,2213,2086,6297
2020-04-26,2954,1211,1902,1005,15767,2370,2296,6342
2020-04-27,3021,1224,1938,1048,15892,2488,2327,6365
2020-04-28,3089,1235,1984,1091,16193,2588,2376,6380
2020-04-29,3196,1273,2030,1150,16514,2618,2432,6420
2020-04-30,3319,1289,2126,1218,16749,2669,2507,6452
2020-05-01,3481,1319,2217,1297,16990,2832,2599,6495
2020-05-02,3598,1333,2305,1353,17126,2875,2672,6524
2020-05-03,3710,1345,2338,1380,17318,3026,2815,6538
