date,Erie,Allegheny,Cuyahoga,Hamilton,Wayne,Davidson,Shelby,Orleans
2020-03-26,2.0,2.0,2.0,0.0,26.0,2.0,0.0,46.0
2020-03-27,6.0,2.0,2.0,0.0,37.0,2.0,0.0,57.0
2020-03-28,6.0,2.0,3.0,0.0,46.0,2.0,0.0,70.0
2020-03-29,6.0,2.0,4.0,0.0,56.0,2.0,1.0,73.0
2020-03-30,8.0,2.0,4.0,0.0,83.0,3.0,1.0,86.0
2020-03-31,8.0,2.0,6.0,0.0,120.0,3.0,1.0,101.0
2020-04-01,12.0,2.0,9.0,0.0,146.0,4.0,3.0,115.0
2020-04-02,19.0,2.0,12.0,2.0,194.0,5.0,7.0,125.0
2020-04-03,22.0,2.0,13.0,2.0,223.0,6.0,7.0,148.0
2020-04-04,26.0,3.0,13.0,2.0,252.0,6.0,10.0,153.0
2020-04-05,27.0,4.0,14.0,3.0,293.0,6.0,11.0,161.0
2020-04-06,30.0,4.0,15.0,9.0,346.0,7.0,13.0,171.0
2020-04-07,36.0,6.0,19.0,12.0,402.0,9.0,18.0,185.0
2020-04-08,38.0,10.0,23.0,13.0,446.0,13.0,21.0,208.0
2020-04-09,46.0,12.0,23.0,14.0,504.0,13.0,23.0,224.0
2020-04-10,58.0,18.0,22.0,14.0,609.0,13.0,25.0,225.0
2020-04-11,62.0,19.0,22.0,17.0,652.0,13.0,26.0,232.0
2020-04-12,75.0,19.0,23.0,17.0,704.0,13.0,26.0,235.0
2020-04-13,86.0,21.0,24.0,21.0,760.0,16.0,26.0,244.0
2020-04-14,99.0,24.0,33.0,24.0,820.0,18.0,26.0,276.0
2020-04-15,110.0,26.0,39.0,27.0,885.0,18.0,31.0,287.0
2020-04-16,115.0,38.0,42.0,29.0,982.0,19.0,33.0,302.0
2020-04-17,115.0,43.0,48.0,30.0,1045.0,20.0,35.0,317.0
2020-04-18,115.0,47.0,52.0,30.0,1071.0,20.0,35.0,324.0
2020-04-19,146.0,50.0,53.0,33.0,1121.0,20.0,37.0,329.0
2020-04-20,153.0,55.0,55.0,37.0,1150.0,20.0,38.0,339.0
2020-04-21,161.0,67.0,64.0,39.0,1281.0,22.0,39.0,344.0
2020-04-22,174.0,74.0,79.0,45.0,1322.0,22.0,43.0,367.0
2020-04-23,179.0,69.0,83.0,47.0,1399.0,22.0,44.0,387.0
2020-04-24,184.0,71.0,91.0,51.0,1445.0,22.0,44.0,392.0
2020-04-25,199.0,73.0,91.0,54.0,1562.0,22.0,44.0,399.0
2020-04-26,205.0,73.0,91.0,56.0,1582.0,23.0,45.0,406.0
2020-04-27,208.0,79.0,96.0,56.0,1624.0,25.0,45.0,406.0
2020-04-28,216.0,87.0,109.0,58.0,1684.0,25.0,46.0,410.0
2020-04-29,220.0,86.0,110.0,68.0,1729.0,25.0,46.0,416.0
2020-04-30,227.0,94.0,112.0,71.0,1784.0,28.0,47.0,434.0
2020-05-01,233.0,99.0,115.0,75.0,1804.0,28.0,51.0,437.0
2020-05-02,243.0,102.0,115.0,78.0,1886.0,28.0,55.0,439.0
2020-05-03,250.0,102.0,120.0,80.0,1895.0,28.0,55.0,441.0
2020-05-04,254.0,102.0,121.0,80.0,1926.0,29.0,58.0,447.0
2020-05-05,264.0,109.0,128.0,83.0,1947.0,32.0,60.0,453.0
2020-05-06,338.0,111.0,131.0,93.0,1975.0,33.0,64.0,464.0
2020-05-07,350.0,117.0,136.0,93.0,2014.0,35.0,64.0,463.0
2020-05-08,356.0,119.0,143.0,100.0,2030.0,35.0,67.0,463.0
2020-05-09,368.0,120.0,145.0,99.0,2084.0,35.0,68.0,468.0
2020-05-10,376.0,122.0,146.0,101.0,2099.0,35.0,68.0,468.0
2020-05-11,387.0,123.0,147.0,101.0,2107.0,35.0,70.0,470.0
2020-05-12,395.0,127.0,151.0,102.0,2142.0,37.0,73.0,477.0
2020-05-13,402.0,139.0,153.0,105.0,2158.0,38.0,76.0,481.0
2020-05-14,411.0,139.0,157.0,105.0,2185.0,42.0,81.0,482.0
2020-05-15,417.0,141.0,162.0,109.0,2194.0,43.0,82.0,489.0
2020-05-16,428.0,143.0,163.0,111.0,2214.0,43.0,85.0,495.0
2020-05-17,438.0,143.0,173.0,111.0,2215.0,44.0,85.0,495.0
2020-05-18,444.0,143.0,175.0,112.0,2228.0,44.0,87.0,495.0
2020-05-19,450.0,145.0,183.0,117.0,2277.0,46.0,88.0,494.0
2020-05-20,455.0,147.0,190.0,117.0,2286.0,50.0,88.0,500.0
2020-05-21,463.0,148.0,202.0,123.0,2315.0,51.0,91.0,500.0
