date,Marion,Cook,Milwaukee,Hennepin,St. Louis,Jackson,Harris,Dallas
2020-03-26,294,1904,393,128,173,31,203,303
2020-03-27,485,2239,468,141,247,41,229,367
2020-03-28,585,2613,541,152,313,43,445,439
2020-03-29,677,3445,565,171,336,48,526,443
2020-03-30,805,3727,663,190,366,56,563,549
2020-03-31,965,4496,674,204,492,77,680,631
2020-04-01,1119,5152,780,218,492,86,847,731
2020-04-02,1306,5575,869,235,712,103,895,831
2020-04-03,1431,6473,955,242,794,120,1036,921
2020-04-04,1572,7439,1069,252,864,135,1284,1015
2020-04-05,1764,8043,1148,267,883,139,1395,1112
2020-04-06,1960,8728,1256,280,1033,149,1809,1155
2020-04-07,2147,9509,1323,310,1203,154,2146,1261
2020-04-08,2299,10520,1417,344,1302,167,2341,1324
2020-04-09,2426,11415,1484,375,1393,177,3047,1432
2020-04-10,2613,12472,1575,415,1498,193,3261,1537
2020-04-11,2755,13417,1653,464,1568,208,3561,1648
2020-04-12,2901,14585,1710,557,1633,213,3629,1723
2020-04-13,3028,15474,1743,557,1724,223,3747,1788
2020-04-14,3081,16323,1795,588,1851,237,3907,1877
2020-04-15,3224,17306,1870,651,1938,243,4097,1986
2020-04-16,3340,18087,1947,706,2026,260,4306,2066
2020-04-17,3538,19391,2013,806,2088,267,4460,2190
2020-04-18,3645,20395,2065,875,2163,268,4653,2324
2020-04-19,3911,21272,2150,924,2214,268,4823,2428
2020-04-20,4076,22101,2191,975,2289,271,4977,2512
2020-04-21,4201,23181,2234,1013,2333,279,5143,2602
2020-04-22,4289,24546,2304,1073,2436,288,5211,2683
2020-04-23,4437,25811,2382,1132,2507,296,5330,2763
2020-04-24,4571,27616,2431,1200,2625,300,5482,2834
2020-04-25,4763,29058,2525,1287,2718,303,5628,2909
2020-04-26,4832,30574,2629,1332,2794,307,5729,3014
2020-04-27,4967,31953,2674,1416,2897,309,5827,3105
2020-04-28,5121,33449,2722,1524,2958,309,5986,3240
2020-04-29,5340,34880,2815,1633,3008,313,6161,3352
2020-04-30,5576,36513,2940,1738,3049,323,6356,3531
2020-05-01,5801,38668,3044,1829,3151,329,6551,3718
2020-05-02,6032,40227,3147,1980,3244,339,6708,3899
2020-05-03,6225,42324,3244,2151,3325,342,6838,4133
2020-05-04,6375,43715,3296,2298,3419,351,6967,4370
2020-05-05,6469,45223,3353,2519,3467,357,7128,4623
2020-05-06,6784,46689,3469,2764,3539,362,7244,4869
2020-05-07,6978,48341,3573,2962,3621,373,7377,5120
2020-05-08,7142,50236,3722,3153,3667,380,7594,5369
2020-05-09,7314,51674,3854,3379,3727,390,7803,5619
2020-05-10,7405,52655,3952,3558,3804,398,7878,5870
2020-05-11,7580,53381,4022,3744,3828,401,8176,6123
2020-05-12,7703,55470,4069,4033,3868,402,8416,6359
2020-05-13,7779,56406,4215,4033,4022,402,8621,6602
2020-05-14,7869,58457,4387,4331,4022,407,8817,6837
2020-05-15,8082,59905,4694,4674,4025,425,9050,7036
2020-05-16,8240,61212,4936,4930,4106,432,9126,7250
2020-05-17,8392,62218,4973,5158,4287,446,9465,7455
2020-05-18,8495,63690,5040,5409,4324,454,9635,7679
2020-05-19,8632,64691,5185,5650,4374,457,9859,7904
2020-05-20,8753,66213,5531,5838,4410,465,10095,8090
2020-05-21,8912,67551,5631,6029,4472,469,10283,8273
2020-05-22,9024,68949,5893,6350,4472,485,10526,8477
2020-05-23,9138,70417,6092,6649,4472,495,10770,8649
2020-05-24,9230,72010,6265,6918,4479,517,10921,8827
2020-05-25,9287,73097,6403,7168,4544,520,10921,8998
2020-05-26,9367,73819,6577,7421,4583,528,11281,9188
2020-05-27,9471,74521,6848,7540,4656,540,11542,9385
2020-05-28,9626,75306,7182,7695,4704,554,11770,9587
2020-05-29,9720,76266,7498,7932,4730,560,12009,9787
2020-05-30,9866,77119,7672,8181,4773,570,12220,10006
2020-05-31,9958,77925,7750,8393,4802,596,12276,10234
2020-06-01,10005,78495,7800,8514,4834,613,12664,10462
2020-06-02,10089,79673,8016,8591,4886,637,13027,10719
2020-06-03,10148,80204,8206,8738,4913,656,13268,10958
2020-06-04,10207,80713,8463,8867,4955,676,13603,11243
2020-06-05,10301,81344,8608,9099,5005,686,13940,11541
2020-06-06,10390,81924,8709,9255,5029,696,14423,11830
2020-06-07,10440,82427,8827,9372,5272,702,14586,12093
2020-06-08,10471,82819,8925,9480,5301,716,14918,12347
2020-06-09,10559,83271,9001,9567,5345,727,15238,12645
2020-06-10,10581,83585,9161,9674,5388,752,15552,12945
2020-06-11,10609,83978,9220,9815,5440,782,15864,13257
2020-06-12,10694,84249,9310,9934,5460,791,16188,13585
2020-06-13,10736,84581,9438,10069,5506,819,16568,13930
2020-06-14,10779,84906,9511,10191,5536,819,16778,14232
2020-06-15,10905,85184,9610,10281,5604,865,17282,14537
2020-06-16,10950,85538,9678,10323,5653,889,17707,14843
2020-06-17,10982,85858,9818,10415,5669,916,18157,15256
2020-06-18,10973,86179,9995,10512,5731,933,18552,15648
2020-06-19,11007,86551,10087,10607,5769,976,19739,16042
2020-06-20,11026,86885,10167,10705,5825,1016,20874,16437
2020-06-21,11067,87177,10267,10830,5850,1018,21053,16845
2020-06-22,11083,87424,10358,10920,5878,1030,23047,17299
2020-06-23,11099,87784,10438,10988,5941,1054,24421,17744
2020-06-24,11118,88138,10582,11057,6004,1076,25786,18135
2020-06-25,11164,88650,10736,11178,6092,1074,27017,18538
2020-06-26,11226,89068,10818,11308,6201,1103,28255,19034
2020-06-27,11304,89407,10983,11415,6293,1132,29163,19595
2020-06-28,11358,89755,11110,11556,6357,1149,29276,20165
2020-06-29,11401,90122,11232,11656,6446,1172,30729,20737
2020-06-30,11451,90536,11397,11796,6582,1210,31422,21338
2020-07-01,11513,90911,11553,11892,6616,1233,32859,21882
2020-07-02,11560,91381,11672,12048,6682,1257,34108,22590
2020-07-03,11630,91774,11899,12150,6755,1306,35316,23675
2020-07-04,11678,92240,12083,12150,6837,1361,35913,24778
2020-07-05,11755,92532,12233,12329,6887,1367,36597,25840
2020-07-06,11814,92781,12436,12456,6931,1399,37776,27054
2020-07-07,11854,93053,12577,12597,7066,1436,39311,28131
2020-07-08,11891,93496,12834,12703,7284,1479,40012,29160
2020-07-09,11943,94005,13096,12867,7469,1527,40919,30361
2020-07-10,12052,94605,13430,13054,7586,1612,42000,31525
2020-07-11,12151,95138,13661,13328,7761,1657,43939,32626
2020-07-12,12206,95557,13928,13568,7809,1743,45368,33800
2020-07-13,12243,95884,14196,13697,7897,1781,47369,34914
2020-07-14,12323,96186,14478,13790,8140,1806,49027,35914
2020-07-15,12409,96662,14807,13948,8300,1936,50370,36969
2020-07-16,12494,97214,15179,14125,8561,1962,51969,37996
2020-07-17,12617,97790,15426,14348,8739,2077,53555,39191
2020-07-18,12742,98292,15632,14495,8862,2077,54806,40222
2020-07-19,12883,98670,15985,14734,8990,2209,55769,41266
2020-07-20,12976,99052,16275,14835,9114,2220,57095,42292
2020-07-21,13124,99464,16570,15125,9361,2330,58480,43026
2020-07-22,13228,100124,16911,15273,9624,2407,59924,43439
2020-07-23,13380,100795,17197,15537,9944,2466,61416,44087
2020-07-24,13545,101420,17655,15810,10319,2554,62619,44746
2020-07-25,13685,101955,17861,16067,10687,2554,64113,46013
2020-07-26,13835,102583,18140,16316,11210,2642,65349,46813
2020-07-27,13953,103008,18302,16506,11507,2774,66195,47239
2020-07-28,14094,103441,18528,16661,11595,2852,67660,48028
2020-07-29,14237,104001,18827,16881,12018,2957,69126,48732
2020-07-30,14412,104691,19069,17092,12548,3189,70850,49269
2020-07-31,14575,105493,19248,17316,12880,3320,72964,51299
2020-08-01,14721,106131,19519,17547,13162,3396,74884,50590
2020-08-02,14853,106713,19727,17789,13271,3450,76642,52576
2020-08-03,15007,107247,19855,18009,13474,3537,78105,53024
2020-08-04,15173,107744,20024,18197,13788,3639,79543,53809
2020-08-05,15296,108425,20251,18393,14074,3713,80914,54317
2020-08-06,15470,109150,20521,18641,14362,3810,81919,54731
2020-08-07,15651,110002,20734,18774,14563,3909,83183,55320
2020-08-08,15849,110865,20920,19057,14666,3909,84600,55903
2020-08-09,16010,111447,21062,19271,14785,4014,85757,56876
2020-08-10,16113,111948,21178,19472,14941,4083,86563,57497
2020-08-11,16239,112485,21331,19569,15284,4155,87505,57825
2020-08-12,16346,113045,21396,19677,15485,4272,88494,58147
2020-08-13,16457,113796,21748,19873,15872,4363,89425,58897
2020-08-14,16592,114724,21885,20063,16133,4451,90574,59818
2020-08-15,16694,115344,22054,20251,16409,4523,91698,60582
2020-08-16,16796,115960,22212,20469,16614,4560,92253,65943
2020-08-17,16863,116620,22334,20625,16764,4640,92944,67797
2020-08-18,17027,117171,22480,20722,16968,4712,93872,68591
2020-08-19,17104,118012,22556,20853,17094,4758,94676,68994
2020-08-20,17228,118757,22862,21050,17294,4828,95631,69343
2020-08-21,17362,119644,23032,21270,17517,4869,96658,70060
2020-08-22,17502,120567,23144,21466,17721,5005,97745,71148
2020-08-23,17587,121308,23209,21670,17872,5038,98506,71478
2020-08-24,17757,121894,23281,21846,17975,5071,99290,71662
2020-08-25,17854,122423,23396,21934,18210,5116,100171,72043
2020-08-26,17997,123172,23514,22044,18334,5184,101077,72627
2020-08-27,18141,123691,23676,22305,18507,5254,101670,72627
2020-08-28,18252,124573,23841,22520,18774,5324,103088,72884
2020-08-29,18377,125124,23977,22736,19071,5386,104649,73685
2020-08-30,18500,126003,24040,22984,19278,5462,105757,73685
2020-08-31,18631,126577,24079,23134,19432,5521,106595,74576
2020-09-01,18734,126992,24189,23209,19665,5606,107490,75268
2020-09-02,18888,127616,24263,23372,19852,5707,108085,75635
2020-09-03,19004,128012,24380,23569,20039,5773,108819,75635
2020-09-04,19123,129545,26081,23798,20174,5819,109834,76081
2020-09-05,19240,130616,26196,24026,20351,5942,110762,76499
2020-09-06,19363,131078,26288,24155,20574,6002,111525,76858
2020-09-07,19439,131622,26344,24299,20735,6038,111525,76858
2020-09-08,19474,132079,26440,24385,20839,6083,112039,77326
2020-09-09,19555,132401,26516,24433,21001,6168,112762,77734
2020-09-10,19641,132966,26670,24389,21187,6232,113504,77948
2020-09-11,19717,133686,26807,24398,21343,6313,114761,78291
2020-09-12,19822,134352,26971,24611,21588,6407,115149,78511
2020-09-13,20233,134801,27089,24788,21831,6473,116172,78511
2020-09-14,20314,135274,27166,24944,21914,6527,117568,79263
2020-09-15,20363,135690,27289,25018,22090,6609,120336,79474
2020-09-16,20416,136246,27466,25093,22241,6695,120771,79786
2020-09-17,20508,136993,27720,25264,22386,6796,121628,80244
2020-09-18,20676,137580,27995,25454,22556,6912,122445,80736
2020-09-19,20814,138576,28268,25628,22729,6987,123264,80917
2020-09-20,20868,139088,28490,25857,22833,7064,123817,81752
2020-09-21,20915,139597,28600,26054,22992,7141,137946,82079
2020-09-22,21001,140078,28843,26147,23137,7178,138473,82212
2020-09-23,21105,140623,29004,26264,23297,7218,139017,82600
2020-09-24,21238,141430,29355,26447,23427,7291,139681,83304
2020-09-25,21367,142215,29640,26706,23688,7400,140532,83304
2020-09-26,21493,143084,29974,26960,23912,7470,140868,83304
2020-09-27,21574,143634,30277,27177,24104,7512,141353,85099
2020-09-28,21673,144315,30440,27372,24207,7588,141707,85410
2020-09-29,21735,144697,30690,27557,24425,7588,142315,86213
2020-09-30,21843,145462,30926,27728,24573,7460,142681,86500
2020-10-01,21953,146152,31280,27873,24707,7533,143530,86500
2020-10-02,22122,146917,31607,28158,24885,7629,146234,86500
2020-10-03,22287,147841,31949,28440,24994,7629,147298,87529
2020-10-04,22454,148381,32186,28645,25110,7629,147808,88167
2020-10-05,22512,149127,32264,28843,25302,7629,148235,88617
2020-10-06,22612,149588,32535,29045,25416,8279,148769,88863
2020-10-07,22732,150400,32849,29207,25572,8365,149394,89206
2020-10-08,22862,151474,33223,29404,25709,7973,149771,89444
2020-10-09,23040,152387,33625,29661,25937,8069,150176,89856
2020-10-10,23211,153514,33953,29929,26134,8319,150626,90348
2020-10-11,23351,154519,34295,30218,26342,8319,151161,90781
2020-10-12,23487,155567,34530,30456,26517,8319,151463,91117
2020-10-13,23686,156726,35085,30698,26675,8319,151880,91755
2020-10-14,23785,157573,35596,30923,26881,8901,152623,92259
2020-10-15,24026,159035,36134,31161,27050,8977,152977,92848
2020-10-16,24208,160645,36534,31472,27472,9062,153571,93328
2020-10-17,24464,162220,36534,31749,27603,9088,153955,93975
2020-10-18,24584,163912,36534,32050,27900,9174,154367,94567
2020-10-19,24738,165198,37386,32336,28239,9196,154765,94949
2020-10-20,24871,166457,38207,32544,28380,9196,155192,95459
2020-10-21,25079,168139,38890,32743,28626,9384,156035,96048
2020-10-22,25324,170039,39288,33024,28842,9541,156742,96483
2020-10-23,25565,171437,40124,33310,29143,9662,157392,97095
