date,Marion,Cook,Milwaukee,Hennepin,St. Louis,Jackson,Harris,Dallas
2020-03-26,7.0,18.0,7.0,0.0,1.0,1.0,2.0,7.0
2020-03-27,9.0,20.0,9.0,1.0,2.0,1.0,2.0,7.0
2020-03-28,11.0,28.0,9.0,2.0,2.0,1.0,3.0,9.0
2020-03-29,11.0,40.0,9.0,5.0,2.0,1.0,4.0,9.0
2020-03-30,13.0,44.0,10.0,6.0,2.0,1.0,7.0,11.0
2020-03-31,18.0,61.0,11.0,6.0,3.0,1.0,6.0,13.0
2020-04-01,23.0,95.0,16.0,6.0,3.0,2.0,6.0,15.0
2020-04-02,26.0,107.0,18.0,6.0,6.0,2.0,10.0,17.0
2020-04-03,35.0,141.0,28.0,9.0,7.0,3.0,12.0,17.0
2020-04-04,36.0,167.0,29.0,9.0,11.0,3.0,17.0,18.0
2020-04-05,41.0,186.0,39.0,11.0,13.0,4.0,20.0,18.0
2020-04-06,45.0,209.0,45.0,14.0,14.0,4.0,22.0,18.0
2020-04-07,54.0,249.0,49.0,16.0,24.0,4.0,23.0,19.0
2020-04-08,67.0,312.0,59.0,18.0,26.0,5.0,31.0,20.0
2020-04-09,92.0,351.0,67.0,25.0,28.0,5.0,34.0,22.0
2020-04-10,120.0,398.0,77.0,27.0,33.0,5.0,40.0,25.0
2020-04-11,131.0,453.0,85.0,30.0,42.0,7.0,41.0,27.0
2020-04-12,137.0,485.0,88.0,34.0,42.0,7.0,44.0,31.0
2020-04-13,139.0,543.0,94.0,34.0,50.0,7.0,46.0,32.0
2020-04-14,159.0,577.0,101.0,40.0,53.0,9.0,52.0,42.0
2020-04-15,175.0,630.0,105.0,46.0,63.0,9.0,58.0,43.0
2020-04-16,184.0,722.0,114.0,52.0,66.0,11.0,63.0,50.0
2020-04-17,202.0,760.0,120.0,61.0,72.0,11.0,67.0,55.0
2020-04-18,211.0,860.0,122.0,69.0,80.0,11.0,71.0,60.0
2020-04-19,214.0,877.0,125.0,75.0,81.0,11.0,75.0,60.0
2020-04-20,216.0,915.0,132.0,80.0,82.0,11.0,78.0,60.0
2020-04-21,231.0,1002.0,139.0,95.0,91.0,11.0,79.0,64.0
2020-04-22,240.0,1072.0,142.0,113.0,97.0,12.0,80.0,65.0
2020-04-23,255.0,1142.0,150.0,123.0,105.0,12.0,82.0,72.0
2020-04-24,266.0,1220.0,154.0,138.0,121.0,12.0,84.0,77.0
2020-04-25,283.0,1267.0,157.0,155.0,127.0,12.0,89.0,81.0
2020-04-26,287.0,1313.0,162.0,177.0,127.0,12.0,93.0,82.0
2020-04-27,289.0,1347.0,167.0,188.0,137.0,12.0,98.0,84.0
2020-04-28,304.0,1457.0,174.0,193.0,159.0,12.0,103.0,94.0
2020-04-29,329.0,1516.0,177.0,209.0,159.0,13.0,109.0,99.0
2020-04-30,353.0,1607.0,181.0,225.0,162.0,14.0,114.0,104.0
2020-05-01,364.0,1673.0,186.0,243.0,168.0,14.0,122.0,106.0
2020-05-02,382.0,1743.0,191.0,259.0,177.0,14.0,129.0,110.0
2020-05-03,385.0,1786.0,195.0,277.0,177.0,14.0,133.0,111.0
2020-05-04,387.0,1802.0,195.0,284.0,177.0,15.0,140.0,114.0
2020-05-05,398.0,1922.0,201.0,303.0,189.0,16.0,144.0,121.0
2020-05-06,413.0,2004.0,204.0,325.0,204.0,16.0,150.0,123.0
2020-05-07,425.0,2110.0,212.0,342.0,220.0,16.0,154.0,125.0
2020-05-08,430.0,2197.0,219.0,362.0,246.0,16.0,160.0,135.0
2020-05-09,444.0,2264.0,224.0,374.0,255.0,16.0,168.0,143.0
2020-05-10,448.0,2317.0,225.0,389.0,262.0,16.0,172.0,143.0
2020-05-11,455.0,2361.0,231.0,398.0,266.0,16.0,179.0,145.0
2020-05-12,462.0,2449.0,235.0,412.0,278.0,16.0,183.0,148.0
2020-05-13,473.0,2589.0,236.0,412.0,293.0,16.0,188.0,153.0
2020-05-14,484.0,2675.0,242.0,441.0,305.0,16.0,193.0,159.0
2020-05-15,500.0,2762.0,249.0,449.0,318.0,16.0,193.0,164.0
2020-05-16,509.0,2814.0,252.0,454.0,329.0,16.0,204.0,170.0
2020-05-17,512.0,2839.0,252.0,462.0,335.0,16.0,204.0,176.0
2020-05-18,515.0,2889.0,256.0,467.0,336.0,16.0,205.0,177.0
2020-05-19,532.0,2980.0,260.0,476.0,347.0,16.0,207.0,191.0
2020-05-20,541.0,3074.0,265.0,485.0,352.0,16.0,210.0,196.0
2020-05-21,554.0,3114.0,269.0,502.0,376.0,16.0,216.0,203.0
2020-05-22,564.0,3187.0,270.0,518.0,380.0,16.0,217.0,207.0
2020-05-23,569.0,3246.0,276.0,524.0,384.0,16.0,219.0,210.0
2020-05-24,571.0,3304.0,276.0,534.0,385.0,16.0,220.0,211.0
2020-05-25,571.0,3324.0,276.0,539.0,387.0,16.0,220.0,211.0
2020-05-26,577.0,3354.0,277.0,549.0,387.0,16.0,221.0,213.0
2020-05-27,584.0,3455.0,282.0,565.0,389.0,16.0,223.0,221.0
2020-05-28,596.0,3519.0,285.0,581.0,395.0,17.0,224.0,222.0
2020-05-29,609.0,3570.0,294.0,593.0,415.0,17.0,228.0,223.0
2020-05-30,615.0,3603.0,299.0,606.0,442.0,19.0,231.0,228.0
2020-05-31,617.0,3642.0,299.0,613.0,443.0,19.0,232.0,229.0
2020-06-01,620.0,3658.0,299.0,616.0,443.0,19.0,235.0,229.0
2020-06-02,637.0,3726.0,309.0,627.0,444.0,22.0,236.0,245.0
2020-06-03,639.0,3780.0,315.0,633.0,446.0,22.0,241.0,249.0
2020-06-04,644.0,3846.0,316.0,641.0,449.0,22.0,247.0,250.0
2020-06-05,650.0,3880.0,317.0,657.0,455.0,22.0,253.0,260.0
2020-06-06,663.0,3913.0,325.0,667.0,460.0,22.0,259.0,262.0
2020-06-07,668.0,3944.0,326.0,676.0,460.0,22.0,261.0,264.0
2020-06-08,669.0,3959.0,325.0,681.0,466.0,22.0,262.0,264.0
2020-06-09,676.0,4010.0,331.0,686.0,480.0,22.0,262.0,271.0
2020-06-10,680.0,4053.0,336.0,693.0,485.0,22.0,267.0,274.0
2020-06-11,689.0,4111.0,346.0,700.0,496.0,22.0,267.0,277.0
2020-06-12,689.0,4162.0,349.0,708.0,499.0,22.0,271.0,280.0
2020-06-13,693.0,4173.0,350.0,712.0,500.0,22.0,275.0,283.0
2020-06-14,694.0,4189.0,350.0,716.0,500.0,22.0,275.0,284.0
2020-06-15,697.0,4206.0,350.0,720.0,500.0,22.0,284.0,285.0
2020-06-16,699.0,4253.0,352.0,724.0,503.0,26.0,289.0,293.0
2020-06-17,702.0,4304.0,356.0,727.0,518.0,26.0,298.0,302.0
2020-06-18,706.0,4333.0,360.0,732.0,544.0,27.0,305.0,307.0
2020-06-19,711.0,4363.0,362.0,740.0,547.0,27.0,311.0,311.0
2020-06-20,713.0,4390.0,371.0,744.0,550.0,27.0,322.0,313.0
2020-06-21,714.0,4404.0,371.0,747.0,550.0,27.0,325.0,314.0
2020-06-22,715.0,4423.0,371.0,747.0,551.0,27.0,332.0,317.0
2020-06-23,716.0,4439.0,373.0,751.0,555.0,33.0,335.0,324.0
2020-06-24,720.0,4478.0,377.0,752.0,558.0,33.0,346.0,328.0
2020-06-25,722.0,4500.0,381.0,758.0,558.0,36.0,353.0,334.0
2020-06-26,723.0,4526.0,382.0,761.0,567.0,36.0,361.0,344.0
2020-06-27,724.0,4536.0,389.0,764.0,568.0,35.0,369.0,351.0
2020-06-28,724.0,4542.0,389.0,767.0,568.0,36.0,371.0,352.0
2020-06-29,724.0,4554.0,389.0,773.0,568.0,36.0,376.0,353.0
2020-06-30,726.0,4565.0,390.0,776.0,575.0,36.0,378.0,373.0
2020-07-01,727.0,4581.0,390.0,776.0,581.0,37.0,384.0,380.0
2020-07-02,727.0,4609.0,391.0,782.0,582.0,39.0,387.0,387.0
2020-07-03,730.0,4618.0,391.0,785.0,583.0,39.0,395.0,393.0
2020-07-04,730.0,4622.0,391.0,785.0,584.0,40.0,400.0,395.0
2020-07-05,730.0,4627.0,391.0,786.0,584.0,40.0,400.0,395.0
2020-07-06,731.0,4630.0,391.0,787.0,584.0,40.0,401.0,401.0
2020-07-07,735.0,4651.0,398.0,787.0,593.0,42.0,407.0,410.0
2020-07-08,735.0,4664.0,397.0,789.0,593.0,42.0,411.0,426.0
2020-07-09,736.0,4676.0,397.0,789.0,593.0,42.0,423.0,436.0
2020-07-10,738.0,4693.0,398.0,790.0,595.0,42.0,439.0,445.0
2020-07-11,739.0,4711.0,398.0,790.0,597.0,43.0,455.0,449.0
2020-07-12,739.0,4725.0,398.0,791.0,597.0,44.0,458.0,451.0
2020-07-13,739.0,4729.0,398.0,791.0,603.0,44.0,466.0,457.0
2020-07-14,743.0,4741.0,402.0,791.0,604.0,46.0,473.0,477.0
2020-07-15,745.0,4745.0,403.0,793.0,605.0,46.0,491.0,485.0
2020-07-16,747.0,4750.0,403.0,794.0,605.0,46.0,509.0,501.0
2020-07-17,748.0,4765.0,404.0,798.0,607.0,46.0,527.0,514.0
2020-07-18,752.0,4774.0,411.0,801.0,610.0,46.0,533.0,523.0
2020-07-19,752.0,4776.0,411.0,802.0,610.0,47.0,536.0,525.0
2020-07-20,752.0,4777.0,411.0,802.0,610.0,47.0,545.0,526.0
2020-07-21,755.0,4788.0,416.0,802.0,610.0,48.0,561.0,537.0
2020-07-22,758.0,4801.0,417.0,803.0,619.0,48.0,576.0,567.0
2020-07-23,758.0,4810.0,422.0,804.0,626.0,50.0,597.0,579.0
2020-07-24,758.0,4822.0,422.0,805.0,627.0,53.0,615.0,586.0
2020-07-25,759.0,4829.0,427.0,806.0,628.0,53.0,637.0,604.0
2020-07-26,759.0,4830.0,427.0,807.0,632.0,55.0,645.0,605.0
2020-07-27,760.0,4845.0,427.0,807.0,636.0,56.0,1100.0,607.0
2020-07-28,761.0,4857.0,428.0,808.0,643.0,55.0,1127.0,622.0
2020-07-29,762.0,4864.0,429.0,810.0,646.0,55.0,1182.0,658.0
2020-07-30,765.0,4872.0,433.0,810.0,648.0,56.0,1206.0,664.0
2020-07-31,766.0,4886.0,438.0,813.0,650.0,57.0,1258.0,673.0
2020-08-01,766.0,4888.0,446.0,815.0,650.0,59.0,1288.0,681.0
2020-08-02,767.0,4894.0,446.0,819.0,650.0,59.0,1288.0,690.0
2020-08-03,767.0,4897.0,446.0,819.0,650.0,59.0,1318.0,693.0
2020-08-04,772.0,4902.0,447.0,820.0,651.0,59.0,1367.0,725.0
