date,Denver,Salt Lake,Bernalillo,Ada,Maricopa,Pima,Washoe,Clark
2020-03-26,262,181,55,54,299,75,67,350
2020-03-27,312,212,82,76,399,102,75,443
2020-03-28,367,276,93,88,454,120,93,528
2020-03-29,408,324,101,113,546,153,107,528
2020-03-30,465,363,117,151,690,187,121,753
2020-03-31,539,396,129,195,791,202,121,869
2020-04-01,586,444,148,226,871,217,163,961
2020-04-02,643,476,163,307,961,237,163,1125
2020-04-03,716,541,202,351,1049,280,229,1279
2020-04-04,769,650,225,385,1171,326,245,1418
2020-04-05,825,741,246,402,1326,372,264,1519
2020-04-06,847,741,262,419,1433,415,281,1608
2020-04-07,884,807,307,438,1495,415,309,1734
2020-04-08,927,868,325,447,1559,464,326,1878
2020-04-09,1031,935,369,496,1689,512,363,2009
2020-04-10,1113,1011,407,516,1741,543,389,2144
2020-04-11,1182,1071,422,521,1891,591,389,2258
2020-04-12,1247,1126,440,521,1960,622,461,2324
2020-04-13,1346,1157,455,539,2020,668,500,2444
2020-04-14,1402,1187,464,557,2056,685,532,2509
2020-04-15,1468,1285,477,567,2146,700,549,2559
2020-04-16,1549,1377,491,576,2264,760,572,2625
2020-04-17,1636,1456,514,593,2404,819,588,2738
2020-04-18,1723,1547,527,598,2491,856,606,2882
2020-04-19,1784,1615,542,598,2589,913,637,2940
2020-04-20,1880,1671,566,616,2636,941,662,2998
2020-04-21,2004,1714,585,622,2738,963,684,3099
2020-04-22,2071,1795,600,630,2846,973,710,3218
2020-04-23,2172,1889,631,635,2970,1026,736,3314
2020-04-24,2385,1975,651,642,3116,1060,755,3443
2020-04-25,2487,2051,670,650,3234,1090,791,3570
2020-04-26,2583,2144,688,650,3359,1136,804,3665
2020-04-27,2682,2190,694,661,3457,1164,820,3717
2020-04-28,2791,2256,738,662,3578,1188,834,3793
2020-04-29,2890,2348,765,671,3723,1215,848,3891
2020-04-30,3001,2438,811,681,3972,1241,873,3979
2020-05-01,3092,2526,830,689,4156,1267,921,4118
2020-05-02,3222,2609,883,705,4421,1300,949,4225
2020-05-03,3345,2707,920,705,4585,1326,977,4274
2020-05-04,3428,2769,944,710,4751,1346,988,4411
2020-05-05,3546,2832,963,713,4929,1379,1014,4411
2020-05-06,3674,2919,981,717,5138,1425,1022,4473
2020-05-07,3799,3010,1012,721,5196,1465,1030,4573
2020-05-08,3892,3104,1030,731,5525,1520,1065,4616
2020-05-09,4001,3206,1050,733,5779,1554,1077,4704
2020-05-10,4070,3291,1073,733,5827,1585,1095,4750
2020-05-11,4118,3370,1086,739,5988,1602,1100,4762
2020-05-12,4187,3425,1111,744,6219,1623,1116,4869
2020-05-13,4254,3530,1124,754,6341,1661,1132,5045
2020-05-14,4359,3609,1149,759,6599,1696,1154,5144
2020-05-15,4452,3717,1180,770,6821,1750,1190,5235
2020-05-16,4548,3785,1194,773,7096,1781,1202,5298
2020-05-17,4656,3883,1210,773,7240,1814,1256,5366
2020-05-18,4720,3942,1218,780,7340,1825,1266,5463
2020-05-19,4790,4019,1225,783,7482,1888,1295,5536
2020-05-20,4858,4123,1254,792,7644,1903,1305,5650
2020-05-21,4948,4217,1273,791,7835,1944,1316,5734
2020-05-22,5056,4308,1313,794,7950,1974,1356,5815
2020-05-23,5151,4441,1326,796,8177,2002,1361,6048
2020-05-24,5173,4515,1337,796,8277,2027,1378,6140
2020-05-25,5216,4583,1347,798,8379,2046,1405,6182
2020-05-26,5269,4632,1362,798,8448,2075,1459,6226
2020-05-27,5316,4682,1383,800,8627,2119,1485,6287
2020-05-28,5434,4806,1434,803,8896,2167,1514,6352
2020-05-29,5569,4994,1445,805,9112,2234,1531,6457
2020-05-30,5690,5118,1464,812,9522,2290,1548,6579
2020-05-31,5775,5242,1476,812,9815,2368,1577,6657
2020-06-01,5802,5340,1486,818,9937,2382,1585,6719
2020-06-02,5854,5449,1499,818,10536,2496,1606,6845
2020-06-03,5917,5621,1524,823,11068,2627,1618,6923
2020-06-04,5977,5760,1543,832,11229,2669,1645,7056
