date,Denver,Salt Lake,Bernalillo,Ada,Maricopa,Pima,Washoe,Clark
2020-03-26,3.0,0.0,0.0,0.0,4.0,0.0,0.0,10.0
2020-03-27,3.0,0.0,0.0,0.0,5.0,4.0,0.0,10.0
2020-03-28,5.0,0.0,1.0,1.0,5.0,5.0,0.0,14.0
2020-03-29,5.0,0.0,1.0,2.0,5.0,6.0,1.0,14.0
2020-03-30,6.0,0.0,3.0,3.0,5.0,6.0,3.0,15.0
2020-03-31,7.0,0.0,4.0,3.0,8.0,6.0,3.0,23.0
2020-04-01,8.0,1.0,4.0,3.0,8.0,10.0,4.0,28.0
2020-04-02,11.0,1.0,5.0,3.0,12.0,11.0,4.0,34.0
2020-04-03,14.0,1.0,7.0,3.0,17.0,11.0,4.0,39.0
2020-04-04,14.0,1.0,7.0,3.0,28.0,12.0,4.0,41.0
2020-04-05,16.0,1.0,7.0,3.0,31.0,12.0,4.0,41.0
2020-04-06,15.0,1.0,7.0,3.0,31.0,13.0,4.0,41.0
2020-04-07,31.0,1.0,8.0,3.0,35.0,13.0,5.0,54.0
2020-04-08,33.0,7.0,11.0,5.0,37.0,16.0,8.0,65.0
2020-04-09,38.0,7.0,12.0,6.0,39.0,20.0,10.0,71.0
2020-04-10,42.0,7.0,13.0,6.0,41.0,20.0,10.0,75.0
2020-04-11,46.0,7.0,13.0,6.0,47.0,29.0,11.0,96.0
2020-04-12,46.0,7.0,16.0,6.0,48.0,29.0,12.0,100.0
2020-04-13,51.0,7.0,16.0,9.0,52.0,29.0,12.0,101.0
2020-04-14,56.0,7.0,17.0,9.0,54.0,32.0,13.0,106.0
2020-04-15,61.0,7.0,17.0,9.0,60.0,34.0,14.0,115.0
2020-04-16,63.0,12.0,18.0,9.0,64.0,37.0,15.0,121.0
2020-04-17,66.0,12.0,22.0,9.0,69.0,51.0,16.0,124.0
2020-04-18,74.0,13.0,23.0,10.0,70.0,56.0,16.0,133.0
2020-04-19,75.0,15.0,24.0,10.0,75.0,56.0,18.0,137.0
2020-04-20,83.0,15.0,24.0,12.0,75.0,58.0,18.0,137.0
2020-04-21,91.0,18.0,29.0,12.0,84.0,65.0,18.0,141.0
2020-04-22,96.0,19.0,29.0,14.0,97.0,68.0,21.0,150.0
2020-04-23,98.0,20.0,31.0,14.0,115.0,70.0,22.0,163.0
2020-04-24,128.0,23.0,33.0,14.0,120.0,74.0,25.0,168.0
2020-04-25,132.0,25.0,33.0,15.0,121.0,76.0,27.0,174.0
2020-04-26,132.0,25.0,33.0,15.0,122.0,76.0,27.0,174.0
2020-04-27,135.0,24.0,33.0,15.0,122.0,76.0,28.0,174.0
2020-04-28,145.0,28.0,35.0,16.0,137.0,78.0,29.0,186.0
2020-04-29,150.0,28.0,35.0,16.0,140.0,80.0,30.0,196.0
2020-04-30,154.0,29.0,35.0,16.0,145.0,80.0,30.0,202.0
2020-05-01,163.0,30.0,36.0,16.0,147.0,81.0,33.0,206.0
2020-05-02,164.0,30.0,38.0,17.0,159.0,89.0,33.0,215.0
2020-05-03,166.0,31.0,40.0,17.0,168.0,89.0,33.0,218.0
2020-05-04,166.0,31.0,40.0,17.0,168.0,89.0,35.0,223.0
2020-05-05,188.0,35.0,42.0,19.0,175.0,105.0,36.0,226.0
2020-05-06,195.0,38.0,44.0,19.0,186.0,116.0,37.0,238.0
2020-05-07,199.0,39.0,44.0,19.0,204.0,118.0,38.0,245.0
2020-05-08,202.0,39.0,45.0,19.0,238.0,131.0,39.0,253.0
2020-05-09,205.0,44.0,46.0,19.0,245.0,133.0,39.0,256.0
2020-05-10,206.0,44.0,46.0,19.0,247.0,134.0,39.0,260.0
2020-05-11,212.0,48.0,48.0,21.0,250.0,134.0,39.0,260.0
2020-05-12,214.0,51.0,50.0,21.0,259.0,136.0,40.0,267.0
2020-05-13,233.0,52.0,53.0,21.0,281.0,144.0,43.0,275.0
2020-05-14,237.0,52.0,54.0,22.0,292.0,152.0,45.0,282.0
2020-05-15,248.0,55.0,56.0,22.0,302.0,155.0,46.0,291.0
2020-05-16,261.0,55.0,56.0,22.0,319.0,157.0,46.0,293.0
2020-05-17,265.0,56.0,57.0,22.0,319.0,157.0,47.0,296.0
2020-05-18,272.0,56.0,59.0,22.0,324.0,157.0,48.0,296.0
2020-05-19,285.0,62.0,59.0,23.0,339.0,158.0,48.0,304.0
2020-05-20,294.0,62.0,59.0,23.0,357.0,167.0,48.0,314.0
2020-05-21,296.0,65.0,63.0,23.0,361.0,174.0,48.0,320.0
2020-05-22,299.0,65.0,66.0,23.0,368.0,174.0,48.0,322.0
2020-05-23,299.0,68.0,68.0,23.0,383.0,174.0,50.0,329.0
2020-05-24,299.0,68.0,68.0,23.0,384.0,173.0,52.0,331.0
2020-05-25,298.0,68.0,68.0,23.0,385.0,173.0,54.0,331.0
2020-05-26,301.0,70.0,68.0,22.0,384.0,173.0,54.0,331.0
2020-05-27,313.0,71.0,69.0,22.0,397.0,175.0,55.0,336.0
2020-05-28,324.0,71.0,70.0,22.0,403.0,186.0,55.0,342.0
2020-05-29,326.0,71.0,71.0,22.0,419.0,185.0,59.0,343.0
2020-05-30,327.0,74.0,71.0,22.0,430.0,185.0,60.0,344.0
2020-05-31,327.0,74.0,71.0,22.0,432.0,185.0,60.0,346.0
2020-06-01,329.0,74.0,71.0,22.0,433.0,185.0,61.0,346.0
2020-06-02,332.0,74.0,72.0,22.0,448.0,191.0,61.0,346.0
2020-06-03,334.0,78.0,72.0,22.0,466.0,196.0,61.0,355.0
2020-06-04,336.0,78.0,73.0,22.0,471.0,202.0,61.0,355.0
2020-06-05,338.0,81.0,74.0,22.0,479.0,202.0,65.0,357.0
2020-06-06,339.0,81.0,74.0,22.0,489.0,205.0,65.0,358.0
2020-06-07,339.0,81.0,75.0,22.0,490.0,205.0,65.0,359.0
2020-06-08,348.0,83.0,75.0,22.0,491.0,205.0,65.0,363.0
2020-06-09,349.0,85.0,76.0,22.0,504.0,212.0,66.0,365.0
2020-06-10,357.0,85.0,77.0,22.0,519.0,216.0,67.0,367.0
2020-06-11,358.0,87.0,77.0,22.0,532.0,218.0,69.0,375.0
2020-06-12,360.0,93.0,77.0,22.0,536.0,222.0,69.0,377.0
2020-06-13,360.0,93.0,78.0,22.0,549.0,223.0,70.0,377.0
2020-06-14,360.0,93.0,80.0,22.0,551.0,223.0,70.0,378.0
2020-06-15,364.0,95.0,80.0,22.0,557.0,223.0,71.0,379.0
2020-06-16,363.0,96.0,80.0,22.0,568.0,226.0,71.0,380.0
2020-06-17,364.0,99.0,81.0,22.0,579.0,229.0,71.0,386.0
2020-06-18,366.0,100.0,82.0,22.0,598.0,235.0,72.0,387.0
2020-06-19,366.0,102.0,82.0,22.0,615.0,240.0,73.0,390.0
2020-06-20,367.0,102.0,82.0,22.0,633.0,242.0,73.0,397.0
2020-06-21,367.0,102.0,82.0,22.0,632.0,242.0,73.0,398.0
2020-06-22,367.0,102.0,82.0,22.0,634.0,242.0,74.0,400.0
2020-06-23,369.0,105.0,82.0,22.0,663.0,247.0,74.0,402.0
2020-06-24,369.0,105.0,84.0,23.0,690.0,255.0,74.0,404.0
