date,New York City
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,0
3/12/20,0
3/13/20,0
3/14/20,1
3/15/20,5
3/16/20,7
3/17/20,11
3/18/20,25
3/19/20,31
3/20/20,54
3/21/20,75
3/22/20,119
3/23/20,155
3/24/20,230
3/25/20,330
3/26/20,435
3/27/20,560
3/28/20,825
3/29/20,991
3/30/20,1202
3/31/20,1475
4/1/20,1848
4/2/20,2152
4/3/20,2648
4/4/20,3221
4/5/20,3646
4/6/20,4857
4/7/20,5631
4/8/20,6441
4/9/20,7249
4/10/20,7981
4/11/20,8734
4/12/20,9448
4/13/20,10096
4/14/20,10857
4/15/20,11566
4/16/20,12109
4/17/20,12283
4/18/20,12411
4/19/20,13632
4/20/20,14074
4/21/20,14513
4/22/20,14959
4/23/20,15361
4/24/20,15754
4/25/20,16146
4/26/20,16486
4/27/20,16821
4/28/20,17206
4/29/20,17597
4/30/20,17809
5/1/20,17931
5/2/20,18021
5/3/20,18451
5/4/20,18580
5/5/20,18719
5/6/20,18993
5/7/20,19141
5/8/20,19210
5/9/20,19324
5/10/20,19436
5/11/20,19563
5/12/20,19736
5/13/20,19815
5/14/20,19904
5/15/20,19972
5/16/20,20071
5/17/20,20214
5/18/20,20298
5/19/20,20376
5/20/20,20422
5/21/20,20491
5/22/20,20569
5/23/20,20621
5/24/20,20697
5/25/20,20740
5/26/20,20795
5/27/20,20844
5/28/20,20895
5/29/20,20960
5/30/20,20991
5/31/20,21050
6/1/20,21090
6/2/20,21132
6/3/20,21170
6/4/20,21234
6/5/20,21262
6/6/20,21294
6/7/20,21323
6/8/20,21356
6/9/20,21396
6/10/20,21436
6/11/20,21468
6/12/20,21519
6/13/20,21551
6/14/20,21578
6/15/20,21600
6/16/20,21619
6/17/20,21645
6/18/20,21673
6/19/20,21710
6/20/20,21719
6/21/20,21753
6/22/20,21796
6/23/20,21817
6/24/20,21838
6/25/20,21856
6/26/20,21893
6/27/20,21913
6/28/20,21940
6/29/20,21941
6/30/20,22566
7/1/20,22574
7/2/20,22593
7/3/20,22610
7/4/20,22630
7/5/20,22661
7/6/20,22672
7/7/20,22690
7/8/20,22696
7/9/20,22719
7/10/20,22739
7/11/20,22750
7/12/20,22755
