date,New York
2020-03-21,10371
2020-03-22,15188
2020-03-23,20899
2020-03-24,25703
2020-03-25,33116
2020-03-26,39057
2020-03-27,44745
2020-03-28,53516
2020-03-29,59783
2020-03-30,67462
2020-03-31,76211
2020-04-01,84363
2020-04-02,92971
2020-04-03,103651
2020-04-04,115963
2020-04-05,124085
2020-04-06,132061
2020-04-07,141703
2020-04-08,151271
2020-04-09,162036
2020-04-10,172830
2020-04-11,182990
2020-04-12,191425
2020-04-13,197973
2020-04-14,205375
2020-04-15,217130
2020-04-16,225761
2020-04-17,233293
2020-04-18,240542
2020-04-19,246741
2020-04-20,251608
2020-04-21,255932
2020-04-22,261591
2020-04-23,267932
2020-04-24,276218
2020-04-25,286901
2020-04-26,292914
2020-04-27,296991
2020-04-28,300276
2020-04-29,304994
2020-04-30,309696
2020-05-01,313575
2020-05-02,318134
2020-05-03,321833
2020-05-04,324357
2020-05-05,326659
2020-05-06,329405
2020-05-07,332931
2020-05-08,335804
2020-05-09,338519
2020-05-10,340657
2020-05-11,342267
2020-05-12,343705
2020-05-13,345828
2020-05-14,348192
2020-05-15,350951
2020-05-16,353136
2020-05-17,355037
2020-05-18,356278
2020-05-19,357757
2020-05-20,359235
2020-05-21,361313
2020-05-22,362991
2020-05-23,364745
2020-05-24,366346
2020-05-25,367625
2020-05-26,368669
2020-05-27,369801
2020-05-28,371559
2020-05-29,373108
2020-05-30,374471
2020-05-31,375575
2020-06-01,376520
2020-06-02,377881
2020-06-03,378924
2020-06-04,379977
2020-06-05,381019
