date,Wyoming,West Virginia,Oklahoma,Idaho,North Dakota,Vermont,Massachusetts,Hawaii,Maryland,California
3/26/20,56,76,248,189,58,158,2417,106,581,4060
3/27/20,74,96,322,232,68,184,3240,120,790,4915
3/28/20,85,113,377,262,93,211,4257,151,1066,5566
3/29/20,88,124,429,310,97,235,4955,175,1244,6321
3/30/20,96,145,481,415,109,256,5752,204,1415,7421
3/31/20,121,162,566,526,126,293,6620,224,1662,8583
4/1/20,138,191,719,669,147,321,7738,258,1985,9857
4/2/20,154,217,879,891,159,338,8966,283,2331,11190
4/3/20,167,242,989,1012,173,389,10402,317,2758,12569
4/4/20,189,282,1159,1076,186,461,11736,349,3125,13796
4/5/20,200,325,1251,1100,207,512,12500,369,3609,15202
4/6/20,213,347,1326,1170,225,543,13837,385,4045,16361
4/7/20,221,413,1470,1210,237,575,15202,408,4371,17540
4/8/20,230,483,1523,1232,251,605,16790,433,5529,19043
4/9/20,303,524,1683,1366,269,628,18941,440,6185,20191
4/10/20,320,537,1794,1425,278,679,20974,463,6968,21366
4/11/20,343,593,1868,1438,293,711,22860,484,7694,22421
4/12/20,364,615,1970,1457,308,727,25475,497,8225,23323
4/13/20,373,638,2069,1499,331,748,26867,502,8936,24334
4/14/20,373,697,2184,1538,341,752,28163,511,9472,25758
4/15/20,392,725,2263,1587,365,759,29918,524,10096,27107
4/16/20,393,739,2357,1609,393,768,32181,535,10851,28142
4/17/20,401,776,2465,1655,439,779,34402,547,11641,29398
4/18/20,412,825,2570,1668,528,803,36372,568,12379,30829
4/19/20,422,890,2599,1672,585,812,38077,574,12892,31544
4/20/20,426,908,2680,1736,627,816,39643,578,13750,33862
4/21/20,442,929,2807,1766,644,818,41199,580,14261,35844
4/22/20,447,939,2894,1802,679,823,42944,586,14842,37573
4/23/20,453,981,3017,1836,709,825,46023,590,15805,39534
4/24/20,473,1010,3120,1870,748,827,50969,595,16693,41368
4/25/20,477,1025,3193,1887,803,843,53348,597,17844,42590
4/26/20,502,1054,3253,1897,867,851,54938,599,18664,43691
4/27/20,520,1078,3280,1917,942,855,56462,600,19574,45208
4/28/20,536,1096,3410,1952,991,862,58302,602,20200,46570
4/29/20,544,1110,3473,1984,1033,862,60265,605,20942,48904
4/30/20,559,1126,3618,2016,1067,866,62205,609,21825,50470
5/1/20,566,1152,3748,2035,1107,879,64311,610,23566,52318
5/2/20,579,1185,3851,2061,1153,886,66263,611,24568,53753
5/3/20,586,1196,3972,2059,1191,897,68087,611,25561,55072
5/4/20,596,1225,4044,2106,1225,902,69087,612,26509,56333
5/5/20,604,1243,4127,2127,1266,907,70271,615,27217,58848
5/6/20,631,1277,4201,2158,1323,908,72025,616,28263,60787
5/7/20,635,1298,4330,2178,1371,916,73721,619,29476,62481
5/8/20,644,1324,4424,2205,1425,919,75333,619,30592,64616
5/9/20,653,1348,4490,2230,1464,921,76743,620,31638,66824
5/10/20,662,1363,4589,2232,1491,926,77793,621,32693,68051
5/11/20,669,1370,4613,2261,1518,926,78462,623,33483,69514
5/12/20,675,1379,4731,2294,1571,927,79332,624,34174,71150
5/13/20,688,1405,4852,2325,1647,929,80497,627,34927,73218
5/14/20,701,1435,4962,2352,1712,932,82182,627,36021,74947
5/15/20,716,1448,5086,2389,1761,933,83421,628,37105,77015
5/16/20,741,1470,5237,2419,1848,934,84933,629,38083,78933
5/17/20,754,1492,5310,2421,1900,940,86010,630,38920,80366
5/18/20,766,1502,5398,2455,1931,940,87052,630,39882,81943
5/19/20,776,1514,5489,2476,1994,944,87925,631,41664,83981
5/20/20,787,1567,5532,2506,2095,944,88970,633,42442,86125
5/21/20,801,1603,5680,2534,2229,950,90084,637,43645,88488
5/22/20,803,1705,5849,2595,2317,952,90889,632,44539,90801
5/23/20,813,1729,5960,2626,2365,954,91662,633,45608,92815
5/24/20,813,1771,6037,2650,2418,956,92675,633,46919,94743
5/25/20,843,1782,6090,2664,2457,962,93271,633,47754,97017
5/26/20,850,1854,6137,2699,2422,967,93693,633,48290,99924
5/27/20,860,1899,6229,2731,2442,971,94220,634,49042,101873
5/28/20,876,1935,6270,2770,2484,974,94895,637,50334,104071
5/29/20,891,1972,6338,2804,2523,975,95512,639,51631,107043
5/30/20,898,1989,6418,2840,2557,977,96301,641,52662,110100
5/31/20,903,2010,6506,2855,2580,981,96965,642,53456,113114
6/1/20,910,2028,6573,2908,2628,983,100805,642,54035,115643
6/2/20,912,2056,6692,2935,2649,988,101163,643,54831,118081
6/3/20,915,2077,6805,2990,2682,990,101592,643,55617,120407
6/4/20,921,2102,6907,3054,2709,1026,102063,644,56490,122917
6/5/20,933,2119,7004,3111,2748,1027,102557,653,57407,126510
6/6/20,939,2136,7060,3139,2819,1046,103132,661,58099,129147
6/7/20,947,2144,7151,3153,2864,1063,103436,663,58593,131997
6/8/20,960,2161,7206,3197,2883,1075,103626,664,59024,134287
6/9/20,970,2179,7364,3226,2904,1084,103889,670,59543,137245
6/10/20,980,2193,7480,3262,2944,1095,104156,673,60114,140139
6/11/20,1009,2217,7626,3303,2983,1110,104667,680,60823,143709
6/12/20,1027,2249,7848,3354,3019,1119,105059,694,61262,147285
6/13/20,1050,2274,8073,3399,3061,1125,105395,711,61935,150434
6/14/20,1060,2290,8231,3413,3083,1127,105603,716,62328,152953
6/15/20,1079,2322,8417,3472,3104,1130,105690,724,62653,155662
6/16/20,1089,2341,8645,3543,3127,1130,105885,728,63004,159131
6/17/20,1114,2376,8903,3634,3170,1130,106151,732,63565,163381
6/18/20,1144,2418,9354,3744,3199,1135,106422,750,63839,167135
6/19/20,1173,2468,9706,3871,3232,1144,106650,777,64150,170843
6/20/20,1179,2500,10037,4006,3257,1147,106936,791,64565,174854
6/21/20,1197,2543,10515,4025,3294,1159,107061,802,64903,178807
6/22/20,1230,2571,10733,4267,3319,1163,107210,804,65202,184620
6/23/20,1254,2593,11028,4412,3326,1164,107439,807,65602,191039
6/24/20,1282,2629,11509,4650,3370,1184,107611,821,65934,195889
6/25/20,1326,2693,11947,4869,3402,1191,107837,836,66397,201413
6/26/20,1368,2729,12343,5149,3430,1198,108070,850,66704,207027
6/27/20,1392,2781,12642,5319,3467,1200,108443,856,67032,211453
6/28/20,1417,2831,12944,5543,3504,1202,108667,883,67360,216955
6/29/20,1450,2869,13172,5770,3548,1208,108768,884,67837,223995
6/30/20,1487,2904,13757,6124,3585,1208,108882,901,68152,232153
7/1/20,1514,2979,14112,6379,3624,1210,109143,909,68502,239764
7/2/20,1550,3053,14539,6688,3666,1227,109338,929,69015,248198
7/3/20,1582,3126,15065,7034,3731,1236,109628,957,69422,256298
7/4/20,1606,3205,15645,7431,3788,1238,109838,981,69724,265176
7/5/20,1634,3335,15928,7799,3825,1249,109974,1005,69957,271587
7/6/20,1675,3442,16362,8222,3858,1251,110137,1012,70497,277869
7/7/20,1711,3505,17220,8582,3903,1254,110338,1053,70986,287766
7/8/20,1740,3707,17893,9004,3975,1256,110602,1076,71455,296304
7/9/20,1774,3826,18496,9598,4074,1272,110897,1112,72037,303516
7/10/20,1790,3983,19092,10073,4158,1277,111110,1139,72503,311505
7/11/20,1839,4146,19779,10584,4247,1283,111398,1181,73060,320030
7/12/20,1862,4244,20235,10971,4338,1296,111597,1201,73705,327676
7/13/20,1903,4313,20745,11531,4446,1301,111827,1222,74124,336206
7/14/20,1951,4407,21738,11962,4497,1305,112130,1243,74836,346593
7/15/20,1985,4557,22813,12599,4569,1318,112347,1271,75576,355497
7/16/20,2026,4657,23441,13261,4672,1325,112581,1290,76237,364761
7/17/20,2069,4783,24140,13879,4796,1334,112879,1312,76941,374922
7/18/20,2108,4922,25056,14433,4911,1338,113238,1332,77773,383194
7/19/20,2126,5042,25265,14960,5023,1350,113534,1359,78698,391460
7/20/20,2187,5142,25433,15380,5130,1360,113789,1371,79251,400195
