date,Wyoming,West Virginia,Oklahoma,Idaho,North Dakota,Vermont,Massachusetts,Hawaii,Maryland,California
3/26/20,0,0,7,3,0,9,25,0,4,83
3/27/20,0,0,8,4,1,10,35,0,5,104
3/28/20,0,0,15,5,1,12,44,0,10,122
3/29/20,0,1,16,6,1,12,48,0,11,132
3/30/20,0,1,17,7,3,12,56,0,15,147
3/31/20,0,1,23,9,3,13,89,1,18,184
4/1/20,0,2,30,9,3,16,122,1,33,212
4/2/20,0,2,34,9,3,17,154,2,36,247
4/3/20,0,2,38,10,3,17,192,3,42,282
4/4/20,0,2,42,10,3,20,216,3,54,323
4/5/20,0,3,46,10,3,22,231,4,68,351
4/6/20,0,4,51,13,3,23,260,5,92,386
4/7/20,0,4,67,15,4,23,356,5,104,447
4/8/20,0,4,79,19,4,23,433,5,124,506
4/9/20,0,5,80,24,5,23,503,6,139,548
4/10/20,0,5,88,25,7,24,599,8,172,594
4/11/20,0,6,93,27,7,24,686,8,207,632
4/12/20,0,8,96,27,8,26,756,9,236,676
4/13/20,1,9,98,33,9,27,844,9,262,725
4/14/20,1,10,109,39,9,28,957,9,302,778
4/15/20,2,12,123,41,9,29,1108,9,413,885
4/16/20,2,13,131,41,9,34,1245,9,459,971
4/17/20,2,16,136,43,9,34,1404,9,494,1050
4/18/20,2,18,139,44,9,36,1560,9,534,1146
4/19/20,2,20,140,45,10,36,1706,10,548,1176
4/20/20,2,26,143,48,13,37,1809,10,582,1223
4/21/20,6,26,164,51,13,39,1961,12,652,1316
4/22/20,6,29,169,54,14,39,2182,12,698,1425
4/23/20,7,31,179,54,15,42,2360,12,748,1548
4/24/20,7,32,188,54,15,43,2556,13,798,1619
4/25/20,7,33,194,56,16,45,2730,14,875,1692
4/26/20,7,34,195,56,17,45,2899,14,910,1716
4/27/20,7,37,197,58,19,46,3003,16,945,1800
4/28/20,7,38,207,60,19,46,3153,16,1016,1884
4/29/20,7,40,214,60,19,46,3405,16,1078,1961
4/30/20,7,44,222,63,19,48,3562,16,1139,2057
5/1/20,7,47,230,63,23,49,3716,16,1192,2147
5/2/20,7,50,238,64,24,50,3846,16,1251,2213
5/3/20,7,50,238,64,25,52,4004,17,1281,2235
