date,BIH,CHE,GBR,SRB
2020-03-02,,24.0,47.0,
2020-03-03,,30.0,69.0,
2020-03-04,,37.0,109.0,
2020-03-05,,57.0,164.0,
2020-03-06,2.0,87.0,220.0,
2020-03-07,,209.0,271.0,1.0
2020-03-08,,264.0,352.0,
2020-03-09,,332.0,412.0,
2020-03-10,,374.0,469.0,
2020-03-11,,490.0,617.0,5.0
2020-03-12,3.0,642.0,876.0,18.0
2020-03-13,3.0,854.0,1282.0,24.0
2020-03-14,,1121.0,1766.0,41.0
2020-03-15,,1359.0,2244.0,46.0
2020-03-16,18.0,2200.0,2605.0,55.0
2020-03-17,21.0,2200.0,3047.0,57.0
2020-03-18,30.0,2650.0,3658.0,72.0
2020-03-19,35.0,3003.0,4427.0,94.0
2020-03-20,44.0,3863.0,5426.0,126.0
2020-03-21,62.0,4806.0,6481.0,135.0
2020-03-22,92.0,6077.0,7736.0,149.0
2020-03-23,125.0,6971.0,8934.0,188.0
2020-03-24,131.0,8015.0,10312.0,222.0
2020-03-25,164.0,8789.0,12650.0,249.0
2020-03-26,173.0,9714.0,15025.0,303.0
2020-03-27,213.0,10714.0,17717.0,384.0
2020-03-28,233.0,12104.0,20804.0,457.0
2020-03-29,257.0,13152.0,24001.0,659.0
2020-03-30,323.0,14274.0,26823.0,741.0
2020-03-31,353.0,15412.0,29681.0,785.0
2020-04-01,413.0,16108.0,33954.0,900.0
2020-04-02,464.0,17070.0,38468.0,1060.0
2020-04-03,532.0,18194.0,43381.0,1171.0
2020-04-04,586.0,19227.0,48249.0,1476.0
2020-04-05,632.0,20201.0,53160.0,1624.0
2020-04-06,663.0,21022.0,57180.0,1908.0
2020-04-07,695.0,21574.0,60772.0,2200.0
2020-04-08,781.0,22164.0,66054.0,2447.0
2020-04-09,816.0,22710.0,71504.0,2666.0
2020-04-10,875.0,23495.0,76635.0,2867.0
2020-04-11,901.0,24228.0,81493.0,3105.0
2020-04-12,948.0,24820.0,85806.0,3380.0
2020-04-13,1007.0,25220.0,89385.0,3630.0
2020-04-14,1028.0,25499.0,92874.0,4054.0
2020-04-15,1073.0,25753.0,97052.0,4465.0
2020-04-16,1100.0,26336.0,101378.0,4873.0
2020-04-17,1152.0,26651.0,106443.0,5318.0
2020-04-18,1210.0,26997.0,111735.0,5690.0
2020-04-19,1254.0,27322.0,116691.0,5994.0
2020-04-20,1269.0,27658.0,121412.0,6318.0
2020-04-21,1300.0,27826.0,125265.0,6630.0
2020-04-22,1340.0,27981.0,130119.0,6890.0
2020-04-23,1367.0,28186.0,134879.0,7114.0
2020-04-24,1413.0,28414.0,140366.0,7276.0
2020-04-25,1420.0,28595.0,145524.0,7483.0
2020-04-26,1485.0,28811.0,150494.0,7779.0
2020-04-27,1516.0,28978.0,154242.0,8042.0
2020-04-28,1564.0,29081.0,157715.0,8275.0
2020-04-29,1588.0,29181.0,162421.0,8497.0
2020-04-30,1689.0,29324.0,167150.0,8724.0
2020-05-01,1757.0,29503.0,172592.0,9009.0
2020-05-02,1782.0,29622.0,177558.0,9205.0
2020-05-03,1840.0,29734.0,182295.0,9362.0
2020-05-04,1857.0,29822.0,185524.0,9464.0
2020-05-05,1926.0,29898.0,188506.0,9557.0
2020-05-06,1946.0,29926.0,191895.0,9677.0
2020-05-07,1986.0,29977.0,195577.0,9791.0
2020-05-08,2027.0,30043.0,199404.0,9848.0
2020-05-09,2070.0,30124.0,203171.0,9943.0
2020-05-10,2092.0,30168.0,206234.0,10032.0
2020-05-11,2117.0,30222.0,208391.0,10114.0
2020-05-12,2142.0,30261.0,210720.0,10176.0
2020-05-13,2158.0,30297.0,214306.0,10243.0
2020-05-14,2181.0,30330.0,217708.0,10295.0
2020-05-15,2216.0,30380.0,221015.0,10374.0
2020-05-16,2237.0,30431.0,223643.0,10438.0
2020-05-17,2267.0,30489.0,226169.0,10496.0
2020-05-18,2289.0,30504.0,228248.0,10610.0
2020-05-19,2303.0,30514.0,230086.0,10699.0
2020-05-20,2319.0,30535.0,232675.0,10733.0
2020-05-21,2334.0,30575.0,235727.0,10833.0
2020-05-22,2352.0,30611.0,238445.0,10919.0
2020-05-23,2372.0,30624.0,241019.0,11024.0
2020-05-24,2391.0,30642.0,243081.0,11092.0
2020-05-25,2400.0,30653.0,244608.0,11159.0
2020-05-26,2405.0,30663.0,245972.0,11193.0
2020-05-27,2415.0,30678.0,247596.0,11227.0
2020-05-28,2434.0,30678.0,249268.0,11275.0
2020-05-29,2462.0,30713.0,251103.0,11300.0
2020-05-30,2484.0,30745.0,252863.0,11354.0
2020-05-31,2493.0,30762.0,254390.0,11381.0
2020-06-01,2509.0,30779.0,255515.0,11412.0
2020-06-02,2523.0,30788.0,256594.0,11430.0
2020-06-03,2534.0,30791.0,258035.0,11454.0
2020-06-04,2550.0,30810.0,259519.0,11523.0
2020-06-05,2593.0,30830.0,260875.0,11571.0
2020-06-06,2605.0,30853.0,262118.0,11667.0
2020-06-07,2636.0,30873.0,263238.0,11741.0
2020-06-08,2673.0,30882.0,264039.0,11823.0
2020-06-09,2703.0,30889.0,264760.0,11896.0
2020-06-10,2727.0,30905.0,265859.0,11965.0
2020-06-11,2776.0,30928.0,267017.0,12031.0
2020-06-12,2831.0,30961.0,268216.0,12102.0
2020-06-13,2892.0,30980.0,269233.0,12175.0
2020-06-14,2940.0,31011.0,270285.0,12251.0
2020-06-15,3001.0,31034.0,271175.0,12310.0
2020-06-16,3039.0,31048.0,271997.0,12367.0
2020-06-17,3084.0,31063.0,273040.0,12426.0
2020-06-18,3144.0,31100.0,274142.0,12522.0
2020-06-19,3202.0,31117.0,275155.0,12616.0
2020-06-20,3288.0,31209.0,276182.0,12709.0
2020-06-21,3354.0,31209.0,277168.0,12803.0
2020-06-22,3431.0,31209.0,277855.0,12894.0
2020-06-23,3524.0,31227.0,278494.0,12990.0
2020-06-24,3587.0,31249.0,279390.0,13092.0
2020-06-25,3675.0,31293.0,280276.0,13235.0
2020-06-26,3794.0,31345.0,281054.0,13372.0
2020-06-27,3934.0,31403.0,281775.0,13565.0
2020-06-28,4107.0,31472.0,282446.0,13792.0
2020-06-29,4215.0,31534.0,283095.0,14046.0
2020-06-30,4343.0,31569.0,283541.0,14288.0
2020-07-01,4453.0,31631.0,284271.0,14564.0
2020-07-02,4606.0,31851.0,284888.0,14836.0
2020-07-03,4788.0,31884.0,285539.0,15195.0
2020-07-04,4960.0,32017.0,286141.0,15504.0
2020-07-05,5249.0,32114.0,286720.0,15829.0
2020-07-06,5393.0,32184.0,287121.0,16131.0
2020-07-07,5457.0,32230.0,287676.0,16420.0
2020-07-08,5618.0,32284.0,288380.0,16719.0
2020-07-09,5868.0,32413.0,288977.0,17076.0
2020-07-10,6087.0,32501.0,289670.0,17342.0
2020-07-11,6402.0,32605.0,290385.0,17728.0
2020-07-12,6720.0,32713.0,290950.0,18073.0
2020-07-13,6884.0,32798.0,291392.0,18360.0
2020-07-14,6979.0,32861.0,291753.0,18639.0
2020-07-15,7176.0,32931.0,292479.0,18983.0
2020-07-16,7407.0,33063.0,293164.0,19334.0
2020-07-17,7681.0,33205.0,293936.0,19717.0
2020-07-18,7908.0,33296.0,294640.0,20109.0
2020-07-19,8164.0,33406.0,295209.0,20498.0
2020-07-20,8452.0,33504.0,295702.0,20894.0
2020-07-21,8591.0,33547.0,296115.0,21253.0
2020-07-22,8786.0,33655.0,296908.0,21605.0
2020-07-23,9116.0,33796.0,297659.0,22031.0
2020-07-24,9460.0,33913.0,298432.0,22443.0
2020-07-25,9462.0,34067.0,299163.0,22852.0
2020-07-26,9764.0,34215.0,299830.0,23263.0
2020-07-27,10069.0,34325.0,300251.0,23730.0
2020-07-28,10498.0,34390.0,300622.0,24141.0
2020-07-29,10766.0,34522.0,300692.0,24520.0
2020-07-30,10766.0,34714.0,301455.0,24892.0
2020-07-31,11444.0,34933.0,302301.0,25213.0
2020-08-01,11444.0,35070.0,303181.0,25552.0
2020-08-02,11875.0,35412.0,303952.0,25882.0
2020-08-03,12108.0,35461.0,304695.0,26193.0
2020-08-04,12296.0,35527.0,305623.0,26451.0
2020-08-05,12858.0,35657.0,306293.0,26738.0
2020-08-06,13146.0,35838.0,307184.0,27033.0
2020-08-07,13397.0,36019.0,308134.0,27332.0
2020-08-08,13687.0,36180.0,309005.0,27608.0
2020-08-09,14089.0,36362.0,309763.0,27863.0
2020-08-10,14325.0,36514.0,310825.0,28099.0
2020-08-11,14498.0,36619.0,311641.0,28262.0
2020-08-12,14708.0,36806.0,312789.0,28497.0
2020-08-13,14961.0,37079.0,313798.0,28751.0
2020-08-14,15184.0,37312.0,314927.0,28998.0
2020-08-15,15534.0,37580.0,316367.0,29233.0
2020-08-16,15535.0,37831.0,317444.0,29471.0
2020-08-17,15535.0,38031.0,318484.0,29682.0
2020-08-18,16035.0,38156.0,319197.0,29782.0
2020-08-19,16351.0,38352.0,320286.0,29890.0
2020-08-20,16691.0,38662.0,321098.0,30048.0
2020-08-21,17029.0,38926.0,322280.0,30209.0
2020-08-22,17392.0,39232.0,323313.0,30378.0
2020-08-23,17392.0,39526.0,324601.0,30548.0
2020-08-24,17900.0,39802.0,325642.0,30657.0
2020-08-25,18027.0,39959.0,326614.0,30714.0
2020-08-26,18324.0,40161.0,327798.0,30820.0
2020-08-27,18609.0,40540.0,328846.0,30974.0
2020-08-28,18920.0,40900.0,330368.0,31099.0
2020-08-29,19214.0,41240.0,331644.0,31207.0
2020-08-30,19214.0,41615.0,332752.0,31282.0
2020-08-31,19789.0,41906.0,334467.0,31365.0
2020-09-01,19964.0,42069.0,335873.0,31406.0
2020-09-02,20234.0,42285.0,337168.0,31482.0
2020-09-03,20517.0,42655.0,338676.0,31581.0
2020-09-04,20804.0,43127.0,340411.0,31676.0
2020-09-05,21142.0,43424.0,342351.0,31772.0
2020-09-06,21142.0,43849.0,344164.0,31849.0
2020-09-07,21142.0,44293.0,347152.0,31905.0
2020-09-08,21660.0,44484.0,350100.0,31941.0
2020-09-09,21961.0,44729.0,352560.0,31994.0
2020-09-10,22258.0,45197.0,355219.0,32078.0
2020-09-11,22544.0,45602.0,358138.0,32136.0
2020-09-12,22834.0,46130.0,361677.0,32228.0
2020-09-13,23134.0,46595.0,365174.0,32300.0
2020-09-14,23462.0,47068.0,368504.0,32408.0
2020-09-15,23630.0,47325.0,371125.0,32437.0
2020-09-16,23924.0,47640.0,374228.0,32511.0
2020-09-17,24206.0,48154.0,378219.0,32613.0
