date,Hawaii
3/26/20,106
3/27/20,120
3/28/20,151
3/29/20,175
3/30/20,204
3/31/20,224
4/1/20,258
4/2/20,283
4/3/20,317
4/4/20,349
4/5/20,369
4/6/20,385
4/7/20,408
4/8/20,433
4/9/20,440
4/10/20,463
4/11/20,484
4/12/20,497
4/13/20,502
4/14/20,511
4/15/20,524
4/16/20,535
4/17/20,547
4/18/20,568
4/19/20,574
4/20/20,578
4/21/20,580
4/22/20,586
4/23/20,590
4/24/20,595
4/25/20,597
4/26/20,599
4/27/20,600
4/28/20,602
4/29/20,605
4/30/20,609
5/1/20,610
5/2/20,611
5/3/20,611
5/4/20,612
5/5/20,615
5/6/20,616
5/7/20,619
5/8/20,619
5/9/20,620
5/10/20,621
5/11/20,623
5/12/20,624
5/13/20,627
5/14/20,627
5/15/20,628
5/16/20,629
5/17/20,630
5/18/20,630
5/19/20,631
5/20/20,633
5/21/20,637
5/22/20,632
5/23/20,633
5/24/20,633
5/25/20,633
5/26/20,633
5/27/20,634
5/28/20,637
5/29/20,639
5/30/20,641
5/31/20,642
6/1/20,642
6/2/20,643
6/3/20,643
6/4/20,644
6/5/20,653
6/6/20,661
6/7/20,663
6/8/20,664
6/9/20,670
6/10/20,673
6/11/20,680
6/12/20,694
6/13/20,711
6/14/20,716
6/15/20,724
6/16/20,728
6/17/20,732
6/18/20,750
6/19/20,777
6/20/20,791
6/21/20,802
6/22/20,804
6/23/20,807
6/24/20,821
6/25/20,836
6/26/20,850
6/27/20,856
6/28/20,883
6/29/20,884
6/30/20,901
7/1/20,909
7/2/20,929
7/3/20,957
7/4/20,981
7/5/20,1005
7/6/20,1012
7/7/20,1053
7/8/20,1076
7/9/20,1112
7/10/20,1139
7/11/20,1181
7/12/20,1201
7/13/20,1222
7/14/20,1243
7/15/20,1271
7/16/20,1290
7/17/20,1312
7/18/20,1332
7/19/20,1359
7/20/20,1371
7/21/20,1396
7/22/20,1413
7/23/20,1468
7/24/20,1526
7/25/20,1597
7/26/20,1660
7/27/20,1688
7/28/20,1734
7/29/20,1842
7/30/20,1966
7/31/20,2088
8/1/20,2174
8/2/20,2219
8/3/20,2425
8/4/20,2568
8/5/20,2740
8/6/20,2891
8/7/20,3092
8/8/20,3323
8/9/20,3475
8/10/20,3615
8/11/20,3733
8/12/20,3935
8/13/20,4289
8/14/20,4520
8/15/20,4802
8/16/20,5019
8/17/20,5192
8/18/20,5326
8/19/20,5586
8/20/20,5821
8/21/20,6049
8/22/20,6333
8/23/20,6577
8/24/20,6746
8/25/20,6961
8/26/20,7236
8/27/20,7542
8/28/20,7806
8/29/20,8115
8/30/20,8315
8/31/20,8447
9/1/20,8628
9/2/20,8966
9/3/20,9177
9/4/20,9448
9/5/20,9667
9/6/20,9829
9/7/20,9933
9/8/20,10130
9/9/20,10228
9/10/20,10397
9/11/20,10567
9/12/20,10696
9/13/20,10808
9/14/20,10887
9/15/20,10951
9/16/20,11052
9/17/20,11211
9/18/20,11348
9/19/20,11457
9/20/20,11534
9/21/20,11590
9/22/20,11653
9/23/20,11820
9/24/20,11908
9/25/20,12039
9/26/20,12166
9/27/20,12264
9/28/20,12351
9/29/20,12436
9/30/20,12555
10/1/20,12660
10/2/20,12754
10/3/20,12887
10/4/20,12957
10/5/20,13007
10/6/20,13090
10/7/20,13196
10/8/20,13297
10/9/20,13461
10/10/20,13532
10/11/20,13633
10/12/20,13675
10/13/20,13736
10/14/20,13834
10/15/20,13922
10/16/20,14007
10/17/20,14101
10/18/20,14183
10/19/20,14218
10/20/20,14302
10/21/20,14379
10/22/20,14478
10/23/20,14617
10/24/20,14706
10/25/20,14823
10/26/20,14858
10/27/20,14920
10/28/20,14975
10/29/20,15046
10/30/20,15145
10/31/20,15207
11/1/20,15287
11/2/20,15359
11/3/20,15441
11/4/20,15591
11/5/20,15683
11/6/20,15816
11/7/20,15939
11/8/20,16066
11/9/20,16124
11/10/20,16193
11/11/20,16309
11/12/20,16403
11/13/20,16514
11/14/20,16619
