date,Harris,Maricopa,Duval,Miami-Dade
1/26/20,,0,,
1/27/20,,0,,
1/28/20,,0,,
1/29/20,,0,,
1/30/20,,0,,
1/31/20,,0,,
2/1/20,,0,,
2/2/20,,0,,
2/3/20,,0,,
2/4/20,,0,,
2/5/20,,0,,
2/6/20,,0,,
2/7/20,,0,,
2/8/20,,0,,
2/9/20,,0,,
2/10/20,,0,,
2/11/20,,0,,
2/12/20,,0,,
2/13/20,,0,,
2/14/20,,0,,
2/15/20,,0,,
2/16/20,,0,,
2/17/20,,0,,
2/18/20,,0,,
2/19/20,,0,,
2/20/20,,0,,
2/21/20,,0,,
2/22/20,,0,,
2/23/20,,0,,
2/24/20,,0,,
2/25/20,,0,,
2/26/20,,0,,
2/27/20,,0,,
2/28/20,,0,,
2/29/20,,0,,
3/1/20,,0,,
3/2/20,,0,,
3/3/20,,0,,
3/4/20,,0,,
3/5/20,0,0,,
3/6/20,0,0,,
3/7/20,0,0,,
3/8/20,0,0,,
3/9/20,0,0,,
3/10/20,0,0,,
3/11/20,0,0,,0
3/12/20,0,0,0,0
3/13/20,0,0,0,0
3/14/20,0,0,0,0
3/15/20,0,0,0,0
3/16/20,0,0,0,0
3/17/20,0,0,0,0
3/18/20,0,0,0,0
3/19/20,1,0,1,0
3/20/20,1,1,1,0
3/21/20,1,1,2,0
3/22/20,1,2,2,0
3/23/20,1,2,3,0
3/24/20,1,2,3,0
3/25/20,1,2,3,0
3/26/20,2,4,3,0
3/27/20,2,5,3,2
3/28/20,3,5,3,3
3/29/20,4,5,3,3
3/30/20,7,5,4,4
3/31/20,6,8,4,7
4/1/20,6,8,4,11
4/2/20,10,12,9,20
4/3/20,12,17,9,25
4/4/20,17,28,9,31
4/5/20,20,31,9,31
4/6/20,22,31,9,41
4/7/20,23,35,10,47
4/8/20,31,37,10,50
4/9/20,34,39,11,66
4/10/20,40,41,11,84
4/11/20,41,47,13,93
4/12/20,44,48,13,97
4/13/20,46,52,13,109
4/14/20,52,54,14,143
4/15/20,58,60,14,155
4/16/20,63,64,14,183
4/17/20,67,69,15,195
4/18/20,71,70,15,198
4/19/20,75,75,15,207
4/20/20,78,75,16,223
4/21/20,79,84,17,233
4/22/20,80,97,17,240
4/23/20,82,115,17,270
4/24/20,84,120,18,287
4/25/20,89,121,18,295
4/26/20,93,122,18,301
4/27/20,98,122,19,302
4/28/20,103,137,20,324
4/29/20,109,140,20,338
4/30/20,114,145,20,352
5/1/20,122,147,22,358
5/2/20,129,159,23,367
5/3/20,133,168,24,369
5/4/20,140,168,26,378
5/5/20,144,175,26,407
5/6/20,150,186,26,432
5/7/20,154,204,28,454
5/8/20,160,238,29,468
5/9/20,168,245,29,482
5/10/20,172,247,29,487
5/11/20,179,250,29,490
5/12/20,183,259,29,505
5/13/20,188,281,32,518
5/14/20,193,292,32,535
5/15/20,193,302,32,548
5/16/20,204,319,34,559
5/17/20,204,319,35,561
5/18/20,205,324,35,566
5/19/20,207,339,36,578
5/20/20,210,357,36,578
5/21/20,216,361,37,602
5/22/20,217,368,41,614
5/23/20,219,383,41,629
5/24/20,220,384,41,631
5/25/20,220,385,43,633
5/26/20,221,384,44,633
5/27/20,223,397,46,655
5/28/20,224,403,46,669
5/29/20,228,419,47,685
5/30/20,231,430,48,700
5/31/20,232,432,50,700
6/1/20,235,433,51,702
6/2/20,236,448,51,722
6/3/20,241,466,51,731
6/4/20,247,471,51,746
6/5/20,253,479,52,760
6/6/20,259,489,53,765
6/7/20,261,490,54,765
6/8/20,262,491,55,767
6/9/20,262,504,54,774
6/10/20,267,519,55,784
6/11/20,267,532,57,798
6/12/20,271,536,57,809
6/13/20,275,549,57,822
6/14/20,275,551,57,825
6/15/20,284,557,57,826
6/16/20,289,568,59,847
6/17/20,298,579,59,850
6/18/20,305,598,60,859
6/19/20,311,615,60,864
6/20/20,322,633,60,874
6/21/20,325,632,60,884
6/22/20,332,634,60,884
6/23/20,335,663,62,902
6/24/20,346,690,62,926
6/25/20,353,694,64,935
6/26/20,361,718,64,946
6/27/20,369,741,64,947
6/28/20,371,746,64,953
6/29/20,376,746,64,975
6/30/20,378,771,64,991
7/1/20,384,817,67,1000
7/2/20,387,843,68,1018
7/3/20,395,865,68,1034
7/4/20,400,880,68,1038
7/5/20,400,883,68,1043
7/6/20,401,881,68,1051
7/7/20,407,933,70,1057
7/8/20,411,959,70,1068
