date,ISR
3/26/20,2988
3/27/20,3421
3/28/20,3901
3/29/20,4433
3/30/20,4979
3/31/20,5717
4/1/20,6413
4/2/20,7132
4/3/20,7729
4/4/20,8157
4/5/20,8740
4/6/20,9191
4/7/20,9568
4/8/20,9906
4/9/20,10249
4/10/20,10607
4/11/20,10952
4/12/20,11504
4/13/20,11942
4/14/20,12341
4/15/20,12652
4/16/20,12948
4/17/20,13246
4/18/20,13537
4/19/20,13813
4/20/20,14112
4/21/20,14394
4/22/20,14619
4/23/20,14895
4/24/20,15143
4/25/20,15302
4/26/20,15385
4/27/20,15513
4/28/20,15672
4/29/20,15754
4/30/20,15896
5/1/20,16012
5/2/20,16069
5/3/20,16096
5/4/20,16149
5/5/20,16181
5/6/20,16246
5/7/20,16307
5/8/20,16340
5/9/20,16359
5/10/20,16388
5/11/20,16427
5/12/20,16450
5/13/20,16489
5/14/20,16511
5/15/20,16523
5/16/20,16528
5/17/20,16543
5/18/20,16570
5/19/20,16592
5/20/20,16607
5/21/20,16624
5/22/20,16643
5/23/20,16648
5/24/20,16661
5/25/20,16683
5/26/20,16733
5/27/20,16773
5/28/20,16850
5/29/20,16963
5/30/20,16992
5/31/20,17079
6/1/20,17179
6/2/20,17300
6/3/20,17397
6/4/20,17539
6/5/20,17666
6/6/20,17744
6/7/20,17884
6/8/20,18063
6/9/20,18236
6/10/20,18476
6/11/20,18667
6/12/20,18851
6/13/20,19000
6/14/20,19136
6/15/20,19334
6/16/20,19634
6/17/20,19905
6/18/20,20207
6/19/20,20517
6/20/20,20676
6/21/20,20849
6/22/20,21194
6/23/20,21645
6/24/20,22132
6/25/20,22648
6/26/20,23112
6/27/20,23510
6/28/20,23895
6/29/20,24652
6/30/20,25438
7/1/20,26410
7/2/20,27556
7/3/20,28495
7/4/20,29316
7/5/20,30147
7/6/20,31281
7/7/20,32671
7/8/20,33998
7/9/20,35523
7/10/20,36932
7/11/20,38100
7/12/20,39338
7/13/20,41058
7/14/20,42662
7/15/20,44539
7/16/20,46478
7/17/20,48083
7/18/20,49531
7/19/20,50547
7/20/20,52434
7/21/20,54440
7/22/20,56484
7/23/20,58474
7/24/20,60304
7/25/20,61416
7/26/20,62458
7/27/20,64506
7/28/20,66631
7/29/20,68585
7/30/20,70372
7/31/20,71734
8/1/20,72359
8/2/20,73067
8/3/20,74867
8/4/20,76596
8/5/20,78286
8/6/20,79963
8/7/20,81727
8/8/20,82481
8/9/20,83405
8/10/20,85109
8/11/20,86932
8/12/20,88554
8/13/20,90197
8/14/20,91585
8/15/20,92342
8/16/20,93410
8/17/20,95060
8/18/20,96709
8/19/20,98349
8/20/20,99836
8/21/20,101329
8/22/20,102040
8/23/20,103005
8/24/20,104905
8/25/20,106861
8/26/20,108814
8/27/20,110885
8/28/20,112717
8/29/20,113627
8/30/20,114728
8/31/20,116906
9/1/20,119158
9/2/20,122351
9/3/20,125012
9/4/20,127635
9/5/20,129140
9/6/20,131317
9/7/20,134705
9/8/20,138194
9/9/20,142190
9/10/20,146351
9/11/20,150326
9/12/20,153045
9/13/20,156220
9/14/20,161025
9/15/20,166564
9/16/20,171138
9/17/20,176523
9/18/20,181863
9/19/20,185672
9/20/20,188251
9/21/20,192117
9/22/20,199138
9/23/20,206263
9/24/20,214497
9/25/20,222887
9/26/20,228769
9/27/20,232183
9/28/20,233342
9/29/20,238333
9/30/20,247411
10/1/20,255142
10/2/20,262200
10/3/20,264793
10/4/20,267730
10/5/20,273451
10/6/20,278175
10/7/20,282340
10/8/20,286095
10/9/20,289058
10/10/20,289974
10/11/20,291620
10/12/20,294789
10/13/20,297125
10/14/20,299242
10/15/20,300854
10/16/20,302354
10/17/20,302765
10/18/20,303687
10/19/20,305204
10/20/20,306397
10/21/20,307569
10/22/20,308601
10/23/20,309450
10/24/20,309696
10/25/20,310303
10/26/20,311187
10/27/20,312074
10/28/20,312797
10/29/20,313441
10/30/20,314121
10/31/20,314349
11/1/20,315007
11/2/20,315795
11/3/20,316641
11/4/20,317410
11/5/20,317980
11/6/20,318671
11/7/20,318883
11/8/20,319417
11/9/20,320136
11/10/20,320811
11/11/20,321574
11/12/20,322410
11/13/20,323171
11/14/20,323463
11/15/20,324088
11/16/20,324961
11/17/20,325790
11/18/20,326585
11/19/20,327355
11/20/20,328129
11/21/20,328551
11/22/20,329316
11/23/20,330275
11/24/20,331132
11/25/20,332211
11/26/20,333296
11/27/20,334328
11/28/20,334908
11/29/20,335933
11/30/20,337191
12/1/20,338389
12/2/20,339968
12/3/20,341406
12/4/20,342101
12/5/20,343826
12/6/20,344906
12/7/20,346797
12/8/20,348285
12/9/20,350271
12/10/20,352397
12/11/20,353269
12/12/20,355786
12/13/20,357176
12/14/20,359506
12/15/20,360630
12/16/20,365042
12/17/20,367975
12/18/20,370152
12/19/20,372886
12/20/20,374760
12/21/20,378259
12/22/20,382487
12/23/20,385022
12/24/20,389678
12/25/20,394391
12/26/20,398664
12/27/20,401470
12/28/20,407285
12/29/20,412398
12/30/20,416584
12/31/20,423262
1/1/21,428510
1/2/21,434799
1/3/21,441542
1/4/21,448173
1/5/21,456139
1/6/21,463448
1/7/21,471048
1/8/21,477357
1/9/21,485434
