date,Iowa,Minnesota,Montana,Nebraska,North Dakota,South Dakota,Wyoming,Meade
3/26/20,179,346,90,91,58,46,56,1
3/27/20,236,398,121,102,68,58,74,1
3/28/20,298,442,147,122,93,68,85,1
3/29/20,336,504,161,138,97,90,88,1
3/30/20,424,576,177,185,109,100,96,1
3/31/20,498,629,198,199,126,107,121,1
4/1/20,549,689,219,249,147,129,138,1
4/2/20,614,742,241,273,159,165,154,1
4/3/20,699,789,262,297,173,187,167,1
4/4/20,786,865,281,339,186,212,189,1
4/5/20,868,935,298,377,207,240,200,1
4/6/20,946,986,319,438,225,288,213,1
4/7/20,1048,1069,319,491,237,320,221,1
4/8/20,1145,1154,332,538,251,393,230,1
4/9/20,1270,1242,354,594,269,447,303,1
4/10/20,1388,1335,365,678,278,536,320,1
4/11/20,1510,1427,377,718,293,626,343,1
4/12/20,1587,1621,387,805,308,729,364,1
4/13/20,1710,1650,394,870,331,867,373,1
4/14/20,1899,1695,399,930,341,987,373,1
4/15/20,1995,1809,404,994,365,1168,392,1
4/16/20,2141,1912,415,1094,393,1311,393,1
4/17/20,2332,2071,422,1216,439,1411,401,1
4/18/20,2513,2213,426,1348,528,1541,412,1
4/19/20,2915,2356,433,1473,585,1635,422,1
4/20/20,3175,2470,433,1646,627,1685,426,1
4/21/20,3641,2567,437,1726,644,1755,442,1
4/22/20,3764,2721,439,1826,679,1858,447,1
4/23/20,3939,2942,442,2190,709,1956,453,1
4/24/20,4459,3185,444,2474,748,2040,473,1
4/25/20,5109,3446,445,2898,803,2147,477,1
4/26/20,5490,3602,448,3126,867,2213,502,1
4/27/20,5868,3816,449,3487,942,2246,520,1
4/28/20,6376,4181,451,3613,991,2314,536,1
4/29/20,6843,4644,451,3876,1033,2375,544,1
4/30/20,7145,5136,452,4332,1067,2450,559,1
5/1/20,7883,5730,452,4838,1107,2525,566,1
5/2/20,8641,6228,454,5332,1153,2587,579,1
5/3/20,9169,6663,454,5686,1191,2630,586,1
5/4/20,9703,7234,456,6123,1225,2667,596,1
5/5/20,10111,7851,456,6442,1266,2720,604,2
5/6/20,10404,8579,456,6771,1323,2779,631,2
5/7/20,11059,9364,456,7190,1371,2905,635,2
5/8/20,11457,10087,458,7830,1425,3144,644,3
5/9/20,11671,10789,458,8233,1464,3393,653,3
5/10/20,11959,11270,458,8328,1491,3517,662,3
5/11/20,12373,11798,459,8575,1518,3614,669,4
5/12/20,12912,12493,461,8732,1571,3663,675,4
5/13/20,13289,12916,462,9072,1647,3732,688,5
5/14/20,13675,13443,462,9411,1712,3792,701,5
5/15/20,14049,14240,466,9766,1761,3887,716,5
5/16/20,14328,14969,468,10220,1848,3959,741,5
5/17/20,14651,15677,468,10348,1900,3987,754,5
5/18/20,14955,16372,470,10625,1931,4027,766,5
5/19/20,15296,17038,471,10846,1994,4085,776,5
5/20/20,15868,17679,478,11119,2095,4177,787,5
5/21/20,16170,18209,479,11423,2229,4177,801,5
5/22/20,16510,19014,479,11661,2317,4356,803,6
5/23/20,16898,19854,479,11988,2365,4468,813,7
5/24/20,17434,20582,479,12133,2418,4563,813,10
5/25/20,17628,21324,479,12354,2457,4586,843,10
5/26/20,17999,21969,479,12618,2422,4653,850,10
5/27/20,18446,22474,481,12975,2442,4710,860,10
5/28/20,18672,22957,485,13260,2484,4793,876,10
5/29/20,19019,23541,493,13654,2523,4866,891,13
5/30/20,19336,24200,505,13905,2557,4960,898,18
5/31/20,19621,24860,515,14101,2580,4993,903,19
6/1/20,19789,25218,519,14345,2628,5034,910,21
6/2/20,20017,25518,523,14611,2649,5066,912,22
6/3/20,20376,25881,525,14866,2682,5161,915,22
6/4/20,20943,26284,537,15117,2709,5247,921,24
6/5/20,21332,26991,539,15379,2748,5277,933,24
6/6/20,21527,27512,540,15543,2819,5367,939,24
6/7/20,21794,27897,545,15634,2864,5438,947,24
6/8/20,22111,28235,548,15752,2883,5471,960,26
6/9/20,22271,28534,554,15888,2904,5523,970,26
6/10/20,22733,28900,561,16025,2944,5604,980,28
6/11/20,23103,29347,563,16315,2983,5665,1009,28
6/12/20,23455,29826,573,16513,3019,5742,1027,30
6/13/20,23792,30203,588,16634,3061,5833,1050,33
6/14/20,23959,30502,601,16735,3083,5898,1060,36
6/15/20,24110,30724,609,16860,3104,5928,1079,37
6/16/20,24263,30913,614,17031,3127,5966,1089,39
6/17/20,24616,31328,630,17226,3170,6050,1114,39
6/18/20,24959,31707,655,17415,3199,6109,1144,40
6/19/20,25424,32063,666,17591,3232,6158,1173,41
6/20/20,25552,32499,698,17707,3257,6225,1179,42
