date,California
3/26/20,83
3/27/20,104
3/28/20,122
3/29/20,132
3/30/20,147
3/31/20,184
4/1/20,212
4/2/20,247
4/3/20,282
4/4/20,323
4/5/20,351
4/6/20,386
4/7/20,447
4/8/20,506
4/9/20,548
4/10/20,594
4/11/20,632
4/12/20,676
4/13/20,725
4/14/20,778
4/15/20,885
4/16/20,971
4/17/20,1050
4/18/20,1146
4/19/20,1176
4/20/20,1223
4/21/20,1316
4/22/20,1425
4/23/20,1548
4/24/20,1619
4/25/20,1692
4/26/20,1716
4/27/20,1800
4/28/20,1884
4/29/20,1961
4/30/20,2057
5/1/20,2147
5/2/20,2213
5/3/20,2235
5/4/20,2297
5/5/20,2386
5/6/20,2478
5/7/20,2561
5/8/20,2650
5/9/20,2732
5/10/20,2769
5/11/20,2820
5/12/20,2902
5/13/20,3014
5/14/20,3039
5/15/20,3192
5/16/20,3254
5/17/20,3290
5/18/20,3322
5/19/20,3422
5/20/20,3514
5/21/20,3624
5/22/20,3690
5/23/20,3768
5/24/20,3790
5/25/20,3808
5/26/20,3859
5/27/20,3961
5/28/20,4042
5/29/20,4144
5/30/20,4214
5/31/20,4242
6/1/20,4287
6/2/20,4360
6/3/20,4422
6/4/20,4484
6/5/20,4550
6/6/20,4626
6/7/20,4653
6/8/20,4679
6/9/20,4775
6/10/20,4869
6/11/20,4941
6/12/20,4986
6/13/20,5059
6/14/20,5089
6/15/20,5120
6/16/20,5202
6/17/20,5283
6/18/20,5359
6/19/20,5425
6/20/20,5495
6/21/20,5517
6/22/20,5561
6/23/20,5637
6/24/20,5728
6/25/20,5810
6/26/20,5872
6/27/20,5902
6/28/20,5937
6/29/20,5979
6/30/20,6083
7/1/20,6168
7/2/20,6263
7/3/20,6315
7/4/20,6329
7/5/20,6369
7/6/20,6452
7/7/20,6563
7/8/20,6708
7/9/20,6825
7/10/20,6936
7/11/20,7012
7/12/20,7042
7/13/20,7086
7/14/20,7227
7/15/20,7368
7/16/20,7490
7/17/20,7607
7/18/20,7697
7/19/20,7710
7/20/20,7764
7/21/20,7883
7/22/20,8038
7/23/20,8190
7/24/20,8325
7/25/20,8428
7/26/20,8451
7/27/20,8544
7/28/20,8716
7/29/20,8884
7/30/20,9009
7/31/20,9222
8/1/20,9365
8/2/20,9399
8/3/20,9500
8/4/20,9696
8/5/20,9866
8/6/20,10014
8/7/20,10197
8/8/20,10299
8/9/20,10365
8/10/20,10460
8/11/20,10654
8/12/20,10808
8/13/20,10995
8/14/20,11146
8/15/20,11229
8/16/20,11245
8/17/20,11334
8/18/20,11523
8/19/20,11686
8/20/20,11801
8/21/20,11984
8/22/20,12137
8/23/20,12152
8/24/20,12250
8/25/20,12409
8/26/20,12547
8/27/20,12696
8/28/20,12836
8/29/20,12906
8/30/20,12939
8/31/20,13020
9/1/20,13149
9/2/20,13330
9/3/20,13497
9/4/20,13644
9/5/20,13708
9/6/20,13730
9/7/20,13763
9/8/20,13843
9/9/20,13990
9/10/20,14094
9/11/20,14265
9/12/20,14333
9/13/20,14386
9/14/20,14458
9/15/20,14606
9/16/20,14716
9/17/20,14807
