date,Arizona,Florida,Georgia,North Carolina,South Carolina,Texas
2020-03-21,104.0,764.0,552.0,184.0,172.0,547.0
2020-03-22,153.0,1000.0,620.0,269.0,194.0,639.0
2020-03-23,234.0,1222.0,800.0,302.0,299.0,728.0
2020-03-24,326.0,1467.0,1095.0,397.0,342.0,857.0
2020-03-25,402.0,1971.0,1385.0,562.0,425.0,1132.0
2020-03-26,508.0,2478.0,1641.0,639.0,456.0,1542.0
2020-03-27,665.0,3198.0,2198.0,784.0,542.0,1971.0
2020-03-28,773.0,4038.0,2447.0,972.0,661.0,2381.0
2020-03-29,930.0,4943.0,2683.0,1166.0,775.0,2722.0
2020-03-30,1169.0,5695.0,3032.0,1303.0,925.0,3065.0
2020-03-31,1298.0,6742.0,4116.0,1527.0,1083.0,3588.0
2020-04-01,1413.0,7769.0,4747.0,1591.0,1293.0,4402.0
2020-04-02,1600.0,9000.0,5444.0,1858.0,1554.0,4952.0
2020-04-03,1769.0,10260.0,5967.0,2093.0,1700.0,5773.0
2020-04-04,2019.0,11537.0,6383.0,2402.0,1917.0,6566.0
2020-04-05,2269.0,12342.0,6742.0,2585.0,2049.0,7117.0
2020-04-06,2466.0,13621.0,7558.0,2870.0,2232.0,8150.0
2020-04-07,2577.0,14739.0,9156.0,3220.0,2417.0,8968.0
2020-04-08,2726.0,15690.0,10204.0,3423.0,2552.0,9897.0
2020-04-09,3018.0,16819.0,10885.0,3651.0,2792.0,11372.0
2020-04-10,3112.0,17960.0,11859.0,3906.0,3065.0,12291.0
2020-04-11,3393.0,18978.0,12261.0,4310.0,3207.0,13208.0
2020-04-12,3539.0,19855.0,12103.0,4520.0,3319.0,13776.0
2020-04-13,3702.0,21011.0,13125.0,4788.0,3439.0,14487.0
2020-04-14,3806.0,21620.0,13913.0,4992.0,3553.0,15303.0
2020-04-15,3962.0,22526.0,14583.0,5123.0,3656.0,16106.0
2020-04-16,4234.0,23332.0,15644.0,5463.0,3931.0,16928.0
2020-04-17,4507.0,24745.0,16658.0,5859.0,4086.0,18131.0
2020-04-18,4719.0,25484.0,17014.0,6140.0,4246.0,18927.0
2020-04-19,4929.0,26306.0,17619.0,6493.0,4377.0,19441.0
2020-04-20,5064.0,27050.0,18447.0,6764.0,4439.0,20035.0
2020-04-21,5251.0,27861.0,19189.0,6951.0,4608.0,20949.0
2020-04-22,5459.0,28301.0,20099.0,7220.0,4761.0,21769.0
2020-04-23,5769.0,29640.0,20905.0,7608.0,4917.0,22706.0
2020-04-24,6045.0,30525.0,21575.0,8052.0,5070.0,23650.0
2020-04-25,6280.0,30831.0,22225.0,8548.0,5253.0,24494.0
2020-04-26,6526.0,31520.0,22459.0,8830.0,5490.0,25209.0
2020-04-27,6716.0,32130.0,23229.0,9035.0,5613.0,25963.0
2020-04-28,6948.0,32838.0,23607.0,9568.0,5735.0,26868.0
2020-04-29,7202.0,33185.0,24300.0,9947.0,5881.0,27839.0
2020-04-30,7648.0,33683.0,25431.0,10507.0,6095.0,29072.0
2020-05-01,7962.0,34720.0,26436.0,10922.0,6258.0,30342.0
2020-05-02,8364.0,35455.0,27268.0,11514.0,6489.0,31433.0
2020-05-03,8640.0,36070.0,27618.0,11668.0,6626.0,32299.0
2020-05-04,8919.0,36889.0,28350.0,11871.0,6757.0,33134.0
2020-05-05,9305.0,37431.0,28876.0,12283.0,6841.0,34286.0
2020-05-06,9707.0,37994.0,29724.0,12783.0,6936.0,35441.0
2020-05-07,9945.0,38820.0,30524.0,13431.0,7142.0,36682.0
2020-05-08,10526.0,39191.0,31089.0,13879.0,7367.0,37943.0
2020-05-09,10960.0,39993.0,31481.0,14387.0,7531.0,38849.0
2020-05-10,11119.0,40588.0,32267.0,14783.0,7653.0,40037.0
2020-05-11,11380.0,40974.0,32448.0,15069.0,7792.0,40988.0
2020-05-12,11736.0,41915.0,33311.0,15402.0,7927.0,42348.0
2020-05-13,12176.0,42394.0,33866.0,15850.0,8030.0,43822.0
2020-05-14,12674.0,43202.0,34422.0,16593.0,8189.0,45169.0
2020-05-15,13169.0,44130.0,35242.0,17190.0,8407.0,46987.0
2020-05-16,13631.0,44803.0,35655.0,18009.0,8661.0,47866.0
2020-05-17,13937.0,45580.0,35954.0,18537.0,8816.0,48828.0
2020-05-18,14170.0,46434.0,36634.0,19121.0,8942.0,49788.0
2020-05-19,14566.0,46936.0,37214.0,19762.0,9056.0,51080.0
2020-05-20,14897.0,47463.0,38162.0,20221.0,9175.0,52369.0
2020-05-21,15315.0,48667.0,38969.0,20934.0,9379.0,53441.0
2020-05-22,15608.0,49443.0,39734.0,21661.0,9638.0,54369.0
2020-05-23,16040.0,50119.0,40408.0,22731.0,9895.0,55451.0
2020-05-24,16339.0,50859.0,40989.0,23231.0,10096.0,56050.0
2020-05-25,16561.0,51738.0,41414.0,23997.0,10178.0,56490.0
2020-05-26,16783.0,52247.0,42066.0,24188.0,10416.0,57573.0
2020-05-27,17262.0,52626.0,42713.0,24787.0,10623.0,59105.0
2020-05-28,17763.0,53277.0,43363.0,25616.0,10788.0,60820.0
2020-05-29,18465.0,54489.0,43888.0,26735.0,11131.0,62073.0
2020-05-30,19255.0,55416.0,44336.0,27761.0,11394.0,63396.0
2020-05-31,19936.0,56155.0,45051.0,28686.0,11861.0,64974.0
2020-06-01,20123.0,56822.0,45757.0,29368.0,12148.0,66081.0
2020-06-02,21250.0,57439.0,46063.0,30052.0,12415.0,67966.0
2020-06-03,22245.0,58756.0,46711.0,31013.0,12651.0,69546.0
2020-06-04,22818.0,60175.0,47528.0,32276.0,13005.0,71330.0
2020-06-05,24369.0,61480.0,48280.0,33417.0,13453.0,73324.0
2020-06-06,25517.0,62750.0,48943.0,34809.0,13916.0,75077.0
2020-06-07,26924.0,63930.0,49371.0,35663.0,14286.0,75948.0
2020-06-08,27761.0,64896.0,49995.0,36581.0,14800.0,77326.0
2020-06-09,28396.0,65992.0,50769.0,37393.0,15228.0,79271.0
2020-06-10,29981.0,67363.0,51465.0,38305.0,15759.0,81771.0
2020-06-11,31525.0,69061.0,52332.0,39735.0,16441.0,83772.0
2020-06-12,33167.0,70963.0,53201.0,41467.0,17170.0,86031.0
2020-06-13,34773.0,73544.0,54178.0,42911.0,17955.0,88120.0
2020-06-14,35953.0,75560.0,54874.0,44199.0,18796.0,89542.0
2020-06-15,37005.0,77318.0,55505.0,45257.0,19381.0,91727.0
2020-06-16,39298.0,80101.0,56302.0,46105.0,19995.0,95973.0
2020-06-17,41159.0,82711.0,57217.0,47142.0,20556.0,99466.0
2020-06-18,43731.0,85918.0,58040.0,48426.0,21548.0,102677.0
2020-06-19,46914.0,89740.0,59117.0,50014.0,22631.0,107322.0
