date,Arizona,Texas,South Carolina,North Carolina,Florida,Georgia
3/21/20,1,5,3,0,11,20
3/22/20,2,7,3,0,13,25
3/23/20,2,7,5,0,18,25
3/24/20,6,11,7,0,19,38
3/25/20,6,12,7,1,23,47
3/26/20,8,21,9,2,29,56
3/27/20,15,23,13,3,46,64
3/28/20,15,29,15,4,56,79
3/29/20,18,35,16,6,59,83
3/30/20,20,46,18,6,71,102
3/31/20,24,57,22,10,85,125
4/1/20,29,63,26,11,100,154
4/2/20,35,79,31,17,144,176
4/3/20,41,97,34,19,169,198
4/4/20,53,124,40,30,194,208
4/5/20,64,136,44,37,220,219
4/6/20,67,159,48,40,253,294
4/7/20,77,177,51,50,295,348
4/8/20,80,195,63,61,322,370
4/9/20,89,228,67,74,370,412
4/10/20,97,246,72,78,418,425
4/11/20,112,265,80,86,445,432
4/12/20,117,288,82,86,460,438
4/13/20,122,320,87,91,498,479
4/14/20,131,365,97,116,570,517
4/15/20,142,395,107,128,613,569
4/16/20,152,428,109,140,667,611
4/17/20,174,461,116,159,725,661
4/18/20,181,487,119,175,747,670
4/19/20,188,503,120,183,773,682
4/20/20,191,523,124,187,822,767
4/21/20,213,552,135,217,866,810
4/22/20,236,571,140,242,926,837
4/23/20,257,601,150,253,986,871
4/24/20,268,625,157,270,1045,889
4/25/20,275,662,166,300,1054,897
4/26/20,277,676,174,309,1073,907
4/27/20,277,699,177,331,1087,981
4/28/20,297,738,192,353,1170,1022
4/29/20,308,776,232,366,1216,1086
4/30/20,320,828,244,385,1267,1121
5/1/20,330,853,256,405,1313,1153
5/2/20,353,875,267,428,1363,1161
5/3/20,362,890,275,436,1378,1168
5/4/20,362,914,283,454,1398,1228
5/5/20,395,955,296,477,1470,1277
5/6/20,426,985,305,497,1538,1309
5/7/20,450,1016,316,521,1599,1332
5/8/20,517,1059,320,537,1668,1378
5/9/20,532,1086,330,554,1714,1380
5/10/20,536,1110,331,561,1720,1383
5/11/20,542,1137,346,571,1734,1420
5/12/20,562,1169,355,597,1778,1470
5/13/20,594,1205,362,615,1826,1494
5/14/20,624,1256,371,632,1874,1521
5/15/20,651,1300,380,660,1916,1563
5/16/20,679,1330,380,671,1963,1573
5/17/20,680,1356,385,679,1972,1584
5/18/20,686,1362,391,684,1996,1624
5/19/20,704,1405,399,711,2051,1650
5/20/20,747,1443,407,721,2095,1672
5/21/20,763,1480,416,733,2143,1749
5/22/20,775,1498,419,754,2189,1779
5/23/20,799,1522,425,763,2232,1794
5/24/20,800,1533,435,771,2236,1799
5/25/20,806,1536,440,780,2251,1820
5/26/20,807,1552,446,789,2258,1867
5/27/20,831,1598,466,827,2318,1904
5/28/20,857,1618,470,859,2363,1942
5/29/20,885,1645,483,888,2412,1953
5/30/20,903,1676,487,903,2446,1973
5/31/20,906,1683,494,911,2450,2019
6/1/20,918,1695,500,923,2459,2057
6/2/20,943,1732,501,950,2529,2070
6/3/20,983,1766,518,971,2565,2092
6/4/20,1000,1793,525,993,2606,2116
6/5/20,1016,1821,538,1001,2659,2143
6/6/20,1046,1840,545,1020,2687,2147
6/7/20,1048,1846,546,1024,2699,2148
6/8/20,1052,1856,557,1041,2711,2176
6/9/20,1074,1886,568,1069,2764,2250
6/10/20,1100,1916,575,1096,2800,2292
6/11/20,1130,1942,588,1114,2847,2337
6/12/20,1157,1965,593,1128,2876,2384
6/13/20,1190,1989,599,1135,2924,2411
6/14/20,1194,1995,600,1139,2930,2416
