date,0,1,2,3
3/6/20,,,2,13
3/7/20,,,2,17
3/8/20,,,2,20
3/9/20,,,2,24
3/10/20,,,3,28
3/11/20,,,3,34
3/12/20,,,5,38
3/13/20,,,5,45
3/14/20,,,7,53
3/15/20,,,8,60
3/16/20,,,14,77
3/17/20,,,19,97
3/18/20,,,28,133
3/19/20,,,48,160
3/20/20,,,65,207
3/21/20,,,90,261
3/22/20,,,113,332
3/23/20,,,152,409
3/24/20,,,213,550
3/25/20,,,290,737
3/26/20,236,1111,379,940
3/27/20,321,1442,536,1186
3/28/20,395,1897,648,1589
3/29/20,435,2272,726,1901
3/30/20,533,2819,928,2330
3/31/20,678,3607,1199,2967
4/1/20,866,4433,1460,3676
4/2/20,1059,5454,1772,4558
4/3/20,1241,6656,2064,5599
4/4/20,1429,8015,2380,6792
4/5/20,1595,9214,2701,7796
4/6/20,1886,10445,3119,8873
4/7/20,2263,12299,3681,10463
4/8/20,2559,14084,4170,11970
4/9/20,2904,15845,4662,13503
4/10/20,3259,17741,5267,15069
4/11/20,3559,19512,5717,16608
4/12/20,3751,20996,5954,17996
4/13/20,4075,22432,6391,19246
4/14/20,4572,24625,7263,20977
4/15/20,5153,26785,7946,22947
4/16/20,5612,28660,8583,24514
4/17/20,6112,30441,9206,26094
4/18/20,6488,32009,9672,27432
4/19/20,6786,33245,10083,28512
4/20/20,7190,34668,10566,29790
4/21/20,7778,36744,11558,31325
4/22/20,8348,38527,12245,32874
4/23/20,8875,40134,12803,34310
4/24/20,9388,41731,13334,35760
4/25/20,9841,43226,13860,37079
4/26/20,10177,44129,14105,37986
4/27/20,10506,45235,14512,38951
4/28/20,11123,47005,15333,40362
4/29/20,11933,48694,16302,41785
4/30/20,12482,50330,17024,43084
5/1/20,13000,51565,17601,44129
5/2/20,13444,52694,18190,44977
5/3/20,13761,53695,18431,45974
5/4/20,14069,54469,18834,46603
5/5/20,14743,56021,19781,47685
5/6/20,15470,57989,20545,49452
5/7/20,15998,59408,21303,50456
5/8/20,16592,60365,21908,51253
5/9/20,17020,61383,22420,52063
5/10/20,17302,62017,22610,52705
5/11/20,17668,62625,22924,53298
5/12/20,18180,63756,23575,54130
5/13/20,18729,64960,24166,55070
5/14/20,19304,66113,24858,55942
5/15/20,19796,67199,25437,56791
5/16/20,20220,67993,25858,57497
5/17/20,20460,68588,26014,58105
5/18/20,20717,69167,26347,58540
5/19/20,21239,70157,27013,59227
5/20/20,21783,71082,27608,59924
5/21/20,22286,71884,28200,60518
5/22/20,22674,72778,28704,61157
5/23/20,23068,73423,29171,61642
5/24/20,23264,73842,29311,62033
5/25/20,23454,74152,29475,62329
5/26/20,23737,74616,29739,62746
5/27/20,24220,75613,30360,63413
5/28/20,24652,76371,30865,63956
5/29/20,25082,77123,31361,64530
5/30/20,25409,77756,31778,64983
5/31/20,25629,78133,31962,65324
6/1/20,26027,78467,32239,65737
6/2/20,26473,79099,32802,66121
6/3/20,26845,79711,33214,66580
6/4/20,27176,80386,33664,67000
6/5/20,27498,81171,34308,67368
6/6/20,27782,81610,34618,67695
6/7/20,27876,81900,34706,67934
6/8/20,28124,82372,34954,68192
6/9/20,28537,82985,35423,68634
6/10/20,28895,83551,35842,69035
6/11/20,29247,84072,36254,69397
6/12/20,29581,84511,36604,69714
6/13/20,29874,84905,36908,70066
6/14/20,29979,85112,36981,70269
6/15/20,30161,85378,37191,70470
6/16/20,30498,85805,37579,70772
6/17/20,30853,86208,37939,71078
6/18/20,31201,86583,38325,71346
6/19/20,31516,86963,38670,71615
6/20/20,31753,87271,38950,71824
6/21/20,31858,87419,39029,71971
6/22/20,31998,87637,39180,72150
6/23/20,32367,88099,39620,72496
6/24/20,32727,88502,40025,72786
6/25/20,33011,90680,40343,74883
6/26/20,33316,91005,40651,75165
6/27/20,33584,91245,40949,75345
6/28/20,33694,91403,41053,75486
6/29/20,33865,91578,41208,75650
6/30/20,34180,92563,41663,76468
7/1/20,34521,92862,42032,76709
7/2/20,34871,93234,42437,76976
7/3/20,35151,93543,42765,77204
7/4/20,35313,93639,42895,77320
7/5/20,35427,93785,43007,77456
7/6/20,35634,93967,43232,77608
7/7/20,36152,94405,43849,77913
7/8/20,36606,94894,44351,78311
7/9/20,37070,95267,44863,78613
7/10/20,37537,95628,45386,78897
7/11/20,37930,95902,45846,79077
7/12/20,38201,96026,46131,79165
7/13/20,38400,96252,46364,79348
7/14/20,38963,96641,47007,79624
7/15/20,39542,97028,47631,79946
7/16/20,40145,97379,48317,80184
7/17/20,40734,97683,48960,80416
7/18/20,41267,97923,49514,80612
7/19/20,41565,98037,49844,80686
7/20/20,41890,98240,50228,80817
7/21/20,42648,98608,51051,81096
7/22/20,43424,98962,51948,81302
7/23/20,44149,99349,52736,81598
7/24/20,44870,99772,53513,81943
7/25/20,45507,100008,54180,82131
7/26/20,45817,100138,54525,82221
7/27/20,47264,100386,56014,82401
7/28/20,48120,100848,56975,82728
7/29/20,49082,101277,58043,83026
7/30/20,49949,101668,59030,83276
7/31/20,50924,102116,60074,83623
8/1/20,51633,102456,60828,83908
8/2/20,51890,102613,61137,83994
8/3/20,52267,102844,61557,84170
8/4/20,53206,103253,62573,84479
8/5/20,54047,103654,63528,84727
8/6/20,54798,103966,64405,84886
8/7/20,55647,104464,65387,85210
8/8/20,56359,104708,66120,85412
8/9/20,56684,104916,66493,85557
8/10/20,57029,105108,66875,85707
8/11/20,58035,105543,67977,86015
8/12/20,59089,105959,69164,86253
8/13/20,59809,106440,69994,86590
8/14/20,60613,106801,70888,86834
8/15/20,61402,107056,71734,87020
8/16/20,61740,107226,72153,87088
8/17/20,62068,107433,72522,87231
8/18/20,62930,107907,73517,87536
8/19/20,63765,108356,74469,87831
8/20/20,64431,108719,75233,88062
8/21/20,65178,109125,76078,88340
8/22/20,65802,109442,76754,88576
8/23/20,66075,109605,77100,88653
8/24/20,66386,109796,77419,88823
8/25/20,67151,110237,78307,89101
8/26/20,67981,110588,79239,89302
8/27/20,68739,110948,80060,89566
8/28/20,69379,111305,80761,89835
8/29/20,70012,111539,81472,89980
8/30/20,70256,111662,81750,90055
8/31/20,70535,111869,82064,90216
9/1/20,71223,112268,82878,90442
9/2/20,71831,112727,83626,90728
9/3/20,72526,113103,84392,91001
