date,Alabama,Alaska,Arizona,Arkansas,Florida,Georgia,Idaho,Indiana,Iowa,Mississippi,Missouri,Nebraska,North Dakota,Ohio,Oklahoma,South Carolina,South Dakota,Tennessee,Texas,Utah,West Virginia,Wyoming
2020-01-26,,,1.0,,,,,,,,,,,,,,,,,,,
2020-01-27,,,1.0,,,,,,,,,,,,,,,,,,,
2020-01-28,,,1.0,,,,,,,,,,,,,,,,,,,
2020-01-29,,,1.0,,,,,,,,,,,,,,,,,,,
2020-01-30,,,1.0,,,,,,,,,,,,,,,,,,,
2020-01-31,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-01,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-02,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-03,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-04,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-05,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-06,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-07,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-08,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-09,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-10,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-11,,,1.0,,,,,,,,,,,,,,,,,,,
2020-02-12,,,1.0,,,,,,,,,,,,,,,,1.0,,,
2020-02-13,,,1.0,,,,,,,,,,,,,,,,2.0,,,
2020-02-14,,,1.0,,,,,,,,,,,,,,,,2.0,,,
2020-02-15,,,1.0,,,,,,,,,,,,,,,,2.0,,,
2020-02-16,,,1.0,,,,,,,,,,,,,,,,2.0,,,
2020-02-17,,,1.0,,,,,,,,,10.0,,,,,,,2.0,,,
2020-02-18,,,1.0,,,,,,,,,10.0,,,,,,,2.0,,,
2020-02-19,,,1.0,,,,,,,,,10.0,,,,,,,2.0,,,
2020-02-20,,,1.0,,,,,,,,,11.0,,,,,,,2.0,,,
2020-02-21,,,1.0,,,,,,,,,11.0,,,,,,,4.0,,,
2020-02-22,,,1.0,,,,,,,,,11.0,,,,,,,4.0,,,
2020-02-23,,,1.0,,,,,,,,,11.0,,,,,,,4.0,,,
2020-02-24,,,1.0,,,,,,,,,12.0,,,,,,,10.0,,,
2020-02-25,,,1.0,,,,,,,,,13.0,,,,,,,10.0,1.0,,
2020-02-26,,,1.0,,,,,,,,,13.0,,,,,,,10.0,1.0,,
2020-02-27,,,1.0,,,,,,,,,13.0,,,,,,,10.0,1.0,,
2020-02-28,,,1.0,,,,,,,,,13.0,,,,,,,11.0,1.0,,
2020-02-29,,,1.0,,,,,,,,,13.0,,,,,,,11.0,1.0,,
2020-03-01,,,1.0,,2.0,,,,,,,13.0,,,,,,,11.0,1.0,,
2020-03-02,,,1.0,,2.0,2.0,,,,,,13.0,,,,,,,11.0,1.0,,
2020-03-03,,,2.0,,3.0,2.0,,,,,,13.0,,,,,,,11.0,1.0,,
2020-03-04,,,2.0,,3.0,2.0,,,,,,13.0,,,,,,,12.0,1.0,,
2020-03-05,,,2.0,,4.0,2.0,,,,,,13.0,,,,,,1.0,16.0,1.0,,
2020-03-06,,,3.0,,7.0,3.0,,1.0,,,,14.0,,,1.0,2.0,,1.0,19.0,3.0,,
2020-03-07,,,5.0,,12.0,7.0,,1.0,,,1.0,14.0,,,1.0,2.0,,1.0,19.0,3.0,,
2020-03-08,,,5.0,,13.0,11.0,,2.0,3.0,,1.0,16.0,,,1.0,6.0,,3.0,23.0,3.0,,
2020-03-09,,,6.0,,14.0,17.0,,4.0,8.0,,1.0,16.0,,3.0,1.0,7.0,,4.0,24.0,3.0,,
2020-03-10,,,6.0,,23.0,22.0,,6.0,13.0,,1.0,17.0,,3.0,2.0,9.0,5.0,7.0,31.0,4.0,,
2020-03-11,,,9.0,1.0,26.0,31.0,,11.0,14.0,1.0,1.0,23.0,1.0,4.0,2.0,10.0,8.0,8.0,33.0,5.0,,1.0
2020-03-12,,1.0,9.0,6.0,46.0,31.0,,12.0,16.0,1.0,2.0,24.0,1.0,5.0,2.0,12.0,8.0,18.0,41.0,7.0,,1.0
2020-03-13,6.0,1.0,9.0,7.0,70.0,41.0,1.0,12.0,17.0,6.0,4.0,27.0,1.0,13.0,3.0,13.0,9.0,26.0,58.0,7.0,,2.0
2020-03-14,12.0,1.0,12.0,9.0,70.0,65.0,5.0,15.0,18.0,6.0,5.0,29.0,1.0,26.0,4.0,19.0,9.0,32.0,69.0,21.0,,3.0
2020-03-15,23.0,1.0,13.0,16.0,109.0,97.0,5.0,19.0,22.0,10.0,5.0,31.0,1.0,37.0,8.0,28.0,9.0,39.0,80.0,29.0,,3.0
2020-03-16,29.0,3.0,18.0,22.0,141.0,118.0,5.0,24.0,22.0,12.0,9.0,33.0,1.0,50.0,10.0,33.0,10.0,52.0,87.0,40.0,,10.0
2020-03-17,39.0,6.0,20.0,22.0,210.0,142.0,9.0,30.0,29.0,21.0,16.0,36.0,5.0,67.0,18.0,47.0,11.0,73.0,106.0,51.0,1.0,15.0
2020-03-18,51.0,9.0,28.0,33.0,326.0,193.0,11.0,39.0,38.0,34.0,21.0,43.0,7.0,90.0,29.0,60.0,11.0,98.0,166.0,65.0,2.0,17.0
2020-03-19,78.0,12.0,47.0,62.0,434.0,282.0,23.0,56.0,44.0,50.0,35.0,47.0,19.0,120.0,44.0,81.0,14.0,155.0,248.0,80.0,5.0,18.0
2020-03-20,106.0,14.0,70.0,100.0,564.0,482.0,31.0,81.0,45.0,80.0,73.0,53.0,27.0,169.0,49.0,126.0,14.0,237.0,386.0,112.0,8.0,22.0
2020-03-21,131.0,21.0,104.0,118.0,764.0,552.0,42.0,128.0,68.0,140.0,93.0,61.0,28.0,247.0,53.0,172.0,14.0,312.0,547.0,138.0,12.0,24.0
2020-03-22,157.0,22.0,153.0,165.0,1000.0,620.0,47.0,204.0,90.0,207.0,130.0,62.0,30.0,351.0,67.0,194.0,21.0,424.0,639.0,182.0,16.0,26.0
2020-03-23,196.0,36.0,234.0,201.0,1222.0,800.0,50.0,264.0,105.0,249.0,183.0,73.0,32.0,444.0,81.0,299.0,28.0,522.0,728.0,257.0,16.0,28.0
2020-03-24,242.0,42.0,326.0,231.0,1467.0,1095.0,73.0,371.0,124.0,320.0,255.0,77.0,37.0,564.0,106.0,342.0,30.0,678.0,857.0,299.0,39.0,37.0
2020-03-25,386.0,59.0,402.0,307.0,1971.0,1385.0,123.0,484.0,147.0,376.0,384.0,84.0,45.0,707.0,164.0,425.0,41.0,806.0,1132.0,346.0,51.0,49.0
2020-03-26,538.0,69.0,508.0,350.0,2478.0,1641.0,189.0,661.0,179.0,486.0,508.0,91.0,58.0,867.0,248.0,456.0,46.0,981.0,1542.0,402.0,76.0,56.0
2020-03-27,639.0,85.0,665.0,385.0,3198.0,2198.0,232.0,992.0,236.0,579.0,670.0,102.0,68.0,1144.0,322.0,542.0,58.0,1180.0,1971.0,480.0,96.0,74.0
2020-03-28,720.0,102.0,773.0,409.0,4038.0,2447.0,262.0,1239.0,298.0,669.0,837.0,122.0,93.0,1406.0,377.0,661.0,68.0,1363.0,2381.0,608.0,113.0,85.0
2020-03-29,830.0,114.0,930.0,449.0,4943.0,2683.0,310.0,1522.0,336.0,759.0,902.0,138.0,97.0,1665.0,429.0,775.0,90.0,1569.0,2722.0,719.0,124.0,88.0
2020-03-30,947.0,120.0,1169.0,508.0,5695.0,3032.0,415.0,1797.0,424.0,848.0,1049.0,185.0,109.0,1933.0,481.0,925.0,100.0,1721.0,3065.0,806.0,145.0,96.0
2020-03-31,999.0,133.0,1298.0,564.0,6742.0,4116.0,526.0,2177.0,498.0,937.0,1350.0,199.0,126.0,2199.0,566.0,1083.0,107.0,2049.0,3588.0,887.0,162.0,121.0
2020-04-01,1108.0,143.0,1413.0,624.0,7769.0,4747.0,669.0,2578.0,549.0,1073.0,1580.0,249.0,147.0,2548.0,719.0,1293.0,129.0,2689.0,4402.0,1012.0,191.0,138.0
2020-04-02,1270.0,146.0,1600.0,683.0,9000.0,5444.0,891.0,3056.0,614.0,1177.0,1834.0,273.0,159.0,2903.0,879.0,1554.0,165.0,2868.0,4952.0,1077.0,217.0,154.0
2020-04-03,1535.0,156.0,1769.0,738.0,10260.0,5967.0,1012.0,3455.0,699.0,1358.0,2113.0,297.0,173.0,3312.0,989.0,1700.0,187.0,3032.0,5773.0,1248.0,242.0,167.0
