date,0,GBR,SWE,USA,Arizona,Hawaii,Washington,New York City,King
2020-03-02,2654.0,134.0,19.0,55.0,1.0,,23.0,1,15
2020-03-03,3266.0,189.0,32.0,74.0,2.0,,32.0,2,22
2020-03-04,4164.0,246.0,62.0,107.0,2.0,,47.0,2,33
2020-03-05,5506.0,295.0,87.0,184.0,2.0,,75.0,4,52
2020-03-06,7118.0,374.0,146.0,237.0,3.0,1.0,86.0,5,59
2020-03-07,9178.0,429.0,179.0,403.0,5.0,1.0,110.0,12,72
2020-03-08,11595.0,483.0,225.0,519.0,5.0,2.0,141.0,14,91
2020-03-09,14477.0,630.0,326.0,594.0,6.0,2.0,179.0,20,117
2020-03-10,17458.0,889.0,424.0,782.0,6.0,2.0,279.0,37,191
2020-03-11,22272.0,1301.0,620.0,1147.0,9.0,2.0,338.0,52,235
2020-03-12,25501.0,1790.0,771.0,1586.0,9.0,2.0,419.0,96,271
2020-03-13,36294.0,2270.0,923.0,2219.0,9.0,2.0,511.0,155,329
2020-03-14,43936.0,2634.0,994.0,2978.0,12.0,4.0,609.0,269,389
2020-03-15,52199.0,3077.0,1063.0,3212.0,13.0,7.0,675.0,330,421
2020-03-16,62398.0,3692.0,1146.0,4679.0,18.0,10.0,794.0,464,489
2020-03-17,72897.0,4462.0,1265.0,6512.0,20.0,14.0,908.0,646,518
2020-03-18,85635.0,5468.0,1410.0,9169.0,28.0,16.0,1026.0,1344,563
2020-03-19,103553.0,6534.0,1553.0,13663.0,47.0,26.0,1228.0,2477,693
2020-03-20,122251.0,7792.0,1733.0,20030.0,70.0,37.0,1404.0,4419,794
2020-03-21,142301.0,9007.0,1868.0,26025.0,104.0,48.0,1655.0,6226,935
2020-03-22,160688.0,10395.0,1986.0,34898.0,153.0,56.0,1844.0,9065,1036
2020-03-23,184305.0,12744.0,2168.0,46136.0,234.0,77.0,2101.0,12329,1166
2020-03-24,205736.0,15126.0,2398.0,56755.0,326.0,90.0,2469.0,14943,1278
2020-03-25,233184.0,17843.0,2712.0,68837.0,402.0,95.0,2585.0,20061,1360
2020-03-26,265208.0,20970.0,2998.0,86693.0,508.0,106.0,3208.0,23182,1579
2020-03-27,296933.0,24219.0,3363.0,105383.0,665.0,120.0,3770.0,25509,1830
2020-03-28,329885.0,27062.0,3663.0,125013.0,773.0,151.0,4311.0,30919,2079
2020-03-29,355903.0,29954.0,3943.0,143912.0,930.0,175.0,4897.0,33983,2163
2020-03-30,383079.0,34281.0,4359.0,165987.0,1169.0,204.0,5180.0,38375,2332
2020-03-31,413863.0,38815.0,4834.0,192301.0,1298.0,224.0,5293.0,43518,2332
2020-04-01,444454.0,43789.0,5320.0,224560.0,1413.0,258.0,5589.0,47914,2498
2020-04-02,473582.0,48718.0,5874.0,256792.0,1600.0,283.0,6586.0,52400,2658
2020-04-03,504188.0,53699.0,6475.0,289087.0,1769.0,317.0,6967.0,57941,2789
2020-04-04,510856.0,57772.0,6832.0,321477.0,2019.0,349.0,7499.0,64274,2900
2020-04-05,531785.0,61422.0,7172.0,351354.0,2269.0,369.0,7985.0,68726,3169
2020-04-06,551788.0,66738.0,7561.0,382747.0,2466.0,385.0,8385.0,73553,3333
2020-04-07,567366.0,72224.0,8299.0,413516.0,2577.0,408.0,8683.0,78498,3488
2020-04-08,593563.0,77387.0,8954.0,444731.0,2726.0,433.0,9098.0,83673,3690
2020-04-09,618658.0,82293.0,9599.0,480667.0,3018.0,440.0,9609.0,89127,3888
2020-04-10,642000.0,86660.0,10053.0,515081.0,3112.0,463.0,9888.0,94702,4119
2020-04-11,662352.0,90273.0,10448.0,544183.0,3393.0,484.0,10227.0,100840,4264
2020-04-12,729982.0,93812.0,10912.0,571440.0,3539.0,497.0,10414.0,105939,4428
2020-04-13,746586.0,98017.0,11349.0,598380.0,3702.0,502.0,10547.0,109706,4551
2020-04-14,775099.0,102365.0,11828.0,627205.0,3806.0,511.0,10711.0,113632,4622
2020-04-15,796409.0,107465.0,12432.0,652611.0,3962.0,524.0,10806.0,121653,4699
2020-04-16,829344.0,112808.0,13055.0,682626.0,4234.0,535.0,11180.0,126623,4811
2020-04-17,849941.0,117798.0,13743.0,715656.0,4507.0,547.0,11479.0,131003,4904
