date,GBR,SWE,USA,Pennsylvania,Texas,Washington,New York City,King,0
2020-03-02,36.0,14.0,89.0,,11.0,23.0,1.0,15.0,2205.0
2020-03-03,40.0,15.0,103.0,,11.0,32.0,2.0,22.0,2709.0
2020-03-04,51.0,24.0,125.0,,12.0,47.0,2.0,33.0,3411.0
2020-03-05,85.0,35.0,159.0,,16.0,75.0,4.0,52.0,4331.0
2020-03-06,115.0,61.0,233.0,2.0,19.0,86.0,5.0,59.0,5839.0
2020-03-07,163.0,137.0,338.0,4.0,19.0,110.0,12.0,72.0,7726.0
2020-03-08,206.0,161.0,433.0,6.0,23.0,141.0,14.0,91.0,9805.0
2020-03-09,273.0,203.0,554.0,10.0,24.0,179.0,20.0,117.0,12500.0
2020-03-10,321.0,248.0,754.0,12.0,31.0,279.0,37.0,191.0,15912.0
2020-03-11,373.0,326.0,1025.0,16.0,33.0,338.0,52.0,235.0,19075.0
2020-03-12,456.0,462.0,1312.0,22.0,41.0,419.0,96.0,271.0,24484.0
2020-03-13,590.0,620.0,1663.0,41.0,58.0,511.0,155.0,329.0,31390.0
2020-03-14,707.0,775.0,2174.0,47.0,69.0,609.0,269.0,389.0,38542.0
2020-03-15,1140.0,924.0,2951.0,68.0,80.0,675.0,330.0,421.0,47156.0
2020-03-16,1391.0,1032.0,3774.0,81.0,87.0,794.0,464.0,489.0,55950.0
2020-03-17,1543.0,1121.0,4661.0,101.0,106.0,908.0,646.0,518.0,66257.0
2020-03-18,1950.0,1167.0,6427.0,139.0,166.0,1026.0,1344.0,563.0,78070.0
2020-03-19,2630.0,1301.0,9415.0,187.0,248.0,1228.0,2477.0,693.0,91251.0
2020-03-20,3277.0,1423.0,14250.0,269.0,386.0,1404.0,4419.0,794.0,112609.0
2020-03-21,3983.0,1623.0,19624.0,388.0,547.0,1655.0,6226.0,935.0,133664.0
2020-03-22,5018.0,1746.0,26747.0,504.0,639.0,1844.0,9065.0,1036.0,154415.0
2020-03-23,5683.0,1906.0,35206.0,644.0,728.0,2101.0,12329.0,1166.0,173643.0
2020-03-24,6650.0,2016.0,46442.0,851.0,857.0,2469.0,14943.0,1278.0,199955.0
2020-03-25,8077.0,2272.0,55231.0,1151.0,1132.0,2585.0,20061.0,1360.0,224079.0
2020-03-26,9529.0,2510.0,69194.0,1690.0,1542.0,3208.0,23182.0,1579.0,252297.0
2020-03-27,11658.0,2806.0,85991.0,2217.0,1971.0,3770.0,25509.0,1830.0,284407.0
2020-03-28,14543.0,3046.0,104686.0,2815.0,2381.0,4311.0,30919.0,2079.0,316452.0
2020-03-29,17089.0,3447.0,124665.0,3441.0,2722.0,4897.0,33983.0,2163.0,344354.0
2020-03-30,19522.0,3700.0,143025.0,4156.0,3065.0,5180.0,38375.0,2332.0,368915.0
2020-03-31,22141.0,4028.0,164620.0,4997.0,3588.0,5293.0,43518.0,2332.0,396673.0
2020-04-01,25150.0,4435.0,189618.0,5805.0,4402.0,5589.0,47914.0,2498.0,428386.0
2020-04-02,29474.0,4947.0,216721.0,7021.0,4952.0,6586.0,52400.0,2658.0,458652.0
2020-04-03,33718.0,5466.0,245540.0,8420.0,5773.0,6967.0,57941.0,2789.0,486388.0
2020-04-04,38168.0,6078.0,277965.0,10110.0,6566.0,7499.0,64274.0,2900.0,517029.0
2020-04-05,41903.0,6443.0,312237.0,11590.0,7117.0,7985.0,68726.0,3169.0,543874.0
2020-04-06,47806.0,6830.0,337635.0,13075.0,8150.0,8385.0,73553.0,3333.0,563329.0
2020-04-07,51608.0,7206.0,368196.0,14582.0,8968.0,8683.0,78498.0,3488.0,586077.0
2020-04-08,55242.0,7693.0,398809.0,16414.0,9897.0,9098.0,83673.0,3690.0,608945.0
2020-04-09,60733.0,8419.0,432132.0,18379.0,11372.0,9609.0,89127.0,3888.0,634200.0
2020-04-10,65077.0,9141.0,466033.0,20128.0,12291.0,9888.0,94702.0,4119.0,661225.0
2020-04-11,70272.0,9685.0,501560.0,21774.0,13208.0,10227.0,100840.0,4264.0,686921.0
2020-04-12,78991.0,10151.0,529951.0,22955.0,13776.0,10414.0,105939.0,4428.0,707918.0
2020-04-13,84279.0,10483.0,557571.0,24295.0,14487.0,10547.0,109706.0,4551.0,724044.0
2020-04-14,88621.0,10948.0,582594.0,25591.0,15303.0,10711.0,113632.0,4622.0,739484.0
2020-04-15,93873.0,11445.0,609516.0,26804.0,16106.0,10806.0,121653.0,4699.0,760362.0
2020-04-16,98476.0,11927.0,639664.0,28314.0,16928.0,11180.0,126623.0,4811.0,778730.0
2020-04-17,103093.0,12540.0,671331.0,30121.0,18131.0,11479.0,131003.0,4904.0,798886.0
2020-04-18,108692.0,13216.0,702164.0,31742.0,18927.0,11850.0,135052.0,5065.0,815903.0
2020-04-19,114217.0,13822.0,735086.0,32992.0,19441.0,11864.0,138370.0,5174.0,829151.0
2020-04-20,120067.0,14385.0,759687.0,34005.0,20035.0,12255.0,140881.0,5295.0,841548.0
2020-04-21,124743.0,14777.0,787752.0,35384.0,20949.0,12410.0,143547.0,5381.0,855017.0
2020-04-22,129044.0,15322.0,825041.0,36763.0,21769.0,12606.0,146787.0,5451.0,869585.0
2020-04-23,133495.0,16004.0,842629.0,38334.0,22706.0,12981.0,150327.0,5571.0,884712.0
2020-04-24,138078.0,16755.0,869172.0,40298.0,23650.0,13197.0,155081.0,5691.0,898530.0
2020-04-25,143464.0,17567.0,890524.0,41626.0,24494.0,13565.0,159851.0,5813.0,912649.0
2020-04-26,148377.0,18177.0,939053.0,42709.0,25209.0,13744.0,163106.0,5914.0,923336.0
2020-04-27,152840.0,18640.0,965910.0,43728.0,25963.0,13958.0,165463.0,5992.0,932026.0
2020-04-28,157149.0,18926.0,988451.0,45323.0,26868.0,14165.0,167487.0,6056.0,940731.0
2020-04-29,161145.0,19621.0,1012583.0,46191.0,27839.0,14490.0,170124.0,6184.0,948326.0
2020-04-30,165221.0,20302.0,1039909.0,48224.0,29072.0,14814.0,172784.0,6310.0,958080.0
2020-05-01,171253.0,21092.0,1069826.0,49764.0,30342.0,15134.0,174931.0,6409.0,965607.0
2020-05-02,177454.0,21520.0,1103781.0,51071.0,31433.0,15383.0,177490.0,6507.0,974545.0
2020-05-03,182260.0,22082.0,1133069.0,52079.0,32299.0,15943.0,179728.0,6620.0,980805.0
2020-05-04,186599.0,22317.0,1158041.0,52992.0,33134.0,16047.0,181034.0,6584.0,986070.0
2020-05-05,190584.0,22721.0,1180634.0,53967.0,34286.0,16234.0,182318.0,6655.0,991862.0
2020-05-06,194990.0,23216.0,1204475.0,54989.0,35441.0,16873.0,183770.0,6772.0,998555.0
