date,0,GBR,SWE,USA,Arizona,Hawaii,Washington,New York City,King
2020-03-02,55.0,,,6.0,0.0,,6.0,0.0,6.0
2020-03-03,84.0,,,7.0,0.0,,10.0,0.0,10.0
2020-03-04,113.0,,,11.0,0.0,,11.0,0.0,11.0
2020-03-05,159.0,,,12.0,0.0,,11.0,0.0,11.0
2020-03-06,213.0,1.0,,14.0,0.0,0.0,12.0,0.0,12.0
2020-03-07,261.0,2.0,,17.0,0.0,0.0,16.0,0.0,16.0
2020-03-08,407.0,2.0,,21.0,0.0,0.0,19.0,0.0,18.0
2020-03-09,523.0,3.0,,22.0,0.0,0.0,22.0,0.0,21.0
2020-03-10,708.0,7.0,1.0,28.0,0.0,0.0,24.0,0.0,23.0
2020-03-11,947.0,7.0,1.0,33.0,0.0,0.0,29.0,0.0,27.0
2020-03-12,1139.0,9.0,2.0,43.0,0.0,0.0,32.0,0.0,28.0
2020-03-13,1515.0,10.0,3.0,51.0,0.0,0.0,37.0,0.0,33.0
2020-03-14,1782.0,29.0,5.0,58.0,0.0,0.0,40.0,1.0,36.0
2020-03-15,2258.0,43.0,7.0,70.0,0.0,0.0,42.0,5.0,38.0
2020-03-16,2733.0,66.0,8.0,97.0,0.0,0.0,48.0,7.0,44.0
2020-03-17,3317.0,83.0,14.0,134.0,0.0,0.0,54.0,11.0,47.0
2020-03-18,3912.0,118.0,21.0,194.0,0.0,0.0,68.0,25.0,57.0
2020-03-19,4708.0,164.0,30.0,266.0,0.0,0.0,75.0,31.0,61.0
2020-03-20,5845.0,196.0,38.0,372.0,1.0,0.0,83.0,54.0,68.0
2020-03-21,7205.0,254.0,49.0,475.0,1.0,0.0,95.0,75.0,76.0
2020-03-22,8472.0,289.0,60.0,596.0,2.0,0.0,97.0,119.0,77.0
2020-03-23,9935.0,365.0,81.0,788.0,2.0,0.0,110.0,155.0,88.0
2020-03-24,11591.0,513.0,103.0,1031.0,6.0,0.0,123.0,230.0,95.0
2020-03-25,13599.0,704.0,134.0,1364.0,6.0,0.0,130.0,330.0,101.0
2020-03-26,15687.0,886.0,166.0,1783.0,8.0,0.0,152.0,435.0,111.0
2020-03-27,18035.0,1174.0,201.0,2305.0,15.0,0.0,179.0,560.0,127.0
2020-03-28,20463.0,1466.0,239.0,2947.0,15.0,0.0,193.0,825.0,138.0
2020-03-29,22770.0,1679.0,284.0,3571.0,18.0,0.0,209.0,991.0,146.0
2020-03-30,25370.0,2053.0,332.0,4284.0,20.0,0.0,221.0,1202.0,152.0
2020-03-31,28147.0,2457.0,385.0,5369.0,24.0,1.0,226.0,1475.0,152.0
2020-04-01,31630.0,3130.0,455.0,6653.0,29.0,1.0,250.0,1848.0,166.0
2020-04-02,34674.0,3787.0,535.0,8165.0,35.0,2.0,272.0,2152.0,177.0
2020-04-03,38078.0,4524.0,605.0,9595.0,41.0,3.0,293.0,2648.0,188.0
2020-04-04,41245.0,5281.0,373.0,11160.0,53.0,3.0,318.0,3221.0,204.0
2020-04-05,43604.0,5882.0,401.0,12773.0,64.0,4.0,344.0,3646.0,210.0
2020-04-06,46473.0,6452.0,477.0,14544.0,67.0,5.0,383.0,4857.0,224.0
2020-04-07,50305.0,7557.0,591.0,17122.0,77.0,5.0,409.0,5631.0,232.0
2020-04-08,53109.0,8589.0,687.0,19277.0,80.0,5.0,430.0,6441.0,246.0
2020-04-09,56643.0,9706.0,793.0,21480.0,89.0,6.0,456.0,7249.0,260.0
2020-04-10,59813.0,10829.0,870.0,23673.0,97.0,8.0,483.0,7981.0,279.0
2020-04-11,62247.0,11673.0,887.0,25801.0,112.0,8.0,498.0,8734.0,286.0
2020-04-12,64727.0,12330.0,899.0,27674.0,117.0,9.0,511.0,9448.0,294.0
2020-04-13,67165.0,13055.0,919.0,29687.0,122.0,9.0,525.0,10096.0,298.0
2020-04-14,69518.0,14135.0,1033.0,32121.0,131.0,9.0,552.0,10857.0,305.0
2020-04-15,73426.0,15019.0,1203.0,34726.0,142.0,9.0,572.0,11566.0,314.0
2020-04-16,76375.0,16059.0,1333.0,36869.0,152.0,9.0,588.0,12109.0,322.0
2020-04-17,79392.0,16973.0,1400.0,38978.0,174.0,9.0,610.0,12283.0,333.0
2020-04-18,81301.0,18081.0,1511.0,40958.0,181.0,9.0,629.0,12411.0,342.0
2020-04-19,83174.0,18514.0,1540.0,42928.0,188.0,10.0,637.0,13632.0,348.0
2020-04-20,85321.0,19090.0,1580.0,45160.0,191.0,10.0,661.0,14074.0,362.0
2020-04-21,87590.0,20314.0,1765.0,47676.0,213.0,12.0,683.0,14513.0,374.0
2020-04-22,89876.0,21171.0,1937.0,50128.0,236.0,12.0,696.0,14959.0,381.0
2020-04-23,92175.0,21855.0,2021.0,52591.0,257.0,12.0,717.0,15361.0,386.0
2020-04-24,94264.0,22873.0,2152.0,54777.0,268.0,13.0,731.0,15754.0,393.0
2020-04-25,96093.0,23689.0,2192.0,56487.0,275.0,14.0,743.0,16146.0,401.0
2020-04-26,97355.0,24053.0,2194.0,57886.0,277.0,14.0,757.0,16486.0,410.0
2020-04-27,98948.0,24376.0,2274.0,59394.0,277.0,16.0,771.0,16821.0,418.0
2020-04-28,100586.0,25347.0,2355.0,61621.0,297.0,16.0,792.0,17206.0,429.0
2020-04-29,102442.0,26118.0,2462.0,64036.0,308.0,16.0,805.0,17597.0,438.0
2020-04-30,103793.0,26754.0,2586.0,66233.0,320.0,16.0,822.0,17809.0,448.0
2020-05-01,104748.0,27454.0,2653.0,68138.0,330.0,16.0,829.0,17931.0,451.0
2020-05-02,106349.0,28039.0,2669.0,69870.0,353.0,16.0,833.0,18021.0,456.0
2020-05-03,107135.0,28292.0,2679.0,71059.0,362.0,17.0,840.0,18451.0,461.0
2020-05-04,108188.0,28565.0,2769.0,72438.0,362.0,17.0,846.0,18580.0,465.0
2020-05-05,109252.0,29290.0,2854.0,74684.0,395.0,17.0,863.0,18719.0,471.0
2020-05-06,110920.0,29937.0,2941.0,76996.0,426.0,17.0,881.0,18993.0,476.0
2020-05-07,111998.0,30395.0,3040.0,78923.0,450.0,17.0,903.0,19141.0,482.0
2020-05-08,113147.0,30975.0,3175.0,80684.0,517.0,17.0,915.0,19210.0,487.0
2020-05-09,113863.0,31250.0,3220.0,82151.0,532.0,17.0,925.0,19324.0,492.0
2020-05-10,114441.0,31467.0,3225.0,83127.0,536.0,17.0,939.0,19436.0,502.0
2020-05-11,115256.0,31655.0,3256.0,84170.0,542.0,17.0,957.0,19563.0,507.0
2020-05-12,116265.0,32270.0,3313.0,85770.0,562.0,17.0,972.0,19736.0,513.0
2020-05-13,117106.0,32718.0,3460.0,87508.0,594.0,17.0,977.0,19815.0,516.0
2020-05-14,118132.0,33071.0,3529.0,89296.0,624.0,17.0,991.0,19904.0,516.0
2020-05-15,118829.0,33422.0,3646.0,90966.0,651.0,17.0,1008.0,19972.0,523.0
2020-05-16,119384.0,33833.0,3674.0,92165.0,679.0,17.0,1015.0,20071.0,528.0
2020-05-17,120162.0,33900.0,3679.0,92983.0,680.0,17.0,1016.0,20214.0,529.0
2020-05-18,120686.0,34046.0,3698.0,94210.0,686.0,17.0,1020.0,20298.0,530.0
2020-05-19,120915.0,34547.0,3743.0,95667.0,704.0,17.0,1042.0,20376.0,536.0
2020-05-20,121506.0,34876.0,3831.0,97167.0,747.0,17.0,1045.0,20422.0,536.0
2020-05-21,121993.0,35149.0,3871.0,98355.0,763.0,17.0,1054.0,20491.0,541.0
2020-05-22,123088.0,35440.0,3925.0,99575.0,775.0,17.0,1061.0,20569.0,544.0
2020-05-23,123488.0,35660.0,3992.0,100661.0,799.0,17.0,1062.0,20621.0,544.0
2020-05-24,123654.0,36039.0,3998.0,101298.0,800.0,17.0,1069.0,20697.0,549.0
2020-05-25,122047.0,36143.0,4029.0,101890.0,806.0,17.0,1076.0,20740.0,552.0
2020-05-26,122726.0,36274.0,4125.0,102567.0,807.0,17.0,1091.0,20795.0,554.0
2020-05-27,123009.0,36696.0,4220.0,104029.0,831.0,17.0,1106.0,20844.0,561.0
2020-05-28,123326.0,37039.0,4266.0,105136.0,857.0,17.0,1116.0,20895.0,564.0
2020-05-29,123631.0,37313.0,4350.0,106270.0,885.0,17.0,1120.0,20960.0,566.0
2020-05-30,123929.0,37467.0,4395.0,107224.0,903.0,17.0,1126.0,20991.0,569.0
2020-05-31,124104.0,37527.0,4395.0,107837.0,906.0,17.0,1126.0,21050.0,569.0
2020-06-01,124276.0,37613.0,4403.0,108613.0,918.0,17.0,1133.0,21090.0,571.0
2020-06-02,124538.0,37863.0,4468.0,109594.0,943.0,17.0,1139.0,21132.0,572.0
2020-06-03,124810.0,38117.0,4542.0,110605.0,983.0,17.0,1145.0,21170.0,575.0
2020-06-04,125057.0,38247.0,4562.0,111617.0,1000.0,17.0,1150.0,21234.0,576.0
2020-06-05,125313.0,38505.0,4639.0,112512.0,1016.0,17.0,1160.0,21262.0,578.0
2020-06-06,125497.0,38648.0,4656.0,113156.0,1046.0,17.0,1163.0,21294.0,578.0
2020-06-07,125619.0,38702.0,4659.0,113613.0,1048.0,17.0,1163.0,21323.0,580.0
2020-06-08,125807.0,38749.0,4694.0,114120.0,1052.0,17.0,1168.0,21356.0,581.0
2020-06-09,126110.0,38946.0,4717.0,115033.0,1074.0,17.0,1181.0,21396.0,582.0
2020-06-10,126283.0,39110.0,4795.0,115907.0,1100.0,17.0,1183.0,21436.0,582.0
2020-06-11,126432.0,39186.0,4814.0,116737.0,1130.0,17.0,1198.0,21468.0,585.0
2020-06-12,126580.0,39317.0,4854.0,117566.0,1157.0,17.0,1207.0,21519.0,588.0
2020-06-13,126745.0,39424.0,4874.0,118299.0,1190.0,17.0,1216.0,21551.0,593.0
2020-06-14,126853.0,39451.0,4874.0,118642.0,1194.0,17.0,1220.0,21578.0,593.0
2020-06-15,126963.0,39480.0,4891.0,119037.0,1204.0,17.0,1223.0,21600.0,594.0
2020-06-16,127189.0,39600.0,4939.0,119851.0,1228.0,17.0,1234.0,21619.0,597.0
2020-06-17,127354.0,39710.0,5041.0,120590.0,1252.0,17.0,1229.0,21645.0,593.0
2020-06-18,127554.0,39777.0,5053.0,121280.0,1287.0,17.0,1246.0,21673.0,599.0
2020-06-19,128858.0,39861.0,5053.0,121908.0,1322.0,17.0,1258.0,21710.0,602.0
2020-06-20,128989.0,39932.0,5053.0,122470.0,1347.0,17.0,1268.0,21719.0,603.0
2020-06-21,129047.0,39963.0,5053.0,122784.0,1350.0,17.0,1271.0,21753.0,602.0
2020-06-22,129136.0,39976.0,5053.0,123192.0,1354.0,17.0,1277.0,21796.0,604.0
2020-06-23,129297.0,40070.0,5161.0,123940.0,1398.0,17.0,1285.0,21817.0,606.0
2020-06-24,129363.0,40157.0,5209.0,124688.0,1467.0,17.0,1294.0,21838.0,606.0
2020-06-25,129482.0,40256.0,5230.0,125218.0,1495.0,17.0,1301.0,21856.0,608.0
2020-06-26,129634.0,40333.0,5280.0,125844.0,1537.0,17.0,1305.0,21893.0,609.0
2020-06-27,129681.0,40373.0,5280.0,126346.0,1581.0,18.0,1311.0,21913.0,612.0
2020-06-28,129744.0,40404.0,5280.0,126665.0,1594.0,18.0,1311.0,21940.0,612.0
2020-06-29,129840.0,40425.0,5280.0,127048.0,1598.0,18.0,1321.0,21941.0,612.0
2020-06-30,129995.0,40479.0,5333.0,127605.0,1645.0,18.0,1333.0,22566.0,612.0
